日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,永和,AMB_TEMP,13.15,12.89,12.46,12.21,11.9,11.48,11.05,10.94,11.28,11.86,12.03,12.67,12.59,12.06,12.17,12.24,12.17,12.12,12.16,12.15,12.24,12.3,12.31,12.29
2009/1/1,永和,CO,0.92,0.88,0.52,0.45,0.44,0.5,0.49,0.67,0.61,0.71,0.62,0.57,0.61,0.55,0.59,0.63,0.58,0.77,0.8,0.72,0.7,0.59,0.63,0.58
2009/1/1,永和,NO,11.71,10.48,7.12,4.09,3.77,6.39,6.09,8.64,9.44,13.82,12.86,11.9,12.37,8.97,9.53,9.44,9.07,13.13,14.58,12.87,10.92,7.93,8.4,7.73
2009/1/1,永和,NO2,26.82,26.17,20.74,15.54,15.09,16.26,16.98,19.27,18.85,19.94,20.65,20.67,20.29,20.35,21.09,21.41,21.65,25.57,28.27,27.9,26.72,23.44,24.32,22.42
2009/1/1,永和,NOx,38.53,36.66,27.86,19.63,18.86,22.65,23.07,27.91,28.29,33.75,33.5,32.58,32.66,29.32,30.61,30.85,30.73,38.71,42.85,40.77,37.63,31.37,32.72,30.16
2009/1/1,永和,O3,17.3,16.3,25.3,29.7,29.6,27.2,26.8,24.2,24.6,24.8,25.2,29.5,32.9,31.3,26.4,26.1,25.4,19.4,16.7,17,17.7,22.3,20.2,21.5
2009/1/1,永和,PM10,115,110,78,58,63,62,60,57,57,57,56,52,50,46,49,54,52,59,60,60,63,61,66,65
2009/1/1,永和,PM2.5,63,63,46,33,31,28,28,27,25,30,30,25,22,21,24,31,33,34,39,40,41,39,37,35
2009/1/1,永和,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,永和,RH,56.19,55.8,53.81,53.2,52.46,51.85,52,52.07,50.4,49.24,51.32,46.48,47.58,50.08,53.28,52.56,52.61,55.33,53.25,53.59,52.43,52.85,54.59,54.67
2009/1/1,永和,SO2,12.7,10.7,6.5,6.2,7.2,7.6,6.9,7,7,6,5.1,4.3,4.3,4.2,4.6,5,5.4,6,5.7,7,8.4,7.2,6.8,5.6
2009/1/1,永和,WD_HR,88.67,81.29,82.54,77.87,72.57,69.22,85.52,81.01,84.4,77.42,77.77,69.88,73.83,67.98,84.01,77.32,86.73,75.93,80.08,82.28,80.74,83.34,88.69,89.6
2009/1/1,永和,WIND_DIREC,88.36,64.29,67.74,83.92,60.33,75.62,90.82,75.29,76.61,83.03,76.41,53.02,76.7,70.54,88.03,85.47,83.14,73.52,89.45,84.66,84.73,75.8,91.71,93.13
2009/1/1,永和,WIND_SPEED,3.35,3.02,2.61,2.93,2.44,2.48,3.04,2.31,3.19,2.97,2.7,2.89,3.46,3.06,3.2,3.19,2.81,2.5,1.28,2.17,2.59,2.28,1.77,2.09
2009/1/1,永和,WS_HR,2.56,2.42,2.71,2.69,2.2,2.16,2.71,2.33,2.69,2.42,2.48,2.5,2.62,2.77,2.81,2.64,2.9,2.37,2.09,2.17,2.23,2.59,2.14,1.79
2009/1/2,永和,AMB_TEMP,12.22,12.25,12.43,12.41,12.31,12.35,12.38,12.62,12.89,13.1,13.83,14.25,14.4,14.72,14.5,14.28,14.6,14.62,14.57,14.26,14.18,14.34,14.18,13.77
2009/1/2,永和,CO,0.46,0.39,0.3,0.24,0.27,0.3,0.44,0.96,0.85,0.72,0.85,0.58,0.59,0.64,0.63,0.61,0.69,0.78,0.64,0.52,0.66,0.73,0.81,0.82
2009/1/2,永和,NO,5.53,3.29,3.45,2.72,3.22,3.66,6.51,15.89,17.19,16.68,24.23,15.39,13.4,15.45,14.53,12.67,16.42,11.93,10.31,6.53,12.85,17.23,19.88,26.11
2009/1/2,永和,NO2,19.09,15.71,12.8,9.04,10.02,11.4,15.91,22.44,23.39,25.18,25.61,20.33,20.96,20.68,22.81,23.51,25.01,24.9,21.79,21.99,25.44,26.02,26.17,26.07
2009/1/2,永和,NOx,24.61,19.01,16.25,11.76,13.24,15.06,22.42,38.34,40.58,41.86,49.85,35.72,34.36,36.13,37.34,36.18,41.43,36.83,32.1,28.52,38.29,43.25,46.05,52.18
2009/1/2,永和,O3,23.2,25,27.5,31.5,29.7,27.9,22.2,15.2,14.3,12.8,12.5,19,18.9,20,16.9,13.1,12.4,13.5,16.5,14.1,8.4,7.5,8.1,7.5
2009/1/2,永和,PM10,64,58,46,39,35,34,36,39,38,38,45,42,30,32,36,35,39,42,38,33,29,27,27,29
2009/1/2,永和,PM2.5,34,34,30,23,23,23,20,21,21,21,19,13,14,15,15,18,21,24,23,18,17,17,14,14
2009/1/2,永和,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,永和,RH,56.39,58.03,56.79,55.7,57.15,57.84,60.01,60.67,61.4,62.51,60.87,58.89,58.06,57.97,62,65.22,64.01,64.22,64.49,66.67,68.6,66.1,62.46,63.44
2009/1/2,永和,SO2,4.9,3.8,2.2,1.8,1.5,1.4,1.5,1.9,2,2.3,2.9,2.1,2.1,2.2,2,2.8,2.7,2.2,2.1,1.6,1.6,1.8,1.9,2
2009/1/2,永和,WD_HR,90.73,97.47,83,85.33,76.66,83.91,99.24,90.32,108.03,114.36,99.04,80.07,91.83,87.21,88.03,104,104.19,98.21,108.32,109.48,114.7,107.29,99.17,112.04
2009/1/2,永和,WIND_DIREC,91.65,94.67,91.33,82.12,68.1,86.84,94.21,93.15,101.95,116.81,85.63,85.59,92.95,83.37,104.24,114.29,87.74,111.53,105.8,108.86,125.17,94.36,96.72,154.94
