日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,淡水,CO,0.56,0.49,0.37,0.38,0.38,0.34,0.31,0.34,0.32,0.32,0.28,0.32,0.27,0.34,0.34,0.38,0.36,0.41,0.38,0.45,0.4,0.34,0.33,0.32
2009/1/1,淡水,NO,1.28,1.37,1.27,0.66,0.69,0.34,0.66,0.87,1.19,1.33,1.62,1.21,1.19,1.69,1.4,1.48,1.4,0.98,1.09,0.8,0.73,0.6,0.28,0.35
2009/1/1,淡水,NO2,15.4,12.55,9.59,10.21,9.48,8.73,8.35,9.23,8.29,7.92,7.46,8.9,9.28,8.63,9.12,9.82,11.37,12.53,13.17,14.27,12.82,10.23,9.75,8.9
2009/1/1,淡水,NOx,16.68,13.93,10.87,10.87,10.17,9.08,9.01,10.1,9.47,9.25,9.08,10.12,10.46,10.31,10.52,11.3,12.77,13.51,14.26,15.07,13.55,10.82,10.02,9.25
2009/1/1,淡水,O3,25.4,28.6,32.3,32.7,32.5,32.9,34.3,31.6,31.9,32.9,35.2,33.8,36.4,37.1,35.6,35.1,32.8,30.8,29.7,28.1,29.3,32.5,32.4,32.5
2009/1/1,淡水,PM10,93,84,61,51,57,53,46,45,44,46,43,42,45,42,41,47,51,49,50,56,63,63,57,52
2009/1/1,淡水,PM2.5,52,46,29,21,27,28,22,22,26,25,23,21,19,19,21,25,27,31,33,33,35,32,29,30
2009/1/1,淡水,SO2,11.8,9.4,6.8,7.2,7.6,6.9,6.3,6.5,6.2,4.8,4,4.6,3.8,3.5,4,4.5,4.9,5,5.5,7.5,8.5,6.7,6.1,4.5
2009/1/2,淡水,CO,0.29,0.27,0.22,0.19,0.19,0.18,0.2,0.23,0.23,0.21,0.21,0.25,0.24,0.25,0.28,0.27,0.31,0.39,0.3,0.29,0.31,0.46,0.48,0.57
2009/1/2,淡水,NO,0.4,0.27,0.17,0.58,0.55,0.57,0.62,0.92,1.35,1.56,1.36,1.91,2,1.44,1.9,2.05,2.26,3.17,2.19,1.91,2.48,6.27,7.37,9.79
2009/1/2,淡水,NO2,8.39,7.75,6.73,3.98,4.1,4.19,5.51,7.14,8.04,6.59,5.62,7.67,6.36,6.19,7.34,7.67,9.75,13.53,9.69,8.98,11,16.23,19.82,21.42
2009/1/2,淡水,NOx,8.79,8.02,6.9,4.56,4.65,4.76,6.13,8.06,9.39,8.15,6.98,9.59,8.37,7.63,9.24,9.72,12.01,16.7,11.88,10.89,13.48,22.5,27.19,31.21
2009/1/2,淡水,O3,30.4,29.9,30.5,31.9,31.2,30.6,28.6,27.4,25.9,27.1,28,25.9,28.4,28.5,28,28.2,25.7,21.9,25.2,25,21.8,14.2,12,9.1
2009/1/2,淡水,PM10,49,49,46,37,31,32,28,26,26,25,27,27,30,35,35,37,43,43,36,33,30,25,22,21
2009/1/2,淡水,PM2.5,27,25,22,21,18,15,14,13,16,16,11,14,17,15,19,22,22,18,15,15,18,13,5,6
2009/1/2,淡水,SO2,3.4,2.7,1.6,1,1,0.9,1,1,1,0.9,1.1,1.3,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.4,1.2,1,1.3,1.1
2009/1/3,淡水,CO,0.21,0.19,0.16,0.17,0.23,0.17,0.31,0.2,0.19,0.17,0.19,0.19,0.19,0.18,0.2,0.21,0.24,0.28,0.25,0.31,0.26,0.23,0.35,0.26
2009/1/3,淡水,NO,1.92,0.74,0.71,0.55,0.71,0.64,1.78,1.49,1.44,1.67,1.58,1.65,1.74,1.24,1.34,1.62,1.68,1.6,1.57,1.35,0.91,1,1.7,0.85
2009/1/3,淡水,NO2,4.99,5.15,5.15,4.68,8.86,4.69,16.46,5.95,5.1,3.95,3.76,4.49,3.94,3.83,4.45,4.82,6.28,7.98,7.11,10.74,8.49,6.28,12.36,8.29
2009/1/3,淡水,NOx,6.91,5.89,5.86,5.23,9.57,5.33,18.24,7.44,6.54,5.61,5.34,6.15,5.68,5.07,5.79,6.44,7.96,9.58,8.67,12.09,9.4,7.28,14.06,9.15
2009/1/3,淡水,O3,28.5,28.1,29.1,28.1,21.7,30.6,18.2,29.5,30.3,32.2,32.9,32.9,33,34.1,33.8,32.6,31.1,28.8,29.6,24.5,26.5,29.9,22.4,28.3
2009/1/3,淡水,PM10,19,17,16,15,14,14,15,14,15,18,16,14,17,18,17,21,25,24,21,19,15,15,19,18
2009/1/3,淡水,PM2.5,10,7,6,8,6,7,7,8,7,7,10,10,7,8,10,10,12,10,7,7,3,3,7,8
2009/1/3,淡水,SO2,0.6,0.7,0.5,0.7,1,0.6,0.9,0.7,0.7,0.7,0.8,0.8,0.7,0.6,0.5,0.6,0.6,0.3,0.7,0.7,0.8,0.7,0.8,0.9
2009/1/4,淡水,CO,0.19,0.19,0.33,0.23,0.17,0.17,0.2,0.22,0.41,0.64,0.77,0.57,0.37,0.23,0.26,0.21,0.2,0.23,0.24,0.22,0.35,0.55,0.69,0.3
2009/1/4,淡水,NO,1.13,0.81,0.64,0.71,0.43,0.59,0.69,0.44,2.81,11.76,14.91,6.7,4.26,1.63,1.81,1.56,0.82,1.21,1.31,1,2.16,4.46,10.33,1.32
2009/1/4,淡水,NO2,4.13,5.07,8.54,4.17,2.85,2.89,4.42,4.99,15.97,28,29.84,25.45,14.1,6.22,8.09,5.61,5.05,6.02,7.51,6.82,13.44,19.46,22.5,10.28
2009/1/4,淡水,NOx,5.25,5.88,9.18,4.88,3.28,3.48,5.11,5.43,18.77,39.77,44.75,32.16,18.36,7.84,9.9,7.16,5.86,7.24,8.82,7.83,15.6,23.92,32.83,11.6
2009/1/4,淡水,O3,32.2,29.9,21.6,27.7,31.3,32.3,29.4,27.8,15.5,6.9,8.7,15.7,23.7,31,29.9,32.6,33.3,32.3,29.8,30.2,21.3,8,5.3,21.8
2009/1/4,淡水,PM10,16,12,8,10,8,4,2,2,8,24,39,30,24,26,11,1,2,8,10,7,6,6,10,15
2009/1/4,淡水,PM2.5,4,5,4,3,3,1,0,0,4,14,18,16,13,7,2,0,0,0,2,7,4,2,5,2
2009/1/4,淡水,SO2,0.6,0.5,0.9,0.9,2.3,2.3,2.4,2.4,3,3.9,4.1,3.6,2.8,2.7,2.4,2.3,2.2,2.2,2.6,2.5,2.4,2.7,2.7,2.5
2009/1/5,淡水,CO,0.17,0.16,0.17,0.18,0.21,0.22,0.22,0.31,0.29,0.25,0.25,0.24,0.24,0.25,0.29,0.3,0.3,0.34,0.32,0.29,0.29,0.28,0.31,0.32
2009/1/5,淡水,NO,0.5,0.39,0.4,0.26,0.16,0.15,0.47,1.25,1.41,1.54,1.63,1.5,1.31,0.89,1.11,1.2,0.96,1.43,0.95,0.46,0.56,0.74,0.52,0.41
2009/1/5,淡水,NO2,3.59,2.96,2.75,2.09,2.11,2.58,4.79,8.53,7.73,5.58,4.94,4.54,4.17,4.18,4.86,6.19,6.5,7.98,6.69,6,5.59,4.07,5.46,6.73
2009/1/5,淡水,NOx,4.09,3.35,3.15,2.35,2.27,2.72,5.26,9.78,9.14,7.12,6.57,6.04,5.48,5.07,5.97,7.39,7.46,9.41,7.64,6.46,6.15,4.81,5.97,7.14
2009/1/5,淡水,O3,33,33.6,33.7,35.2,36.5,36.2,32.7,29.8,29.8,31.6,32,32.9,34,35.7,37,35.9,35.2,34.3,35.4,35.5,35.6,37.3,35.6,32.9
2009/1/5,淡水,PM10,16,13,8,10,15,16,13,14,19,20,18,13,12,17,21,22,21,24,25,17,11,11,13,13
