ら戳,代,代兜,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,窾地,AMB_TEMP,12.92,12.64,12.19,11.92,11.59,11.18,10.81,10.7,11.37,12.28,12.48,12.89,12.65,12.25,12.25,12.27,12.2,12.08,12.1,12.05,12.13,12.15,12.19,12.2
2009/1/1,窾地,CO,0.63,0.65,0.4,0.35,0.35,0.38,0.37,0.37,0.38,0.37,0.36,0.3,0.33,0.35,0.38,0.37,0.38,0.5,0.48,0.47,0.52,0.44,0.45,0.39
2009/1/1,窾地,NO,2.31,2.7,1.71,1.26,0.94,0.61,1.31,2.15,16.63,9.29,9.88,4.37,6.97,9.11,7.58,3,4.09,10.53,7.71,3.71,2.73,2,1.6,1.98
2009/1/1,窾地,NO2,22.29,21.33,15.11,10.22,10.56,13.28,13.36,12.03,21.17,16.79,16.65,11.7,16.27,20.15,21.42,16.07,18.38,26.19,26.01,21.89,24.06,19.19,18.38,15.82
2009/1/1,窾地,NOx,24.6,24.03,16.82,11.49,11.5,13.89,14.67,14.19,37.81,26.08,26.53,16.07,23.24,29.26,29,19.07,22.48,36.72,33.72,25.59,26.79,21.19,19.98,17.8
2009/1/1,窾地,O3,21.3,18.1,28.8,31.5,32,27.4,27.6,29.5,22.8,26.3,26.6,33.3,32,28.6,25.7,28.9,27.9,19.1,18.8,20.4,19,22.9,24.3,26.1
2009/1/1,窾地,PM10,100,101,91,83,50,59,42,53,54,72,65,54,44,45,57,65,65,70,57,77,61,65,67,67
2009/1/1,窾地,PM2.5,63,70,54,39,28,36,31,30,31,36,40,31,26,33,33,48,40,42,39,36,45,44,51,42
2009/1/1,窾地,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,窾地,RH,60.15,59.43,57.61,56.75,56.23,56.74,56.39,55.91,53.31,51.39,52.72,49.15,52.11,52.92,55.14,54.93,55.25,57.99,56.17,56.69,55.23,56.24,57.57,57.05
2009/1/1,窾地,SO2,11.8,10.1,6.1,6,6.1,6.2,5.5,5.7,6.2,4.8,3.7,3,3,2.9,3.4,3.6,4.3,4.7,4.5,5.8,7.3,6.1,5.7,4.3
2009/1/1,窾地,WD_HR,80.51,81.36,67.66,66.42,68.37,61.47,77.14,73.9,62.79,59.98,62.5,69.34,66.85,79.98,65.31,71.03,70.02,64.88,70.87,61.31,71.03,68.07,78.63,88.85
2009/1/1,窾地,WIND_DIREC,69.76,71.12,76.97,76.28,65.87,65.83,57.58,93.84,61.97,65.4,67.39,75.21,75.71,88.84,61.46,62.41,77.04,57.52,83.98,64.23,65.43,68.38,70.92,85.76
2009/1/1,窾地,WIND_SPEED,2.43,2.85,2.03,2.51,2.08,1.61,3.01,2.16,2.99,2.55,3,2.48,3.08,2.62,2.77,2.82,2.66,2.39,2.35,2.59,2.57,2.96,2.03,2.12
2009/1/1,窾地,WS_HR,2.07,2.45,2,2.16,1.87,1.39,1.76,2.2,2.39,2.28,2.42,2.15,2.57,2.15,2.08,2.28,2.57,2.04,2,2.28,1.74,2.05,1.99,2.13
