日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,萬里,AMB_TEMP,13.41,13.02,12.72,12.37,11.99,11.6,11.3,11.12,11.21,11.43,11.45,11.77,11.64,11.88,11.98,12.11,12.24,12.43,12.39,12.48,12.51,12.56,12.58,12.55
2009/1/1,萬里,CO,0.45,0.31,0.28,0.28,0.29,0.26,0.26,0.27,0.26,0.24,0.2,0.21,0.22,0.25,0.25,0.26,0.28,0.27,0.3,0.33,0.29,0.29,0.26,0.26
2009/1/1,萬里,NO,0.82,0.79,0.57,0.56,0.28,0.3,0.36,0.7,2.4,2.21,1.68,1.4,1.3,1.06,0.85,1.65,3.7,2.36,1.23,1.1,0.67,0.6,0.67,0.55
2009/1/1,萬里,NO2,10.8,6.62,5.14,5.51,5.62,4.86,4.49,4.96,7.38,7.12,5.41,5.08,4.4,5.16,5.29,7.29,8.93,8.25,7.62,8.8,7.24,6.9,6.03,5.53
2009/1/1,萬里,NOx,11.62,7.42,5.71,6.07,5.91,5.15,4.85,5.67,9.77,9.33,7.09,6.48,5.71,6.22,6.14,8.94,12.63,10.61,8.85,9.89,7.91,7.5,6.7,6.08
2009/1/1,萬里,O3,33.5,39.2,41.1,40.1,39.7,40.7,39.4,37.3,34.7,35.8,40.5,44.4,45.5,41,41.7,39.5,36.2,36.6,36.7,35.5,38.5,37.5,39,36.7
2009/1/1,萬里,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,萬里,PM10,134,116,95,94,91,84,79,77,80,80,69,75,78,76,80,82,84,86,91,96,101,100,96,82
2009/1/1,萬里,PM2.5,54,44,30,30,30,27,25,27,25,23,22,19,18,23,26,27,31,33,31,35,38,37,34,30
2009/1/1,萬里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,萬里,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,萬里,RH,60.06,58.32,58.65,57.81,57.34,55.5,58.86,57.61,59.03,61.64,57.41,53.63,56.65,60.71,59.63,59.15,61.52,56.9,60.18,58.04,59.74,61.43,60.21,61.79
2009/1/1,萬里,SO2,11.4,6.8,6.1,6.6,7.4,6.5,6.5,6.6,5.5,4.5,3.8,3.5,3.4,3.8,4,4.6,5.2,5,6.3,8.1,7,6.7,5.1,4.3
2009/1/1,萬里,WD_HR,36.66,30.49,32.1,30.18,24.93,25.37,27.27,31.05,26.92,25.61,25.08,31.21,26.94,27.99,25.1,29.18,28.14,33.81,35.89,35.62,33.41,34.45,37.92,30.67
2009/1/1,萬里,WIND_DIREC,30.76,26.34,30.64,30.32,24.75,22.41,27.04,33.02,20.03,23.76,25.69,34.15,23.99,33.56,34.6,31.05,29.05,40.3,47.06,29.02,38.62,35.62,32.94,26.99
2009/1/1,萬里,WIND_SPEED,9.03,9.4,9.86,8.6,9.47,11.2,9.57,8.94,9.86,10.99,8.6,7.13,8.73,7.81,8.5,8.43,9.32,7.21,8.77,9.25,8.14,8.19,9.85,9.42
2009/1/1,萬里,WS_HR,7.05,8.29,8.39,8.44,9.58,9.27,8.88,7.57,6.22,9.44,8.54,6.44,7.91,7.91,9.02,7.93,8.68,7.24,7.79,7.45,8.19,8.01,7.53,8.25
2009/1/2,萬里,AMB_TEMP,12.79,12.81,12.81,12.66,12.71,12.85,12.9,13.15,13.6,13.94,14,14.19,14.47,14.43,14.71,15.03,15.03,15.1,15.12,15.34,15.78,15.95,16.03,16.02
2009/1/2,萬里,CO,0.21,0.18,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.16,0.18,0.17,0.15,0.14,0.13,0.12,0.12
2009/1/2,萬里,NO,0.56,0.31,0.42,0,0.22,-.05*,0.11,0.18,1.99,1.98,1.99,1.05,1.42,0.76,0.97,1.7,1.31,2.76,1.64,1.01,0.98,0.67,0.45,0.03
2009/1/2,萬里,NO2,4.73,3.62,2.86,2.48,2.12,2.09*,2.07,2.25,3.89,3.85,3.91,3.01,3.03,2.84,3.2,3.98,3.75,5.04,4.2,3.12,2.37,2.28,2.41,2.03
2009/1/2,萬里,NOx,5.29,3.92,3.29,2.48,2.33,2.05*,2.18,2.43,5.88,5.83,5.9,4.07,4.46,3.6,4.16,5.68,5.06,7.8,5.84,4.13,3.35,2.95,2.86,2.06
2009/1/2,萬里,O3,37.1,37.5,38.6,37,37.3,37.9,36.1,35.4,33.3,33.3,32.3,33.8,34.1,34.6,35.3,34.6,34.2,32.3,32.6,33.6,35,34.9,35.4,35.7
2009/1/2,萬里,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,萬里,PM10,74,66,60,63,62,59,55,53,60,66,58,53,58,58,57,62,61,62,65,67,74,74,67,60
2009/1/2,萬里,PM2.5,28,20,15,16,19,18,15,16,17,17,13,12,10,11,14,15,17,15,13,13,11,12,7,3
2009/1/2,萬里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,萬里,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,萬里,RH,60.91,61.27,61.36,62.56,63.58,63.99,66.03,65.86,65.23,63.61,64.5,64.42,66.19,68.03,67.46,67.52,70.07,70.45,70.69,68.49,61.15,58.4,58.59,57.37
2009/1/2,萬里,SO2,2.5,1.4,1.2,1.2,1.2,1.1,1.1,1.1,1.2,1.1,1.4,1.3,1.2,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.1,1.2,1.1,1
2009/1/2,萬里,WD_HR,33.67,27.7,30,27.85,25.61,22.54,25.48,23.35,28.9,28.25,25.5,26.83,31.24,27.68,29.18,38.05,35.72,53.68,50.85,51.61,52.15,53.58,53.63,52.1
2009/1/2,萬里,WIND_DIREC,32.07,27.6,23.65,23.99,27.03,26.74,27.19,20.84,26.68,27.45,24.91,22.66,21.11,34.55,50.97,28.94,44.24,50.37,39.88,53.95,52.97,54.19,53.37,54.27
2009/1/2,萬里,WIND_SPEED,9.48,10.62,9.98,9.52,7.98,9.32,10.31,9.33,8.9,10.27,9.44,9.12,9.83,8.95,6.86,9.36,6.96,6.22,7.21,5.84,7.83,5.31,8.22,6.54
2009/1/2,萬里,WS_HR,8.2,9.41,8.85,8.12,8.94,8.93,9.11,9.73,7.99,8.84,8.98,8.52,8.03,9.05,8.3,7.04,7.34,5.86,6.28,5.53,7.17,6.71,6.81,7.62
2009/1/3,萬里,AMB_TEMP,16.05,16.06,15.99,16.01,15.97,15.98,16.07,16.24,16.43,16.69,16.87,17.13,17.25,17.44,17.53,17.57,17.64,17.66,17.72,17.76,17.86,17.94,17.97,17.87
2009/1/3,萬里,CO,0.12,0.11,0.13,0.13,0.13,0.13,0.14,0.15,0.17,0.19,0.16,0.25,0.26,0.16,0.16,0.16,0.18,0.18,0.17,0.15,0.15,0.16,0.16,0.16
2009/1/3,萬里,NO,0.13,0.14,0.29,0.88,0.72,0.81,0.88,1.46,1.7,1,1.14#,-.35#,-.35#,-.35#,-.35#,-.35#,-.35#,-.35#,-2.31*,-2.8*,-2.55*,-2.5*,-2.27*,-1.85*
2009/1/3,萬里,NO2,2.02,1.77,1.72,2.01,1.86,1.99,2.49,3.73,3.82,2.68,3.69#,,,,,,,,3.41*,2.5*,2.39*,2.65*,3.52*,3.09*
2009/1/3,萬里,NOx,2.15,1.91,2.01,2.89,2.57,2.79,3.37,5.19,5.52,3.69,4.83#,-.28#,-.28#,-.28#,-.28#,-.28#,-.28#,-.28#,1.09*,-.29*,-.17*,.16*,1.25*,1.23*
2009/1/3,萬里,O3,36.3,36.9,36.4,36.6,37.3,37.9,36.3,35.2,35.9,37.1,36.3#,.1#,31.4#,34.2#,35.6,35.5,33.9,34.6,34.6,36.1,36.6,36.5,35.9,36.3
2009/1/3,萬里,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2009/1/3,萬里,PM10,59,61,63,63,56,53,55,59,66,66,58,51,52,49,41,40,47,49,46,50,51,41,41,43
2009/1/3,萬里,PM2.5,5,7,6,6,6,5,8,8,9,11,10,8,7,6,6,8,6,7,8,8,7,2,2,5
2009/1/3,萬里,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.4
2009/1/3,萬里,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR
2009/1/3,萬里,RH,54.89,56.31,59.17,59.57,62,61.45,61.58,61.49,59.36,57.13,56.13,59.61,59.93,59.78,60.68,62.51,64.32,66.32,67.47,68.3,68.96,70.53,74.05,76.68
2009/1/3,萬里,SO2,1,1,1.1,1.1,0.8,0.8,0.9,0.9,1.5,1.1,1.3#,-.1#,.6#,0.4,0.5,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7
2009/1/3,萬里,WD_HR,51.81,51.83,53.81,50.32,53.39,51.1,54.04,52.04,52.65,51.57,50.18,50.78,52.21,50.4,50.7,51.53,51.38,52.29,51.79,51.47,51.48,51.97,52.18,55.87
2009/1/3,萬里,WIND_DIREC,51.27,52.97,50.04,49.39,55.37,46.53,48.36,51.22,51.1,49.79,48.34,50.41,53.01,51.51,50.79,51.26,50.76,51.14,53.44,50.87,51.57,50.82,50.54,80.06
2009/1/3,萬里,WIND_SPEED,5.96,5.17,4.5,5.25,6.06,5.87,5.67,6.23,6.96,7.19,7.35,7.03,5.97,5.6,6.12,6.26,6.28,5.5,5.46,6.24,7.53,5.99,6.74,2.89
2009/1/3,萬里,WS_HR,6.4,6.3,4.4,4.63,5.54,4.81,5,4.37,5.44,6.09,6.61,7.3,5.77,5.59,6.05,5.86,5.45,5.72,5.93,6.01,6.94,6.48,6.05,4.73
2009/1/4,萬里,AMB_TEMP,16.53,15.82,15.78,15.97,15.99,16.68,16.75,16.55,16.59,16.98,17.63,18.39,18.71,18.76,17.94,16.77,16.37,16.93,17.04,17.38,17.82,17.57,18.13,18.49
2009/1/4,萬里,CO,0.18,0.19,0.15,0.15,0.15,0.15,0.17,0.21,0.23,0.24,0.23,0.22,.23#,0.18,0.18,0.16,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12
2009/1/4,萬里,NO,-1.71*,-1.73*,-1.71*,0.25,0.28,0.39,0.45,0.26,0.94,1.96,3.06,1.71,1.94#,.72#,1.75,1.55,1.25,1.17,0.88,0.66,0.69,0.73,0.67,0.72
2009/1/4,萬里,NO2,6.11*,6.38*,4.76*,3.15,2.73,3.01,4.59,7.33,8.86,11.19,11.63,9.32,7.76#,4.27#,6.23,3.8,2.06,2.91,2.45,1.98,2.58,1.8,2.14,1.76
2009/1/4,萬里,NOx,4.39*,4.65*,3.06*,3.39,3.01,3.41,5.04,7.58,9.8,13.15,14.68,11.03,9.71#,4.99#,7.97,5.35,3.31,4.08,3.33,2.64,3.27,2.53,2.81,2.48
2009/1/4,萬里,O3,28.9,25.3,24.8,25.1,25.8,40.2,38.3,33.3,26.5,28.9,30.2,35.9#,35.9,38.3,36.7,42.1,40.7,39.2,39.4,39.8,39.4,40.2,40.1,40.2
2009/1/4,萬里,PH_RAIN,4.26,4.05,NR,4.09,4.36,NR,4.41,NR,4.27,NR,NR,NR,NR,NR,8.79,6.43,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,萬里,PM10,29,15,11,7,5,6,15,10,2,8,10,1000*,34,26,11,11,20,27,45,62,66,58,58,61
2009/1/4,萬里,PM2.5,7,4,1,2,3,6,8,7,5,3,5,1000*,0,0,0,2,3,5,7,6,7,8,9,8
2009/1/4,萬里,RAINFALL,1,0.2,NR,1.4,0.4,0.2,0.6,0.2,0.4,NR,NR,NR,NR,NR,1.4,5.6,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,萬里,RAIN_COND,363.08,137.32,NR,86.13,27.36,NR,37.37,NR,37.37,NR,NR,NR,NR,NR,69.58,24.91,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,萬里,RH,86.61,92.56,93.67,93.58,94.86,94.2,94.27,94.45,94.64,94.37,91.1,86.8,85.05,85.55,88.74,91.63,90.85,86.62,88.11,86.54,85.84,89.5,88.07,86.87
