日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,冬山,AMB_TEMP,13.35,13.07,13.1,12.73,12.6,12.36,12.1,11.92,12.06,12.29,12.75,13.09,13.04,12.96,12.94,13.4,13.19,12.78,12.45,12.39,12.42,12.33,12.37,12.4
2009/1/1,冬山,CO,0.41,0.41,0.4,0.38,0.29,0.26,0.27,0.31,0.3,0.28,0.28,0.27,0.24,0.23,0.23,0.26,0.28,0.4,0.39,0.37,0.31,0.31,0.32,0.29
2009/1/1,冬山,NO,0.76,0.97,0.61,0.56,0.25,0.41,0.43,0.83,1.23,1.49,2.01,1.62,1.91,1.64,1.01,1.18,1.14,2.24,2.94,2.96,1.53,1.33,1.59,1.12
2009/1/1,冬山,NO2,9.31,8.8,8.46,7.58,6.26,5.23,5.43,8.62,7.66,6.78,8.08,7.05,8.15,7.06,6.37,8.06,7.46,14.68,13.52,11.63,9.34,8.99,9.61,6.91
2009/1/1,冬山,NOx,10.07,9.76,9.08,8.14,6.5,5.64,5.86,9.45,8.89,8.27,10.09,8.67,10.07,8.7,7.39,9.24,8.6,16.91,16.46,14.59,10.87,10.31,11.2,8.03
2009/1/1,冬山,O3,33.8,32.1,32,27.7,36.1,37.4,36.1,33.3,35,35.6,35.6,37.1,37.3,38.8,40.8,37.8,37.7,30.2,28.1,28.9,29.9,28.9,28,30.4
2009/1/1,冬山,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,冬山,PM10,74,75,78,79,65,57,54,54,56,53,52,54,56,51,49,54,54,56,58,56,52,46,49,56
2009/1/1,冬山,PM2.5,41,43,43,41,34,28,29,28,24,27,27,27,28,26,24,26,25,25,30,29,25,29,32,32
2009/1/1,冬山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,冬山,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,冬山,RH,69.14,71.37,68.32,74.65,62.3,59.59,57.24,56.58,55.05,54.04,53.41,52.79,54.33,54.56,52.72,48.59,48.62,53.21,55.56,54.61,54.2,55.79,56.52,55.52
2009/1/1,冬山,SO2,8,7.3,8,5.9,5,4.7,5.1,4.9,4.9,5.1,4.8,4.7,3.9,3.5,3.3,3.2,3.5,3.5,3.5,3.4,3.5,3.5,4.2,4.4
2009/1/1,冬山,WD_HR,284.41,289.74,303.51,311.15,304.2,313.87,313.1,314.65,311,306.53,304.2,306.41,28.48,11.23,323.36,313.27,308.93,289.92,268.64,267.64,277.96,281.46,269.26,276.09
2009/1/1,冬山,WIND_DIREC,287.17,288.21,302.36,316.93,305.02,315.52,312.31,320.1,312.56,223.43,304.87,309.1,43.91,46.81,315.36,317.77,305.74,274,270.98,272.75,275.67,282.71,266.79,276.54
2009/1/1,冬山,WIND_SPEED,1.99,1.63,1.57,2.16,2.54,3.39,2.81,4.22,3.83,3.94,3.31,3.98,3.75,3.94,4.3,4.35,3.77,2.58,2.43,2.41,2.46,2.29,2.34,2.45
2009/1/1,冬山,WS_HR,1.35,1.54,1.41,0.88,1.18,2.17,2.72,3.03,2.94,1.6,1.28,1.74,1.15,0.72,1.25,3.44,3.16,2.72,2.42,2.3,2.37,2.23,2.12,2.16
2009/1/2,冬山,AMB_TEMP,12.37,12.67,12.41,12.35,12.52,12.63,12.82,13.16,13.26,14.3,15.41,15.59,16.29,16,15.91,15.73,15.67,15.45,15.2,15.26,15.24,15.17,15.1,14.73
2009/1/2,冬山,CO,0.27,0.25,0.24,0.23,0.2,0.21,0.25,0.35,0.34,0.34,0.25,0.24,0.2,0.17,0.17,0.21,0.22,0.33,0.4,0.34,0.3,0.28,0.26,0.19
2009/1/2,冬山,NO,0.41,0.29,0.23,0.53,0.42,0.54,2.29,4.39,4.03,8.21,3.26,2.49,1.93,1.73,1.44,2.28,1.28,2.62,6.35,4.5,4.19,3.67,2.18,0.85
2009/1/2,冬山,NO2,5.42,4.27,4.1,3.69,3.21,4.9,10.53,12.68,14.77,15.73,7.11,6.73,4.45,5.93,4.92,9.57,8.79,15.49,16.18,13.79,13.06,11.86,10.08,6.07
2009/1/2,冬山,NOx,5.82,4.57,4.33,4.22,3.63,5.44,12.83,17.07,18.79,23.94,10.37,9.21,6.38,7.67,6.36,11.85,10.07,18.11,22.53,18.29,17.25,15.53,12.26,6.92
2009/1/2,冬山,O3,31.6,34,31.9,30.9,32.5,32.6,28.3,26.5,22.9,22.5,32,32.7,34.6,32.8,33.4,29.6,30,24,21.2,23.7,23.6,23.2,24.1,25.1
2009/1/2,冬山,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,冬山,PM10,50,47,46,44,43,38,39,41,40,41,36,31,31,27,28,34,35,39,37,28,28,32,29,23
