日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,三義,AMB_TEMP,9.11,8.87,8.69,8.43,8.01,7.58,7.27,7.17,7.75,8.73,9.67,10.68,11.37,11.37,10.94,10.44,9.65,8.33,7.77,7.57,7.51,7.51,7.45,7.48
2009/1/1,三義,CO,0.36,0.36,0.39,0.39,0.31,0.28,0.28,0.3,0.29,0.27,0.28,0.27,0.26,0.24,0.26,0.26,0.26,0.28,0.26,0.25,0.27,0.31,0.28,0.28
2009/1/1,三義,NO,0.3,0.3,0.24,0.79,0.45,0.59,0.52,0.91,2.02,2.6,2.31,2.09,1.96,2.29,2.61,2.41,1.5,0.88,0.7,0.6,0.66,0.51,0.7,0.48
2009/1/1,三義,NO2,9.34,11.3,10.63,10.07,9.6,8.61,8.34,8.96,8.16,7.28,6.35,6.17,6.27,7.43,8.87,9.49,8.85,9.93,8.64,6.79,8.41,8.59,9.42,8.45
2009/1/1,三義,NOx,9.64,11.6,10.87,10.86,10.05,9.2,8.87,9.87,10.18,9.88,8.66,8.26,8.23,9.72,11.49,11.9,10.35,10.81,9.34,7.39,9.07,9.1,10.13,8.93
2009/1/1,三義,O3,31.5,29.6,28.7,27,27.8,29.4,29.5,28.5,30.4,33.2,36,38.3,40,40.9,39.7,37.6,37.3,32.7,32.7,32.6,29.8,29,27.8,28.3
2009/1/1,三義,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,三義,PM10,67,66,74,76,62,51,46,49,49,46,48,50,53,53,54,49,42,41,39,39,38,40,44,45
2009/1/1,三義,PM2.5,45,45,45,48,42,34,27,25,23,19,22,22,24,25,21,22,23,25,24,22,24,27,27,28
2009/1/1,三義,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,0.2,NR,0.4,0.2,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,三義,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,三義,RH,77.86,75.28,75.58,75.44,74.79,74.27,72.8,72.22,67.61,63.74,59.17,56.04,54.88,54.45,58.87,59.46,58.66,65.4,66.97,67.96,69.84,68.66,69.38,70.84
2009/1/1,三義,SO2,7.5,8.8,10.2,10,6.5,5.7,5.7,6.2,5.7,5.6,5.4,4.7,4,3.6,4.2,3.6,3.2,3.4,4.1,4.6,5.1,5.1,6.1,6.2
2009/1/1,三義,UVB,0,0,0,0,0,0,0.1,0.3,1.2,2.8,4.4,5.5,5.5,4.5,2.8,1.2,0.3,0.1,0,0,0,0,0,0
2009/1/1,三義,WD_HR,34.13,34.26,33.12,33.76,33.38,32.93,34.65,36.1,35.78,37.51,36.63,38.86,39.19,42.57,40.44,38.05,35.1,34.59,36.36,35.1,37.31,37.02,35.04,33.12
2009/1/1,三義,WIND_DIREC,34.6,33.27,32.43,33.25,34.36,33.2,33.65,37.25,37.29,40.46,38.69,38.84,37.69,43.4,40.89,40.29,35.88,32.9,36.93,33.77,39.41,34.21,36.38,33.16
2009/1/1,三義,WIND_SPEED,8.66,7.72,8.95,8.81,9.13,8.47,8.4,8.7,9.14,10.31,9.86,9.98,10.02,9.97,9.25,8.41,8.46,8.99,8.1,7.81,7.51,7.36,6,6.52
2009/1/1,三義,WS_HR,8,7.88,8.27,8.34,8.89,8.4,8.44,8.32,8.86,9.27,9.29,8.84,9.37,9.07,8.97,7.99,8.21,8.48,8.35,7.41,7.51,7.38,6.76,6.6
2009/1/2,三義,AMB_TEMP,7.7,7.96,7.76,7.64,7.83,7.78,7.5,7.49,8.53,10.1,11.45,12.48,13.16,13.97,13.68,13.18,12.25,11.05,10.3,9.6,9.25,9.14,9.04,8.97
2009/1/2,三義,CO,0.26,0.25,0.25,0.23,0.21,0.2,0.19,0.21,0.21,0.21,0.21,0.22,0.2,0.19,0.2,0.19,0.22,0.26,0.24,0.23,0.22,0.2,0.18,0.17
2009/1/2,三義,NO,0.49,0.43,0.44,0.07,0.35,0.62,0.45,0.76,2.03,2.85,3.04,2.85,2.58,2.26,2.33,1.73,1.58,0.96,0.54,0.52,0.54,0.64,0.5,0.23
