日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,新竹,AMB_TEMP,12.86,12.61,12.3,11.99,11.77,11.49,11.14,11.12,11.65,12.25,12.96,13.62,13.5,13.35,13.39,13.41,12.65,12.02,11.79,11.82,11.77,11.75,11.68,11.76
2009/1/1,新竹,CH4,1.824,1.843,1.822,1.796,1.79,1.795,1.792,1.783,1.783,1.773,1.773,1.764,1.754,1.742,1.75,1.759,1.759,1.758,1.762,1.765,1.776,1.787,1.783,1.771
2009/1/1,新竹,CO,0.62,0.59,0.48,0.34,0.35,0.37,0.37,0.36,0.38,0.37,0.38,0.36,0.34,0.31,0.32,0.37,0.37,0.39,0.4,0.4,0.41,0.46,0.4,0.34
2009/1/1,新竹,NMHC,0.178,0.148,0.126,0.093,0.087,0.094,0.088,0.087,0.091,0.101,0.113,0.114,0.097,0.085,0.094,0.115,0.113,0.111,0.118,0.112,0.123,0.128,0.115,0.097
2009/1/1,新竹,NO,1.65,1.45,1.08,-.07*,0.1,-.25*,0.14,0.27,1.22,1.75,1.64,1.77,1.76,1.3,1.6,1.67,1.26,0.63,0.61,0.51,0.54,0.53,0.24,-.41*
2009/1/1,新竹,NO2,20.96,18.01,14.44,8.52*,7.33,8.41*,8.58,8.78,9.98,8.97,8.94,9,8.38,7.47,8.02,10,10.63,11.15,13.1,12.91,16.72,16.43,14.15,10.08*
2009/1/1,新竹,NOx,22.6,19.47,15.52,8.45*,7.43,8.15*,8.72,9.04,11.19,10.72,10.58,10.77,10.13,8.78,9.62,11.67,11.89,11.78,13.7,13.42,17.25,16.97,14.39,9.67*
2009/1/1,新竹,O3,21.6,23.1,26,32.8,35.5,31.8,31.6,32.1,31.6,33.7,35.6,36.9,37.7,39.9,39.6,36.8,34.6,32.8,29.8,29.1,24.8,23.3,25.4,30.3
2009/1/1,新竹,PM10,96,106,97,71,55,60,60,52,50,55,56,55,55,51,50,51,55,57,56,55,56,61,63,59
2009/1/1,新竹,PM2.5,56,67,58,43,34,30,35,31,25,31,31,30,29,27,24,26,33,33,36,41,38,43,45,40
2009/1/1,新竹,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,新竹,RH,61.09,60.17,59.75,56.83,55.25,54.98,54.91,53.12,50.76,49.02,47.04,48.33,51.38,50.39,48.84,48.69,53.14,55.77,56.73,57.17,56.32,56.64,57.3,58.04
