ら戳,代,代兜,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,打,AMB_TEMP,11.48,11.19,10.91,10.51,10.23,9.94,9.74,9.84,10.56,11.24,11.89,12.27,12.22,12.21,12.34,12.16,11.5,10.76,10.5,10.51,10.54,10.52,10.49,10.55
2009/1/1,打,CO,0.44,0.45,0.32,0.26,0.28,0.31,0.29,0.28,0.3,0.28,0.27,0.26,0.23,0.2,0.22,0.25,0.27,0.31,0.3,0.3,0.36,0.34,0.29,0.28
2009/1/1,打,NO,2.5,2.69,2.44,-.16*,0.03,-.02*,0.11,0.18,0.39,0.61,0.96,1.33,0.93,0.31,0.33,0.87,0.14,-.18*,0.17,0.13,0.1,-.18*,-.25*,-.08*
2009/1/1,打,NO2,12.07,12.17,10.11,7.14*,7.54,8.3*,7.35,7.19,7.06,7.04,7.28,7.94,7.26,6.6,6.44,7.02,7.72,10.24*,10.31,10.71,11.75,11.23*,9.11*,7.55*
2009/1/1,打,NOx,14.57,14.86,12.55,6.98*,7.58,8.28*,7.46,7.36,7.45,7.65,8.24,9.28,8.2,6.9,6.77,7.9,7.86,10.06*,10.47,10.84,11.85,11.05*,8.86*,7.47*
2009/1/1,打,O3,30,27.6,30.9,35.6,33.8,31.1,34,33.9,33.6,34.3,35.4,36.9,38.6,41.1,40.6,38.7,36.6,34.4,32.6,31.4,28.7,29.8,32.3,33.8
2009/1/1,打,PM10,100,105,84,61,57,61,57,51,52,54,59,58,54,55,51,50,50,53,55,55,63,70,66,62
2009/1/1,打,PM2.5,55,59,50,35,31,32,29,26,29,32,27,24,23,22,21,22,27,32,34,35,40,42,38,36
2009/1/1,打,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,打,RH,58.99,58.86,58.4,56.49,56.72,57.04,55.97,54.32,53.5,51.39,51.55,53.24,51.86,50.77,51.21,51.33,52.65,55.48,56.83,56.21,56.42,56.12,56.68,57.4
2009/1/1,打,SO2,11.7,11.4,8.2,6.3,7.1,7,6.6,5.8,6.6,5.8,4.5,4.7,4.6,3.7,3.6,3.8,4,4.7,4.9,5.5,7.5,7.8,6.5,5.7
2009/1/1,打,WD_HR,57.28,56.92,57.46,57.45,57.12,58.27,58.05,59.02,59.96,57.67,56.15,54.87,54.75,52.61,55.91,57.61,58.54,57.17,57.57,56.42,56.92,58.69,55.98,56.48
2009/1/1,打,WIND_DIREC,57.42,56.28,57.3,59.54,58.17,58.17,59.67,60.74,60.12,57.88,53.14,55.67,52.24,52.09,57.65,57.59,58.41,56.25,58.2,57.35,57.59,57.76,55.49,57.28
2009/1/1,打,WIND_SPEED,7.45,7.89,8.64,7.75,6.84,6.48,8.34,7.7,8.61,8.38,8.69,9.67,8.76,9.11,8.79,7.92,7.97,6.91,7.48,7.97,8.2,7.78,6.81,7.38
2009/1/1,打,WS_HR,7.1,6.99,7.9,7.53,7.35,6.45,7.12,7.82,8.37,8.05,8.55,8.47,8.56,9.01,8.26,8.15,7.93,7.36,7.4,7.32,7.35,6.67,7.36,7.13
2009/1/2,打,AMB_TEMP,10.44,10.64,10.68,10.68,10.82,10.81,10.71,11.17,11.9,13.29,13.7,14.24,14.66,14.59,15.02,14.57,14.13,13.46,13.4,13.2,13.14,13,13.01,12.71
2009/1/2,打,CO,0.25,0.24,0.26,0.23,0.2,0.2,0.21,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.23,0.23,0.25,0.27,0.26,0.27,0.25,0.25,0.27,0.36
2009/1/2,打,NO,0.1,-.72*,-.36*,1.39,1.09,1.33,0.83,1.06,1.74,2.2,2.07,2.11,1.9,1.66,1.87,1.83,1.58,1.59,1.24,1.68,1.04,1.29,0.89,1.61
2009/1/2,打,NO2,6.23,7.28*,7.45*,5.2,3.95,3.99,5.56,6.72,7.91,6.38,6.75,5.43,5.6,5.48,5.04,5.79,7.31,9.05,9.45,9.52,8.11,7.97,10.5,21.31
2009/1/2,打,NOx,6.34,6.57*,7.09*,6.59,5.04,5.32,6.38,7.78,9.65,8.58,8.82,7.54,7.5,7.14,6.91,7.62,8.89,10.64,10.7,11.2,9.15,9.26,11.39,22.92
2009/1/2,打,O3,34.8,30.9,29.9,29.9,30.9,31.5,30.3,29.3,28.2,29.6,30.3,31.3,31.6,31.6,32.6,31.7,29.6,27,25.5,24.8,25.2,24,22.1,11.7
2009/1/2,打,PM10,56,51,53,52,44,37,37,36,35,39,41,40,37,37,41,38,38,41,40,33,32,35,34,33
2009/1/2,打,PM2.5,32,29,33,32,25,22,21,20,22,21,20,18,17,18,20,23,24,25,26,23,18,20,20,14
2009/1/2,打,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,打,RH,56.43,57.21,60.08,59.57,57.14,57.9,58.89,59.59,59.17,56.87,56.11,56.02,55.92,57.45,57.42,57.77,60.45,63.74,64.99,66.01,66.41,68.13,66.31,64.54
2009/1/2,打,SO2,4.4,3.7,2.9,2.1,2.4,2.3,2.2,1.9,2.2,2.3,2.2,2.4,2.7,2.6,2.6,2.5,2.6,2.3,2.4,2.4,2.3,2.2,3.4,5.6
2009/1/2,打,WD_HR,57.24,60.64,59.22,58.8,60.14,57.97,58.34,57.83,56.89,54.15,54.52,52.7,53.65,51.08,53.13,55.48,54.3,54.24,52.27,52.37,55.95,55.53,57.21,51.73
2009/1/2,打,WIND_DIREC,59.94,60.42,64.85,57.79,59.73,56.6,56.93,57.61,59.96,57.9,49.01,51.23,52.8,49.01,55.93,54.73,53.8,52.05,50.94,51.67,56.17,57,56.88,53.03
2009/1/2,打,WIND_SPEED,6.04,6.21,5.78,6.05,5.2,5,5.09,6.73,8.42,7.96,7.72,8.1,7.22,7.27,8.36,8.56,6.65,6.96,5.61,6.3,5.74,5.69,4.88,4.42
2009/1/2,打,WS_HR,6.65,5.76,5.82,5.71,5.81,5.17,5.24,6.26,6.66,7.28,7.37,7.97,7.71,7.85,7.73,7.95,7.16,6.52,6.5,5.93,5.87,5.62,4.85,4.4
2009/1/3,打,AMB_TEMP,12.51,12.2,12.05,12.44,12.54,12.58,12.6,13.04,14.69,16.55,17.84,18.7,19.2,19.67,19.76,19.45,18.51,17.06,16.23,15.71,15.48,15.49,15.74,15.88
2009/1/3,打,CO,0.27,0.34,0.28,0.19,0.18,0.18,0.23,0.28,0.32,0.3,0.24,0.22,0.21,0.2,0.21,0.23,0.25,0.28,0.31,0.35,0.37,0.34,0.31,0.27
2009/1/3,打,NO,0.95,1.47,1.51,1.05,1.38,1.44,2.06,3.23,5.56,5.94,2.82,2.84,2.15,2.37,2.95,2.28,2.14,1.76,1.96,1.89,2.73,1.98,1.85,1.9
2009/1/3,打,NO2,14.39,21.36,17.19,7.75,8.81,8.17,12.96,14.66,15.76,16.32,10.02,8.08,7.5,7.14,8.5,9.32,12.54,15.47,18.13,19.69,20.18,21.06,18.11,15.33
2009/1/3,打,NOx,15.34,22.83,18.7,8.8,10.19,9.61,15.02,17.9,21.32,22.26,12.84,10.92,9.65,9.51,11.44,11.59,14.68,17.23,20.09,21.59,22.91,23.04,19.96,17.24
2009/1/3,打,O3,18.2,11.9,16.6,23.4,24.6,25.4,19.4,19.5,21.7,25.5,32.9,35.3,36.4,36.6,36,33.5,29,23.2,20.1,17.2,16.1,15.6,19.2,21.8
2009/1/3,打,PM10,32,28,25,22,20,21,21,28,36,32,30,33,30,29,28,28,29,30,33,33,29,28,29,29
2009/1/3,打,PM2.5,14,14,9,10,15,16,11,12,15,16,11,8,14,15,15,16,17,19,24,24,24,27,12,5
2009/1/3,打,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,打,RH,63.58,64.34,64.82,61.89,61.73,63.01,64.91,65.26,60.62,53.68,48.17,46.06,45.24,45.48,46.13,47.85,51.55,57.07,61.06,64.29,66.58,67.64,68.24,70.64
2009/1/3,打,SO2,4.2,5.8,3.1,2.9,3.2,4,3.8,4.3,4.4,6.8,3.8,3.4,4,4.2,4.5,4.2,4.6,5,6,5.5,5.9,5.9,6.3,5.3
2009/1/3,打,WD_HR,55.31,56.72,56.04,60.12,60.92,59.24,59.38,57.82,57.42,58.05,62.46,57.78,60.03,60.56,58.84,58.25,56.2,58.13,55.97,57.35,55.32,58.16,60.76,57.47
2009/1/3,打,WIND_DIREC,59.12,54.07,56.06,61.26,60.14,58.84,62.94,56.48,58.31,61.29,60.38,51.82,62.2,62.65,57.63,57.25,52.93,61.2,55.54,59.71,55.84,56.49,59.96,56.82
2009/1/3,打,WIND_SPEED,4.11,4.88,4.85,5.87,5.76,6.14,5.38,5.01,5.81,6.33,8.27,7.43,7.67,6.46,6.91,6.42,5.81,5.32,5.3,5.61,5.21,4.47,4.46,4.18
2009/1/3,打,WS_HR,4.59,4.38,4.72,5.31,5.84,5.84,5.6,5.18,5.76,6.26,7.25,7.43,8.14,6.96,6.76,6.65,5.79,5.24,5.84,5.18,4.88,5.14,4.46,4.41
2009/1/4,打,AMB_TEMP,15.74,15.69,15.39,15.35,15.47,15.47,15.56,15.6,15.94,16.62,17.41,18.22,18.11,15.67,15.25,15.26,15.48,15.82,15.96,15.95,15.84,15.8,16.02,16.53
2009/1/4,打,CO,0.24,0.23,0.21,0.25,0.26,0.23,0.2,0.34,0.41,0.35,0.32,0.29,0.18,0.19,0.17,0.17,0.2,0.19,0.19,0.19,0.24,0.31,0.31,0.21
2009/1/4,打,NO,1.46,1.55,1.75,1.59,1.37,1.69,1.33,2.76,4.46,3.39,4.15,3.14,1.41,1.98,1.15,1.6,1.6,1.97,1.94,1.7,2.18,1.96,1.73,1.66
2009/1/4,打,NO2,14.48,13.61,11.89,11.57,11.89,11.01,7.69,14.53,17.75,14.86,15.86,12.08,3.85,6.05,4.62,6.36,5.15,5.4,5.82,5.35,9.32,15.79,15.26,8.85
2009/1/4,打,NOx,15.95,15.16,13.64,13.17,13.27,12.7,9.02,17.29,22.21,18.24,20.01,15.23,5.26,8.03,5.77,7.96,6.76,7.38,7.76,7.05,11.5,17.75,16.99,10.5
2009/1/4,打,O3,21.4,19.2,20.9,18.1,16.6,20.8,23.7,13.4,14.1,18.6,20.2,26.5,34.3,28.5,31,30.2,32.5,32.4,32.2,31,24,18.1,18,27.2
2009/1/4,打,PM10,24,19,18,18,21,20,13,16,31,41,38,35,31,26,24,23,27,25,21,20,22,21,22,28
2009/1/4,打,PM2.5,12,12,11,12,11,20,21,18,25,26,14,14,18,15,16,11,17,24,22,20,14,12,8,7
2009/1/4,打,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,打,RH,73.19,74.82,75.32,76.48,76.31,79.32,81.14,80.46,80.21,79.87,78.59,75.62,75.87,82.12,80.83,79.94,80.07,77.89,77.72,77.26,77.73,78.7,78.95,79.11
2009/1/4,打,SO2,5.8,6.2,3.9,3.9,3.9,3.6,2.7,3.8,4.6,4.2,4.2,3.9,3,3.7,2.5,3.1,2.5,2.5,2.2,2.2,2.9,5.5,4.9,2.9
2009/1/4,打,WD_HR,61.28,58.45,52.8,63.36,60.06,65,61.24,55.83,47.32,40.95,48.38,47.26,40.73,39.24,44.72,45.1,50.72,51.96,53.67,56.27,59.55,49.7,47.9,53.35
2009/1/4,打,WIND_DIREC,66.22,41.15,53.38,65.55,57.11,69.73,64.57,59.35,52.77,28.7,55.49,38.03,46.03,40.48,44.37,43.3,53.82,50.92,55.84,56.81,53.26,47.58,45.2,56.52
2009/1/4,打,WIND_SPEED,2.17,1.66,2.29,2.68,2.55,2.69,2.84,2.61,1.36,2.5,2.84,4.33,6.56,6.78,5.88,5.22,4.65,5.35,5.72,5.82,4.14,3.74,4.29,3.78
2009/1/4,打,WS_HR,3.23,2.15,1.79,2.49,1.91,2.59,2.89,2.65,1.74,1.76,2.41,2.76,4.42,6.05,6.63,5.32,4.6,4.96,5.33,5.52,4.22,3.71,3.8,3.9
2009/1/5,打,AMB_TEMP,16.79,16.88,16.35,16.13,15.82,15.99,16.24,16.23,16.69,17.24,17.45,18.56,18.79,19.07,18.55,18.08,17.73,17.4,17.27,17,16.61,16.45,16.38,16.24
2009/1/5,打,CO,0.16,0.14,0.14,0.15,0.17,0.19,0.22,0.32,0.26,0.23,0.23,0.23,0.21,0.21,0.23,0.24,.25#,0.28,0.27,0.25,0.25,0.26,0.24,0.22
2009/1/5,打,NO,1.75,1.34,1.49,1.51,1.78,2.24,1.85,2.93,2.79,3.06,2.81,3.7,2.98,3.41,2.95#,2.14,2.09,1.3,1.39,1.28,1.27,1.31,1.35,1.01
2009/1/5,打,NO2,4.97,2.53,1.66,1.67,2.45,2.81,4.45,8.68,8.92,8.04,7.92,8.21,6.8,5.62,5.85#,6.63,6.37,8.1,7.43,6.18,6.14,6.61,6.07,4.49
2009/1/5,打,NOx,6.72,3.86,3.15,3.19,4.23,5.04,6.3,11.61,11.71,11.09,10.73,11.91,9.77,9.03,8.8#,8.78,8.46,9.4,8.81,7.46,7.41,7.92,7.42,5.5
2009/1/5,打,O3,31.6,34.4,35.8,36.5,35.4,37.7,33.8,29.7,28.9,30.7,30.1,32.2,34.4,37,36.9,39#,36.6#,36,37.4,38.3,36.5,34.7,35.5,37.4
2009/1/5,打,PM10,29,29,24,17,17,23,26,25,23,23,29,30,27,29,30,1000*,28,32,40,41,26,21,28,29
2009/1/5,打,PM2.5,13,14,15,12,11,20,24,16,14,16,8,9,16,18,19,1000*,24,30,36,33,24,21,15,13
2009/1/5,打,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/5,打,RH,80.43,78.43,81.85,83.42,82.82,79.89,79.91,81.03,79.45,76.73,75.12,70.82,70.36,68.75,69.61,69.45,70.98,72.56,73.26,73.7,77.63,78.32,76.87,77.96
2009/1/5,打,SO2,2.7,2.6,2.1,2,1.8,1.9,1.7,1.5,1.5,1.6,1.9,2.3,2.2,1.9,2.5,3.7#,3.2,3.1,3.2,3.2,3,3.2,3.4,3.4
2009/1/5,打,WD_HR,48,50.21,48.36,46.61,46.71,49.93,54,57.5,55.93,58.04,57.35,54.04,52.46,52.7,54.42,53.74,54.55,55.63,55.99,55.85,56.18,56.67,58.4,58.21
2009/1/5,打,WIND_DIREC,43.84,49.15,50.05,47.26,50.33,53.31,55.37,58.04,57.55,59.68,59,57.15,52.94,54.44,51.52,51.04,53.12,52.36,53.6,52.92,56.35,56.63,61.25,61.17
2009/1/5,打,WIND_SPEED,4.64,5.26,4.84,5.35,5.19,5.03,5.5,6.27,6.82,7.19,7.4,6.67,8.21,8.73,7.76,8.42,7.57,7.75,7.31,7.98,7.82,7.4,7.6,4.64
2009/1/5,打,WS_HR,3.94,4.13,4.72,5.15,4.8,5.06,4.73,5.41,5.91,6.69,7.39,7.31,7.58,8.59,7.85,7.86,7.78,7.51,7.72,8.1,6.87,7.16,7.77,6.05
2009/1/6,打,AMB_TEMP,16.25,16.32,16.45,16.31,15.9,15.49,15.68,16.25,16.49,16.95,17.49,17.74,17.96,17.72,17.7,17.64,17.43,17.34,17.24,17.28,17.41,17.47,17.49,17.41
2009/1/6,打,CO,0.21,0.21,0.2,0.21,0.23,0.23,0.28,0.39,0.35,0.33,0.3,0.26,0.29,0.3,0.29,0.3,0.29,0.3,0.29,0.25,0.24,0.28,0.25,0.25
2009/1/6,打,NO,1,0.42,0.6,0.16,-.07*,-.12*,-.07*,0.33,0.2,0.97,1.19,0.81,0.21,0.64,0.49,2.2,1.58,1.46,1.01,1.76,1.26,1.23,1.28,1.65
2009/1/6,打,NO2,4.93,4.22,2.79,3.29,3.48*,3.77*,6.25*,11.24,9.74,8.74,8.4,7.02,7.26,7.42,7.26,7.33,9.05,9.9,10.72,7.99,6.41,7.96,6.92,3.71
2009/1/6,打,NOx,5.93,4.64,3.38,3.44,3.41*,3.65*,6.18*,11.56,9.94,9.7,9.59,7.83,7.47,8.06,7.75,9.53,10.63,11.36,11.73,9.75,7.67,9.2,8.2,5.36
2009/1/6,打,O3,35.4,37.9,39.4,38.8,39.1,39.2,34.4,30.3,32,34.1,34,36.2,36.5,37.3,37.6,35.6,32.6,30.3,29.5,32,33.6,31.5,33.3,37
2009/1/6,打,PM10,24,16,16,14,8,15,23,26,29,30,30,30,31,34,30,29,32,28,21,23,26,27,30,30
2009/1/6,打,PM2.5,21,18,17,17,11,15,25,26,24,25,17,13,20,22,20,18,21,23,24,25,21,18,10,9
2009/1/6,打,RAINFALL,NR,NR,NR,NR,0.4,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/6,打,RH,79.84,81.32,81.37,82.75,83.77,82.84,82.74,83.35,81.85,80.47,79.67,77.82,77.71,77.83,78.28,78.36,79.63,80.79,81.2,79.31,77.72,77.88,78.08,79.94
