日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,關山,AMB_TEMP,13.98,13.84,13.42,13.31,13.39,13.36,13.29,13.4,13.6,13.63,13.59,13.91,13.62,13.5,13.38,13.08,13.04,12.88,12.69,12.68,12.66,12.65,12.62,12.67
2009/1/1,關山,NO,1.9,1.92,1.69,1.11,1.12,0.99,1.05,1.16,2.57,2.1,2.1,2.45,1.72,2.15,1.73,1.78,2.53,2.04,1.44,1.45,1.35,1.26,0.75,1.23
2009/1/1,關山,NO2,4.71,4.21,4.8,5.06,4.6,4.97,5.77,7.85,9.13,8.09,8.26,9.94,7.2,7.2,10.9,9.78,12.11,12.22,10.93,9.44,6.77,5.76,5.47,5.53
2009/1/1,關山,NOx,6.61,6.13,6.49,6.17,5.72,5.97,6.83,9,11.71,10.19,10.36,12.39,8.92,9.35,12.63,11.57,14.64,14.25,12.37,10.89,8.12,7.03,6.22,6.76
2009/1/1,關山,O3,30.4,30.6,30.5,31.4,30.7,30,27.5,25,23.8,26.2,28.7,27.2,30.5,29.7,28.1,27.9,26.2,26.3,25.8,27.1,29.9,29.4,29.5,29.1
2009/1/1,關山,PM10,34,44,45,41,54,59,70,70,70,60,57,57,49,52,50,62,81,63,67,65,59,53,54,52
2009/1/1,關山,PM2.5,29,31,33,35,38,38,38,46,51,43,36,33,32,33,35,39,44,43,42,43,42,41,39,38
2009/1/1,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,關山,RH,84.03,83.25,84.33,82.53,79.8,79.35,80.13,79.13,78.55,76.3,73.94,72.34,71.87,73.07,73.79,75.97,75.7,75.37,76.07,74.93,73.95,73.58,73.07,70.82
2009/1/1,關山,SO2,5,5.4,5.9,5.9,5.5,5.6,5.5,5.5,5.4,4.8,4.7,4.3,4.2,4.1,4,4,3.9,4.1,4.1,3.9,3.8,3.3,3.2,3.2
2009/1/1,關山,WD_HR,53.09,65.31,56.38,65.97,76.97,26.64,67.31,56.93,63,63.29,62.56,63.02,58.33,60.47,65.03,67.91,60.44,53.52,54.69,59.39,58.55,7.73,66.3,43.76
2009/1/1,關山,WIND_DIREC,36,64.88,63.03,57.81,89.5,12.6,72.42,51.95,70.27,60.28,70.82,79.57,39.31,57.56,73.77,56.42,52.26,56.31,52.78,128.11,69.57,43.5,93.52,42.37
2009/1/1,關山,WIND_SPEED,2.82,2.83,2.69,2.79,3.27,3.09,2.2,2.09,2.35,3.38,2.13,2.54,2.51,2.67,2.18,2.2,2.45,2.03,1.85,3.38,2.06,2.52,2.82,2.04
2009/1/1,關山,WS_HR,1.16,1.16,1.82,1.01,0.57,0.2,0.51,0.97,1.36,2.01,1.95,1.2,1.36,1.42,1.77,2.06,2.06,1.49,1.1,0.66,0.63,0.1,0.34,0.49
2009/1/2,關山,AMB_TEMP,12.56,12.53,12.41,12.41,12.36,12.44,12.39,12.62,13.33,14.41,16.1,17.73,18.64,18.94,19.21,18.5,17.19,16.44,15.95,15.54,15.44,15.17,14.8,14.87
2009/1/2,關山,NO,1.09,0.81,1.59,2.03,2.07,1.86,2.25,2.87,3.82,3.47,3.79,4.46,3.47,2.81,2.72,2.8,2.72,2.72,2.33,2.41,2.92,2.26,2.19,2.31
2009/1/2,關山,NO2,5.62,4.82,4.66,3.94,3.81,4.22,5,6.44,8.74,6.81,5.57,5.53,4.98,3.25,3.58,7.13,7.68,10.67,7.38,6.82,7.49,6.65,5.1,5.62
2009/1/2,關山,NOx,6.71,5.64,6.25,5.97,5.88,6.08,7.25,9.31,12.56,10.28,9.36,9.99,8.45,6.06,6.3,9.93,10.4,13.39,9.71,9.23,10.41,8.91,7.29,7.94
2009/1/2,關山,O3,27.5,27.3,28.2,28.3,27.2,28,26.1,24.2,23,25.2,29.6,30.4,32.2,34.1,34.7,32.1,31.4,27.9,29.5,27.7,22,21.3,16.1,16.5
2009/1/2,關山,PM10,49,55,53,51,51,51,46,52,72,45,36,35,23,17,20,24,36,36,27,25,29,16,18,23
2009/1/2,關山,PM2.5,38,36,33,35,36,38,37,34,44,41,24,21,22,27,27,20,18,18,14,14,17,17,17,15
2009/1/2,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,關山,RH,71.74,70.72,68.43,68.14,68.78,65.75,65.55,65.23,62.57,58.9,50.58,46.26,42.77,41.16,40.21,42.66,49.74,53.64,56.16,59.27,60.33,62.69,66.49,64.4
2009/1/2,關山,SO2,3,3,3.4,3.2,3.9,4.3,4.2,3.9,4,3.5,3.3,3,2.8,2.8,2.8,2.8,2.8,3.1,3,3.1,2.8,2.7,2.5,2.6
2009/1/2,關山,WD_HR,35.27,59.83,53.01,52.39,58.75,72.57,45.34,47.52,43.73,40.59,62.56,64.25,66.25,49.89,42.51,59.66,58.53,66.32,82.96,68.13,51.92,48.71,29.4,12.51
2009/1/2,關山,WIND_DIREC,41.38,80.87,36.79,47.12,61.45,76.95,45.99,63.03,22.54,61.36,73.95,66.1,72.18,26.34,57.73,61.91,32.4,106.88,60.38,52.47,12.84,311.39,53.6,342.9
2009/1/2,關山,WIND_SPEED,2,2.36,2.06,2.07,2.39,2.82,1.39,1.5,2.49,2.54,4.03,3.38,3.74,3.55,2.11,3.68,3.06,3.49,3.02,2.1,1.51,1.03,0.72,1.19
2009/1/2,關山,WS_HR,0.54,0.79,1.17,0.48,0.57,0.43,0.58,0.74,0.79,0.68,1.86,2.53,2.67,1.07,1.34,2.41,1.69,0.97,1.1,1.04,0.89,0.8,0.34,0.58
2009/1/3,關山,AMB_TEMP,15.06,15.16,14.57,14.68,14.84,15.13,15.1,15.1,16.08,16.68,17.59,18.68,19.46,19.83,19.71,19.73,18.85,17.41,16.8,16.95,16.54,16.31,16.2,15.96
2009/1/3,關山,NO,2.19,1.86,1.72,1.45,1.77,1.73,2.16,3.18,4.35,3.14,3.8,3.42,3.29,2.41,2.9,3.27,3.72,4.85,2.34,2.21,2.04,2.05,2.06,2.06
2009/1/3,關山,NO2,3.82,3.71,3.61,4.45,3.37,3.63,5.2,8.78,9.65,6.74,7.14,5.55,5.38,4.18,7.39,9.34,13.8,19.73,10.82,9.12,9.15,7.42,6.82,5.83
2009/1/3,關山,NOx,6.01,5.57,5.33,5.9,5.13,5.36,7.35,11.96,14,9.88,10.94,8.97,8.68,6.6,10.29,12.61,17.51,24.57,13.16,11.33,11.18,9.47,8.88,7.89
2009/1/3,關山,O3,23.5,23.8,19.8,19.4,20.8,21.9,19.1,15.9,16.5,21.4,23.9,27.1,29.2,32.7,31,28.3,24.3,14.7,18.3,21.8,17.1,16.5,18.7,18.1
2009/1/3,關山,PM10,16,14,17,20,17,16,19,29,26,19,20,21,27,19,22,26,33,50,30,22,22,22,28,22
2009/1/3,關山,PM2.5,15,15,14,15,15,14,15,14,12,11,13,12,12,17,20,14,14,21,18,13,17,18,16,19
2009/1/3,關山,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,關山,RH,59.87,58.79,64.96,63.18,61.3,59.06,60.86,62.74,59.86,56.8,53.97,49.99,46.2,46.57,50.29,52.99,59.58,66.79,67.63,67.45,71.05,72.71,72.34,73.56
2009/1/3,關山,SO2,2.7,2.7,2.5,2.9,3.1,2.9,3,3.1,3.1,3.4,3.7,3.3,3.2,3.2,3.2,3.3,3.3,3.4,3.2,3,3,3.3,3.6,3.5
2009/1/3,關山,WD_HR,23.48,54.1,81.66,54.45,20.81,58.29,50.5,78.85,56.31,73.86,64.36,61.29,64.5,62.91,62.59,63.37,49.32,54.01,346.11,358.95,340.23,36.05,49.98,308.75
2009/1/3,關山,WIND_DIREC,20.36,48.1,109.83,358.17,298.82,68.31,26.26,51.23,56.68,103.24,77.03,54.12,66.85,63.37,59.56,53.85,337.24,48.29,351.74,314.82,345.84,67.53,325.47,291.24
2009/1/3,關山,WIND_SPEED,1.96,2.39,0.62,1.46,1.97,1.84,1.56,2.26,1.47,2.99,3.5,3.73,3.99,3.35,2.37,1.82,0.84,1.25,2.07,1.04,0.86,1.65,1.66,0.76
2009/1/3,關山,WS_HR,0.63,0.88,0.56,0.26,0.52,0.61,0.79,0.51,0.75,0.88,1.3,2.26,3.13,1.9,2.3,1.51,1.16,0.76,0.59,0.5,0.48,0.58,0.57,0.41
2009/1/4,關山,AMB_TEMP,15.52,15.37,14.94,14.6,14.49,14.16,14.3,14.74,15.99,16.95,17.85,18.92,19.56,19.37,19.64,19.62,19.21,18.21,17.48,17.35,17.31,16.77,16.35,16.13
2009/1/4,關山,NO,1.82,1.91,1.74,2.04,2.04,1.76,2.15,5.7,12.94,5.71,4.07,4.47,3.2,2.79,2.53,2.71,2.52,2.13,3.28,2.91,2.36,2.64,3.63,2.05
2009/1/4,關山,NO2,4.86,5.09,5.49,3.71,2.41,2.1,4.94,8.25,11.8,7.71,6.35,6.98,5.56,6.2,4.43,8.02,7.3,10.47,12.77,10.07,10.23,7.96,8.54,7.05
2009/1/4,關山,NOx,6.68,7,7.22,5.75,4.45,3.86,7.09,13.95,24.74,13.42,10.42,11.44,8.76,8.99,6.96,10.73,9.81,12.61,16.05,12.98,12.6,10.59,12.17,9.09
2009/1/4,關山,O3,15.5,13,11.8,12.3,12.2,12.5,9,5.8,4.7,9.7,12.2,14.9,19.9,20.5,25.4,23.3,23.5,16.7,10.3,11.8,11.9,10.3,7.6,8.4
