日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,金門,AMB_TEMP,12.03,11.94,11.81,11.69,11.59,11.36,11.06,10.87,11.23,11.95,12.67,13.42,14.02,14.57,14.57,13.74,13.07,12.39,11.88,11.47,11.2,11.15,10.72,10.49
2009/1/1,金門,CO,0.67,0.6,0.57,0.55,0.55,0.55,0.58,0.63,0.62,0.64,0.62,0.65,0.66,0.64,0.59,0.48,0.47,0.41,0.37,0.42,0.45,0.38,0.47,0.48
2009/1/1,金門,NO,2.61,0.78,0.87,0.05,0.17,0.21,0.97,3.05,4.14,4.3,3.67,3.27,2.98,2.72,2.92,2.14,1.98,3.09,2.59,2.35,1.33,0.65,0.62,0.25
2009/1/1,金門,NO2,15.49,12.4,15.05,13.96,14.72,15.34,16.47,17.66,17.06,16.48,15.16,15.74,15.91,16.34,15.59,13.5,14.06,14.54,12.97,13.45,12.52,11.04,13.87,12.78
2009/1/1,金門,NOx,18.1,13.18,15.91,14.02,14.9,15.55,17.44,20.71,21.2,20.79,18.83,19.01,18.89,19.06,18.51,15.64,16.05,17.63,15.56,15.8,13.86,11.69,14.49,13.03
2009/1/1,金門,O3,36,40.6,35.1,32.7,30.4,27.9,24.2,23.2,26.4,31.7,38.8,44.6,50.3,53.2,53.3,51.6,48.8,44.3,43.1,41.4,42.8,43.3,37.9,38.5
2009/1/1,金門,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,金門,PM10,133,139,146,146,142,138,141,144,147,156,165,167,163,156,151,136,111,95,88,88,87,79,80,88
2009/1/1,金門,PM2.5,78,81,85,84,78,76,79,79,78,78,78,78,81,85,78,62,49,39,31,32,39,39,40,46
2009/1/1,金門,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,金門,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,金門,RH,62.58,61.5,60.51,59.77,59.12,59.83,60.85,61.65,58,54.58,50.27,48.31,46.47,46.49,46.99,50.26,49.24,43.5,44.68,52.62,55.31,57.25,59.85,57.49
2009/1/1,金門,SO2,14.9,13.5,16.2,14.8,15.9,15.8,16.1,16.5,16.7,17.6,15.7,16.1,15,15.7,15.2,12.1,11.9,10,7.6,8.7,9.4,9.1,17.3,15.4
2009/1/1,金門,WD_HR,47.44,48.92,49.26,49.86,48.36,49,50.04,52.09,50.9,48.43,48.29,49.81,51.36,54.32,64.55,66.88,69.26,65.96,61.39,57.69,54.9,49.02,51.05,48.39
2009/1/1,金門,WIND_DIREC,47.44,48.92,49.26,49.86,48.36,49,50.04,52.09,50.9,48.43,48.29,49.81,51.36,54.32,64.55,66.88,69.26,65.96,61.39,57.69,54.9,49.02,51.05,48.39
2009/1/1,金門,WIND_SPEED,5.59,5.59,5.69,6.05,6.81,5.58,5.48,7.37,6.62,6.14,6.7,6.66,5.24,6.07,5.35,7.11,7.48,6.73,6.59,5.55,6.18,3.73,6.58,5.21
2009/1/1,金門,WS_HR,4.9,5.18,5.42,5.37,5.61,5.06,5.62,6.26,6.45,6.31,6.6,5.93,5.68,5.13,5.46,6.48,6.65,6.17,6.21,5.83,6.11,5.11,5.39,5.66
2009/1/2,金門,AMB_TEMP,10.41,10.42,10.4,10.07,9.88,9.69,9.53,9.56,10.22,10.88,11.65,12.32,12.9,13.61,14.2,14.46,13.57,12.46,11.94,11.39,10.9,10.5,10.48,10.28
2009/1/2,金門,CO,0.47,0.44,0.44,0.48,0.5,0.5,0.52,0.62,0.55,0.52,0.52,0.49,0.51,0.5,0.5,0.48,0.54,0.47,0.46,0.49,0.41,0.38,0.46,0.48
2009/1/2,金門,NO,0.16,0.16,0.04,0.92,1.06,0.87,1.22,3.67,5.82,5.05,5.1,3.98,4.66,3.79,3.32,3.44,4.44,5.44,5.76,4.64,2.66,1.63,1.75,1.23
2009/1/2,金門,NO2,13.6,12.72,12.6,14.57,15.44,15.3,15.98,17.35,15.34,13.3,12.96,11.91,13.17,13.15,13.44,14.29,20.24,16.66,17.07,14.93,14.82,10.17,15.48,19.64
2009/1/2,金門,NOx,13.76,12.88,12.64,15.49,16.5,16.18,17.19,21.02,21.16,18.35,18.06,15.9,17.83,16.94,16.76,17.74,24.68,22.1,22.83,19.57,17.48,11.8,17.22,20.88
2009/1/2,金門,O3,35.9,35.6,32.9,28.3,26.1,25.8,23.7,22.3,26.1,32.1,37.1,42.5,44,47.8,51,48.6,39.9,37.4,34.9,35.6,34.3,39.1,33.6,28
2009/1/2,金門,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,金門,PM10,94,95,97,115,135,135,130,132,126,114,120,134,133,121,114,109,114,103,83,79,73,70,81,103
2009/1/2,金門,PM2.5,50,47,48,55,62,64,66,64,61,54,55,61,61,59,58,59,55,42,34,37,34,34,42,52
2009/1/2,金門,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,金門,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,金門,RH,56.5,55.79,56.11,57.17,58.05,57.8,58.19,57.74,54.52,50.88,48.01,43.48,41.04,38.42,37.67,34.51,42.59,44.19,45.09,48.53,47.8,50.39,49.12,51.45
2009/1/2,金門,SO2,18.4,15.1,15.1,20,19.9,19.7,20,19.3,17.3,16.9,16.4,12.3,14.2,14.1,13.7,14.4,20.4,14.5,13.8,17.1,20.7,8.3,16.3,20.6
2009/1/2,金門,WD_HR,44.37,48.11,45.88,46.13,47.08,45.42,44.79,46.09,47.28,52.22,47.46,50.99,49.74,47.87,48.79,57.27,68.07,63.25,61.8,55.21,49.72,46.01,43.53,40.86
2009/1/2,金門,WIND_DIREC,44.37,48.11,45.88,46.13,47.08,45.42,44.79,46.09,47.28,52.22,47.46,50.99,49.74,47.87,48.79,57.27,68.07,63.25,61.8,55.21,49.72,46.01,43.53,40.86
2009/1/2,金門,WIND_SPEED,5.35,5.26,4.01,3.91,4.28,4.89,4.57,5.07,5.85,5.98,6.55,5.27,6.01,5.21,5.47,6.03,4.53,3.98,5.03,4.86,3.84,4.07,3.76,3.73
2009/1/2,金門,WS_HR,4.66,4.64,4.05,3.51,3.48,3.91,3.99,4.16,5.11,5.35,6.05,5.4,5.7,5.29,4.84,5.21,4.9,4.77,4.72,4.7,5.02,3.87,3.52,2.84
2009/1/3,金門,AMB_TEMP,9.93,10.36,10.51,10.23,10.41,11.03,11.28,11.68,12.42,13.03,13.54,15.03,16.17,17.16,17.67,17.47,16.71,15.97,15.38,15.07,14.86,14.56,14.54,14.53
2009/1/3,金門,CO,0.43,0.41,0.43,0.45,0.42,0.41,0.4,0.45,0.45,0.49,0.52,0.48,0.43,0.35,0.34,0.34,0.36,0.46,0.47,0.44,0.44,0.35,0.39,0.39
2009/1/3,金門,NO,0.92,0.83,0.8,0.72,0.77,0.81,1.48,4.21,5.44,4.58,4.89,5.02,3.45,3.06,2.89,3.25,3.57,3.62,5.21,3.56,4.74,2.05,1.41,0.92
2009/1/3,金門,NO2,17.96,12.45,13.69,16.87,17.07,14.75,14.38,16.44,15.33,13.79,14.86,14.91,13.65,11.55,10.83,11.74,13.6,16.68,18,18.53,24.38,19.75,14.4,18.17
2009/1/3,金門,NOx,18.88,13.29,14.5,17.6,17.84,15.56,15.87,20.65,20.77,18.37,19.75,19.93,17.1,14.61,13.72,14.99,17.17,20.3,23.22,22.1,29.12,21.8,15.81,19.09
2009/1/3,金門,O3,28.6,31.8,30.3,27.6,27.5,29.4,27.6,25.4,27.3,30.5,32.9,39.7,48.1,47.4,49,45.5,41.8,35.8,31,28.7,21.8,25.8,29.3,23.2
