日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,馬公,AMB_TEMP,15.71,15.6,15.51,15.23,14.99,14.61,14.43,14.24,14.21,14.39,14.55,14.64,14.52,14.47,14.29,14.08,13.82,13.56,13.54,13.61,13.65,13.54,13.65,13.74
2009/1/1,馬公,CO,0.42,0.39,0.39,0.39,0.35,0.28,0.32,0.34,0.33,0.34,0.33,0.31,0.29,0.29,0.28,0.24,0.22,0.22,0.23,0.23,0.23,0.23,0.26,0.29
2009/1/1,馬公,NO,20.96,2.32,1.56,0.5,0.14,0.09,0.42,0.69,0.73,0.73,0.9,0.64,0.46,0.48,0.79,0.83,0.54,0.38,0.39,0.01,0.35,0.12,0.2,0.01
2009/1/1,馬公,NO2,10.62,7.42,7.5,7.34,7.34,6.04,5.58,6.44,5.47,5.14,4.97,4.91,4.57,4.5,4.93,5.12,5.53,5.12,5.44,4.89,4.74,5.03,5.83,6.61
2009/1/1,馬公,NOx,31.58,9.74,9.06,7.84,7.48,6.14,6,7.13,6.21,5.87,5.86,5.55,5.04,4.98,5.72,5.95,6.07,5.5,5.83,4.9,5.08,5.15,6.03,6.62
2009/1/1,馬公,O3,37.1,38.9,38.5,37.5,36.6,39.1,37.9,36.6,39.9,42.7,45.6,49.1,51,51.5,51.2,49.9,47.3,45.9,45,44.1,43.2,41,38.1,36.4
2009/1/1,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,馬公,PM10,175x,184x,87,84,79,68,64,72,72,69,66,59,58,60,58,53,46,44,44,47,46,39,45,55
2009/1/1,馬公,PM2.5,417*,44,48,39,41,30,33,37,27,30,30,29,28,32,27,30,16,19,22,26,21,21,26,39
2009/1/1,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,馬公,RH,57.7,59.02,59.31,58.48,59.05,59.54,61.2,60.64,60.2,58.83,57.81,55.65,56.45,56.69,57.48,58.18,60.17,59.76,59.45,58,57.35,52.55,54.11,55.76
2009/1/1,馬公,SO2,6.5,7,7.2,7,6.5,5.3,5.6,6.1,5.5,5.9,5.6,5.4,5,5.1,4.9,3.9,3.3,3,3.5,3.7,3.8,4.2,5.3,6
2009/1/1,馬公,WD_HR,75.85,77.92,74.79,73.76,80.63,79.02,78.24,80.49,78.19,80.76,80.43,80.73,80.02,78.94,83.07,81.01,82.07,81.46,81.84,79.48,84.66,82.51,79.01,80.88
2009/1/1,馬公,WIND_DIREC,75.15,68.64,80.2,75.7,88.09,73.88,72.11,81.71,79.27,81.55,85,79.83,85.68,86.01,88.25,85.23,77.19,79.23,83.6,78,79.2,77.39,75.86,85.24
2009/1/1,馬公,WIND_SPEED,8.7,8.92,9.07,8.88,9.4,9.23,9.36,8.92,10.39,8.92,9.17,8.45,9.09,8.68,8.85,9.28,9.46,7.65,9.12,9.38,8.88,8.86,8.62,9.34
2009/1/1,馬公,WS_HR,6.98,6.87,6.58,6.97,6.86,6.9,6.83,7.13,7.31,6.8,7.28,6.97,6.71,6.56,6.45,6.36,6.27,6.55,6.37,6.75,6.66,6.63,6.46,6.47
2009/1/2,馬公,AMB_TEMP,13.84,13.87,13.86,13.95,14.13,14.39,14.5,14.79,14.94,15.16,15.41,15.41,15.17,15.28,15.47,15.56,15.44,15.45,15.63,15.82,16.11,16.4,16.47,16.44
2009/1/2,馬公,CO,0.27,0.25,0.25,0.26,0.26,0.24,0.24,0.24,0.23,0.2,0.19,0.2,0.2,0.19,0.18,0.19,0.19,0.21,0.2,0.2,0.19,0.17,0.16,0.16
2009/1/2,馬公,NO,0.06,0.13,0.14,-.03*,0.24,0.34,0.53,0.59,0.93,0.9,1,0.72,0.87,0.96,0.63,0.8,0.57,0.56,0.67,0.87,0.83,0.53,0.34,0.6
2009/1/2,馬公,NO2,5.81,4.86,4.55,4.56*,4.7,4.64,4.54,4.99,4.89,4.22,3.87,3.89,4.9,4.12,4.07,4.2,4.33,4.4,4.25,4.34,3.87,3.44,3.07,2.97
2009/1/2,馬公,NOx,5.87,4.99,4.69,4.53*,4.95,4.99,5.07,5.58,5.82,5.12,4.87,4.61,5.78,5.08,4.7,4.99,4.9,4.95,4.93,5.22,4.7,3.97,3.41,3.58
2009/1/2,馬公,O3,37.3,38.7,39.6,38.7,37,36.1,35,33.6,34,36.4,38.3,39.1,38.1,40.7,41.4,41.6,41.4,40.2,38.5,37.1,36.3,36.4,36.5,35.8
2009/1/2,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,馬公,PM10,59,58,58,55,51,51,52,54,52,44,40,41,42,41,39,37,36,39,41,40,41,38,34,37
2009/1/2,馬公,PM2.5,33,25,29,30,33,29,32,35,25,23,25,18,21,23,22,16,24,24,27,20,17,23,17,13
2009/1/2,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,馬公,RH,58.17,59.57,59.59,61.18,62.12,64.13,64.86,65.46,63.36,59.37,57.91,60.15,62.72,62.28,61.7,62.87,63.75,65.36,64.89,65.68,66.39,66.3,64.41,64.29
2009/1/2,馬公,SO2,5.3,4.5,3.8,3.5,3.1,2.7,2.6,2.6,2.3,1.9,1.7,1.7,2.1,1.9,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.8,1.7,1.3
2009/1/2,馬公,WD_HR,77.52,80.49,80.37,79.13,81.19,76.79,77.84,77.21,77.45,77.29,78.26,76.83,76.75,76.94,75.17,79.26,83.57,80.69,77.88,76.99,75.58,75.08,73.91,77.29
2009/1/2,馬公,WIND_DIREC,78.18,83.76,84.32,86.26,78.92,84.17,88.12,78.13,73.15,77.23,78.15,68.48,78.89,78.35,78.33,85.3,78.79,82.62,81.03,75.36,75.93,71.15,80.04,70.63
2009/1/2,馬公,WIND_SPEED,9.28,8.09,9.07,8.77,8.03,7.97,9.24,8.23,8.17,8.34,7.62,8.29,7.94,8.08,7.74,7.16,7.49,7.46,8.05,7.69,7.73,7.19,6.14,7.3
2009/1/2,馬公,WS_HR,7.38,6.58,6.95,6.85,6.32,6.25,6.47,6.22,5.93,5.93,6,5.81,5.68,5.83,6.01,5.53,5.56,5.4,5.23,5.59,5.36,5.38,4.92,4.84
2009/1/3,馬公,AMB_TEMP,16.44,16.44,16.69,16.73,16.73,17.11,17.5,17.6,17.98,18.51,18.37,18.27,18.4,18.53,18.34,18.23,18.2,18.81,18.96,19.25,19.24,19.19,19.41,19.55
2009/1/3,馬公,CO,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.16,0.18,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.16,0.18,0.19,0.17,0.17,0.15,0.15,0.13
2009/1/3,馬公,NO,0.62,0.08,0.22,0.9,1,1.09,0.86,0.98,1.08,0.97,1.35,1.53,1.65,1.31,1.34,1.13,1.11,1.09,1.41,1.36,0.94,0.68,0.75,0.92
2009/1/3,馬公,NO2,2.97,2.86,2.85,1.87,2.17,2.53,2.49,2.76,3.03,3.14,3.18,3.16,2.98,2.99,2.72,2.96,3.15,3.56,3.94,4.01,3.67,2.83,2.86,2.27
2009/1/3,馬公,NOx,3.59,2.94,3.07,2.77,3.17,3.62,3.36,3.74,4.11,4.11,4.53,4.69,4.63,4.3,4.05,4.09,4.26,4.65,5.35,5.37,4.62,3.51,3.62,3.19
2009/1/3,馬公,O3,34.7,34.4,34.6,35.8,36.3,36,36.2,35.6,35.5,36.2,39.3,39.9,41.5,43.6,44.9,45.1,44.3,42,40.1,38.9,39.5,39.9,39.2,39
2009/1/3,馬公,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,馬公,PM10,37,33,32,33,30,31,34,32,32,32,30,30,31,32,32,32,32,36,40,38,34,30,27,26
2009/1/3,馬公,PM2.5,19,11,12,17,15,16,15,15,13,13,10,10,20,10,9,15,11,18,12,19,19,9,9,11
2009/1/3,馬公,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,馬公,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,馬公,RH,63.75,64.84,65.7,64.19,64.7,68.14,68.04,68.22,68.56,69.15,60.54,63.62,64.29,62.07,62.03,64.67,66.75,73.34,76.07,75.89,71.63,68.43,70.13,70.73
2009/1/3,馬公,SO2,0.6,0.6,0.6,0.4,1.1,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.6,1.3,1.2,0.9,0.9,0.7,0.5,0.3,0.6
2009/1/3,馬公,WD_HR,77.15,83.25,79.27,78.85,76.51,81.16,80.46,80.73,82.25,81.61,70.94,81.6,82.97,81.12,80.92,74.24,81.65,94.31,77.95,77.87,72.59,72.07,73.06,77.77
2009/1/3,馬公,WIND_DIREC,79.91,82.5,69.68,75.69,80.05,76.71,78.67,83.87,74.62,76.16,80.68,82.94,79.64,92.76,85.61,71.54,83.82,100.58,73.53,68.47,80.32,73.81,78.75,89.48
2009/1/3,馬公,WIND_SPEED,7.18,6.78,6.98,6.48,7.12,5.94,7.23,6.32,6.47,7.06,7.05,6.78,6.61,6.02,7.1,6.21,6.38,5.14,5.67,6.49,4.81,5.65,4.01,3.92
2009/1/3,馬公,WS_HR,4.79,4.81,4.96,4.78,5.06,4.38,4.65,4.81,4.56,4.37,5.06,4.6,4.77,4.38,4.35,4.39,4.58,2.86,3.99,4.31,3.93,3.6,2.78,3.09
2009/1/4,馬公,AMB_TEMP,19.62,19.62,19.48,19.54,19.56,19.35,19.37,19.62,19.79,20.18,20.69,20.86,20.22,19.4,18.91,19.15,19.67,20.07,20.37,20.65,20.99,21.08,21.19,21.09
2009/1/4,馬公,CO,0.13,0.13,0.13,0.13,0.14,0.15,0.15,0.16,0.18,0.19,0.19,0.19,0.19,0.17,0.16,0.16,0.18,0.2,0.19,0.17,0.16,0.15,0.15,0.14
2009/1/4,馬公,NO,0.58,0.76,0.72,0.65,0.5,0.57,0.63,0.46,0.59,0.76,1.18,0.7,0.8,0.85,0.77,0.35,0.76,0.96,0.69,0.66,0.99,0.74,0.26,0.25
2009/1/4,馬公,NO2,1.98,1.93,2.09,1.32,2.77,2.49,2.61,3.46,4.17,4.16,4.4,4.09,4.38,4.63,4.07,3.16,4.24,5.17,4.48,3.68,3.13,2.49,2.22,1.79
2009/1/4,馬公,NOx,2.56,2.69,2.81,1.97,3.27,3.06,3.24,3.92,4.76,4.92,5.57,4.79,5.18,5.48,4.84,3.5,5,6.13,5.17,4.33,4.12,3.23,2.48,2.04
