日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,台南,AMB_TEMP,13.97,13.83,13.8,13.63,13.53,13.17,12.65,12.61,13.3,14.61,15.98,17.37,18.39,18.98,18.89,18.28,17.04,15.94,14.62,13.66,12.94,12.42,12.24,12.39
2009/1/1,台南,CH4,1.904,1.974,1.977,1.961,1.956,1.956,1.958,1.962,1.946,1.936,1.931,1.921,1.905,1.904,1.909,1.906,1.901,1.906,1.898,1.893,1.901,1.904,1.903,1.912
2009/1/1,台南,CO,0.57,0.55,0.51,0.48,0.43,0.43,0.48,0.52,0.5,0.48,0.48,0.47,0.44,0.42,0.46,0.47,0.49,0.53,0.49,0.42,0.43,0.43,0.41,0.41
2009/1/1,台南,NMHC,0.419,0.389,0.371,0.349,0.342,0.344,0.374,0.402,0.409,0.41,0.409,0.405,0.392,0.372,0.388,0.393,0.41,0.443,0.428,0.396,0.405,0.42,0.39,0.384
2009/1/1,台南,NO,1.34,0.99,0.68,0.17,0.26,0.2,0.1,1.51,4.23,4.86,4.59,4.15,2.85,2,1.71,1.68,1.53,1.03,1.14,0.93,0.81,0.93,0.69,0.6
2009/1/1,台南,NO2,22.27,19.46,18.92,15.16,14.03,13.82,15.14,16.14,15.48,14.17,14.29,14.43,13.64,13.14,14.87,17.15,20.63,24.89,25.96,22.63,21.45,21.2,19.78,19.64
2009/1/1,台南,NOx,23.61,20.45,19.59,15.34,14.28,14.02,15.24,17.64,19.71,19.03,18.87,18.58,16.49,15.14,16.58,18.83,22.17,25.92,27.1,23.55,22.27,22.13,20.47,20.24
2009/1/1,台南,O3,15.9,18,17.7,21.1,23.3,23.4,19.5,18.2,21,27.3,32.1,37.4,46,51.4,51.4,47.3,38.8,30.2,24.4,25.9,21.8,20.5,20.3,18.9
2009/1/1,台南,PM10,80,80,78,77,79,81,80,83,81,76,78,76,79,81,85,94,114,129,141,146,147,145,139,123
2009/1/1,台南,PM2.5,55,59,62,65,62,61,64,59,56,46,44,48,54,55,49,48,54,63,61,58,47,50,52,54
2009/1/1,台南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,台南,RH,77.64,77.49,76.83,75.34,71.64,70.54,71.23,72.06,71.1,65.42,61.14,56.15,51.13,47.73,48.02,50.39,54.69,57.04,59.54,58.21,60.31,61.99,62.52,62.68
2009/1/1,台南,SO2,5.6,4.8,4.8,5.1,5.2,5.8,6.3,5.4,4.4,4.5,4.6,4.9,4.7,4.7,5.2,5.4,5.4,5.2,5.2,4.2,3.6,3.7,3.8,3.8
2009/1/1,台南,THC,2.322,2.363,2.348,2.311,2.298,2.3,2.332,2.363,2.355,2.346,2.34,2.325,2.297,2.276,2.297,2.299,2.311,2.348,2.326,2.289,2.307,2.323,2.294,2.296
2009/1/1,台南,UVB,0,0,0,0,0,0,0,0.2,1.1,2.8,4.5,5.6,5.5,4.3,2.3,1.1,0.2,0,0,0,0,0,0,0
2009/1/1,台南,WD_HR,53.55,48.63,53.33,62.74,63.7,64.07,55.96,56.64,59.94,51.9,52.98,64.38,56.07,45.86,25.45,61.68,53.2,57.33,61.11,63.08,56.87,58.57,56.2,53.01
2009/1/1,台南,WIND_DIREC,52.13,43.59,53.35,60.74,74.06,60.05,54.48,62.36,50.81,44.77,57.72,357.37,57.49,28.96,40.14,64.1,57.78,45.79,60.98,44.38,51.91,64.9,43.17,63.08
2009/1/1,台南,WIND_SPEED,3.42,2.86,3.5,3.06,3.78,3.65,4.03,4.18,3.56,3.41,4.25,4.09,3.51,3.35,3.13,3.87,3.94,3.52,4.2,4.41,3.05,3.8,3.6,2.93
2009/1/1,台南,WS_HR,1.79,1.97,1.54,1.86,2,2.02,2.1,2,1.76,2.3,2.29,1.37,1.05,1.27,0.83,0.85,1.08,1.82,1.9,2.17,2.02,2.22,1.97,1.81
2009/1/2,台南,AMB_TEMP,12.05,11.85,11.81,11.86,11.78,11.73,11.62,11.71,12.71,14.42,15.98,17.73,18.84,19.53,19.84,19.93,19.26,17.59,16.44,15.68,15.05,14.59,14.12,13.76
2009/1/2,台南,CH4,1.923,1.955,1.965,1.954,1.985,1.977,1.977,1.96,1.955,1.948,1.946,1.925,1.897,1.886,1.874,1.877,1.895,1.894,1.888,1.909,1.913,1.927,1.937,1.97
2009/1/2,台南,CO,0.4,0.4,0.36,0.36,0.36,0.36,0.39,0.45,0.46,0.48,0.46,0.45,0.41,0.41,0.39,0.4,0.51,0.46,0.46,0.46,0.44,0.52,0.47,0.49
2009/1/2,台南,NMHC,0.38,0.368,0.364,0.363,0.368,0.357,0.381,0.409,0.431,0.466,0.47,0.458,0.416,0.41,0.414,0.408,0.505,0.454,0.449,0.446,0.447,0.494,0.475,0.511
