日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,台西,AMB_TEMP,14.29,14.14,14.05,13.96,13.6,13.16,12.87,12.89,13.25,13.83,14.43,14.86,15.12,15.14,14.99,14.7,14.38,13.91,13.19,12.74,12.62,12.7,12.57,12.61
2009/1/1,台西,CO,0.62,0.48,0.48,0.49,0.43,0.3,0.28,0.3,0.29,0.26,0.27,0.26,0.25,0.26,0.24,0.21,0.21,0.23,0.24,0.26,0.28,0.27,0.31,0.36
2009/1/1,台西,NO,1.46,1.19,1.38,0.6,0.37,0.45,0.47,0.66,1.08,0.84,1.03,0.97,1.11,0.76,1.01,0.57,0.43,0.28,0.54,0.52,0.57,0.48,0.39,0.52
2009/1/1,台西,NO2,27.96,24.54,22.16,21.93,14.63,9.81,8.85,8.38,6.66,5.27,4.71,4.94,5.01,5.23,5.42,5.3,5.64,6.96,8.11,8.69,9.04,8.72,12.95,14.64
2009/1/1,台西,NOx,29.42,25.73,23.54,22.53,15.01,10.26,9.32,9.03,7.74,6.12,5.74,5.91,6.11,6,6.43,5.87,6.08,7.24,8.65,9.21,9.62,9.19,13.34,15.17
2009/1/1,台西,O3,13.1,16.3,17.1,15.8,23.1,30.2,30.7,31.5,34.5,38.5,41.6,43.9,46.7,48,47.9,46.7,44.1,40.4,35.4,32.6,30.6,30.5,25.7,23.1
2009/1/1,台西,PM10,76,77,81,90,105,120,127,135,163,206,220,193,161,146,137,126,107,93,91,105,117,119,120,128
2009/1/1,台西,PM2.5,53,49,50,58,58,44,36,36,36,42,44,43,35,32,32,28,25,28,32,36,41,42,43,47
2009/1/1,台西,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,台西,RH,70.05,66.37,65.73,66.34,66.42,63.62,61.8,62.27,61.89,60.25,58.58,60.14,60.52,63.31,63.95,65.27,65.74,65.24,65.2,63.22,63.42,61.24,59.94,61.28
2009/1/1,台西,SO2,11.3,11.5,12.8,13.6,8.9,6.6,6.6,6.3,5.7,4.8,5.1,4.8,4.2,3.8,3.7,3.1,2.8,3.1,3.5,4.1,4.6,4.9,7.3,8.6
2009/1/1,台西,WD_HR,35.56,34.54,33.1,32.81,34.1,32.85,35.6,34.06,35.91,34.81,35.19,35.15,33.03,32.04,32.25,35.34,31.7,31.62,33.11,33.93,36.3,35.36,35.47,35.02
2009/1/1,台西,WIND_DIREC,37.02,33.56,32.66,33.84,32.84,30.22,34.95,33.63,35.34,33.89,35.56,32.85,32.94,37.31,35.12,33.1,32.46,28.68,34.29,36.45,36.13,36.56,36.89,35.24
2009/1/1,台西,WIND_SPEED,10.26,11.22,12.49,12.73,13.35,14.72,14.48,14.6,14.01,15.79,14.83,13,13.76,13.93,13.52,10.78,12.72,12.41,11.49,12.83,13.86,12.94,11.66,10.92
2009/1/1,台西,WS_HR,9.55,10.34,10,11.29,12.07,13.67,13.61,13.33,12.76,13.05,13.51,12.18,13.23,13.02,12.93,11.57,11.68,11.13,11.39,11.8,12,11.83,11.37,11.15
2009/1/2,台西,AMB_TEMP,12.6,12.35,12.23,12.17,12.17,12.36,12.42,12.51,13.41,14.47,15.38,16.04,16.63,16.9,17.01,16.79,16.33,15.83,15.37,15.05,14.65,14.02,13.82,13.76
2009/1/2,台西,CO,0.37,0.36,0.33,0.28,0.28,0.27,0.23,0.21,0.18,0.15,0.15,0.14,0.15,0.16,0.18,0.18,0.17,0.17,0.17,0.2,0.29,0.31,0.22,0.2
2009/1/2,台西,NO,0.56,0.61,0.49,1,0.49,0.83,1.11,3.41,3.51,2.31,1.51,1.4,1.1,1.09,1.15,1.04,1.01,0.62,0.71,0.78,0.59,0.92,0.74,0.74
