ら戳,代,代兜,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,到て,AMB_TEMP,13.16,13.08,12.97,12.84,12.62,12.24,12.03,12.31,13.57,15.14,17.06,18.51,19.94,20.38,19.84,18.83,16.95,15.2,13.45,12.61,12.08,12.05,11.81,11.35
2009/1/1,到て,CO,0.51,0.48,0.44,0.42,0.37,0.39,0.44,0.43,0.38,0.38,0.35,0.36,0.35,0.33,0.35,0.34,0.33,0.31,0.29,0.29,0.32,0.33,0.31,0.32
2009/1/1,到て,NO,5.09,4.72,4.04,2.03,2.31,1.7,1.71,3.29,5.53,6.19,6.34,4.98,4.98,3.03,2.94,2.58,2.48,2.07,2.03,1.52,2.01,2.04,1.83,1.59
2009/1/1,到て,NO2,20.19,16.69,18.24,13.97,12.34,12.87,14.38,13.18,11.51,10.94,12.12,12.28,12.76,11.96,12.84,13.76,15.73,17.71,17.15,15.24,15.18,16.68,15.04,18.12
2009/1/1,到て,NOx,25.28,21.41,22.28,16,14.65,14.57,16.1,16.47,17.04,17.12,18.46,17.26,17.74,14.99,15.78,16.34,18.21,19.77,19.18,16.76,17.18,18.72,16.87,19.71
2009/1/1,到て,O3,11,14.7,12.8,16.7,19.9,17.2,15.1,15.5,17.8,20.7,25.6,30.1,37.1,46.3,49.2,48,38.6,31.8,26.7,25.3,21.4,18.3,18.6,14.9
2009/1/1,到て,PM10,85,91,91,86,80,81,81,83,84,84,84,84,80,89,97,112,130,139,132,104,85,78,75,72
2009/1/1,到て,PM2.5,57,53,49,46,55,51,46,48,51,51,38,23,20,51,74,82,65,61,54,48,29,33,33,46
2009/1/1,到て,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,到て,RH,82.53,82.74,82.61,80.19,76.64,76.62,76.19,75.87,72.98,69.02,60.71,57.18,51.42,47.77,47.96,50.55,55.96,60.23,62.88,63.23,65.18,65.2,65.47,67
2009/1/1,到て,SO2,5.5,4.6,4.3,4.7,5.8,5.9,6.4,5.5,5.3,5.4,5.7,4.9,5.2,5.3,5.6,5.5,5.1,4.7,4.5,3.4,3.3,3.9,4.4,6
2009/1/1,到て,WD_HR,324.64,19.93,7.08,313.78,333.32,329.77,323.07,337.25,356.65,8.54,350.55,356.73,350.61,335.8,327.43,325.32,322.05,319.29,312.96,322.71,325.7,328.85,332.23,19.37
2009/1/1,到て,WIND_DIREC,311.31,35.44,332.29,134.73,322.82,320.85,320.34,13.18,24.99,27.44,53.53,36.2,19.74,342.05,312.19,313.89,330.97,324.7,324.86,276.18,322.57,335.5,19.39,319.11
2009/1/1,到て,WIND_SPEED,3.5,3.56,3.4,4.91,3.8,3.51,3.54,3.9,5,5.43,5.24,5.12,4.83,5.66,5.78,6.68,4.65,5.98,4.31,5.07,4.48,4.58,4.34,4.07
2009/1/1,到て,WS_HR,1.91,1.14,1.49,1.65,1.03,1.08,2.16,1.3,1.36,2.21,1.72,2.62,2.36,2.86,3.39,2.82,1.93,3.04,2.29,2.29,2.44,2.25,1.27,0.99
2009/1/2,到て,AMB_TEMP,10.74,10.48,10.48,10.35,10.42,10.07,9.87,10.6,12.44,14.31,16.75,18.8,20.16,20.86,20.97,20.72,19.24,16.98,15.5,14.65,13.83,13.06,12.35,11.49
2009/1/2,到て,CO,0.34,0.34,0.33,0.32,0.34,0.35,0.34,0.35,0.35,0.32,0.31,0.3,0.3,0.28,0.27,0.27,0.29,0.29,0.3,0.31,0.33,0.36,0.37,0.38
2009/1/2,到て,NO,2,2.46,1.21,1.34,1.91,1.57,1.98,4.69,7.7,7.61,6.71,5.78,5.39,2.93,1.69,2.26,1.75,1.75,1.91,1.3,1.79,2.01,2.34,3.13
2009/1/2,到て,NO2,20.3,21.17,17.85,17.49,16.67,15.08,17.19,15.51,15.32,13.52,11.83,12.63,13.6,8.93,6.85,8.44,13.27,17.87,19.28,20.46,21.39,22.4,23.69,22.95
2009/1/2,到て,NOx,22.3,23.62,19.06,18.83,18.58,16.65,19.17,20.2,23.03,21.13,18.55,18.4,18.98,11.86,8.54,10.7,15.03,19.62,21.19,21.76,23.18,24.41,26.03,26.08
2009/1/2,到て,O3,10.5,8.1,10.4,9.6,8.6,8.9,6.4,9.4,12.1,15.4,20.5,26.9,32.2,42.4,51,52.6,44.5,29.5,20.7,14,9.9,6.4,3.8,2.3
2009/1/2,到て,PM10,65,67,68,65,59,61,67,70,75,73,77,65,67,,,0#,99,142,138,129,95,75,78,74
2009/1/2,到て,PM2.5,41,37,24,25,29,29,36,40,60,53,50,42,45,66,70,65,42,44,45,52,47,46,38,42
2009/1/2,到て,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,到て,RH,70.91,73.32,72.78,74.11,74.56,75.77,76.73,74.35,69.79,64.67,59.09,53.91,51.26,50.99,51.21,51.57,56.68,64.88,69.98,72.74,74.92,76.89,79.38,83.05
2009/1/2,到て,SO2,5.6,5.3,4.5,5.8,4.2,4.3,6.1,5.8,9.3,6.7,6.2,4.6,4.5,3,2.8,2.7,3.3,3.9,4,3.3,2.8,2.8,2.9,2.2
2009/1/2,到て,WD_HR,23.96,351.66,17.33,27.17,31.7,28.01,27.15,35.13,355.83,22.96,355.32,350.05,349.79,2.3,21.98,2.24,334.31,316.21,308.24,306.8,326.94,334.44,342.67,2.2
2009/1/2,到て,WIND_DIREC,321,329.86,39.87,50.49,25.35,18.51,338.13,37.18,344.73,28.04,353.48,317.86,348.78,10.25,19.28,53.41,328.64,251.36,312.27,303.02,324.36,339.05,348.75,24.64
2009/1/2,到て,WIND_SPEED,2.84,2.58,3.28,2.58,3.27,2.39,3.27,3.41,4.25,3.68,4.19,4.26,4.83,3.6,3.85,3.8,4.86,4.91,4.62,3.81,2.54,2.5,1.68,1.53
2009/1/2,到て,WS_HR,1.06,0.8,0.95,1.06,2.35,1.35,0.96,1.53,1.27,1.62,2.02,2.1,2.33,2.29,2.02,1.61,3.8,1.96,1.16,1.89,1.76,1.69,1.7,0.84
2009/1/3,到て,AMB_TEMP,11.03,10.7,10.44,10.11,9.73,9.61,9.33,10.46,12.9,16.03,19.03,21.44,22.54,23.02,23.01,22.44,20.99,19.39,17.93,16.93,16.16,15.9,15.99,15.66
2009/1/3,到て,CO,0.4,0.38,0.46,0.49,0.48,0.5,0.54,0.58,0.52,0.53,0.49,0.37,0.31,0.27,0.27,0.29,0.28,0.32,0.43,0.34,0.4,0.48,0.49,0.44
2009/1/3,到て,NO,2.75,3.9,8.5,15.57,15.68,18.41,29.38,26.99,17.19,14.47,12.18,5.23,2.35,1.24,1.65,1.88,1.72,1.29,1.01,1.57,1.44,1.93,1.4,2.37
2009/1/3,到て,NO2,23.11,22.01,22,21.26,18.29,16.77,17.16,16.34,15.62,19.91,22.39,14.66,8.31,7.55,9.63,11.69,11.98,13.67,18.32,16.35,19.02,22.38,24.11,25.86
2009/1/3,到て,NOx,25.87,25.91,30.5,36.84,33.97,35.18,46.53,43.33,32.81,34.38,34.57,19.9,10.65,8.79,11.28,13.57,13.69,14.96,19.33,17.92,20.46,24.31,25.5,28.24
2009/1/3,到て,O3,0.6,-.1*,-.4*,-1.2*,-.4*,3,2.6,3.5,7.7,15.1,23.2,39.2,55.7,62.7,67,67.1,65.3,51.6,35.4,26.5,17.3,11.3,9,5.7
2009/1/3,到て,PM10,68,59,64,68,76,71,78,81,85,77,76,84,89,86,78,52,51,78,88,98,105,104,95,90
2009/1/3,到て,PM2.5,37,35,31,30,27,26,32,36,33,36,37,35,31,33,39,44,44,101*,93x,102x,40,54,49,50
2009/1/3,到て,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,到て,RH,85.37,87.02,87.03,88.58,90.5,90.75,90.91,90.45,84.28,72.67,61.2,53.83,49.03,47.69,50.45,52.32,57.01,61.1,66.01,73.91,78.11,80.23,79.81,81.92
2009/1/3,到て,SO2,1.9,1.7,2.1,2.4#,2.3,2.7,2.9,4,4.3,7.5,5.2,5.5,3.6,2.9,3.2,4.1,4.4,2.7,2.6,3,3.7,3.6,3.8,4.1
2009/1/3,到て,WD_HR,0.06,355.16,21.98,13.2,20.09,347.15,335.87,12.97,13.47,8.31,348.84,10.83,338.6,317.24,320.34,320.75,329.4,333.72,334.72,45.24,4.99,20.54,14.11,340.08
2009/1/3,到て,WIND_DIREC,2.15,25.18,15.37,42.33,28.97,314.85,345.25,27.96,337.92,21.65,324.68,34.61,319.13,301.56,334.83,315.86,331.13,331.22,336.92,52.47,16.13,23.96,1.43,347.46
2009/1/3,到て,WIND_SPEED,0.96,2.27,1.07,0.5,0.99,1.34,1.35,0.57,1.88,2.2,2.5,2.43,2.81,2.23,3.18,3.74,3.07,2.35,2.51,2.48,1.62,1.74,1.09,1.52
2009/1/3,到て,WS_HR,1.06,0.95,1.13,0.93,0.99,0.7,0.9,0.81,1.1,1.24,1.62,1.7,1.59,1.62,2.58,3.14,4.06,3.13,2.18,0.17,1.03,1.13,0.94,0.88
2009/1/4,到て,AMB_TEMP,15.52,15.13,14.98,14.86,14.52,14.26,14.39,14.9,15.65,16.95,17.99,18.86,20.05,20.41,20.38,19.55,18.51,17.63,17.14,16.93,16.59,16.1,15.69,15.2
2009/1/4,到て,CO,0.4,0.39,0.5,0.49,0.46,0.47,0.45,0.55,0.62,0.57,0.54,0.55,0.47,0.56,0.47,0.33,0.31,0.32,0.37,0.4,0.41,0.43,0.37,0.38
2009/1/4,到て,NO,3.05,5.9,14.63,6.56,11.32,12.91,16.28,23.41,23.06,8.98,8.21,8.79,7.15,5.03,6.32,1.76,1.23,1.21,1.23,1.48,1.26,1.59,1.61,2.53
2009/1/4,到て,NO2,25.17,23.54,21.31,22.74,19.04,17.87,17.87,19.54,20.51,20.76,22.5,26.04,25.33,25.51,25.63,15.38,15.97,19.14,21.52,23.76,22.1,21.74,21.72,20.77
2009/1/4,到て,NOx,28.21,29.44,35.94,29.3,30.36,30.78,34.15,42.95,43.57,29.74,30.71,34.83,32.48,30.54,31.94,17.14,17.2,20.35,22.75,25.24,23.36,23.33,23.32,23.3
2009/1/4,到て,O3,4.7,2.8,2.4,2.4,2.3,1.9,2.4,2.9,3.8,9,13.5,15.1,21.2,27.6,21,24.2,21.9,17.6,12.7,7.9,7.2,5.5,4.3,3.1
2009/1/4,到て,PM10,73,76,75,75,69,63,71,66,82,86,100,92,90,104,107,125,112,113,90,72,56,50,58,64
2009/1/4,到て,PM2.5,36,28,29,33,32,34,31,35,37,49,50,46,45,45,59,59,57,48,47,45,39,29,31,35
2009/1/4,到て,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,到て,RH,82.85,85.35,86.69,86.42,88.21,89.41,88.76,87.35,85.31,79.59,74.19,70.52,64.04,62.59,69.57,79.2,81.09,82.18,83.54,84.24,85.36,87.22,88.78,90.07
2009/1/4,到て,SO2,3.1,2.6,2.5,2.3,5.2,5,3.1,3.2,4,4.9,6.7,7.8,6,6.2,9,4.5,3.2,2.7,3,3.1,3.1,2.8,2.2,2.1
2009/1/4,到て,WD_HR,337.87,34.48,13.83,23.39,85.12,322.18,343.83,25.54,33.65,23.09,349.62,17.23,23.73,328.63,347.4,6.58,358.46,347.33,344.03,10.64,4.86,343.31,0.74,338.91
2009/1/4,到て,WIND_DIREC,309.6,37.62,25.7,80.53,53.5,333.58,60.43,333.49,26.55,340.95,334.74,45.17,331.91,342.22,38.45,48.96,346.05,41.8,334.15,31.2,339.03,312.05,12.11,340.2
2009/1/4,到て,WIND_SPEED,0.43,1.09,1.06,0.7,0.92,0.94,1.13,0.7,1.77,2.04,2.72,2.61,3.25,5.42,5.77,4.96,4.44,3.54,3.15,2.45,1.58,1.32,1.45,1.9
2009/1/4,到て,WS_HR,0.69,0.47,0.67,1.07,0.65,0.78,1.03,1.07,1.18,1,1.48,1.19,1.88,2.35,1.5,1.76,2.59,1.6,1.71,1.58,1.19,0.98,1.1,1.57
2009/1/5,到て,AMB_TEMP,14.91,14.75,14.46,14.22,13.89,13.62,13.01,13.47,15.26,17.74,21.07,23.2,24.82,25.43,25.23,24.69,23.22,21.27,19.87,18.83,17.98,17.11,16.76,16.01
2009/1/5,到て,CO,0.36,.41#,0.51,0.5,0.53,0.43,0.56,0.63,0.52,0.35,0.33,0.28,0.28,0.24,0.25,0.27,0.29,0.37,0.46,0.44,0.38,0.37,0.34,0.39
2009/1/5,到て,NO,2.06,6.6,11.64,14.67,16.59,19.65,24.71,33.43,32.45,15.21,11.89,7.1,3.94,2.21,1.91,1.67,2.21,1.72,1.99,2.43,1.75,1.77,1.49,1.6
2009/1/5,到て,NO2,19.5,19.66,20.02,17.34,15.54,16.74,15.38,15.6,18.43,16.74,15.28,11.96,8.42,6.69,8.31,9.72,12.04,15.62,21.09,26.26,21.08,20.06,19.47,21.99
2009/1/5,到て,NOx,21.57,26.26,31.66,32.02,32.13,36.39,40.08,49.04,50.88,31.95,27.17,19.06,12.36,8.9,10.23,11.39,14.25,17.33,23.08,28.69,22.83,21.83,20.96,23.58
2009/1/5,到て,O3,3.3,1,2.3,2.3,2.3,3.4,2.7,3.4,4.7,11.2,19.2,27.3,39.1,48.5,55.9,58,53,39,24.3,13.7,14.2,13,12.1,8.4
2009/1/5,到て,PM10,67,65,64,72,78,67,59,43,55,57,58,49,43,39,54,77,113,151,162,156,115,89,70,64
2009/1/5,到て,PM2.5,37,37,24,31,33,41,34,27,28,25,24,14,12,19,32,37,38,40,40,37,35,33,31,21
2009/1/5,到て,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/5,到て,RH,90.89,91.37,92.03,92.38,93,93.17,93.47,93.76,92.03,85.87,71.93,62.63,56.02,53.54,59.68,62.35,67.74,74.33,79.03,82.09,83.77,86.21,87.06,89.16
2009/1/5,到て,SO2,2.3,2.4,2.5,2.7,2.4,2.2,2.5,2.7,6.2,6.3,4.9,4.3,3.4,2.4,2.9,3.3,3.8,3,3.4,4.8,3.7,3.3,2.6,2.7
2009/1/5,到て,WD_HR,9.72,26.78,343.35,6.81,337.63,348.12,8.53,1.85,28.62,8.54,10.79,15.73,333.26,324.82,307.53,305.55,325.77,333.48,333.57,335.5,341.54,343.18,5.83,10.54
2009/1/5,到て,WIND_DIREC,26.57,45.42,342.68,28.14,330.94,26.58,321.59,26.31,25.49,317.91,24.69,14.95,323.21,324.31,312.78,316.12,331.43,333.85,332.09,333.65,27.12,336.87,6.92,329.73
