日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,安南,AMB_TEMP,13.65,13.57,13.46,13.36,13.18,12.82,12.27,12.27,13.07,14.41,15.83,17.29,18.26,19.06,19.01,18.38,17.03,15.73,14.22,13.34,12.62,12.18,12.1,12.03
2009/1/1,安南,CH4,1.748,1.755,1.754,1.757,1.743,1.746,1.758,1.756,1.734,1.726,1.723,1.713,1.699,1.701,1.7,1.698,1.694,1.698,1.702,1.707,1.715,1.716,1.713,1.712
2009/1/1,安南,CO,0.49,0.48,0.46,0.45,0.4,0.42,0.46,0.46,0.4,0.39,0.4,0.38,0.33,0.33,0.35,0.35,0.35,0.36,0.36,0.34,0.35,0.34,0.35,0.35
2009/1/1,安南,NMHC,0.097,0.087,0.085,0.076,0.074,0.083,0.1,0.118,0.11,0.102,0.099,0.091,0.072,0.071,0.075,0.085,0.092,0.104,0.099,0.101,0.109,0.102,0.099,0.097
2009/1/1,安南,NO,1.21,1.14,1.5,2.77,2.58,2.53,2.64,3.92,7.18,6.56,8.99,7.56,6.1,4.93,4.94,5.91,6.38,3.23,2.44,2.65,2.57,2.33,2.65,2.49
2009/1/1,安南,NO2,17.35,16.74,16.5,13,11.33,12.25,13.05,13.53,12.73,10.73,13.32,13.01,11.83,11.1,12.67,15.15,18.26,18.87,18.74,17.63,16.56,15.2,15.9,15.45
2009/1/1,安南,NOx,18.56,17.88,18,15.77,13.91,14.78,15.69,17.45,19.91,17.29,22.3,20.57,17.93,16.03,17.6,21.06,24.64,22.1,21.18,20.27,19.13,17.54,18.55,17.95
2009/1/1,安南,O3,15.9,16.1,15.9,17.4,19.4,18.4,15.9,15.4,18.9,24.2,26.4,31.7,39.9,43.9,44.1,39.5,33.4,28.1,23.4,23.1,19.6,19.6,17.6,16.9
2009/1/1,安南,PM10,87,87,92,89,86,81,86,95,88,88,84,90,94,103,123,162,189,200,180,147,115,89,87,76
2009/1/1,安南,PM2.5,53,49,47,49,45,49,51,57,53,43,38,39,43,43,46,53,56,51,45,34,37,34,41,42
2009/1/1,安南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,安南,RH,77.92,77.24,76.92,74.63,71.93,71.18,71.89,71.67,68.3,64.33,60.81,55.97,51.34,48.8,49.58,52.35,55.84,59.22,61.1,60.35,63.16,63.78,63.93,64.8
2009/1/1,安南,SO2,5.1,4.7,4.8,4.9,5.6,6.1,6.5,5.6,4.8,4.9,5,5.2,4.8,5,5.5,5.6,5.7,5.3,5.3,4,3.7,3.8,3.9,4.1
2009/1/1,安南,THC,1.845,1.842,1.839,1.834,1.817,1.829,1.858,1.874,1.844,1.828,1.823,1.804,1.771,1.772,1.775,1.782,1.785,1.803,1.801,1.808,1.824,1.818,1.812,1.809
2009/1/1,安南,WD_HR,41.97,41.45,36.92,44.75,43.93,42.02,43.83,39.46,45.11,39.88,39.8,35.04,36.78,15.93,49.37,56.67,44.77,52.53,44.98,52.5,36.67,45.99,38.16,37.14
2009/1/1,安南,WIND_DIREC,39.36,37.52,50.68,46.94,39.16,34.66,33.27,38.7,43.39,31.77,36.51,43.49,43.03,23.16,65.66,49.66,62.93,66.06,36.06,29.26,9.36,37.73,29.49,34.77
2009/1/1,安南,WIND_SPEED,3.08,3.37,2.89,3.67,3.66,3.35,3.55,3.33,4.04,3.84,4.58,4.62,4.52,4.47,4.63,3.92,3.98,4.22,3.37,3.62,3.65,3.65,2.87,2.93
2009/1/1,安南,WS_HR,1.55,2.26,1.78,1.56,2.14,1.81,1.44,1.86,2.47,2.09,2.84,1.81,1.21,1.12,1.25,1.16,1.16,1.72,1.38,1.53,1.21,1.59,1.79,1.94
2009/1/2,安南,AMB_TEMP,11.65,11.54,11.46,11.4,11.59,11.41,11.16,11.32,12.42,14.03,15.55,17.48,18.79,19.65,20.17,20.25,19.41,17.5,16.19,15.34,14.6,14.06,13.5,13.07
2009/1/2,安南,CH4,1.732,1.736,1.732,1.756,1.771,1.76,1.762,1.757,1.753,1.742,1.733,1.712,1.695,1.689,1.675,1.677,1.688,1.693,1.702,1.722,1.73,1.745,1.758,1.781
2009/1/2,安南,CO,0.36,0.35,0.34,0.35,0.35,0.34,0.37,0.41,0.36,0.35,0.33,0.31,0.28,0.28,0.27,0.29,0.3,0.32,0.33,0.35,0.34,0.35,0.35,0.34
2009/1/2,安南,NMHC,0.103,0.098,0.096,0.099,0.095,0.09,0.101,0.129,0.114,0.119,0.112,0.108,0.089,0.073,0.069,0.081,0.111,0.125,0.121,0.139,0.138,0.146,0.148,0.151
2009/1/2,安南,NO,2.77,2.68,2.52,2.81,2.67,2.45,2.99,10.98,9.69,10.45,10.15,9.52,5.85,5.51,5.19,8.51,10,3.66,2.66,2.36,2.39,2.92,2.71,3.15
2009/1/2,安南,NO2,18.63,20.71,18.37,17.88,17.35,15.47,17.25,23.38,16.57,15.05,15,15.02,12.16,11.86,12.41,18.27,22.3,16.29,18.79,26.09,21.24,21.08,21.85,21.34
2009/1/2,安南,NOx,21.4,23.39,20.89,20.69,20.02,17.92,20.25,34.36,26.25,25.51,25.15,24.54,18.02,17.38,17.61,26.78,32.3,19.95,21.45,28.45,23.63,23.99,24.56,24.49
2009/1/2,安南,O3,12,10.3,11.3,10.7,10.3,12.9,9.7,7,14.8,18.1,20.6,27.1,34.6,40.7,45.2,41.8,32.2,28.3,19.8,10.7,11.4,8.9,6.6,6
2009/1/2,安南,PM10,75,69,75,74,74,68,70,72,83,80,83,81,90,88,95,95,115,127,146,140,110,83,63,62
2009/1/2,安南,PM2.5,39,44,46,47,39,41,50,52,50,42,45,40,41,40,45,50,48,46,41,34,45,39,41,29
2009/1/2,安南,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
