日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,斗六,AMB_TEMP,13.48,12.97,12.79,12.64,12.96,12.74,12.44,12.39,12.99,14.06,15.5,17.05,17.82,18.25,18.28,17.4,16.32,14.45,13.27,12.31,11.68,11.22,11.35,11.53
2009/1/1,斗六,CO,0.47,0.44,0.45,0.41,0.38,0.4,0.38,0.34,0.34,0.34,0.32,0.32,0.32,0.33,0.33,0.32,0.35,0.4,0.34,0.34,0.33,0.35,0.35,0.35
2009/1/1,斗六,NO,2.51,2.26,2.62,1.67,1.72,2,2.34,2.83,3.15,3.61,3.89,3.65,3.09,2.65,2.97,2.98,2.96,2.3,1.8,1.53,1.64,2.17,1.88,1.76
2009/1/1,斗六,NO2,17.33,16.44,16.95,13.46,12.42,12.03,12.06,11.97,11.11,10.07,8.96,8.89,9.62,10.14,12.15,14.34,16.88,22.62,18.01,17.35,17.09,17.9,18.13,17.47
2009/1/1,斗六,NOx,19.85,18.71,19.58,15.13,14.14,14.03,14.4,14.8,14.25,13.68,12.85,12.54,12.7,12.79,15.12,17.31,19.84,24.92,19.82,18.87,18.73,20.07,20.02,19.23
2009/1/1,斗六,O3,15.5,17,13.7,16.9,19.7,18.2,18.1,20.5,23.8,26.2,31.3,39.1,46.9,51.5,49.9,44.1,37.4,26.1,25.8,22.9,20.5,17.4,14.2,13.9
2009/1/1,斗六,PM10,64,66,63,66,67,76,73,66,60,59,58,58,57,64,67,82,83,98,87,82,58,58,55,66
2009/1/1,斗六,PM2.5,43,44,46,46,42,51,55,56,42,36,38,36,36,38,43,47,36,42,41,41,41,36,46,39
2009/1/1,斗六,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,斗六,RH,79.25,77.85,79.08,77.12,72.25,70,69.07,67.37,63.68,60.62,55.27,48.38,43.79,41.57,41.37,44.41,48.32,53.7,56.08,58.87,61.91,64.36,65.64,66.02
2009/1/1,斗六,SO2,3.8,3.7,3.4,3.8,5.3,6.1,5.6,5.2,4.7,4.6,4.8,4.8,5.1,5.1,4.6,4,3.9,4.2,3,2.9,2.8,2.8,3.1,3.7
2009/1/1,斗六,UVB,0,0,0,0,0,0,0,0.2,0.9,2.3,4.4,5.5,5.3,4.3,2.7,1.2,0.3,0,0,0,0,0,0,0
2009/1/1,斗六,WD_HR,33.63,29.5,32.16,34.39,34.31,33.64,38.27,34.36,34.14,37.35,36.15,36.26,31.52,20.51,32.62,47.88,37.91,36.08,37.65,31.09,30.28,29.9,34.27,35.32
2009/1/1,斗六,WIND_DIREC,36.94,25.41,35.72,32.24,38.41,34.75,40.48,35.11,32.71,43.87,40.5,34.28,32.78,19.43,32.63,37.64,30.76,33.89,38.1,31.24,33.24,28.92,33.84,31.84
2009/1/1,斗六,WIND_SPEED,1.59,0.99,1.81,2.45,2.43,2.32,2.03,2.22,2.74,1.86,1.98,2.51,2.26,3.24,4.23,3.64,2.64,1.82,2.18,1.73,1.21,0.86,1.05,1.22
2009/1/1,斗六,WS_HR,1.42,0.79,1.1,1.71,2.09,2.26,1.85,2,2.23,1.52,1.54,1.35,1.81,1.36,2.04,1.86,1.84,1.5,1.69,1.51,1.37,1.05,0.88,0.92
2009/1/2,斗六,AMB_TEMP,11.68,11.67,11.57,10.98,10.64,10.61,11.11,11.6,12.34,13.46,15.15,16.98,18.05,18.93,19.27,19.17,17.63,16.21,15.13,14.34,13.68,13.04,12.55,12.45
2009/1/2,斗六,CO,0.35,0.34,0.31,0.29,0.3,0.3,0.3,0.32,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.29,0.32,0.38,0.39,0.38,0.44,0.43,0.46,0.49
2009/1/2,斗六,NO,1.81,1.6,1.52,2.16,2.15,1.82,2.35,3.16,3.75,4.09,5.2,5.07,4.35,2.9,2.27,2.43,3.48,3.26,2.85,3.26,7.34,5.64,6.9,10.68
2009/1/2,斗六,NO2,17.27,17.11,14.84,13.43,14.77,11.32,11.51,12.2,11.74,12.34,11,11.55,11.66,9.79,8.25,12.11,17.26,22.83,25.09,23.51,26.72,24.52,24.91,25.23
2009/1/2,斗六,NOx,19.08,18.71,16.36,15.6,16.92,13.14,13.86,15.36,15.49,16.43,16.2,16.62,16,12.68,10.52,14.53,20.74,26.1,27.94,26.76,34.05,30.17,31.8,35.9
2009/1/2,斗六,O3,13.5,12.1,11.6,11.9,9.3,11.4,12.6,13.3,17.3,21.5,26.3,33.4,40.9,50.1,57.5,50.8,30.3,18,11,8.8,3.6,2.4,0.5,-1.5*
2009/1/2,斗六,PM10,59,59,58,59,58,52,53,55,53,55,47,55,61,67,60,61,71,82,81,70,58,49,45,53
2009/1/2,斗六,PM2.5,44,37,43,41,36,35,30,41,36,46,41,40,33,37,40,40,40,33,31,26,33,35,37,30
2009/1/2,斗六,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,斗六,RH,65.2,66.39,68.31,70.21,70.99,72,69.37,67.79,66.02,62.19,56.34,51.34,49.31,48.1,48.22,50.13,56.49,61.9,65.71,67.88,70.87,74.02,76.5,78.42
