日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,新營,AMB_TEMP,13.85,13.81,13.58,13.38,13.15,12.73,12.57,12.48,12.94,14.2,15.51,16.78,17.77,18.29,18.22,17.33,16.3,14.86,13.76,13.04,12.38,12.24,12.06,11.76
2009/1/1,新營,CH4,2.028,2.033,2.037,2.03,2.021,2.021,2.024,2.01,1.998,1.991,1.992,1.987,1.982,1.981,1.978,1.974,1.972,1.974,1.984,1.984,1.986,1.981,1.985,1.999
2009/1/1,新營,CO,0.5,0.46,0.45,0.4,0.39,0.43,0.44,0.38,0.37,0.38,0.4,0.39,0.36,0.36,0.35,0.35,0.33,0.34,0.34,0.34,0.35,0.34,0.35,0.37
2009/1/1,新營,NMHC,0.039,0.026,0.025,0.022,0.024,0.028,0.033,0.033,0.034,0.032,0.037,0.037,0.033,0.03,0.029,0.032,0.034,0.037,0.038,0.038,0.038,0.034,0.033,0.038
2009/1/1,新營,NO,1.81,1.45,1.61,0.71,0.28,0.67,0.68,1.06,2.17,3.77,4.92,4.5,3.4,2.26,1.78,1.74,1.49,0.96,0.46,0.71,0.77,0.81,0.68,0.69
2009/1/1,新營,NO2,17.12,15.35,13.7,11.01,11.09,12.22,13.16,13.07,11.93,11.86,13.7,13.95,12.23,11.83,11.84,13.7,15.49,18.74,19.26,16.79,17.17,16.06,15.35,20.25
2009/1/1,新營,NOx,18.93,16.81,15.3,11.73,11.37,12.9,13.84,14.13,14.1,15.63,18.62,18.45,15.63,14.1,13.63,15.45,16.97,19.69,19.72,17.49,17.93,16.88,16.04,20.94
2009/1/1,新營,O3,18.3,19.4,21.7,24.2,23.7,20.2,19.6,22.5,26.4,28.6,29.7,35.8,44.8,49.8,51.6,45.8,39.2,30.6,27.4,25.1,22,21.9,20.8,13.9
2009/1/1,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,新營,PM10,107,99,102,90,87,79,86,85,78,81,84,95,100,101,111,134,150,159,134,106,82,78,87,95
2009/1/1,新營,PM2.5,53,51,52,52,60,58,59,50,43,38,39,47,45,44,42,48,54,49,44,37,40,43,43,43
2009/1/1,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,新營,RH,77.36,76.4,75.9,72.13,70.77,71.06,70.12,68.47,65.26,61.76,58.5,53.46,47.52,45.72,45.89,49.97,52.89,56.79,57.39,58.36,61.42,61.55,62.77,65.15
2009/1/1,新營,SO2,5.3,5.3,5.5,5.5,5.9,6.7,6.2,4.9,4.9,5.4,5.6,5.8,5.5,5.6,5.4,5.2,4.4,4.1,3.9,3.2,3.4,3.8,4.1,4.7
2009/1/1,新營,THC,2.067,2.059,2.061,2.052,2.045,2.048,2.057,2.043,2.032,2.022,2.029,2.024,2.015,2.011,2.008,2.005,2.006,2.011,2.022,2.021,2.024,2.015,2.018,2.037
2009/1/1,新營,WD_HR,25.99,39.86,2,34.06,21.97,38.34,6.42,356.94,21.96,352.25,43.64,30.53,32.9,8.1,4.74,78.06,46.89,358.07,302.12,21.72,331.39,38.54,28.29,30.44
2009/1/1,新營,WIND_DIREC,18.21,83.14,359.86,44.83,53.16,52.68,342.69,16.92,315.2,3.05,8.6,37.23,30.34,43.52,7.34,269.31,60.74,4.45,342.62,16.42,338.39,40.39,46.54,34.51
2009/1/1,新營,WIND_SPEED,2.75,2.44,3.03,2.44,2.95,2.67,2.8,3.39,4.03,4.18,3.52,3.83,3.91,4.35,3.86,4.92,4.31,4.21,2.73,2.85,3.02,2.96,2.21,2.78
2009/1/1,新營,WS_HR,0.53,0.64,0.44,0.41,0.44,0.21,0.45,0.36,0.61,0.77,1.11,0.97,0.87,0.47,0.48,0.24,0.26,0.24,0.44,0.43,0.33,0.9,0.5,0.95
2009/1/2,新營,AMB_TEMP,11.99,12.03,11.85,11.63,11.4,11.17,10.9,11.13,12.32,13.94,15.38,16.93,18.12,19.06,19.57,19.64,18.49,16.88,15.97,15.15,14.46,13.87,13.42,13.07
2009/1/2,新營,CH4,2.008,2.002,2.007,2.009,2.012,2.015,2.045,2.025,2.003,1.991,1.982,1.977,1.975,1.965,1.957,1.965,1.971,1.968,1.979,1.988,1.994,2.011,2.029,2.059
2009/1/2,新營,CO,0.37,0.35,0.37,0.35,0.36,0.35,0.38,0.37,0.35,0.32,0.32,0.32,0.3,0.29,0.29,0.3,0.32,0.32,0.34,0.34,0.35,0.36,0.35,0.36
2009/1/2,新營,NMHC,0.041,0.035,0.036,0.031,0.029,0.028,0.035,0.042,0.042,0.041,0.063,0.05,0.039,0.035,0.031,0.038,0.043,0.038,0.046,0.049,0.053,0.052,0.052,0.055
2009/1/2,新營,NO,0.51,0.77,0.53,1.32,1.27,1.57,5.12,4.43,5.56,9.63,8.9,7.1,3.9,2.54,1.96,2.11,2.3,1.93,1.79,1.78,1.9,2.43,2.16,1.85
2009/1/2,新營,NO2,23.1,21,18.64,20.78,20.8,20.65,25.41,17.84,17.9,19.84,18.2,16.38,11.44,10.29,9.48,12.45,17.64,21.84,21.96,20.56,22.08,23.38,22.3,22.6
2009/1/2,新營,NOx,23.61,21.77,19.17,22.09,22.07,22.22,30.52,22.27,23.45,29.47,27.1,23.49,15.34,12.83,11.44,14.55,19.94,23.77,23.75,22.34,23.99,25.81,24.46,24.46
2009/1/2,新營,O3,11.6,12.9,14.3,11.6,11.1,10.5,5.6,13.8,15.4,16.9,22.8,27,40.3,49.2,54.3,49,36.8,25.1,19.1,16.3,12.5,10.3,9.3,8.2
2009/1/2,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,新營,PM10,91,86,76,78,84,95,98,91,82,75,78,82,90,96,91,103,117,147,143,122,87,70,58,60
2009/1/2,新營,PM2.5,38,36,34,38,42,42,40,41,45,43,40,32,37,40,44,41,39,41,42,38,34,30,28,26
2009/1/2,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,新營,RH,65.26,64.52,65.47,66.73,68.58,69.89,72.16,73.05,70.64,64.02,58.72,54.78,52.25,50.4,49.3,50.53,56.03,61.82,66.07,68.79,70.4,72.34,74.79,76.69
2009/1/2,新營,SO2,7.5,5.8,4.6,4.3,3.6,3.4,3.1,3,5.1,10.1,6,4.2,2.7,2.7,2.6,2.7,3.5,4.1,3.1,2.2,2.5,2,2.1,2.1
2009/1/2,新營,THC,2.049,2.037,2.044,2.04,2.041,2.043,2.08,2.067,2.045,2.032,2.045,2.027,2.015,1.999,1.989,2.003,2.014,2.006,2.025,2.037,2.047,2.063,2.08,2.113
2009/1/2,新營,WD_HR,46.03,44.96,46.97,48.65,50.66,51.25,41.46,31.19,25.95,43.61,41.95,5.75,338.61,24.37,21.72,353.31,315.72,358.41,31.91,30.55,356.46,18.26,357.08,29.18
2009/1/2,新營,WIND_DIREC,43.38,31.11,49.77,46.61,57.97,58.86,62.38,351.45,32.65,53.33,38.29,328.99,314.39,37.41,20.08,333.5,46.77,329.04,35.13,8.15,348.07,31.5,352.37,19.01
2009/1/2,新營,WIND_SPEED,2.89,2.11,2.88,2.74,2.79,2.87,1.89,1.99,2.79,2.86,3.37,3.36,3.29,2.84,2.43,2.95,3.7,3.19,2.5,2.14,2.63,2.11,1.93,1.65
2009/1/2,新營,WS_HR,1.1,0.97,1.03,1.26,1.48,1.49,1.02,0.5,1.02,1.54,1.78,0.76,0.9,1.05,0.92,0.67,0.43,0.13,0.62,0.54,0.36,0.52,0.38,0.39
2009/1/3,新營,AMB_TEMP,12.81,12.33,11.96,11.76,11.4,11.23,11.26,11.48,12.95,15.17,17.91,20.15,21.37,22.34#,22.06,21.84,21.06,19.67,18.59,17.81,17.4,17.18,16.87,16.84
2009/1/3,新營,CH4,2.104,2.138,2.217,2.306,2.276,2.328,2.392,2.358,2.278,2.173,2.071,2.003,1.97,1.63#,1.976,1.972,1.968,1.961,1.985,2.005,2.007,2.004,2.073,2.051
2009/1/3,新營,CO,0.37,0.38,0.5,0.51,0.44,0.51,0.56,0.64,0.62,0.49,0.39,0.35,0.32,.35#,0.33,0.37,0.37,0.35,0.38,0.41,0.45,0.38,0.43,0.45
2009/1/3,新營,NMHC,0.061,0.064,0.078,0.09,0.079,0.095,0.11,0.12,0.116,0.076,0.047,0.037,0.029,.023#,0.027,0.038,0.039,0.042,0.047,0.049,0.057,0.05,0.057,0.064
2009/1/3,新營,NO,2.61,5.47,27.59,32.8,15.07,25.15,36.89,48.54,36.29,22.2,8.13,3.55,2.44,1.48#,1.34,1.8,1.67,1.47,1.3,1.01,1.4,1.67,5.61,7.21
2009/1/3,新營,NO2,24.77,25.54,26.99,25.3,22.98,22.18,22.04,21.2,22.86,19.67,14.9,11.77,9.43,9.19#,9.69,13.01,14.21,15.8,20.88,22.66,24.43,23.04,31.93,31.23
2009/1/3,新營,NOx,27.38,31.01,54.58,58.1,38.05,47.33,58.93,69.74,59.15,41.87,23.03,15.32,11.87,10.67#,11.03,14.8,15.89,17.27,22.18,23.67,25.83,24.71,37.54,38.44
2009/1/3,新營,O3,5.4,3.3,2.6,22.5,2.7,9.5,3.6,4.2,7.7,15,25.3#,56.4,67.2,1#,28,55.7,52.9,42.5,27,17.8,14.6,13.3,3.7,2.7
2009/1/3,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,新營,PM10,57,67,64,66,57,62,58,64,60,63,65,66,70,75,73,82,84,98,98,103,100,88,81,70
2009/1/3,新營,PM2.5,28,26,25,27,28,30,27,25,25,28,29,32,38,44,46,40,36,25,24,26,34,30,26,23
2009/1/3,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0#,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,新營,RH,77.99,79.72,81.11,82.26,82.89,83.64,83.74,82.94,79.7,72.29,61.68,52.55,46.54,45.11#,46.03,47.74,49.73,55.26,64.36,70.79,73.29,74.11,75.19,75.81
2009/1/3,新營,SO2,2.1,2.2,2.4,2.6,2.7,3.1,3.6,4.4,5,5.2,3.2,3.2,3.1,3#,3.2,4.4,3.6,2.6,2.8,3.7,4,3.4,3.2,3.1
2009/1/3,新營,THC,2.165,2.202,2.295,2.396,2.354,2.423,2.502,2.479,2.394,2.249,2.118,2.04,1.998,1.653#,2.003,2.01,2.007,2.003,2.032,2.054,2.064,2.054,2.129,2.115
2009/1/3,新營,WD_HR,3.99,28.45,42.87,347.2,22.18,42.83,38.48,12.94,348.94,357.03,5.88,9.43,329.23,327.72#,325.79,320.41,318.48,300.68,355,0.01,27.69,36.2,34.47,343.94
2009/1/3,新營,WIND_DIREC,344.83,33.54,36.43,323.01,43.54,26.45,48.58,16.61,331.58,354.19,37.2,339.21,332.61,326.73#,305.02,347.35,330.51,318.29,15.19,358.97,14.71,41.06,31.33,337.87
2009/1/3,新營,WIND_SPEED,1.15,1.38,1.14,1.81,2.07,1.19,0.93,1.61,2.27,1.72,2.01,1.85,2.73,1.84#,2.36,2.38,3,2.14,1.65,1.87,1.54,1.14,1.51,0.45
2009/1/3,新營,WS_HR,0.41,0.66,1.42,0.54,0.76,1.09,0.82,0.72,0.68,0.81,0.84,1,1.45,1.27#,1.28,1.42,0.94,0.18,0.47,0.33,0.67,0.63,0.87,0.37
2009/1/4,新營,AMB_TEMP,16.59,16.25,16.14,16.02,15.55,15.46,15.54,15.66,16.09,16.69,17.57,18.97,19.65,19.88,20,18.96,18.41,17.97,17.78,17.48,17.23,16.87,16.57,16.22
2009/1/4,新營,CH4,2.384,2.212,2.163,2.232,2.303,2.54,2.484,2.521,2.46,2.424,2.352,2.145,2.124,2.083,1.97,1.957,1.967,1.969,1.999,2.007,2.022,2.089,2.07,2.113
2009/1/4,新營,CO,0.4,0.37,0.43,0.49,0.54,0.56,0.56,0.72,0.82,0.79,0.74,0.6,0.58,0.57,0.34,0.33,0.35,0.39,0.46,0.42,0.46,0.41,0.37,0.34
2009/1/4,新營,NMHC,0.054,0.07,0.067,0.083,0.093,0.09,0.1,0.148,0.169,0.149,0.128,0.095,0.078,0.065,0.031,0.032,0.043,0.05,0.063,0.059,0.061,0.056,0.048,0.04
2009/1/4,新營,NO,2.93,2.83,4.09,12.64,9.94,17.39,25.68,33.93,34.12,29.5,26.59,9.33,7.07,10.4,4.39,3.28,2.64,2.65,3.11,2.58,3.73,3.74,2.71,3.4
2009/1/4,新營,NO2,25.14,23.16,26.09,28.14,23.21,22.01,23.71,22.88,25.25,27.18,31.08,28.55,28.79,29.49,16.12,16.7,18.15,21.68,26.72,22.21,26.24,22.93,21.33,19.62
2009/1/4,新營,NOx,28.07,25.99,30.18,40.78,33.15,39.4,49.39,56.81,59.37,56.68,57.68,37.88,35.86,39.88,20.51,19.98,20.79,24.33,29.83,24.79,29.97,26.67,24.04,23.03
2009/1/4,新營,O3,5.6,5.1,2.4,2,2.6,3.2,3.1,3.5,4.1,5.5,9.5,19.3,23.7,19.1,28.1,23.8,21.4,15.7,9.5,11.3,6.3,7.5,6.9,7.6
2009/1/4,新營,PH_RAIN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,新營,PM10,69,62,65,64,72,71,73,71,82,95,96,87,86,84,85,87,84,77,78,78,80,74,73,66
2009/1/4,新營,PM2.5,26,27,31,33,36,32,30,29,39,50,60,54,45,43,45,46,39,40,43,46,47,41,37,32
2009/1/4,新營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,新營,RAIN_COND,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/4,新營,RH,77,78.34,78.97,79.39,81.69,82.79,83.36,83.21,81.78,79.85,76.01,65.43,61.67,68.81,73.81,78.95,78.87,79.96,80.92,82.33,83.33,84.71,85.83,87.07
2009/1/4,新營,SO2,3.4,2.9,3,3.4,1.9,2,2.5,2.9,3.9,4.2,5,4.7,4.8,8.3,4.7,3,2.1,1.8,1.8,1.6,1.8,1.4,1.4,1.4
2009/1/4,新營,THC,2.438,2.281,2.23,2.314,2.397,2.63,2.584,2.668,2.629,2.573,2.48,2.241,2.202,2.148,2.001,1.989,2.011,2.019,2.062,2.066,2.083,2.145,2.118,2.152
2009/1/4,新營,WD_HR,344.04,58.33,28.52,50.47,71.47,318.71,358.06,61.5,48.27,6.6,43.26,36.97,20.77,19.62,50.88,49.89,59.13,37.01,11.98,28.84,352.63,346.42,31,351.35
2009/1/4,新營,WIND_DIREC,42.48,9.41,40.29,54.77,84.76,316.33,91.24,29.4,46.61,328.46,60.81,50.42,343.81,110.47,60.08,45.81,62.08,45.93,327.69,38.05,324.06,1.76,350.18,38.05
