¤é´Á,´ú¯¸,´ú¶µ,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.4,1.4,1.2,0.7,0.2,0,0,0,0,0,0,0,0
2009/1/2,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.4,1.5,1.2,0.7,0.3,0.1,0,0,0,0,0,0,0
2009/1/3,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1.5,1.2,0.7,0.3,0.1,0,0,0,0,0,0,0
2009/1/4,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.4,0.4,0.5,0.3,0.1,0,0,0,0,0,0,0,0
2009/1/5,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.4,1.4,1,0.6,0.2,0.1,0,0,0,0,0,0,0
2009/1/6,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.4,1.4,1,0.4,0.1,0.1,0,0,0,0,0,0,0
2009/1/7,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.4,1.4,1.1,0.6,0.2,0,0,0,0,0,0,0,0
2009/1/8,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1,0.4,0.3,0.2,0,0,0,0,0,0,0,0
2009/1/9,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.3,1.1,0.7,0.4,0.2,0,0,0,0,0,0,0,0
2009/1/10,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.4,1,0.6,0.5,0.2,0.1,0,0,0,0,0,0,0
2009/1/11,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1.5,1.2,0.7,0.3,0.1,0,0,0,0,0,0,0
2009/1/12,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.4,1.2,1,0.6,0.2,0,0,0,0,0,0,0,0
2009/1/13,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.1,1.4,1.4,1.1,0.7,0.3,0.1,0,0,0,0,0,0,0
2009/1/14,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.4,1.4,1.2,0.8,0.3,0.1,0,0,0,0,0,0,0
2009/1/15,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1.5,1.2,0.7,0.3,0.1,0,0,0,0,0,0,0
2009/1/16,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1.5,1.2,0.8,0.3,0.1,0,0,0,0,0,0,0
2009/1/17,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.4,1.5,1.2,0.8,0.3,0.1,0,0,0,0,0,0,0
2009/1/18,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.6,1.1,1.4,1.4,1.2,0.8,0.3,0.1,0,0,0,0,0,0,0
2009/1/19,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.2,1.5,1.6,1.3,0.7,0.3,0.1,0,0,0,0,0,0,0
2009/1/20,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.8,1.2,1.6,1.6,1.1,0.3,0.1,0,0,0,0,0,0,0,0
2009/1/21,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.8,1.2,1.6,0.7,0.4,0.3,0.2,0.1,0,0,0,0,0,0,0
2009/1/22,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.8,1.2,1.5,1.6,1.2,0.5,0.3,0.1,0,0,0,0,0,0,0
2009/1/23,ªü¨½¤s,UVB,0,0,0,0,0,0,0,0.1,0.3,0.8,1.3,1.6,1.7,1,0.5,0.1,0,0,0,0,0,0,0,0
