日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,屏東,AMB_TEMP,15.26,15.31,15.13,15.16,15.01,14.26,14.32,14.79,15.55,16.7,18.66,20.33,21.03,21.41,21.53,21.22,20.32,18.56,17.63,16.56,15.26,14.37,13.96,13.65
2009/1/1,屏東,CH4,1.953,1.978,1.992,2.074,2.069,2.025,2.001,2.061,2.081,2.053,2.015,2.015,1.997,1.977,1.959,1.954,1.942,1.921,1.933,1.944,1.942,1.928,1.945,1.942
2009/1/1,屏東,CO,0.64,0.61,0.56,0.57,0.55,0.6,0.59,0.71,0.81,0.69,0.76,0.78,0.97,0.82,0.69,0.66,0.63,0.63,0.68,0.61,0.56,0.5,0.5,0.42
2009/1/1,屏東,NMHC,0.222,0.197,0.178,0.173,0.174,0.19,0.184,0.239,0.297,0.219,0.205,0.195,0.281,0.276,0.221,0.224,0.219,0.194,0.213,0.197,0.183,0.164,0.169,0.13
2009/1/1,屏東,NO,8.62,5.19,3.75,4.89,5.39,4.37,5.94,13.96,18.32,11.61,10.42,8.07,6.61,6.27,4.76,4.08,4.16,3.4,3.61,3.71,3.44,3.53,3.68,4.02
2009/1/1,屏東,NO2,21.66,20.97,19.16,19.05,16.62,15.08,14.12,14.23,16.53,12.32,16.33,18.68,30.74,34.95,26.37,26.04,26.37,19.7,24.95,21.96,21.84,20.68,20.78,18.18
2009/1/1,屏東,NOx,30.28,26.16,22.92,23.94,22.01,19.45,20.06,28.19,34.85,23.92,26.74,26.75,37.35,41.22,31.13,30.11,30.54,23.1,28.56,25.68,25.28,24.21,24.46,22.2
2009/1/1,屏東,O3,4.7,4.3,4.6,3.8,3.5,5.2,4.7,6,8,14.6,25.7,39.6,53,60,66.2,64.2,51.1,47.2,37.3,30.4,22.9,19.6,17.8,17.1
2009/1/1,屏東,PM10,88,91,84,75,69,77,74,82,88,91,92,91,105,118,121,119,112,114,113,115,113,108,97,77
2009/1/1,屏東,PM2.5,53,58,58,53,44,32,44,51,68,62,61,62,81,88,87,76,71,72,68,70,64,53,44,38
2009/1/1,屏東,RAINFALL,NR,NR,0.2,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,屏東,RH,79.98,79.86,82.02,83.61,84.92,85.89,86.01,85.47,83.89,80.84,72.89,64.87,58.94,55.71,54.29,53.16,50.64,50.95,53.77,58.06,60.93,62.44,62.23,62.84
2009/1/1,屏東,SO2,2.6,2,1.8,1.6,1.8,1.7,1.9,2.1,2.4,2.3,6.6,9.5,18.9,21,14.6,12.7,7.7,5.4,5.1,4.3,3.8,3.4,3.3,3.1
2009/1/1,屏東,THC,2.174,2.175,2.17,2.247,2.244,2.215,2.184,2.3,2.378,2.272,2.22,2.21,2.278,2.253,2.18,2.178,2.161,2.115,2.146,2.141,2.125,2.093,2.114,2.071
2009/1/1,屏東,UVB,0,0,0,0,0,0,0,0.2,0.8,2.3,3.8,4.3,3.1,2.6,1.8,0.7,0.2,0,0,0,0,0,0,0
2009/1/1,屏東,WD_HR,272.01,273.29,343.47,0.74,285.61,262.91,243.63,166.17,315.96,344.82,276.25,234.7,237.32,265.95,256.99,237.7,262.32,303.1,297,267.81,270.32,260.47,260.38,254.1
2009/1/1,屏東,WIND_DIREC,258.76,285.27,35.69,312.53,252.6,300.75,256.43,129.52,21.87,301.95,127.5,204.15,262.23,267.33,242.41,239.08,284.52,308.2,265.67,275.23,252.93,262.59,284.12,269.36
2009/1/1,屏東,WIND_SPEED,0.84,1.17,1.14,1.54,1.77,1.44,1.02,0.66,1.67,1.29,1.54,1.97,2.25,2.37,2.32,2.92,2.62,1.72,1.56,1.98,1.39,1.32,1.45,1.17
2009/1/1,屏東,WS_HR,0.83,0.99,0.7,0.9,1.14,1.45,0.85,0.26,0.37,0.69,0.57,1.05,1.7,1.75,1.93,2.24,2.36,1.91,1.21,1.43,1.5,1.37,1.23,1.08
2009/1/2,屏東,AMB_TEMP,13.72,13.72,13.18,13.02,12.93,12.76,12.41,12.8,14.52,16.32,18.31,19.23,20.43,21.05,21.35,21,20.3,19.2,18.18,16.98,15.91,15.18,14.91,14.56
2009/1/2,屏東,CH4,1.968,2.064,2.091,2.122,2.136,2.14,2.243,2.213,2.17,2.117,1.951,1.913,1.881,1.887,1.888,1.885,1.897,1.917,1.923,1.922,1.93,1.972,1.978,2.19
2009/1/2,屏東,CO,0.46,0.41,0.41,0.45,0.44,0.45,0.5,0.66,1.01,0.85,0.85,0.68,0.57,0.5,0.5,0.48,0.53,0.68,0.69,0.55,0.58,0.65,0.8,0.64
2009/1/2,屏東,NMHC,0.16,0.127,0.134,0.17,0.155,0.155,0.179,0.255,0.442,0.312,0.192,0.138,0.105,0.11,0.112,0.12,0.163,0.243,0.247,0.192,0.225,0.274,0.355,0.261
2009/1/2,屏東,NO,3.61,3.44,3.12,3.71,2.87,3.45,7.45,13.06,21.92,16.35,7.35,4.48,3.48,3.78,3.79,4.16,3.69,2.44,2.54,2.95,3.38,4.48,8.89,6.45
2009/1/2,屏東,NO2,20.36,17.34,17.7,17.77,16.61,17.03,17.87,16.73,21.31,22.95,21.43,14.81,9.92,13.39,13.98,15.52,19.13,23.63,25.33,22.76,27.11,28.38,33.1,28.92
2009/1/2,屏東,NOx,23.97,20.78,20.82,21.48,19.48,20.47,25.32,29.79,43.23,39.3,28.78,19.29,13.4,17.17,17.77,19.68,22.82,26.07,27.87,25.72,30.49,32.86,41.99,35.37
2009/1/2,屏東,O3,14.4,14.5,11.4,8.5,9.4,6.9,3.4,4.1,5.7,11.9,32.3,49.3,58,60.3,62,61.5,51.9,44.9,36.8,30.6,19,11.2,4.2,4.5
2009/1/2,屏東,PM10,69,67,74,71,73,75,76,79,84,101,111,122,114,99,95,94,98,95,101,102,104,99,104,102
2009/1/2,屏東,PM2.5,42,39,40,36,40,41,45,46,45,52,69,81,78,69,71,65,62,50,55,49,50,48,51,54
2009/1/2,屏東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/2,屏東,RH,64.77,68.07,72.46,73.05,72.36,72.6,75.67,77.94,75.38,69.84,55.8,52.24,48.96,48.19,47.27,47.16,48.2,52.83,56.68,59.98,64.7,68.36,70.09,72.95
2009/1/2,屏東,SO2,2.8,2.6,2.1,2,2.2,2.2,2.4,2.5,3.7,5.7,17.5,14.2,10.5,8.4,6.4,5.2,4.4,3.9,3.9,3.7,3.6,3.7,3.5,2.9
2009/1/2,屏東,THC,2.127,2.191,2.225,2.292,2.291,2.295,2.422,2.468,2.612,2.429,2.142,2.051,1.986,1.997,2,2.005,2.06,2.16,2.17,2.114,2.155,2.245,2.334,2.452
2009/1/2,屏東,UVB,0,0,0,0,0,0,0,0.2,0.8,1.8,3.2,3.7,4.3,3,2.1,0.9,0.2,0,0,0,0,0,0,0
2009/1/2,屏東,WD_HR,286.79,310.04,296.27,302.26,351.31,336.76,310.03,305.41,318.22,332.52,301.45,243.1,257.61,280.92,300.45,301.74,304.63,306.4,299.87,301.96,261.87,266.48,291.68,356.85
2009/1/2,屏東,WIND_DIREC,319.69,313.09,295.33,286.67,23.57,333.92,333.19,281.51,321.47,51.15,348.79,231.12,244.94,305.62,301.1,298.64,310.07,297.68,296.97,300.62,277.01,269.83,290.37,8.35
2009/1/2,屏東,WIND_SPEED,0.71,1.17,1,0.71,0.96,0.88,0.95,0.54,0.96,1.29,1.74,1.38,1.99,1.85,2.4,2.23,2.18,1.36,1.95,1.39,1.07,0.67,1.06,1.47
2009/1/2,屏東,WS_HR,0.76,0.9,0.88,0.52,0.45,0.56,0.93,0.5,0.59,0.6,0.74,0.55,0.96,1.32,1.67,1.88,1.96,1.56,1.41,1.29,1.03,0.79,0.9,0.66
2009/1/3,屏東,AMB_TEMP,14.07,13.74,13.69,13.41,13.5,13.39,13.05,13.2,15.18,17.7,20,21.45,22.35,22.6,22.55,22.39,21.63,20.41,19.79,18.97,18.11,18.01,17.77,17.34
2009/1/3,屏東,CH4,2.184,2.122,2.071,2.136,2.063,2.11,2.2,2.151,1.99,1.935,1.878,1.852,1.885,1.906,1.883,1.865,1.867,1.929,2.008,2.096,2.074,1.983,2.321,2.217
2009/1/3,屏東,CO,0.49,0.45,0.43,0.41,0.4,0.42,0.48,0.58,0.55,0.52,0.39,0.34,0.41,0.43,0.42,0.4,0.45,0.68,1.09,1.38,1.2,0.82,0.93,0.7
2009/1/3,屏東,NMHC,0.182,0.163,0.147,0.134,0.126,0.135,0.167,0.217,0.219,0.184,0.117,0.103,0.191,0.199,0.171,0.125,0.158,0.33,0.508,0.645,0.593,0.356,0.387,0.269
2009/1/3,屏東,NO,3.45,3.47,3.29,2.55,2.33,2.48,4.58,13.09,8.12,6.06,3.91,2.71,3.22,3.36,4.02,4.37,4.98,2.66,2.84,5.94,6.61,3.49,5.99,2.74
2009/1/3,屏東,NO2,22.09,20.26,15.68,12.91,10.63,10.51,14.97,16.1,11.73,12.04,7.46,6.74,16.67,21.45,22.66,19.9,25.89,34.83,46.28,58.06,49.82,36.8,41.22,28.39
2009/1/3,屏東,NOx,25.54,23.73,18.98,15.45,12.96,12.99,19.55,29.19,19.85,18.11,11.37,9.45,19.89,24.81,26.69,24.27,30.87,37.49,49.12,64.01,56.44,40.3,47.21,31.13
2009/1/3,屏東,O3,7.3,7.3,8,8.4,10.9,12.9,7.6,5.6,13.1,25.7,42.8,52.3,66.7,77.7,69,59.7,47.4,36.3,28.3,14.9,11.4,19,10.2,14.9
2009/1/3,屏東,PM10,95,86,70,65,59,58,62,61,67,61,75,82,83,84,80,91,83,90,95,106,121,120,128,117
2009/1/3,屏東,PM2.5,51,46,33,34,31,37,36,39,35,37,39,43,43,46,51,51,45,37,46,52,73,63,63,59
2009/1/3,屏東,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/3,屏東,RH,75.49,77.01,78.81,79.95,79.88,79.8,80.28,80.4,73.13,62.04,51.37,45.7,42.81,42.23,42.36,41.83,44.28,50.28,54.92,59.01,62.96,63.02,65.66,68.01
2009/1/3,屏東,SO2,2.6,2.3,2.1,1.9,1.7,1.6,1.8,2,2.4,2.8,3.2,3.5,9.2,10.3,8.4,4.5,4.1,8,5.1,4.5,4.6,4,3.6,3.4
2009/1/3,屏東,THC,2.366,2.285,2.218,2.27,2.188,2.245,2.367,2.368,2.209,2.119,1.995,1.955,2.076,2.105,2.054,1.99,2.025,2.259,2.516,2.74,2.667,2.339,2.707,2.486
2009/1/3,屏東,UVB,0,0,0,0,0,0,0,0.3,1.1,2.6,4.2,5.3,4.8,3.6,2.4,1.2,0.3,0,0,0,0,0,0,0
2009/1/3,屏東,WD_HR,328.97,310.44,348.3,319.33,341.36,321.09,308.5,323.01,338.84,337.01,330.53,248.94,232.64,258.78,282.93,287.43,276.12,239.79,183.54,236.81,274.25,309.11,1.42,26.62
2009/1/3,屏東,WIND_DIREC,314.15,322.61,312.53,324.59,329.12,324.04,303.53,42.32,322.52,324.84,294.89,231.58,245.77,248.93,290.47,287.47,261.39,221.66,174.75,264.46,275.21,308.01,10.13,305.67
2009/1/3,屏東,WIND_SPEED,1.12,0.9,1.11,1.45,1.04,1.32,1.28,2.12,2,1.27,1.52,1.58,2.21,3.23,2.67,3.17,1.98,2.08,1.17,0.81,0.85,0.87,1.8,0.66
2009/1/3,屏東,WS_HR,0.6,0.8,0.42,0.57,0.45,0.49,0.92,0.59,0.55,0.76,0.66,0.23,1.32,2.04,2.15,2.56,2.38,1.91,1.33,0.62,0.86,0.76,0.48,0.7
