日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,左營,AMB_TEMP,14.37,14.25,14.11,13.87,13.69,13.61,13.52,13.08,13.57,14.72,16.73,18.59,19.58,20.36,20.23,19.51,18.99,17.81,16.48,15.15,14.12,13.69,13.34,13.2
2009/1/1,左營,CH4,1.887,1.913,1.932,1.928,1.935,1.923,1.907,1.911,1.915,1.923,1.916,1.887,1.856,1.853,1.844,1.831,1.841,1.844,1.847,1.843,1.846,1.857,1.869,1.88
2009/1/1,左營,CO,0.56,0.61,0.62,0.61,0.58,0.52,0.53,0.57,0.64,0.65,0.66,0.64,0.57,0.55,0.54,0.54,0.52,0.56,0.5,0.45,0.44,0.44,0.45,0.44
2009/1/1,左營,NMHC,0.171,0.176,0.183,0.164,0.145,0.118,0.139,0.161,0.192,0.223,0.218,0.176,0.151,0.15,0.151,0.159,0.173,0.188,0.176,0.152,0.151,0.153,0.153,0.142
2009/1/1,左營,NO,0.68,0.8,1.72,5,1.58,0.95,1.24,5.11,15.57,13.64,10.38,5.92,3.5,3.24,2.44,1.41,1.18,1.13,1.28,1.18,1.36,1.4,1,1.13
2009/1/1,左營,NO2,25.93,27.46,28.83,26.9,23.4,18.04,17.79,18.62,22.46,21.03,20.64,17.73,16.2,17.01,16.23,16.72,19.17,21.47,21.61,20.81,21.51,22.35,21.41,22.32
2009/1/1,左營,NOx,26.62,28.26,30.55,31.89,24.99,18.99,19.03,23.73,38.03,34.66,31.03,23.65,19.7,20.25,18.68,18.13,20.35,22.6,22.88,21.99,22.88,23.75,22.42,23.45
2009/1/1,左營,O3,6.5,5.6,3.3,2.9,5.6,10.7,11.3,9.6,8,12.7,21.7,33.1,41,45.6,51.6,53.1,46.4,37.9,29.3,24.7,20.3,18.4,15.9,13.3
2009/1/1,左營,PM10,86,62,86,91,71,72,85,84,78,81,107,87,112,72,74,93,120,113,106,107,76,79,56,67
2009/1/1,左營,PM2.5,66,66,71,72,68,62,60,58,65,65,81,69,72,60,77,78,77,64,49,57,52,54,45,45
2009/1/1,左營,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,左營,RH,78.53,79.28,80.66,82.28,82.69,80.04,77.66,78.25,77.8,75.43,70.25,63.47,60.34,56.24,55,55.01,51.49,52.9,56.25,58.46,59.4,59.18,59.92,61.45
2009/1/1,左營,SO2,4.2,3.7,3.5,3.8,4.3,4.3,4.3,4.2,4.5,5.3,6.4,5.6,5.1,4.9,4.8,4.4,5,4.4,4,3.4,3.3,2.9,2.7,2.8
