日期,測站,測項,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009/1/1,林園,AMB_TEMP,16.27,15.84,15.93,15.62,16.22,15.84,16.01,15.57,15.88,17.02,18.99,19.41,19.75,20.01,20.01,20.1,20.11,20.01,19.3,17.85,16.94,16.18,15.16,15.35
2009/1/1,林園,CH4,1.96,2.121,2.014,2.14,2.112,2.098,2.1,2,1.986,2.005,2.001,1.918,1.855,1.835,1.826,1.815,1.811,1.809,1.883,1.933,1.95,2.007,1.958,2.065
2009/1/1,林園,CO,0.62,0.63,0.63,0.59,0.65,0.76,0.94,0.91,0.69,0.66,1.2,0.88,0.48,0.43,0.42,0.41,0.41,0.42,0.51,0.67,0.75,0.77,0.59,0.8
2009/1/1,林園,NMHC,0.337,0.425,0.486,0.258,0.646,0.111,0.397,0.266,0.153,0.114,0.287,0.167,0.051,0.039,0.039,0.037,0.041,0.044,0.121,0.293,0.343,0.315,0.258,0.469
2009/1/1,林園,NO,23.31,18.78,44.49,6.6,44.85,10.66,39.76,21.36,15.15,14.16,18.57,15.18,4.58,2.48,2.06,1.63,1.73,1.16,1.66,9.18,7.07,17.53,13.22,27.1
2009/1/1,林園,NO2,30.54,30.16,29.74,26.52,25.38,23.23,26.26,25.19,23.27,21.01,40.36,38.81,16.41,13.9,13.37,13.06,11.7,15.43,28.87,44.94,52.83,49.37,42.95,43.52
2009/1/1,林園,NOx,53.85,48.94,74.24,33.12,70.23,33.89,66.02,46.55,38.42,35.17,58.93,53.98,20.99,16.38,15.44,14.69,13.43,16.59,30.53,54.13,59.9,66.89,56.17,70.61
2009/1/1,林園,O3,2,2.5,2.8,3.9,2.6,1.8,2.4,4,7.6,14.6,22.5,33.8,45.2,59.2,64.3,65.8,62.2,56.8,41.1,17.5,4.7,2.4,2.3,4.7
2009/1/1,林園,PM10,79,90,98,100,86,73,86,96,105,105,105,111,111,96,88,87,89,87,96,126,140,149,120,101
2009/1/1,林園,PM2.5,58,52,57,51,53,49,55,60,61,62,68,78,70,65,53,54,51,63,70,69,60,57,50,47
2009/1/1,林園,RAINFALL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2009/1/1,林園,RH,79.82,81.4,81.71,83.51,83.59,85,82.86,81.27,81.23,80.12,74.43,73.11,72.23,70.44,69.81,70.21,69.96,68.58,58.49,58.51,59.45,61.15,64.83,64.36
