"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","二林","AMB_TEMP","13.01","12.87","12.57","12.58","12.7","12.86","13.19","13.52","14.45","16","17.25","18.55","18.97","19.75","19.9","19.3","18.41","17.84","17.58","17.56","17.47","17.34","17.01","16.56"
"2010/01/01","二林","CO",".4",".35",".33",".33",".33",".33",".33",".33",".34",".35",".37",".33",".32",".33",".36",".39",".32",".3",".26",".21",".19",".22",".24",".25"
"2010/01/01","二林","NO",".78",".88",".95","1.18",".82",".82","1.11","1.68","3.89","5.48","9.64","4.65","3.88","2.83","2.01","2.21","1.62",".7",".79",".77",".71",".94","1","1.09"
"2010/01/01","二林","NO2","12.1","10.43","9.65","9.67","10.71","12.9","18.89","14.91","16.08","15.54","17.6","14.04","13.74","12.65","12.91","21.53","18.6","11.79","13.43","7.63","6.44","7.19","10.27","11.78"
"2010/01/01","二林","NOx","12.88","11.31","10.6","10.85","11.52","13.72","20","16.59","19.97","21.02","27.24","18.68","17.62","15.48","14.92","23.74","20.22","12.49","14.22","8.4","7.15","8.13","11.27","12.86"
"2010/01/01","二林","O3","26.5","27.2","25.9","24.4","21.2","20.5","17.2","20.6","20.3","20.9","19.4","26.7","30.5","39.1","41.2","34","36.5","39.1","33.2","38.8","37.6","33.1","25.7","20.4"
"2010/01/01","二林","PM10","120","120","96","91","73","76","75","69","73","66","65","60","65","71","75","81","81","79","76","69","61","54","61","63"
"2010/01/01","二林","PM2.5","58","55","49","40","34","41","41","41","34","29","32","35","41","40","40","45","42","37","23","28","23","24","25","32"
"2010/01/01","二林","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","二林","RH","74.03","74.85","76.05","77.03","77.39","77.1","75.15","73.93","72.27","69.02","66.82","63.67","64.69","63.63","64.78","66.65","69.34","72.95","76.59","77.25","77.44","79.15","81.49","83.12"
"2010/01/01","二林","SO2","3.6","2.6","3.1","2.5","3","3.1","3.4","3.6","4.1","4.6","5.4","3.7","4.6","3.2","3.7","8.2","7.3","3.2","3.6","2.3","1.6","1","1.6","1.6"
"2010/01/01","二林","WD_HR","51","40.95","44.47","42.47","42.71","55.24","44.14","46.48","45.03","45.76","44.73","302.34","326.71","331.87","328.04","314.51","283.56","318.73","301.17","285.89","52.09","41.43","32.81","3.55"
"2010/01/01","二林","WIND_DIREC","40.45","46.21","40.48","137.73","44.47","48.16","48.11","291.76","43.12","48.64","331.49","302.9","34.81","314.94","312.96","314.96","78.63","301.53","153.67","286.32","41.98","42.8","330.31","310.32"
"2010/01/01","二林","WIND_SPEED","2.9","2.16","2.3","2.25","2.16","2.43","2.53","2.6","3.22","2.33","1.55","2.85","2.2","1.44","1.51","2.41","2.37","1.79","2.59","2.25","2.21","1.96","1.46","1.24"
"2010/01/01","二林","WS_HR","1.61","2.38","1.4","1.55",".9",".86","2.37","1.29",".99","3.05","1.14","1.71","1.31",".9",".91","1.34",".11",".55",".6",".38","1.02","1.79","1.05",".54"
"2010/01/02","二林","AMB_TEMP","16","16.25","16.48","16.13","15.64","15.4","15.55","16.1","17.18","18.1","19.59","20.53","20.78","20.51","20.56","19.93","19.26","18.33","17.91","17.46","17.05","16.8","16.58","16.5"
"2010/01/02","二林","CO",".27",".25",".24",".22",".21",".23",".26",".31",".31",".37",".41",".41",".36",".29",".31",".34",".37",".39",".35",".27",".27",".26",".26",".28"
"2010/01/02","二林","NO",".92",".85",".85","1.79","1.75","1.88","1.75","2.36","3.49","4.89","6.41","4.89","5.31","3.49","2.26","2.49","1.87","1.9","1.7","1.84","1.7","1.81","1.84","1.83"
"2010/01/02","二林","NO2","11.77","10.69","6.38","7.49","6.97","6.8","7.63","9.71","10.53","14.4","17.58","16.88","15.92","8.48","7.63","9.39","14.8","16.44","12.87","5.78","7.8","6.48","9.04","7.19"
"2010/01/02","二林","NOx","12.68","11.54","7.23","9.28","8.72","8.68","9.38","12.07","14.02","19.29","23.99","21.77","21.23","11.98","9.89","11.87","16.66","18.34","14.57","7.62","9.49","8.29","10.88","9.02"
"2010/01/02","二林","O3","18.1","22.6","27.9","21.5","16.8","16.4","16.3","15.4","18.9","19.9","24.2","29.9","30.1","39.6","43.6","39.6","28.5","25.1","28.1","35.4","32.6","31.7","27.3","30.1"
"2010/01/02","二林","PM10","69","64","63","53","50","44","47","52","62","69","70","70","80","84","87","77","85","91","85","62","37","16","5","4"
"2010/01/02","二林","PM2.5","33","31","30","29","22","27","33","35","34","40","43","49","48","52","48","51","57","64","64","53","36","24","16","11"
"2010/01/02","二林","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",".6",".2","NR","NR","NR"
"2010/01/02","二林","RH","84.71","85.89","86.25","86.51","86.98","87.44","87.75","88.13","88.15","86.42","79","70.36","71.56","72.44","71.63","74.48","77.48","81.46","82.3","83.62","85.26","85.48","85.03","83.74"
"2010/01/02","二林","SO2","1","1",".8",".7",".5",".4",".7",".7","1.3","2.5","3.3","3.2","3.5","2.2","2.4","1.8","2.9","2.6","2.4",".7",".6",".4",".3",".4"
"2010/01/02","二林","WD_HR","327.05","322.83","44.66","53.99","267.2","311.01","343.68","31.36","42.27","65.29","50.24","26.07","312","311.44","358.14","50.52","42.93","60.8","128.03","97.78","53.34","46.63","41.61","47.84"
"2010/01/02","二林","WIND_DIREC","316.25","66.3","42.15","62.4","259.94","317.85","42.45","41.41","47.81","68.14","44.67","37.16","308.23","310","27.85","38.9","44.82","50.97","90.04","74.12","45.9","41.44","41.67","71.94"
"2010/01/02","二林","WIND_SPEED","1.41","2.37","2.19","1.43","1.18","1.24","1.58","1.59","3.21","2.4","2.05","2.12","2.84","2.21","2.82","2.37","3.03","3.52","4.71","4.43","3.62","3.39","4.2","4.06"
"2010/01/02","二林","WS_HR","1.02",".54","1.57","2.02",".18","1.03",".78",".49","2.2","2.55","1.7",".93","1.85","2.3",".93",".96",".43","1.28",".43","1.27","2.54","3.27","3.37","2.9"
"2010/01/03","二林","AMB_TEMP","16.49","16.48","16.27","15.7","15.67","15.67","15.79","15.71","15.42","16.08","17.48","18.92","20.17","20.24","20.49","20.18","19.12","17.48","16.69","16.79","16.91","16.91","16.9","16.7"
"2010/01/03","二林","CO",".29",".29",".28",".27",".29",".28",".3",".33",".3",".31",".36",".37",".39",".47",".5",".53",".59",".64",".66",".68",".68",".68",".7",".71"
