"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","忠明","AMB_TEMP","12.62","12.6","12.73","12.89","12.7","12.78","12.79","13.04","14.14","15.59","17.46","19.38","19.95","20.77","20.8","20.6","19.19","18","17.8","17.43","17.31","17.19","17.31","17.09"
"2010/01/01","忠明","CH4","1.776","1.807","1.853","1.856","1.785","1.791","1.8","1.811","1.883","1.957","2.126","1.986","1.787","1.786","1.798","1.788","1.772","1.782","1.795","1.746","1.734","1.754","1.765","1.787"
"2010/01/01","忠明","CO",".55",".61",".71",".68",".4",".42",".43",".61",".89","1.15","1.52","1.18",".67",".71",".77",".8",".67",".66",".8",".59",".5",".43",".59",".58"
"2010/01/01","忠明","NMHC",".155",".162",".267",".267",".126",".136",".145",".208",".362",".482",".713",".5",".281",".275",".311",".305",".295",".313",".398",".274",".232",".156",".238",".221"
"2010/01/01","忠明","NO","1.21","2.01","9.29","11.83","2.22","1.6","1.33","8.71","23.31","31.06","24.11","16.87","8.43","6.61","9.08","10.39","4.27","1.96","2.55","1.87","1.68","1.2","2.11","2.97"
"2010/01/01","忠明","NO2","22.04","25.4","29.04","23.29","20.03","19.58","18.47","23.96","26.28","34.36","52.97","50.25","27.86","29.66","41.52","45.5","34.49","29.15","37.74","28.74","22.47","18.74","28.84","28.43"
"2010/01/01","忠明","NOx","23.24","27.41","38.33","35.13","22.25","21.18","19.79","32.66","49.59","65.42","77.08","67.12","36.29","36.27","50.6","55.89","38.76","31.12","40.29","30.61","24.15","19.94","30.95","31.4"
"2010/01/01","忠明","O3","14","8.6","2.5","2.5","9.2","12#","13","7.2","6.9","8.3","18.1","22.8","24.1","32.2","24.6","17.8","22.3","24.8","14.2","18.9","21.3","22.6","12.2","9.3"
"2010/01/01","忠明","PM10","64","77","75","67","52","46","49","64","59","56","80","79","62","63","79","86","84","79","80","74","69","62","59","68"
"2010/01/01","忠明","PM2.5","39","49","44","35","35","41","31","28","36","46","53","39","35","44","52","58","53","40","37","48","46","35","28","36"
"2010/01/01","忠明","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","忠明","RH","77.22","78.38","79.41","80.81","80.21","79.04","78.21","77.95","75.99","73.43","68.6","64.15","64.01","63.9","64.59","65.02","66.82","70.29","71.76","75.53","78.47","80.39","80.01","81.1"
"2010/01/01","忠明","SO2","3.9","3.6","3.2","2.7","2.9","3.5","3.5","4.6","5.2","5","4.8","4.5","4.1","4.9","6.1","6.7","4.8","4.1","4.3","4","3.1","3.1","3.6","3.1"
"2010/01/01","忠明","THC","1.931","1.968","2.12","2.124","1.911","1.926","1.944","2.019","2.245","2.44","2.838","2.486","2.068","2.062","2.109","2.093","2.067","2.095","2.193","2.02","1.966","1.911","2.003","2.008"
"2010/01/01","忠明","UVB","0","0","0","0","0","0","0",".2",".9","1.9","3.2","3.6","3.5","2.8","1.5",".6",".1","0","0","0","0","0","0","0"
"2010/01/01","忠明","WD_HR","324.18","355.12","315.98","348.96","344.38","346.16","19.72","315.67","310.24","63.66","233.75","262.89","300.29","169.79","227.04","230.36","4.93","355.05","326.37","13.61","358.99","37.1","347.32","54.93"
"2010/01/01","忠明","WIND_DIREC","315.58","321.24","319.03","15.08","45.61","29.46","348.65","284.97","311.99","139.64","252.68","257.31","244.42","212.09","239.47","231.3","356.47","304.16","317.28","342.98","32.79","49.94","331.97","189.22"
"2010/01/01","忠明","WIND_SPEED",".73",".63",".79","1.04",".61","1.17",".67",".55",".64",".63",".99",".91",".56","1.05",".75",".64","1.15",".83","1.15","1.82",".91","1.06","1.25",".51"
"2010/01/01","忠明","WS_HR",".42",".37",".53",".36",".37",".37",".38",".36",".19",".44",".6",".41",".13",".51",".76",".6",".25",".38",".43",".4",".33",".4",".35",".25"
"2010/01/02","忠明","AMB_TEMP","17.06","16.57","16.53","16.56","16.54","16.13","15.81","16.09","16.87","18.11","19.47","20.38","21.32","21.57","20.95","20.2","19.11","18.18","17.76","17.14","16.61","16.38","16.15","16.42"
"2010/01/02","忠明","CH4","1.927","1.785","1.718","1.838","2.063","1.9","1.965","1.82","1.792","1.776","1.882","1.768","1.654","1.652","1.678","1.675","1.702","1.69","1.688","1.646","1.641","1.64","1.646","1.645"
"2010/01/02","忠明","CO",".77",".35",".27",".36",".63",".5",".63",".57",".73",".9","1.25","1.02",".52",".43",".49",".55",".63",".62",".69",".45",".4",".43",".41",".37"
"2010/01/02","忠明","NMHC",".355",".144",".083",".16",".328",".25",".369",".26",".291",".369",".547",".447",".168",".124",".166",".24",".297",".277",".274",".143",".092",".105",".102",".075"
"2010/01/02","忠明","NO","8.44","1.48",".83","1.29","8.99","8.5","14.69","4.81","11.63","17.39","19.6","22.9","2.99","2.14","2.14","2.38","2.45","2.23","3.01",".94",".71","1.3",".59",".29"
"2010/01/02","忠明","NO2","34.65","16.31","12.58","19.78","27.16","26.73","24.39","21.87","24.25","30.83","45.63","44.08","19.49","14.68","19.22","22.93","27.5","26.66","28.51","17.89","14.91","18.38","17.42","15.18"
"2010/01/02","忠明","NOx","43.09","17.79","13.41","21.08","36.16","35.23","39.08","26.69","35.88","48.22","65.23","66.98","22.48","16.82","21.36","25.31","29.95","28.9","31.52","18.84","15.62","19.68","18.01","15.48"
"2010/01/02","忠明","O3","3.3","14.9","20.2","12","3","4.9#","3.4","7.9","8.7","9.6","13.8","13.7","36.3","39.9","33.3","26.6","16.4","14.1","10.9","22.8","26","20.1","21.3","26.5"
"2010/01/02","忠明","PM10","60","45","41","52","67","65","59","68","68","67","80","88","66","57","66","60","84","99","98","76","34","18","16","20"
"2010/01/02","忠明","PM2.5","32","30","33","29","31","27","33","40","54","56","46","56","47","41","55","50","48","67","66","61","33","4","8","5"
"2010/01/02","忠明","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","1.2","1.2",".2",".2","NR"
"2010/01/02","忠明","RH","80.53","84.38","86.55","86.57","85.56","86.66","87.73","88.26","86.76","80.61","73.62","69.95","64.03","66.04","70.01","73.72","81.19","84.6","85.36","85.96","87.32","88.21","87.81","84.5"
"2010/01/02","忠明","SO2","3.1","2.4","2.1","2.7","3.4","3","2.9","2.8","4.4","5.9","6","5.1","5","3.2","3.8","3.5","3.2","3","2.8","2.2","1.6","1.6","1.6","1.6"
"2010/01/02","忠明","THC","2.282","1.929","1.8","1.998","2.391","2.15","2.334","2.08","2.083","2.145","2.429","2.215","1.823","1.776","1.844","1.914","1.999","1.967","1.962","1.789","1.733","1.745","1.748","1.72"
"2010/01/02","忠明","UVB","0","0","0","0","0","0","0",".2",".7","1.5","2.2","2.2","3.3","3.4","1.4",".6",".1","0","0","0","0","0","0","0"
"2010/01/02","忠明","WD_HR","319.4","358.82","34.54","68.78","227.24","326.75","347.65","357.4","40.58","340.13","205.99","297.85","330.52","327.64","318.16","332.48","315.46","1.92","315.94","358.25","19.13","22","14.17","57.29"
"2010/01/02","忠明","WIND_DIREC","332.5","45.31","29.61","92.1","291.19","305.62","36.3","22.5","6.98","118.76","206.33","318.34","321.02","326.13","6.94","310.5","309.54","342.96","299.98","25.47","67.43","41.97","36.53","1.76"
"2010/01/02","忠明","WIND_SPEED",".77",".91",".71",".45",".78",".44",".57","1.27",".76",".46",".71",".79","1.07","1.63","1.43","1.2","1.79","1.52","2.56","2.55","1.88","2.79","2.67","1.88"
"2010/01/02","忠明","WS_HR",".37",".36",".5",".33",".35",".29",".26",".31",".44",".17",".24",".37",".55",".79",".72",".56",".76",".46",".38",".32",".35",".42",".46",".63"
"2010/01/03","忠明","AMB_TEMP","16.44","16.3","15.94","15.81","15.69","15.69","15.24","15.3","15.08","15.61","16.82","18.71","20.09","20.57","20.93","20.69","19.89","18.21","17.39","17.1","16.86","16.96","17.18","17.46"
"2010/01/03","忠明","CH4","1.623","1.653","1.71","1.737","1.813","1.787","1.719","1.779","1.717","1.669","1.704","1.673","1.673","1.677","1.68","1.679","1.718","1.759","1.786","1.799","1.813","1.83","1.88","2.005"
"2010/01/03","忠明","CO",".32",".32",".32",".3",".36",".36",".36",".49",".42",".41",".49",".44",".43",".45",".49",".52",".64",".85","1.03","1.06","1.03","1.1","1.21","1.36"
"2010/01/03","忠明","NMHC",".048",".044",".078",".086",".112",".115",".093",".169",".138",".101",".129",".116",".094",".079",".099",".106",".171",".249",".34",".327",".308",".342",".414",".523"
"2010/01/03","忠明","NO",".38",".5",".6","1.58","1.56",".46","-.02","1.6","2.2","1.71","3.26","2.9","2.86","2.93","2.03","2.44","1.69","1.55","4.3","8.2","12.21","18.45","23.99","31.36"
"2010/01/03","忠明","NO2","11.08","11.41","14.98","17.1","16.71","14.9","14.89","19.49","16.86","13.31","13.66","10.83","12","11.41","13.09","16.91","21.5","31.18","40.48","41.8","39.12","37.74","36.09","35.16"
"2010/01/03","忠明","NOx","11.46","11.9","15.59","18.69","18.27","15.36","14.87","21.09","19.05","15.02","16.91","13.73","14.86","14.34","15.12","19.35","23.19","32.73","44.78","50","51.33","56.18","60.08","66.52"
"2010/01/03","忠明","O3","31.7","30","24.9","22.8","18.4","18.8#","18","11.8","17.2","26.7","28.1","32.1","34.4","36.4","37.1","33.3","27.6","16.1","7","4","3.3","3.2","3.3","3.3"
"2010/01/03","忠明","PM10","15","7","7","12","20","21","17","15","10","17","19","12","20","32","43","53","69","88","112","140","138","121","114","113"
"2010/01/03","忠明","PM2.5","8","14","6","1","7","7","6","12","7","9","15","6","3","16","31","35","42","57","77","95","93","91","91","80"
"2010/01/03","忠明","RAINFALL",".2",".8","NR",".2","1.8","1",".8",".2",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","忠明","RH","79.46","79.28","82.98","83.81","86.78","88.98","89.25","89.43","89.13","85.58","77.45","70.42","66.06","64.94","62.69","61.64","64.81","72.08","75.89","77.36","78.65","78.72","78.28","77.64"
