"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","中壢","AMB_TEMP","12.5","12.57","12.73","12.85","12.93","13.01","13.17","13.49","14.28","15.22","16.41","17.51","18.1","18.83","19.03","18.45","18.02","17.72","17.15","17.14","17.07","17.02","16.82","16.61"
"2010/01/01","中壢","CH4","1.957","1.953","1.953","1.945","1.941","1.958","1.962","1.955","1.955","1.966","1.969","1.978","1.967","1.966","1.974","2.001","2.059","2.102","2.112","2.163","2.21","2.143","2.04","2.04"
"2010/01/01","中壢","CO",".61",".57",".48",".44",".4",".4",".43",".51",".6",".63",".64",".67",".7",".71",".82",".87","1.06","2.24","1.98","2.45","3.33","2.31","1.65","1.07"
"2010/01/01","中壢","NMHC",".181",".162",".107",".111",".089",".085",".107",".152",".178",".247",".267",".318",".308",".296",".361",".481",".598","1.159",".935","1.224","1.766","1.132",".853",".502"
"2010/01/01","中壢","NO","5.34","4.79","3.77","2.33","1.8","3.23","4.26","6.79","8.39","11.63","11.82","10.45","12.2","10.52","13.47","13.8","21.11","57.67","46.37","76.45","128.88","78.61","39.98","17.09"
"2010/01/01","中壢","NO2","17.85","14.03","11.35","11.33","9.88","11.72","15.47","19.34","20.01","23.84","24.66","25.42","26.06","27.11","30.98","34.98","42.05","42.81","43.31","43.1","44.24","41.59","36.35","29.05"
"2010/01/01","中壢","NOx","23.19","18.82","15.12","13.67","11.69","14.95","19.74","26.12","28.4","35.47","36.48","35.86","38.26","37.64","44.45","48.78","63.17","100.48","89.67","119.55","173.13","120.19","76.33","46.14"
"2010/01/01","中壢","O3","29","31","34","33.9","35.7","33","29.2","26.4","25.4","23","23.8","25.2","27.9","28.5","24.4","16.9","8.3","5.2","3.3","3.4","3.9","4.2","9.6","10"
"2010/01/01","中壢","PM10","103","98","93","90","83","80","77","77","82","77","69","69","72","73","70","74","76","81","84","85","91","96","92","90"
"2010/01/01","中壢","PM2.5","36","47","34","27","30","26","27","29","21","17","25","22","22","27","33","29","30","41","35","37","53","57","49","41"
"2010/01/01","中壢","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","中壢","RH","76.7","76.73","76.37","75.73","75.81","76.93","77.36","77.52","76.56","74.53","71.54","69.19","69.12","67.94","67.72","70.37","73.58","76.24","79.98","80.6","81.72","81.53","82.2","84.62"
"2010/01/01","中壢","SO2","6","4.5","4","3.8","3.6","3.8","3.7","4.1","4","4.5","5.3","4.8","4.9","6.4","5.5","5","8.3","7.8","8.9","9.1","9.8","7.8","6.9","5.4"
"2010/01/01","中壢","THC","2.139","2.116","2.06","2.056","2.03","2.043","2.069","2.108","2.134","2.213","2.236","2.295","2.275","2.262","2.335","2.482","2.658","3.261","3.047","3.388","3.975","3.275","2.893","2.543"
"2010/01/01","中壢","WD_HR","285.19","276.02","259.6","284.97","263.52","274.28","277.47","277.34","278.04","274.97","283.23","286.41","289.51","299.51","293.3","273.69","259.82","218.8","235.69","200.74","193.19","186.2","183.56","191.18"
"2010/01/01","中壢","WIND_DIREC","237.04","284.55","260.43","280.6","223.01","171.42","259.97","261.91","268.58","288.29","283.47","287.44","305.78","314.16","300.26","262.18","261.91","246.86","251.06","189.33","190.84","186.7","191.56","221.23"
"2010/01/01","中壢","WIND_SPEED","1.74","1.93","1.59","1.5","1.63","1.61","1.64","1.56","1.87","1.38","1.32","1.29","1.25","1.25","1.35",".84",".74",".74",".57",".97",".63",".92",".64",".53"
"2010/01/01","中壢","WS_HR",".32",".28",".39",".34",".35",".18",".37",".53",".65",".61",".56",".62",".37",".54",".49",".43",".39",".61",".45",".58",".68",".7",".87",".67"
"2010/01/02","中壢","AMB_TEMP","16.32","16.08","16.04","15.97","15.65","15.84","15.84","16.08","16.37","16.92","17.95","18.24","17.74","17.74","17.29","16.36","15.71","15.45","15.28","15","14.76","14.76","14.76","14.48"
"2010/01/02","中壢","CH4","2.212","2.255","2.144","2.27","2.308","2.118","2.274","2.123","2.193","2.127","2.039","2.097","1.958","1.971","1.951","1.968","1.965","1.965","1.97","1.991","1.98","1.994","1.998","2.003"
