"¤é´Á","´ú¯¸","´ú¶µ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","¥j«F","AMB_TEMP","13.84","13.76","13.82","13.93","14.15","14.57","14.78","15.06","15.54","16.41","17.61","18.2","18.95","19.4","19.11","18.7","18.55","18.4","18.33","18.43","18.36","18.12","17.89","17.65"
"2010/01/01","¥j«F","CH4","1.862","1.86","1.844","1.876","1.858","1.819","1.817","1.815","1.815","1.821","1.817","1.827","1.83","1.831","1.832","1.842","1.859","1.859","1.873","1.923","1.922","1.934","1.991","1.956"
"2010/01/01","¥j«F","CO",".52",".49",".38",".36",".34",".32",".35",".37",".41",".43",".4",".43",".42",".42",".45",".52",".67",".7",".74",".96","1.09","1.11","1.42","1.12"
"2010/01/01","¥j«F","NMHC",".099",".097",".062",".059",".053",".048",".055",".063",".08",".11",".098",".123",".123",".127",".133",".162",".22",".24",".25",".334",".363",".368",".523",".378"
"2010/01/01","¥j«F","NO","2.45","2.61","1.87","1.08",".98","1.28","1.93","2.81","3.52","6.35","5.35","7.14","6.91","5.97","5.85","8.99","13.55","10.6","12.94","19.76","28.58","30.36","49.42","35.4"
"2010/01/01","¥j«F","NO2","15.69","13.77","11.03","9.57","8.45","8.2","10.78","12.37","13.72","16.47","14.44","17.19","16.73","16.69","20.61","26.91","34.09","33.38","35.21","39.46","37.68","28.18","28.35","25.07"
"2010/01/01","¥j«F","NOx","18.14","16.38","12.9","10.65","9.43","9.49","12.72","15.18","17.24","22.82","19.78","24.34","23.64","22.65","26.46","35.9","47.63","43.98","48.15","59.22","66.26","58.54","77.77","60.47"
"2010/01/01","¥j«F","O3","29.6","29.4","31.8","31.7","32.6","36.6","33.3","31.6","30","28","30.8","28.5","30","30","25","18.1","11.7","11.7","9.2","4.8","4.3","4","3","2.9"
"2010/01/01","¥j«F","PM10","93","85","80","81","85","81","80","71","77","75","75","74","64","67","63","67","69","66","66","58","61","54","56","48"
"2010/01/01","¥j«F","PM2.5","35","34","29","31","29","29","25","25","26","28","35","25","26","20","28","28","31","33","31","27","30","29","29","24"
"2010/01/01","¥j«F","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","¥j«F","RH","72.37","72.7","72.61","72.32","72.08","70.51","70.38","70.68","70.35","68.18","65.57","65.56","64.6","64.56","67.23","70.79","72.86","74.67","74.93","73.6","73.21","73.65","76.89","78.06"
"2010/01/01","¥j«F","SO2","3.4","3.1","2.8","2.9","2.9","3.2","3.2","3.1","3","3.6","2.8","2.9","2.7","2.7","2.9","4.9","5.5","4.1","3.3","2.9","2.8","2.4","3","2.6"
"2010/01/01","¥j«F","THC","1.961","1.957","1.905","1.935","1.91","1.867","1.872","1.878","1.896","1.931","1.915","1.95","1.953","1.958","1.965","2.004","2.08","2.099","2.124","2.257","2.285","2.302","2.514","2.334"
"2010/01/01","¥j«F","WD_HR","110.02","111.85","108.69","110.37","107.87","101.31","99.95","103.27","90.36","85.09","77.98","81.25","79.67","74.58","74.16","83.53","84.6","98.25","106.17","117.34","172.78","190.29","185.01","148.59"
"2010/01/01","¥j«F","WIND_DIREC","111.17","110.42","106.59","111.22","101.8","104.61","97.53","104.51","85.42","81.49","80.37","83.79","81.16","84.43","66.19","90.48","96.12","94.54","107.9","133.78","206.32","177.89","214.04","141.92"
"2010/01/01","¥j«F","WIND_SPEED","3.21","4.15","3.49","3.35","3.28","3.37","3.42","4.24","3.43","3.95","4.82","3.67","3.72","3.99","3.47","2.73","1.85","2.3","1.75","1.43","1.8","1.05",".96","1.14"
"2010/01/01","¥j«F","WS_HR","3.07","3.89","3.59","3.45","3.37","3.44","3.3","3.72","3.54","3.8","4","3.65","3.26","3.43","3.14","2.52","1.96","2.21","2","1.19",".81",".97",".77","1.04"
"2010/01/02","¥j«F","AMB_TEMP","17.34","17.09","16.87","16.76","16.63","16.6","16.49","16.68","17.18","17.92","18.72","19.31","19.58","19.48","19.54","18.31","17.28","16.83","16.55","16.26","15.96","16.16","16.02","15.73"
"2010/01/02","¥j«F","CH4","2.031","1.973","1.861","1.861","2.016","2.072","1.999","2.324","2.352","1.996","1.981","2.079","2.094","2.008","1.979","1.91","1.902","1.918","1.942","1.946","1.926","1.921","1.931","1.95"
"2010/01/02","¥j«F","CO","1.05",".78",".48",".44",".56",".59",".68","1.21","1.53","1.06",".92","1.12","1.27",".85",".93",".68",".69",".83",".87",".82",".72",".8",".87",".74"
"2010/01/02","¥j«F","NMHC",".359",".279",".114",".094",".177",".228",".249",".571",".71",".435",".39",".537",".621",".371",".397",".254",".25",".303",".319",".291",".239",".265",".272",".198"
"2010/01/02","¥j«F","NO","34.72","19.17","5.89","3.39","10.19","12.41","27.29","49.1","71.56","38.79","20.51","19.87","22.94","9.31","8.88","2.9","2.49","4.3","5.38","7.49","7.55","11.3","12.75","3.95"
"2010/01/02","¥j«F","NO2","24.71","20.26","13.34","10.01","13.66","14.74","14.45","20.23","25.4","28.47","34.67","47.24","55.98","38.32","40.28","26.04","26.42","33.62","36.64","37.12","34.76","34.93","36.82","26.06"
"2010/01/02","¥j«F","NOx","59.43","39.43","19.23","13.4","23.86","27.15","41.74","69.33","96.96","67.27","55.18","67.12","78.92","47.63","49.15","28.94","28.91","37.93","42.02","44.61","42.31","46.24","49.57","30.01"
"2010/01/02","¥j«F","O3","2.8","3.2","5.8","6","4.1","4.8#","3.6","3.6","4","6.6","11","14.7","11.8","17.6","14.6","22.4","22.8","16.8","13.6","10.7","12.5","11.3","7.8","16"
"2010/01/02","¥j«F","PM10","55","39","38","27","30","22","28","37","52","70","81","93","104","111","105","94","76","61","34","24","25","27","30","28"
"2010/01/02","¥j«F","PM2.5","27","24","24","15","12","13","18","23","31","37","40","46","60","71","68","57","49","32","27","21","20","16","11","20"
"2010/01/02","¥j«F","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",".8",".8","1.2",".6","NR",".8",".6"
"2010/01/02","¥j«F","RH","80.17","81.11","81.89","82.07","83.95","85.18","85.41","85.61","84.18","81.08","78.56","76.02","77.45","80.52","79.78","84.42","89.3","91.35","93.28","93.54","93.55","92.09","92.81","92.79"
"2010/01/02","¥j«F","SO2","2.3","1.7","1.3","1.1","1.4","1.5","1.7","3.4","5.4","11.4","9.7","9.9","10.5","5.6","3.5","1.8","1.4","1.3","1.4","1.4","1.4","1.6","1.5","1.7"
"2010/01/02","¥j«F","THC","2.389","2.252","1.976","1.956","2.193","2.3","2.248","2.894","3.062","2.431","2.37","2.616","2.715","2.378","2.376","2.164","2.152","2.221","2.261","2.237","2.166","2.187","2.203","2.148"
"2010/01/02","¥j«F","WD_HR","224.25","189.83","191.97","207.86","191.85","202.78","179.63","230.02","166.97","183.94","259.53","253.26","269.03","294.26","320.88","316.18","310.5","309.43","307.16","297.83","250.9","239.78","240.78","314.93"
"2010/01/02","¥j«F","WIND_DIREC","241.22","186.91","178.86","197.88","210.42","184.82","241.66","201.3","154.36","226.62","355.58","254.22","311.98","324.23","320","318.91","286.18","306.62","312.27","302.16","240.32","241.19","247.38","320.82"
