"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","大園","AMB_TEMP","13.92","13.96","14.06","14.17","14.3","14.4","14.58","14.82","15.76","16.89","17.7","18.91","19.67","20.36","20.45","20.07","19.69","18.88","18.48","17.95","17.75","17.62","17.66","17.51"
"2010/01/01","大園","CO",".3",".3",".31",".31",".29",".29",".3",".31",".33",".33",".38",".34",".33",".34",".37",".4",".45",".53",".61",".72",".85","1",".88",".68"
"2010/01/01","大園","NO","1.47","1.6","1.56","1.66","2.25","2.05","2.08","3.73","4.93","5.58","6.25","6.82","6.38","5.2","6.92","8.19","6.42","3.8","5.17","6.34","8.55","21.43","17.24","6.72"
"2010/01/01","大園","NO2","9.24","8.4","9.42","8.03","8.86","10.37","11.74","16.54","17.11","14.59","16.2","17.46","15.27","16.85","23.32","26.06","31.63","36.05","38.41","37.5","36.66","35.06","38.79","32.54"
"2010/01/01","大園","NOx","10.71","10","10.98","9.69","11.11","12.42","13.82","20.27","22.03","20.17","22.45","24.28","21.65","22.05","30.24","34.25","38.05","39.85","43.58","43.84","45.21","56.49","56.03","39.26"
"2010/01/01","大園","O3","37","36.3","35.3","35.9","34.6","34.8#","31.7","27.8","28.3","31.1","30.8","29.7","32.9","33.3","27.1","21","14.2","6.8","3.1","2.3","1.9","1.9","2.3","4.6"
"2010/01/01","大園","PM10","78","72","73","71","69","61","57","59","54","56","56","42","47","45","50","51","58","53","58","55","61","67","76","79"
"2010/01/01","大園","PM2.5","38","32","40","32","29","33","30","32","30","34","34","32","33","25","26","36","29","37","39","35","44","43","48","54"
"2010/01/01","大園","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","大園","RH","64.02","64.96","65.51","65.98","65.83","66.62","66.76","66.59","64.62","62.45","59.58","58.36","57.81","56.78","57.56","60.58","62.95","67.57","69.84","74.98","76.53","77.77","76.91","77"
"2010/01/01","大園","SO2","3.4","3.6","4","4.1","4.5","4.8","4.7","6.2","6.1","4.2","2.8","4.7","4.6","6.8","6.7","5.2","9.8","4.9","5.3","5.8","6.5","6.4","6.4","6.1"
"2010/01/01","大園","WD_HR","62.88","60.82","58.15","56.31","60.08","57.62","65","66.49","73.14","79.36","81.07","93.76","106.41","107.48","79.93","86.14","120.63","150.74","161.09","178.75","193.17","232.31","272.59","229.41"
