"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","林口","AMB_TEMP","11.84","11.94","11.93","11.94","11.99","12.13","12.28","12.51","13.34","14.41","15.57","16.33","16.86","17.64","17.47","17.47","16.87","16.44","16.33","16.17","16.2","16.22","16.34","15.95"
"2010/01/01","林口","CO",".35",".37",".44",".37",".36",".33",".35",".36",".35",".33",".32",".31",".3",".31",".32",".37",".37",".51",".59",".64",".71",".87",".87",".89"
"2010/01/01","林口","NO","1.16","1.09","1.16",".97",".96",".97",".87","2.82","3.79","3.23","3.06","2.62","2.59","2.81","2.48","2.53","1.58","1.47","1.58","1.43","4.42","14.24","18.75","21.66"
"2010/01/01","林口","NO2","8.3","10.09","16.65","11.78","12.3","12.23","13.42","19.68","14.91","11.45","8.41","7.55","7.75","9.05","10.22","13.8","14.51","24.27","28.07","30.17","34.04","40.64","38.87","38.58"
"2010/01/01","林口","NOx","9.46","11.18","17.81","12.75","13.26","13.2","14.28","22.51","18.7","14.68","11.47","10.17","10.34","11.86","12.7","16.33","16.09","25.74","29.65","31.6","38.46","54.89","57.61","60.24"
"2010/01/01","林口","O3","37.7","35.1","28.8","32.2","30.6","31.4","29.3","25.3","30.4","33.8","37.2","37.8","38.6","37.7","34.5","30.4","27.9","17.7","14.6","13","8.7","1.8","2.3","1.7"
"2010/01/01","林口","PM10","79","77","73","67","64","69","67","70","97","112","88","59","47","44","45","45","46","48","55","52","47","51","60","63"
"2010/01/01","林口","PM2.5","30","27","30","29","24","24","26","24","26","26","21","22","17","15","19","21","20","21","21","19","21","25","35","41"
"2010/01/01","林口","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","林口","RH","71.46","71.55","73.68","74.39","74.32","75.09","75.19","74.93","72.88","69.9","66.94","66.53","66.61","65.09","67.04","68.98","72.51","75.29","76.18","77.55","76.64","77.44","76.77","79.18"
"2010/01/01","林口","SO2","5.3","4.6","5.5","5.8","6.5","7.9","7.2","8.3","5.4","4.2","3.6","3.1","2.8","2.8","2.9","3.8","3","3.7","4.2","5.6","5.3","6.2","15.2","11.5"
"2010/01/01","林口","WD_HR","67.8","74.3","75.92","80.04","81.95","72.74","78.81","86.62","84.65","86.66","82.52","85.64","86.72","89.74","88.39","89.82","98.55","97.82","92.87","102.54","149.97","164.73","243.17","148.75"
"2010/01/01","林口","WIND_DIREC","66.18","83.37","88.93","80.8","84.87","72.11","83.02","85.27","84.55","86.54","89.38","91.47","81.06","93.94","85.36","88.33","91.72","103.15","97.73","115.53","168.66","28.05","246.26","162.91"
"2010/01/01","林口","WIND_SPEED","3.65","3.89","3.85","3.72","3.71","3.2","3.34","4.09","3.85","5.51","3.98","3.97","3.85","3.89","2.64","2.43","1.86","1.48","1.05","1.09",".48",".79",".65",".65"
"2010/01/01","林口","WS_HR","3.41","3.43","3.18","3.49","3.34","3.24","3.15","3.62","4.41","4.5","4.4","3.84","3.76","3.29","2.81","2.59","1.73","1.59","1.22",".76",".44",".21",".81",".64"
"2010/01/02","林口","AMB_TEMP","15.82","15.59","15.64","15.53","15.13","14.99","14.9","15.45","15.92","16.75","17.72","17.2","16.77","16.91","16.56","15.74","15.14","14.93","14.61","14.2","14.02","13.97","14.09","13.56"
"2010/01/02","林口","CO",".95","1.01",".91",".75",".79",".68",".64",".54",".48",".49",".59",".54",".38",".4",".41",".42",".38",".41",".35",".32",".33",".32",".36",".49"
"2010/01/02","林口","NO","22.99","24.67","29.16","5.14","9.73","9.8","10.19","5.75","4.37","9.15","13.31","6.9","2.68","1.7","1.7",".6",".33",".61",".64",".02",".01",".11","-.05",".12"
"2010/01/02","林口","NO2","38.76","38.74","38.81","34.29","34.15","30.88","29.91","24.94","23.22","25.78","30.99","24.12","12.96","13.46","15.84","11.36","11.52","12.13","10.7","7.85","5.42","5.32","6.33","5.67"
"2010/01/02","林口","NOx","61.75","63.41","67.96","39.43","43.88","40.68","40.1","30.69","27.59","34.93","44.3","31.02","15.64","15.16","17.53","11.96","11.85","12.74","11.34","7.87","5.43","5.44","6.28","5.79"
"2010/01/02","林口","O3","1.4","1.5","2.6","2.5","2","4#","4.1","9.7","15.4","16.4","14.2","18.7","31.9","31.6","29.1","33.6","34.3","34.4","35.2","39","39.8","39.1","35.3","37.2"
"2010/01/02","林口","PM10","63","71","78","85","83","79","78","73","70","85","135","136","91","78","93","87","51","24","17","16","12","10","9","16"
"2010/01/02","林口","PM2.5","43","47","47","44","44","45","37","32","34","39","52","56","47","41","46","48","30","10","7","6","3","4","11","19"
"2010/01/02","林口","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","1.4","2.8","3","1.6",".6","1.6","1.8","1.8"
