"дщ┤┴","┤·п╕","┤·╢╡","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","оч╢щ","AMB_TEMP","12.48","12.57","12.68","12.71","12.82","12.98","13.21","13.53","14.31","15.21","16.29","17.24","17.7","18.53","18.45","17.99","17.49","17.08","16.98","16.81","16.71","16.53","16.45","16.41"
"2010/01/01","оч╢щ","CH4","1.65","1.628","1.652","1.663","1.667","1.68","1.676","1.672","1.661","1.64","1.627","1.63","1.63","1.651","1.654","1.64","1.637","1.661","1.715","1.718","1.836","2.473","1.917","1.947"
"2010/01/01","оч╢щ","CO",".44",".4",".36",".34",".32",".33",".36",".42",".43",".4",".38",".38",".38",".43",".46",".46",".47",".61",".8",".79","1.01","1.13","1.07","1.18"
"2010/01/01","оч╢щ","NMHC",".142",".128",".108",".1",".098",".107",".119",".151",".158",".163",".152",".163",".15",".18",".205",".219",".235",".311",".406",".363",".505",".759",".598",".624"
"2010/01/01","оч╢щ","NO","1.45","1.5","1.06","1.28","1.81","1.63","1.42","2.14","3.09","3.96","3.86","3.91","3.85","5.77","4.22","3.57","2.38","2.26","4.34","4.44","13.05","28.82","25.11","30.99"
"2010/01/01","оч╢щ","NO2","13.52","10.6","8.61","8.94","9.15","9.26","9.73","12.94","12.94","12.66","11.83","11.86","12.24","16.5","17.73","19.22","21.3","31.19","36.75","36.85","37.69","37.3","36.77","35.1"
"2010/01/01","оч╢щ","NOx","14.97","12.09","9.66","10.22","10.96","10.89","11.15","15.08","16.02","16.61","15.68","15.77","16.09","22.27","21.96","22.78","23.68","33.45","41.09","41.29","50.74","66.11","61.88","66.09"
"2010/01/01","оч╢щ","O3","31.8","34.5","35.6","34.4","33.8","29#","31.8","29.8","30.1","31","33","33.8","34.3","31.7","28.9","24.8","20.8","10.5","5.3","4.8","2.8","2.4","2.2","2.5"
"2010/01/01","оч╢щ","PM10","95","101","88","81","72","81","80","78","70","65","61","56","57","51","52","51","64","61","70","72","79","75","73","72"
"2010/01/01","оч╢щ","PM2.5","32","32","36","29","29","24","27","28","32","27","25","26","23","22","22","20","25","27","35","32","34","34","34","32"
"2010/01/01","оч╢щ","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","оч╢щ","RH","71.93","71.56","71.23","71.32","71.36","72.22","71.82","71.95","70.91","68.86","66.37","64.96","65.31","64.25","65.58","68.59","72.12","74.82","76.15","77.39","78.51","80.8","81.5","82.07"
"2010/01/01","оч╢щ","SO2","10.4","7.7","7.7","7.9","8.4","7.9","8.4","7.4","6","5.4","4","3.3","3.1","3.8","3.8","4.8","8.8","14.9","21.3","6.2","17.3","7.4","5.4","5.8"
"2010/01/01","оч╢щ","THC","1.793","1.755","1.759","1.763","1.765","1.787","1.796","1.824","1.818","1.802","1.779","1.792","1.781","1.832","1.86","1.859","1.872","1.972","2.12","2.082","2.341","3.232","2.515","2.571"
"2010/01/01","оч╢щ","UVB","0","0","0","0","0","0","0",".3","1","2.4","3.2","4.1","4.3","3.3","1.9",".7",".1","0","0","0","0","0","0","0"
"2010/01/01","оч╢щ","WD_HR","83.86","85.85","83.96","84.23","84.77","81.79","84.93","85.74","81.71","87.95","87.58","86.99","89.45","86.34","84.4","87.25","92.68","92.94","90.09","98.59","128.35","169.77","137.1","91.43"
"2010/01/01","оч╢щ","WIND_DIREC","82.27","84.62","84.66","82.73","80.3","79.32","85.94","83.33","82.6","90.78","89.13","90.29","91.06","98.64","80.65","88.83","91.92","88.82","89.19","128.76","206.55","131.04","102.6","349.97"
"2010/01/01","оч╢щ","WIND_SPEED","3.29","4.06","4.14","3.75","3.51","3.59","5.1","4.02","4.71","4.35","4.26","4.26","2.87","2.27","2.32","3.1","2.4","2.09","1.71",".86",".78",".46",".51",".46"
"2010/01/01","оч╢щ","WS_HR","2.94","3.71","3.69","3.45","3.61","3.27","3.97","3.77","3.9","3.81","3.63","3.7","3.29","2.46","2.14","2.66","2.61","2.13","1.84",".97",".42",".37",".4",".34"
"2010/01/02","оч╢щ","AMB_TEMP","16.28","16.15","16.2","16.08","15.61","15.42","15.55","15.88","16.45","17.12","17.97","18.51","18.42","18.38","18.13","17.23","16.87","16.72","16.49","16.07","15.91","15.93","15.77","15.51"
"2010/01/02","оч╢щ","CH4","2.629","2.208","2.113","2.429","2.993","2.655","2.129","2.509","2.173","1.806","1.717","1.823","1.649","1.619","1.635","1.586","1.611","1.604","1.589","1.558","1.618","1.618","1.615","1.68"
"2010/01/02","оч╢щ","CO","1.24","1.06",".79",".84",".88",".88","1.13","1.45","1.21",".67",".73",".97",".6",".61",".75",".57",".65",".67",".57",".4",".49",".52",".43",".47"
"2010/01/02","оч╢щ","NMHC",".753",".653",".488",".549",".625",".607",".66",".844",".737",".426",".465",".734",".358",".305",".381",".226",".305",".268",".253",".129",".222",".21",".124",".124"
"2010/01/02","оч╢щ","NO","35.26","30.26","26.21","28.1","27.97","25.9","37.83","47.61","57.91","17.76","18.7","23.43","11.63","9.91","7.1","4.19","5.78","5.87","5.11","2.55","3.52","3.59","2.28","2.12"
"2010/01/02","оч╢щ","NO2","34.62","31.15","31.04","26.92","26.74","23.83","22.2","24.52","30.44","29.21","33.38","44.55","30.97","31.82","30.65","21.78","28.88","30.78","24.63","14.68","20.41","21.34","15.51","13.09"
"2010/01/02","оч╢щ","NOx","69.88","61.41","57.25","55.02","54.71","49.73","60.03","72.13","88.34","46.97","52.08","67.98","42.6","41.73","37.75","25.97","34.66","36.65","29.74","17.23","23.93","24.93","17.79","15.21"
"2010/01/02","оч╢щ","O3","2.3","2.6","2.3","2.3","2.1","1.8#","2.5","2.5","3.5","9.8","9.7","10.3","16.2","16","15.3","23.2","16.5","14.6","19.9","26.5","21.2","19.1","24.1","25.6"
"2010/01/02","оч╢щ","PM10","74","73","72","69","66","71","72","67","86","95","107","104","94","93","76","85","73","55","35","26","24","17","15","13"
"2010/01/02","оч╢щ","PM2.5","39","37","41","39","47","43","43","41","50","47","49","52","54","55","48","48","50","38","24","7","5","5","3","7"
"2010/01/02","оч╢щ","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","1.8","3.4","3","2.2",".6","1.6","1.6","1.8"
"2010/01/02","оч╢щ","RH","83.22","84.94","85.34","85.95","87.54","89","89.49","89.56","88.65","86.34","82.7","79.64","82.24","82.57","82.86","86.42","89.72","91.28","92.16","92.43","92.71","92.94","93.07","93.16"
"2010/01/02","оч╢щ","SO2","6.2","11.2","8","7.2","5","4.6","7.7","8.5","14.4","12.1","13.6","16.1","6.3","5.2","4.2","3.5","6.2","3.1","6.3","2.4","5.9","5.8","1.6","1.9"
"2010/01/02","оч╢щ","THC","3.382","2.86","2.601","2.978","3.618","3.262","2.788","3.354","2.91","2.232","2.182","2.556","2.007","1.924","2.016","1.811","1.916","1.873","1.842","1.687","1.841","1.828","1.739","1.803"
"2010/01/02","оч╢щ","UVB","0","0","0","0","0","0","0",".1",".6","1.5","1.7","2","2.2","1.3",".5",".1","0","0","0","0","0","0","0","0"
"2010/01/02","оч╢щ","WD_HR","61.07","136.49","151.69","45.09","58.64","96.75","78.57","94.68","166.47","208.97","96.89","286.27","276.58","295.24","298.35","299.21","305.97","310.92","316.68","38.69","34.37","4.78","60.25","353.26"
"2010/01/02","оч╢щ","WIND_DIREC","74.44","135.57","321.32","87.09","21.28","95.01","86.15","147.25","200.62","215.55","327.71","282.34","283.17","306.87","303.74","316.14","299.36","329.28","330.82","71.98","40.96","32.22","45.94","320.08"
"2010/01/02","оч╢щ","WIND_SPEED",".46",".9",".46",".7",".53",".94",".5",".62",".99",".93",".69","1.3",".85",".89","1.51",".89","1.06","1.01","1",".53",".52",".69",".59",".7"
"2010/01/02","оч╢щ","WS_HR",".28",".77",".18",".32",".4",".49",".42",".32",".81",".68",".16",".77",".89",".51",".55",".55",".44",".37",".37",".27",".2",".18",".12",".18"
"2010/01/03","оч╢щ","AMB_TEMP","15.16","14.81","14.79","14.67","14.47","14.62","14.39","14.44","14.72","14.79","15.26","15.98","16.55","16.73","16.75","16.66","16.28","16.02","15.99","16.07","15.7","15.56","15.53","15.54"
"2010/01/03","оч╢щ","CH4","1.684","1.699","1.743","1.713","1.716","1.759","1.672","1.721","1.777","1.736","1.746","1.736","1.725","1.714","1.755","1.72","1.695","1.728","1.65","1.643","1.702","1.689","1.666","1.662"
"2010/01/03","оч╢щ","CO",".49",".49",".51",".52",".5",".52",".48",".6",".67",".63",".75",".75",".75",".72",".94",".9",".84",".9",".67",".6",".73",".73",".66",".63"
"2010/01/03","оч╢щ","NMHC",".095",".101",".133",".131",".134",".151",".113",".182",".219",".214",".266",".263",".242",".219",".328",".29",".248",".276",".181",".153",".209",".21",".179",".172"
"2010/01/03","оч╢щ","NO","2.07","1.29","1.61","1.2","1.22","1.23","1.37","2.31","3.76","2.98","6.29","7.79","9.06","4.76","7.99","5.43","3.29","2.32","1.78","1.69","1.84","2.08","1.52","1.29"
"2010/01/03","оч╢щ","NO2","10.18","8.79","12.34","12.83","10.63","12.04","8.64","16.51","19.53","19.54","23.68","25.42","27.88","24.79","31","27.11","24.48","29.33","16.96","14.58","23.53","27.38","25","22.24"
"2010/01/03","оч╢щ","NOx","12.25","10.07","13.95","14.02","11.85","13.27","10.01","18.82","23.29","22.52","29.96","33.21","36.94","29.54","38.99","32.54","27.77","31.65","18.75","16.27","25.36","29.46","26.52","23.54"
"2010/01/03","оч╢щ","O3","28.3","31.4","25","23","24.4","24.1#","32.1","23.1","20.6","22.3","19.9","21.3","20.6","22.9","17.5","26.2","33.6","28.7","37","40.3","30.8","27.8","29.5","29.5"
"2010/01/03","оч╢щ","PM10","14","14","24","34","37","33","27","24","27","26","37","51","83","110","131","131","130","135","125","110","102","108","112","100"
"2010/01/03","оч╢щ","PM2.5","5","5","4","20","26","27","16","15","12","15","17","33","50","65","70","79","86","92","78","68","59","56","57","63"
"2010/01/03","оч╢щ","RAINFALL","1",".4","1","1.6","1.4","2","1.2",".4",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","оч╢щ","RH","93.09","92.93","92.98","93.07","93.19","93.34","93.25","93.16","93.16","92.58","92.1","89.01","81.64","76.02","77.25","78.3","79.78","80.17","79.45","76.2","77.21","78.23","79.38","80.24"
"2010/01/03","оч╢щ","SO2","1.3","2.2","8.6","14.3","5.9","2.6","4.6","5.1","6.2","3.2","6.3","8","7","6.3","8.8","9.5","9.4","9.7","5.5","5.9","8.2","9","5.5","4.9"
"2010/01/03","оч╢щ","THC","1.779","1.8","1.876","1.844","1.851","1.91","1.784","1.903","1.996","1.95","2.012","2","1.967","1.932","2.083","2.01","1.943","2.004","1.831","1.796","1.91","1.9","1.845","1.833"
"2010/01/03","оч╢щ","UVB","0","0","0","0","0","0","0",".1",".5",".3","1.8","2.4","1.8",".8",".8",".7",".2","0","0","0","0","0","0","0"
"2010/01/03","оч╢щ","WD_HR","13.65","80.57","130.24","64.36","93.06","261.9","110.66","76.96","72.14","74.68","83.51","83.94","82.39","65.53","66.91","74.65","84.19","84.04","88.71","85.86","87.07","90.79","97.94","106.74"
"2010/01/03","оч╢щ","WIND_DIREC","171.8","55.78","125.75","52.22","225.38","160.97","130.93","65.2","62.36","100.46","75.93","67.06","77.98","60.86","78.43","71.77","85.09","88.73","89.93","82.66","90.9","90.09","102.05","125.84"
"2010/01/03","оч╢щ","WIND_SPEED",".52",".84",".53",".93",".59",".66","1.33","1.11","1.96","1.65","1.01","1.48","2.26","2.25","1.3","2.26","2.38","2.03","3.99","4.11","3.87","3.5","2.45","1.75"
"2010/01/03","оч╢щ","WS_HR",".14",".53",".4",".74","1.12",".16","1.01",".76","1.3","1.25",".71","1.5","1.83","1.69","1.42","2","2.14","2.04","3.07","3.83","3.49","3.36","2.81","2.01"
