"ら戳","代","代兜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","窾地","AMB_TEMP","13.52","13.39","13.27","13.52","13.73","13.85","14.05","14.23","14.82","15.76","17","17.6","18.53","19.17","18.68","18.17","17.8","17.82","17.8","17.81","17.75","17.5","17.25","17.16"
"2010/01/01","窾地","CO",".64",".77",".59",".52",".41",".38",".41",".48",".45",".44",".41",".41",".39",".43",".43",".45",".53",".77","1.01","1.17","1.31","1.37","1.63","1.81"
"2010/01/01","窾地","NO","3.93","5.17","4.12","2.48","1.88","1.69","2.15","3.04","3.81","4.88","5.33","5.38","5.1","5.09","4.57","4.14","4.48","7.57","15.92","20.84","25.76","31.78","50.54","62.3"
"2010/01/01","窾地","NO2","19.67","21.08","16.82","15.51","12.82","10.68","13.13","15.14","15.14","15.13","14.3","14.77","14.11","15.09","17.67","18.7","26.46","32.99","36.7","37.87","36.89","29.97","32.04","30.41"
"2010/01/01","窾地","NOx","23.6","26.26","20.94","17.99","14.71","12.37","15.28","18.18","18.94","20.01","19.63","20.15","19.21","20.18","22.24","22.84","30.94","40.56","52.62","58.71","62.65","61.75","82.59","92.71"
"2010/01/01","窾地","O3","27.5","24","25.6","26","28.6","33.3","29.8","28","28.5","29.5","31","30.6","32","30.9","26.6","24.4","16.7","10.5","5.8","3.7","2.2","2.7","1.4","2.9"
"2010/01/01","窾地","PM10","99","90","71","77","68","64","57","58","75","59","66","67","61","60","52","64","53","51","54","59","69","53","68","58"
"2010/01/01","窾地","PM2.5","46","45","54","43","33","25","35","37","34","23","27","23","26","23","30","31","29","25","26","32","37","36","43","48"
"2010/01/01","窾地","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","窾地","RH","68.97","70.33","71.64","70.43","70.09","70.53","70.39","71.22","70.38","67.52","64.91","64.99","63.54","62.88","66.23","70.01","72.86","74.12","74.59","73.82","74.12","74.8","79.22","80.3"
"2010/01/01","窾地","SO2","4","2.7","2.4","2.3","2.4","2.6","2.6","2.6","2.8","3","2.5","2.2","2","1.9","2.7","3.8","5.4","4","3.3","2.6","2.5","2.6","6.5","6.1"
"2010/01/01","窾地","WD_HR","112.95","125.76","125.3","124.09","112.19","108.99","107.97","106.83","104.68","101.33","97.81","96.26","91.45","91.44","89.25","98.72","99.4","100.97","114.39","122.58","156.87","187.64","212.64","159.49"
"2010/01/01","窾地","WIND_DIREC","114.92","132.86","120.02","117.69","105.58","110.22","112.86","103.75","100.08","101.52","99.52","93.25","90.76","98.8","77.42","99.41","94.67","101.92","121.19","197.08","162.76","187.05","217.13","150.72"
"2010/01/01","窾地","WIND_SPEED","3.49","3.45","2.26","2.61","3.53","3.09","4.64","3.38","4.59","3.97","3.73","3.65","3.12","2.08","1.73","3.3","2.36","2.39","1.54","1","1.77","1.24",".67","1.33"
"2010/01/01","窾地","WS_HR","3.05","3.06","2.68","2.4","2.77","3.05","3.13","3.53","3.84","3.95","3.24","3.27","2.96","2.17","2.08","2.69","2.46","2.19","1.79",".83","1.01","1.06",".95",".96"
"2010/01/02","窾地","AMB_TEMP","16.92","16.8","16.63","16.48","16.19","16.01","16","16.11","16.56","17.58","18.34","18.76","18.76","18.67","18.52","17.29","16.34","16.07","15.79","15.45","15.51","15.59","15.47","15.11"
"2010/01/02","窾地","CO","1.16","1",".89",".79",".58",".85","1.17","1.5","1.61","1.3","1.13",".98",".88",".55",".6",".55",".6",".64",".6",".52",".59",".59",".66",".63"
"2010/01/02","窾地","NO","30.97","25.96","18.26","15.26","8.28","19.29","32.34","57.91","67.08","40.67","22.27","15.12","12.08","3.65","4.71","2.51","2.69","2.7","2.3","2.06","2.09","1.95","3.09","1.88"
"2010/01/02","窾地","NO2","23.55","21.96","19.15","18.44","13.27","13.85","15.2","23.07","28.27","35.67","42.04","43.24","40.13","23.25","27.35","20.65","26.21","27.52","24.6","20.8","24.31","23.41","26.91","17.55"
"2010/01/02","窾地","NOx","54.52","47.91","37.41","33.7","21.56","33.14","47.54","80.98","95.36","76.34","64.3","58.37","52.21","26.9","32.06","23.16","28.9","30.22","26.9","22.86","26.4","25.36","30","19.43"
"2010/01/02","窾地","O3","1.4","1","2.3","1.5","2.2","4.2#","2.4","2.3","3","5.8","10.7","15.4","15.7","25.1","19.4","25.5","21.1","19","21.6","24","20.3","20.2","14.1","22.4"
"2010/01/02","窾地","PM10","76","49","38","31","30","31","26","39","50","73","91","104","104","90","90","74","56","33","17","19","14","14","17","8"
"2010/01/02","窾地","PM2.5","38","24","11","14","12","12","9","26","30","47","51","61","65","57","60","51","38","16","8","12","15","19","15","12"
"2010/01/02","窾地","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",".2","1.2","1","1.2",".2",".2",".8",".8"
"2010/01/02","窾地","RH","79.31","79.3","80.4","81.82","82.37","83.49","84.23","86.05","85.94","81.6","78.3","76.63","80.71","81.35","81.32","86.88","91.9","93.6","94.26","93.68","92.89","92.02","93.16","92.51"
"2010/01/02","窾地","SO2","2.5","2.3","2","2","1.5","1.6","2.4","7.8","11.6","11","10.5","12.8","7.7","3.6","2.8","1.6","1.1","1.1",".9","1","1.1","1","1.1","1.4"
"2010/01/02","窾地","WD_HR","166.83","174.93","150.43","102.18","152.34","206.17","160.85","300.75","179.1","160.42","274.69","312.35","313.96","320.76","324.61","316.79","318.9","315","312.41","313.84","280.65","296.73","305.83","316.63"
"2010/01/02","窾地","WIND_DIREC","183.22","168.65","134.03","97.09","154.52","277.61","166.36","211.95","152.69","176.61","301.89","270.89","297.52","310.83","316.34","317.26","321.62","304.79","316.25","310.21","249.61","294.4","310.2","318.15"
"2010/01/02","窾地","WIND_SPEED","1.01","1.35",".83",".5","1.1",".44",".54",".93","1.53",".67",".88",".97","1.75","1.63","2.93","3.19","2.92","1.89","2.73","2.4","1.8","1.64","2.1","2.43"
"2010/01/02","窾地","WS_HR",".77","1.08",".68",".4",".83",".41",".75",".63","1.27",".72",".44",".75","1.42","1.23","1.71","2.7","2.7","2.08","2.15","2.5","1.16","1.32","1.61","2.25"
"2010/01/03","窾地","AMB_TEMP","14.85","14.75","14.65","14.65","14.55","14.46","14.34","14.45","14.66","14.98","15.86","17.15","17.9","17.5","17.07","16.79","17.02","16.67","16.64","16.71","16.43","16.39","16.14","16.17"
"2010/01/03","窾地","CO",".63",".71",".76",".71",".67",".69",".81",".79",".75",".98","1.13",".94",".83",".89","1.04","1.01",".99","1.25","1.03",".94",".84",".9",".87",".86"
"2010/01/03","窾地","NO","1.67","2.18","2.23","2.47","2.29","2.07","2.94","4.23","4.92","9.12","21.21","14.21","9.09","6.96","7.21","5.59","4.68","6.46","5.45","4.23","3.54","4.47","3.63","3.63"
"2010/01/03","窾地","NO2","16","19.77","21.65","18.29","15.87","16.4","19.76","21.43","24.42","32.17","34.14","28.9","25.18","27.86","32.56","30.37","30.68","36.97","30.06","29.95","28.52","30.84","32.18","32.25"
"2010/01/03","窾地","NOx","17.67","21.95","23.88","20.75","18.16","18.47","22.7","25.66","29.33","41.29","55.35","43.1","34.27","34.82","39.77","35.96","35.36","43.43","35.51","34.18","32.07","35.32","35.81","35.88"
"2010/01/03","窾地","O3","24.4","21","18.3","18.9","21.1","23.4","22.1","16.4","17.4","13.7","9.8","17.3","23.8","22.3","19.1","23.9","29.7","20.4","24.4","26.8","28.6","26.5","24.3","22.9"
"2010/01/03","窾地","PM10","23","33","33","33","21","33","17","34","22","42","46","89","101","117","107","134","134","143","127","119","121","103","111","95"
"2010/01/03","窾地","PM2.5","16","24","30","28","21","19","15","17","14","20","38","62","70","74","75","82","90","99","101","81","75","67","70","56"
