"¤é´Á","´ú¯¸","´ú¶µ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","Às¼æ","AMB_TEMP","10.9","11.04","11.24","11.25","11.3","11.44","11.52","11.88","12.83","13.81","14.86","16.2","17.67","18.28","18.25","17.53","16.89","16.49","15.92","15.63","15.56","15.33","15.19","15.15"
"2010/01/01","Às¼æ","CO",".33",".33",".31",".3",".31",".31",".36",".4",".48",".54",".56",".58",".54",".51",".52",".65",".69",".86","1.01",".99",".83",".61",".52",".55"
"2010/01/01","Às¼æ","NO","2.02","1.35","1.84","2.67","2.22","2.25","2.74","4.07","5.69","6.72","7.27","7.33","6.42","5.59","4.61","5.63","8.03","18.04","27.38","27.53","26.22","8.82","4.35","5.09"
"2010/01/01","Às¼æ","NO2","6.64","7.21","7.23","7.62","7.16","9.18","12.64","13.38","15.94","17.76","17.28","17.28","17.06","17.05","18.55","27.49","33.39","39.89","40.12","36.74","36.61","31.86","26.2","30.44"
"2010/01/01","Às¼æ","NOx","8.66","8.56","9.07","10.29","9.38","11.43","15.38","17.45","21.63","24.48","24.55","24.61","23.48","22.64","23.17","33.12","41.42","57.92","67.5","64.27","62.83","40.67","30.55","35.53"
"2010/01/01","Às¼æ","O3","42.5","40.8","39.5","38.2","37.8","35.4","31","29.4","27.6","27","28.8","32.2","36.6","39.9","38.5","23.9","14.1","5.3","3.2","2.9","3.2","7.8","12.5","8"
"2010/01/01","Às¼æ","PM10","90","82","80","65","58","56","62","66","72","72","74","73","69","66","67","70","74","81","85","87","82","83","82","77"
"2010/01/01","Às¼æ","PM2.5","30","25","22","20","17","25","22","30","24","34","31","36","29","24","24","22","26","25","30","39","41","41","36","31"
"2010/01/01","Às¼æ","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","Às¼æ","RH","78.26","77.76","77.18","77.87","78.14","78.58","79.35","79.03","76.48","74.11","71.55","68.34","64.69","63.52","64.9","68.34","72.21","75.49","79.09","81.83","81.66","82.3","83.06","83.28"
"2010/01/01","Às¼æ","SO2","3.8","4","3.6","3.2","3","3.6","3.6","3.2","3.6","3.5","3.6","3.4","3.3","3.3","3.2","3.6","3.9","4.3","4.2","3.8","4.1","4","3.4","3.4"
"2010/01/01","Às¼æ","WD_HR","61.2","64.81","63.71","64.39","68.06","63","68.55","74.29","69.92","78.18","68.38","90.35","97.15","74.68","72.73","70.59","78","125.21","115.37","210.39","224.24","236.71","218.68","249.5"
"2010/01/01","Às¼æ","WIND_DIREC","61.6","63.79","65.47","70","66.92","58.92","70.57","73.43","70.96","84.89","69.92","81.67","117.37","39.95","44.98","88.91","68.64","92.36","189.82","225.15","243.27","242.02","234.8","266.67"
"2010/01/01","Às¼æ","WIND_SPEED","5.46","4.41","3.81","3.63","3.42","3.23","3.75","3.12","3.15","2.72","2.96","1.82","1.86","2.06","1.25","1.22",".9","1.24",".76",".76","1.57","1.78","1.42",".97"
"2010/01/01","Às¼æ","WS_HR","5.33","4.61","4.08","3.66","3.33","3.37","3.27","3.27","3.2","3.03","2.64","2.12","1.33","1.25","1.1","1.63","1.11",".97",".71",".6","1.36","1.7","1.4","1"
"2010/01/02","Às¼æ","AMB_TEMP","15.14","14.96","14.79","14.75","14.54","14.23","14.24","14.48","14.74","15.77","17.03","17.94","17.9","17.16","17.02","15.91","15.05","14.85","14.57","14.25","14.01","13.85","13.77","13.69"
"2010/01/02","Às¼æ","CO",".53",".56",".41",".38",".51",".56",".67",".87","1",".63",".64",".78",".77",".77",".69",".6",".62",".62",".54",".51",".48",".5",".47",".43"
"2010/01/02","Às¼æ","NO","3.09","6.65","3.15","1.65","3.73","9.8","16.82","21.42","31.37","9.89","7.86","6.96","7.07","8.33","4.84","3.37","3.31","3.9","3.19","4.4","3.68","3.71","3.36","2.08"
"2010/01/02","Às¼æ","NO2","26.51","26.89","22.04","17.62","20.6","24.01","24.36","25.46","24.27","21.17","17.98","19.18","28.78","32.88","28.98","19.7","20.21","24.43","22.34","26.68","21.54","22.48","18.38","14.33"
"2010/01/02","Às¼æ","NOx","29.59","33.54","25.18","19.27","24.34","33.81","41.18","46.88","55.64","31.07","25.84","26.15","35.85","41.21","33.82","23.07","23.52","28.33","25.53","31.07","25.22","26.19","21.75","16.41"
"2010/01/02","Às¼æ","O3","11.4","7.3","11.4","14.3","9.5","5.2#","4","5","6.3","17.2","23.1","27","26","19.9","20.6","27.7","27.2","21.7","23.9","18.6","23.8","21.2","25","28.4"
"2010/01/02","Às¼æ","PM10","67","64","56","61","70","71","72","69","82","90","81","76","80","96","107","99","81","62","43","38","27","28","23","22"
"2010/01/02","Às¼æ","PM2.5","27","26","25","27","21","25","32","41","44","41","44","40","46","45","54","51","38","26","18","24","18","14","10","10"
"2010/01/02","Às¼æ","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","1.2","4.8","2.8","3","1","2.2","3","2.8"
"2010/01/02","Às¼æ","RH","83.44","84.87","86.38","86.88","87.72","89.88","90.87","91.55","91.66","88.87","80.63","75.21","77.78","85.72","85.77","88.78","91.92","92.85","93.27","93.58","93.84","94","94.15","94.28"
"2010/01/02","Às¼æ","SO2","3.5","2.9","2.9","2.7","2.9","3.7","4.6","5.9","5.5","5.2","3.9","3.6","5.3","5.2","4.8","2.8","2.7","1.9","1.7","1.8","1.6","1.7","1.5","2.1"
"2010/01/02","Às¼æ","WD_HR","293.87","193.78","215.49","206.95","4.12","124.68","84.91","334.51","161.26","178.72","139.56","34.71","35.52","49.36","7.62","342.78","1.14","23.53","32.55","44.78","47.32","43.17","48.6","73.45"
"2010/01/02","Às¼æ","WIND_DIREC","297.53","184.8","226.1","165.9","15.45","152.19","31.31","173.88","163.87","189.19","70.96","54.89","58.31","43.96","334.93","299.74","30.31","32.46","40.16","46.28","52.2","39.6","49.42","92.14"
"2010/01/02","Às¼æ","WIND_SPEED",".53","1.19","1.62",".92","1.11","1.38","1.12","1.15","1.5","1.27",".46","1.41","1.47","1.15","2.59","2.65","1.83","2.17","2.01","2.35","1.89","1.45","2.09","1.49"
"2010/01/02","Às¼æ","WS_HR",".44",".57","1.55",".88",".43",".74",".26",".21","1.27",".95",".81",".92","1.18","1.09","1.18",".71",".99","1.18","1.47","1.92","1.74","1.63","1.75","1.29"
