"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","新竹","AMB_TEMP","13.55","13.69","13.77","13.85","13.94","14.06","14.15","14.31","15.09","16.05","16.9","18.09","18.82","19.57","19.72","19.6","19.09","18.62","18.18","17.83","17.48","17.29","17.18","17.03"
"2010/01/01","新竹","CH4","1.871","1.874","1.912","1.931","1.935","1.904","1.916","1.927","1.916","1.866","1.89","1.893","1.882","1.906","1.904","1.987","1.92","2.019","2.098","2.057","2.085","2.18","2.142","2.106"
"2010/01/01","新竹","CO",".54",".43",".35",".35",".34",".33",".35",".41",".43",".45",".45",".47",".48",".52",".49",".42",".4",".79",".84",".84",".8",".88",".88",".69"
"2010/01/01","新竹","NMHC",".216",".179",".149",".162",".16",".156",".149",".167",".182",".214",".203",".223",".218",".251",".228",".212",".185",".377",".425",".402",".381",".447",".425",".344"
"2010/01/01","新竹","NO","2.03","1.91",".95","1.24","1.48","1.5","1.44","3.06","4.97","9.45","4.59","5.42","8.11","4.67","3.48","2.75","1.82","3.91","4.3","7.45","6.65","13.2","11.54","8"
"2010/01/01","新竹","NO2","21.65","17.61","13.05","12.61","12.27","11.6","15.87","18.6","20.21","23.77","19.02","19.12","21.62","21.11","18.49","19.03","18.42","37.78","38.19","39.02","36.18","36.66","34.02","32.31"
"2010/01/01","新竹","NOx","23.68","19.53","14.01","13.86","13.75","13.1","17.32","21.66","25.18","33.22","23.61","24.54","29.73","25.78","21.97","21.78","20.24","41.69","42.49","46.48","42.82","49.86","45.55","40.3"
"2010/01/01","新竹","O3","23.5","25.3","29.1","28.4","27.8","29.3","22.7","20.1","19.4","16.9","21.3","24.2","25.1","32.8","35.3","29.8","26.3","12.6","11.3","7","5.8","2.6","2","1.9"
"2010/01/01","新竹","PM10","95","102","84","67","60","62","65","62","61","65","68","65","62","61","63","65","69","72","74","79","75","71","70","65"
"2010/01/01","新竹","PM2.5","41","44","41","31","24","28","31","30","29","29","29","28","31","34","30","26","28","36","41","42","44","41","40","36"
"2010/01/01","新竹","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","新竹","RH","67.57","67.97","68.03","68.48","68.43","68.56","69.57","70.55","68.86","66.37","64.93","61.57","60.18","57.37","61.15","66.42","68.94","70.58","72.44","75.42","77.92","80.72","82.4","83.56"
"2010/01/01","新竹","SO2","6.9","5.7","4.1","3.8","3.8","3.8","4","3.1","3.1","4.4","4","3.5","3.7","4.4","3.9","4.2","5.9","4.7","3.3","3.2","2.9","2.9","2.8","2.5"
"2010/01/01","新竹","THC","2.087","2.053","2.062","2.093","2.095","2.06","2.065","2.094","2.098","2.08","2.092","2.116","2.1","2.157","2.132","2.199","2.105","2.396","2.523","2.459","2.466","2.627","2.567","2.45"
"2010/01/01","新竹","UVB","0","0","0","0","0","0","0",".2",".8","1.6","2.1","2.8","4","3","1.5",".8","0","0","0","0","0","0","0","0"
"2010/01/01","新竹","WD_HR","69.77","72.65","66.64","67.27","67.07","66.86","65.22","66.89","75.22","88.83","66.72","73.17","111.27","257.91","268.06","327.52","18.76","168.59","239.31","173.39","174.6","217.52","200.14","123.58"
"2010/01/01","新竹","WIND_DIREC","65.27","75.38","60.96","63.01","83.47","64.12","66.05","62.85","78.84","58.88","38.68","109.17","325.52","258.84","281.68","41.47","3.66","244.12","255.2","155.1","139.61","215.89","192.93","87.34"
"2010/01/01","新竹","WIND_SPEED","4.12","2.56","2.81","2.35","1.74","2.45","1.8","1.81","1.37","1.32","1.74","1.34",".8",".93","1.9",".91",".55",".92",".87","1.55","1.11",".85",".79",".45"
"2010/01/01","新竹","WS_HR","2.82","2.03","1.93","1.75","1.52","1.9","1.68","1.5","1.21","1.45",".62",".7",".66",".59","1.38",".15",".37",".57",".98",".75",".58",".63",".58",".37"
