"ら戳","代","代兜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","打","AMB_TEMP","12.31","12.37","12.65","12.8","12.83","12.79","12.96","13.48","14.45","15.61","16.67","17.91","19.45","19.99","20.19","19.1","18.25","17.83","17.12","16.92","16.69","16.47","16.36","16.25"
"2010/01/01","打","CO",".34",".34",".38",".38",".35",".33",".33",".35",".38",".43",".44",".44",".43",".41",".42",".32",".32",".43",".5",".71",".66",".48",".47",".48"
"2010/01/01","打","NO","3.02","2.88","2.73",".84",".82",".36",".58","1.28",".26","2.37","1.64","1.93","1.92","1.34","1.46",".02",".9",".72",".79","5.68","8.16","2.15","1.58","2.21"
"2010/01/01","打","NO2","8.43","8.36","10.4","11.7","10.8","11.2","11.73","10.42","10.2","11.64","13.04","13.15","12.76","11.66","11.12","10.07","10.01","15.69","18.39","26.6","35.43","28.98","27.03","28.67"
"2010/01/01","打","NOx","11.45","11.24","13.13","12.54","11.62","11.57","12.32","11.69","10.46","14.01","14.67","15.08","14.68","13","12.59","10.09","10.91","16.42","19.18","32.28","43.59","31.13","28.6","30.88"
"2010/01/01","打","O3","34","32.3","30.2","29.5","30.3","28.6","28.1","29.9","30.7","30.2","31.1","33.7","39.8","44","47.3","39.2","33.3","22.4","16.7","7","6.3","13.8","9.7","4.5"
"2010/01/01","打","PM10","85","89","80","72","67","67","68","63","59","58","58","55","55","57","60","63","65","69","77","93","92","78","75","71"
"2010/01/01","打","PM2.5","39","32","29","31","30","31","31","32","31","34","35","31","31","27","24","27","29","32","37","48","52","42","36","32"
"2010/01/01","打","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","打","RH","67.52","68.3","68.44","68.71","68.61","69.75","70.08","68.98","67.51","65.29","63.57","60.9","58.11","56.81","56.69","65.03","68.21","70.61","75.48","76.95","75.65","76.6","78.18","79.14"
"2010/01/01","打","SO2","6.5","6.1","7.3","7.2","6.7","6.8","7.3","4.9","4.5","4.4","4.7","4.5","5.2","4.9","5","5.8","4.9","4.9","4.7","5.2","5.1","4.4","4.7","5.5"
"2010/01/01","打","WD_HR","47.71","50.17","50.95","51.87","51.28","47.63","53.57","56.04","57.75","60.28","53.25","57.78","58.23","49.09","36.81","29.83","33.69","208.2","247.15","169.81","180.02","185","166.48","137.96"
"2010/01/01","打","WIND_DIREC","51.01","50","50.19","48.1","52.79","49.26","59.08","57.81","49.98","69.2","45.02","55.45","48.33","9.66","12.23","32.65","16.45","209.81","220.6","162.65","179.98","186.25","184.37","311.24"
"2010/01/01","打","WIND_SPEED","6.35","4.87","6.27","4.8","3.92","4.14","4.5","4.78","4.9","3.66","3.22","3.59","2.32","1.68","1.8","2.96","1.36",".83",".94","1.55","2.15","1.89",".93",".4"
"2010/01/01","打","WS_HR","5.81","5.47","5.56","5.19","4.17","4.19","4.23","4.77","4.23","4.28","3.24","3.24","2.09","1.33",".85","2.56","1.85",".35",".75","1.06","1.7","1.57","1.17",".43"
