"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","竹東","AMB_TEMP","12.31","12.3","12.34","12.27","12.2","12.32","12.34","12.6","13.61","14.65","15.5","16.29","17.33","18.81","19.02","19","18.35","17.61","17.25","17.01","16.75","16.59","16.55","16.36"
"2010/01/01","竹東","CO",".3",".32",".31",".33",".36",".42",".5",".57",".59",".51",".57",".54",".51",".46",".48",".51",".58",".63",".86",".66",".88",".72",".55",".62"
"2010/01/01","竹東","NO","3.43","3.19","3.36","1.45",".92","1.45","3.33","2.52","7.9","5.72","7.14","5.44","6.43","4.81","20.53","4.9","1.98","1.47","2.27","1.97","8.36","6.47","2.09","2.5"
"2010/01/01","竹東","NO2","5.49","6.15","4.94","12.19","9.56","11.89","20.05","15.08","17.91","15.94","18.06","16.23","15.23","14.39","25.59","18.2","21.12","24.24","31.05","23.27","29.07","23.25","19.6","22.27"
"2010/01/01","竹東","NOx","8.91","9.34","8.3","13.64","10.48","13.33","23.38","17.61","25.81","21.66","25.19","21.67","21.66","19.19","46.12","23.1","23.1","25.71","33.32","25.24","37.43","29.72","21.69","24.76"
"2010/01/01","竹東","O3","41.1","38.5","38.4","27.7","25.5","22.4#","10.1","15.7","13.8","16.3","18.5","18.8","23.5","28.8","9.4","24.6","28.5","27.6","16.2","21.3","2.1","7.7","13.3","6.7"
"2010/01/01","竹東","PM10","69","64","49","46","43","39","40","42","44","42","47","50","44","48","48","47","55","69","77","74","69","67","60","59"
"2010/01/01","竹東","PM2.5","41","40","25","22","23","22","21","21","22","22","25","31","31","32","33","33","35","40","43","43","43","43","37","36"
"2010/01/01","竹東","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","竹東","RH","75.72","76.61","77.04","78.41","80.11","80.76","80.93","81.36","78.56","74.59","72.15","70.37","68.01","63.63","66.03","64.55","68.9","71.96","74.43","76.15","81.08","82.78","82.49","83.67"
"2010/01/01","竹東","SO2","3.1","2.7","2.5","2","1.7","1.7","1.7","1.5","1.8","2.2","2.7","2.7","2.8","2.9","3.1","3.1","4.8","5.1","4.7","4.3","3.2","3.1","2.9","3.1"
"2010/01/01","竹東","WD_HR","121.63","121.52","110.11","129.37","130.96","159","129.76","140.06","142.77","161.31","262.1","204.01","244.39","145.66","110.92","222.37","226.42","208.89","178.02","182.7","125.15","171.79","133.12","153.51"
"2010/01/01","竹東","WIND_DIREC","117.48","126.32","106.22","115.32","172.23","118.79","122.51","140.46","143.44","316.9","331.03","227.31","346.13","111.59","148","226.6","219.02","217.64","162.74","137.56","73.94","153.34","158.37","35.18"
"2010/01/01","竹東","WIND_SPEED",".83","1.18","1.19",".95",".73","1.34","1.47","1.81","1.11",".7",".73","1.39",".83",".72",".74","1.22","2.35",".49","1.34","1.44",".53","1.06",".85",".66"
"2010/01/01","竹東","WS_HR",".32",".82",".81",".95","1.29",".59","1.38",".97","1.06",".12",".45",".47",".31",".11",".8","1.19","2.15","1.19",".7","1.18",".41",".32",".67",".49"
"2010/01/02","竹東","AMB_TEMP","16.22","16.08","15.9","15.78","15.59","15.42","15.23","15.31","15.74","16.91","18.12","18.85","19.25","19.03","19.17","17.95","17.02","16.74","16.52","16.29","16.07","15.9","15.82","15.5"
"2010/01/02","竹東","CO",".64",".64",".41",".4",".47",".49",".65",".77",".75",".7",".59",".58",".54",".52",".52",".51",".48",".5",".51",".51",".53",".49",".49",".44"
"2010/01/02","竹東","NO","3.52","2.45","1.62","1.89","2.81","4.52","13.63","19.11","21.75","16.04","15.24","7.99","12.82","8.81","6.47","3.47","2.41","2.52","3.05","3.03","2.7","2.85","2.96","2.41"
"2010/01/02","竹東","NO2","22.01","19.32","10.15","10.59","12.65","15.33","14.97","15.07","14.33","18.24","19.43","19.17","26.65","26.05","25.49","20.93","15.63","18.58","22.79","22.48","21.28","21.26","23.13","18.29"
"2010/01/02","竹東","NOx","25.54","21.77","11.77","12.48","15.46","19.85","28.59","34.17","36.08","34.29","34.67","27.16","39.46","34.85","31.97","24.4","18.04","21.1","25.83","25.51","23.98","24.12","26.09","20.7"
"2010/01/02","竹東","O3","3.9","3.8","8.3","6","4.9","2#","1.7","2.3","2.9","7","9.7","14.2","16.1","18.1","18.4","22.2","26","21.6","15.3","15.8","16.4","14.5","10.1","17.1"
"2010/01/02","竹東","PM10","62","61","54","46","43","46","52","57","61","74","74","63","70","84","95","94","84","67","43","23","13","15","16","12"
"2010/01/02","竹東","PM2.5","37","36","32","28","28","28","32","35","38","47","44","44","51","59","66","64","61","52","39","23","15","10","10","17"
"2010/01/02","竹東","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","3.8","1.2","3.4","2.6","3.4","3.4","3.6"
"2010/01/02","竹東","RH","85.04","85.95","87.13","88","88.65","88.94","89.78","90.16","89.75","86.21","79.26","76.02","77.38","81.12","80.75","85.92","89.07","90.37","91.46","92.05","92.4","92.53","92.77","92.91"
"2010/01/02","竹東","SO2","2.7","2.1","1.3","1.2","1",".6","1.4","1.8","3.3","3.5","2.8","2.3","6.1","6.1","6","4.6","1.4","1",".5",".5",".3",".4",".2",".1"
"2010/01/02","竹東","WD_HR","236.35","142.03","134.77","159.22","256.1","139.43","247.37","150.89","132.64","140.3","137.43","241.61","312.08","301.04","310.74","303.1","317.2","306.6","304.66","302.03","290.15","315.2","328.64","115.46"
"2010/01/02","竹東","WIND_DIREC","209.24","125.24","146.29","163.63","251.63","107.8","293.69","120.98","137.89","124.8","229.82","311.02","317.55","303.61","298.32","314.07","318.84","304.45","316.11","262.51","307.79","332.3","308.17","108.59"
"2010/01/02","竹東","WIND_SPEED",".65",".68","1.02",".48",".6","1.29",".66",".94","1.14","1.72",".66",".83","1.81","1.43","2.16","2.83","2.26","1.18","1.02","1.08",".77",".99","1.51","1.34"
"2010/01/02","竹東","WS_HR",".26",".46",".87",".53",".31",".41",".43",".45","1.08","1.06",".79",".45","1.09",".9",".98","1.65","1.24","1.29",".71",".77",".76",".58",".56",".4"
"2010/01/03","竹東","AMB_TEMP","15.22","15","14.81","14.75","14.85","14.74","14.51","14.57","14.8","15.19","15.67","16.6","17.34","17.92","17.88","17.71","17.2","16.53","15.94","15.17","14.42","14.03","13.88","14.12"
"2010/01/03","竹東","CO",".37",".42",".39",".33",".27",".31",".4",".47",".59",".53",".5",".55",".53",".55",".56",".59",".66",".81",".91","1.15","1.12",".97",".83",".44"
"2010/01/03","竹東","NO","1.77","1.51","1.47","-.06",".48","-.02","-.31",".27","1.28","1.5","1.65","3.01","2.89","2.51","1.71","1.43","1.35","1.11","1","8.39","14.74","18.1","16.01","9.31"
"2010/01/03","竹東","NO2","10.13","7.9","6.87","4.63","8.26","6.33","7.52","10.81","14.52","14.34","12.62","12.31","12.46","14.06","14.29","14.33","15.85","18.9","23.34","28.36","21.83","16.19","14.65","12.15"
"2010/01/03","竹東","NOx","11.9","9.41","8.34","4.58","8.74","6.31","7.21","11.08","15.79","15.83","14.26","15.33","15.35","16.57","16","15.76","17.2","20.01","24.34","36.76","36.58","34.29","30.66","21.46"
"2010/01/03","竹東","O3","28.3","30.8","31.9","34.4","30.9","29.6#","33.3","29.5","25.8","27.3","29.6","28.4","29.4","32.2","33.6","34.7","36.8","27.4","18.4","3.5","2","1.9","1.9","3"
"2010/01/03","竹東","PM10","11","6","8","11","7","7","11","14","17","22","42","70","82","89","101","103","108","110","106","108","104","85","67","46"
"2010/01/03","竹東","PM2.5","13","11","15","11","2","4","10","13","17","21","32","48","56","58","58","61","69","74","70","69","68","53","42","30"
"2010/01/03","竹東","RAINFALL","2","1.2","1.8","1.4","1.8","2.6","2",".2",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","竹東","RH","92.82","92.31","91.87","91.75","91.04","90.42","89.85","89.27","88.78","86.87","84.13","79.59","74.63","70.68","70.27","71.72","74.29","78.68","81.47","85.25","88.06","89.12","89.45","87.97"
"2010/01/03","竹東","SO2",".1","0","0","-.4","-.4","-.4","-.4","-.2","0",".9","2.6","2.8","3.9","4.3","4.8","4","3.9","2.6","1.9","1.8",".9",".7",".5",".1"
"2010/01/03","竹東","WD_HR","52.39","66.84","118.52","110.09","158.5","301.12","127.68","263.37","249.95","352.48","51.55","52.5","53.39","51.66","51.73","46.31","45","122.61","172.33","144.95","137.44","140.4","143.46","146.67"
"2010/01/03","竹東","WIND_DIREC","33.86","97.72","132.36","150.23","272.28","343.28","120.81","220.97","288.43","31.28","54.92","63.62","44.82","48.31","53.26","48.79","52.08","183.54","188.35","143.67","148.54","137.42","139.15","157.37"
"2010/01/03","竹東","WIND_SPEED","1.45",".73","1.43",".8",".61",".86","1.57","1.11",".92","1.62","3.04","2.92","3.38","2.79","3.87","2.82","3.22",".64","1.08",".84",".87","1.47","1.65","1.52"
"2010/01/03","竹東","WS_HR",".68",".98",".86","1.01",".57",".84",".76",".78",".73",".43","1.54","2.37","2.25","2.1","2.82","2.24","2.57",".58",".66",".52",".91",".98","1.25","1.61"
"2010/01/04","竹東","AMB_TEMP","14.31","14.44","14.6","14.46","14.52","14.19","13.79","13.8","14.91","17.32","18.48","18.3","19.04","20","19.97","19.35","18.71","18.08","17.6","17.34","17.17","17.25","17.2","16.99"
"2010/01/04","竹東","CO",".31",".29",".24",".21",".22",".24",".42",".78",".63",".69",".66",".78",".73",".71",".74",".71",".8",".88",".89",".85",".86",".91",".76",".6"
"2010/01/04","竹東","NO","4.02",".67",".32","1.36","1.2","1.25","2.82","16.74","22.37","36.35","13.35","21.35","8.49","6.35","3.71","2.2","2.26","3.1","4.05","2.9","3.38","2.89","1.65","1.39"
"2010/01/04","竹東","NO2","11.51","7.12","6.58","5.41","6.69","6.56","9.62","15.5","16.07","22.48","20.81","31.66","25.6","25.49","25.99","26.97","26.55","32.99","36.16","32.82","33.75","31.78","21.16","14.25"
"2010/01/04","竹東","NOx","15.52","7.78","6.9","6.76","7.88","7.81","12.45","32.24","38.44","58.83","34.16","53.01","34.09","31.83","29.7","29.16","28.81","36.09","40.2","35.72","37.13","34.67","22.81","15.65"
"2010/01/04","竹東","O3","5.2","8.4","9.1","11","10.9","12.8#","6.4","3.5","5.8","7.6","15.4","12.3","27.9","34.8","36.1","35.1","31.9","19.6","14","16.8","16.1","16.2","31","39.3"
"2010/01/04","竹東","PM10","26","19","17","16","12","12","15","27","35","42","75","125","158","163","156","150","147","160","177","175","167","168","161","139"
"2010/01/04","竹東","PM2.5","16","13","11","8","9","10","10","10","10","20","43","76","98","96","99","107","106","111","121","117","109","111","112","99"
"2010/01/04","竹東","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","竹東","RH","85.79","84.87","84.47","84.2","82.24","81.31","81.32","81.36","76.8","69.26","71.06","76.57","74.89","70.75","70.05","75.05","78.34","81.61","83.15","83.32","83.65","83.89","83.05","83.57"
"2010/01/04","竹東","SO2","-.2",".7",".7",".9",".8","1",".9","1.2","2.6","3.3","5.4","8.2","7.1","7.4","6.1","7.9","7","4.9","4.1","5.1","4.8","6.7","6","3.9"
"2010/01/04","竹東","WD_HR","144.31","144.75","163.69","138.48","145.5","155.83","151.43","135.05","142.82","196.06","307.87","313.82","293.22","288.69","259.97","292.32","285.54","310.2","337.11","317.53","334.99","49.49","37.59","45.76"
"2010/01/04","竹東","WIND_DIREC","141.35","136.67","149.69","129.82","150.67","147.5","141.18","136.35","132.92","18","313.74","296.56","280.94","253.03","293.44","298.23","276.98","319.17","35.41","313.14","316.32","52.79","28.24","58.32"
"2010/01/04","竹東","WIND_SPEED","1.54","1.24","1.27","1.65","1.32","1.16","1.33","1.64",".67",".96","2.26","1.82","1.6","1.74","1.42","1.42","1.15","1.71",".94",".94","1.44","2.51","2.31",".67"
"2010/01/04","竹東","WS_HR","1.45","1.27",".91","1.44","1.39",".95","1.06","1.38","1.06",".41","1.15","1.32","1.15",".97","1.13","1.11","1.02","1.26",".67",".93",".49","1.51","1.42","1.27"
"2010/01/05","竹東","AMB_TEMP","16.58","15.98","16.32","16.65","16.28","15.88","15.51","15.24","15.64","16.13","16.18","17.33","18.29","17.6","17.45","16.36","15.29","14.65","14.44","14.35","14.48","14.31","14.19","14.05"
"2010/01/05","竹東","CO",".57",".47",".44",".66",".53",".5",".47",".46",".48",".46",".41",".4",".44",".46",".43",".4",".45",".46",".46",".47",".48",".47",".48",".47"
"2010/01/05","竹東","NO",".93","1.02","1.07",".57",".8","1.24","1.52","2.11","2.21","2.52","3.14","3.58","2.96","3.45","3.17","2.32","2.85","2.44","1.62","1.13",".86",".83",".57",".97"
"2010/01/05","竹東","NO2","12.28","9.17","8.86","10.12","8.78","8.38","9.64","10.67","11.12","10.88","10.97","9.94","11.59","12.35","13.31","13.32","14.32","14.62","11.76","11.52","11.99","9.82","9.92","9.63"
"2010/01/05","竹東","NOx","13.21","10.19","9.93","10.69","9.58","9.62","11.15","12.77","13.33","13.4","14.11","13.52","14.54","15.8","16.48","15.64","17.17","17.06","13.38","12.65","12.85","10.65","10.49","10.6"
"2010/01/05","竹東","O3","25.6","17","29.5","34.6","35.2","32.8","30.8","29.5","28.7","28.5","29.2","31","33.4","32.4","30.8","28.4","26.1","26.9","28.6","28.1","26.5","28","26.7","24.5"
"2010/01/05","竹東","PM10","117","88","73","103","130","122","102","73","44","27","23","24","27","32","38","46","39","27","24","19","17","15","10","8"
"2010/01/05","竹東","PM2.5","81","64","53","72","82","66","52","34","21","17","16","15","10","18","29","21","18","20","17","14","12","13","11","5"
"2010/01/05","竹東","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/05","竹東","RH","84.45","84.2","84.39","82.86","81.17","79.62","78.27","77.49","74.59","70.66","72.03","68.22","62.35","65.78","67.21","72","77","77.69","78.29","78.98","79.16","79.51","80.02","81.66"
"2010/01/05","竹東","SO2","2.9","1","2.3","6","6.2","5.7","5.8","4.7","2.9","2.1","1.9","1.9","2.2","2.4","2.2","2","2.6","3","2.7","2","1.5",".8",".8",".7"
"2010/01/05","竹東","WD_HR","148.49","153.85","187.3","66.14","58.63","56.98","53.07","62.61","52.08","49.02","59.63","46","31.64","47.29","45.92","50.26","55.69","54.11","61.84","60.69","49.44","66.33","107.71","156.84"
"2010/01/05","竹東","WIND_DIREC","178.26","182.27","195.67","58.83","62.12","55.37","55.16","62.86","332.56","62.45","59.16","30.66","60.93","49.82","50.49","53.34","52.03","49.88","61.13","71.44","65.79","59.57","115.53","202.36"
"2010/01/05","竹東","WIND_SPEED",".83","1.46","1.12","3.82","3.37","4.15","4.5","5",".77","2.61","2.44","2.93","3.03","4.32","3.9","3.61","3.68","4.65","3.41","2.83","1.62","1.32","1.78","1.15"
"2010/01/05","竹東","WS_HR",".56",".79",".86","2.52","3.11","2.78","4.21","4.16","1.34","1.02","3.13","1.48","1.34","2.26","2.61","3.45","3.01","3.45","3.28","2.54",".69","1.52",".95",".65"
"2010/01/06","竹東","AMB_TEMP","14.29","14.49","14.31","14.63","14.87","15.01","15.01","14.96","14.84","14.87","14.61","14.99","15.37","15.08","15.07","15.08","14.93","14.89","14.83","14.72","14.77","14.84","14.8","14.64"
"2010/01/06","竹東","CO",".48",".42",".42",".41",".35",".29",".32",".44",".44",".4",".35",".38",".37",".35",".33",".37",".31",".31",".34",".34",".34",".31",".29",".24"
"2010/01/06","竹東","NO",".64",".71",".34",".75",".41",".17",".14","2.34","2.26","2.11","2.18","2.02","3.81","2.98","1.38","1.95","1.07","1.1",".97",".26",".78",".29",".59",".39"
"2010/01/06","竹東","NO2","9.16","7.7","6.71","7.17","8.4","7.03","8.34","14.62","17.45","15.43","14.15","13.31","13.76","15.85","13.14","15.8","10.44","10.38","13.01","11.26","11.04","8.88","8.98","5.58"
"2010/01/06","竹東","NOx","9.8","8.41","7.05","7.92","8.8","7.2","8.48","16.96","19.71","17.54","16.33","15.33","17.57","18.83","14.52","17.75","11.51","11.48","13.98","11.52","11.82","9.18","9.57","5.97"
"2010/01/06","竹東","O3","22.3","25.3","18.5","18.1","18.6","33.8","31.2","24.2","23.3","26.3","29","25.1","25.4","25","28.9","25","31.8","31.2","26.3","27.1","27.3","29.7","30.3","34.4"
"2010/01/06","竹東","PM10","13","13","11","11","10","11","9","6","7","10","9","10","11","10","11","8","5","5","7","8","8","6","6","5"
"2010/01/06","竹東","PM2.5","8","11","7","4","8","8","5","6","11","12","10","9","5","9","17","12","2","1","5","7","8","5","3","3"
"2010/01/06","竹東","RAINFALL","NR","NR","NR","NR","NR",".2","NR",".2",".8",".4",".6",".6",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/06","竹東","RH","81.29","80.57","81.88","81.87","82.8","84.39","85.16","85.75","86.77","86.88","86.68","87.07","87.32","85.74","82.73","81.28","79.11","77.71","78.56","80.4","79.37","77.37","77.39","79.68"
"2010/01/06","竹東","SO2",".7","2.1","1","1.5","1.5","1.1","1","1","1.2","1.4","2","1.7","1.8","2.8","2.5","2.4",".9","1.5","2.1","1.1",".9",".7","1.1",".8"
"2010/01/06","竹東","WD_HR","203.1","129.8","152.59","228.63","4.64","55.03","50.86","48.79","40.67","48.56","56.82","98.75","44.82","24.17","52.79","51.42","57.45","56.82","64.07","73.16","77.48","63.16","71.45","73.93"
"2010/01/06","竹東","WIND_DIREC","234.5","127.79","52.83","157.49","2.98","50.81","55.72","346.39","40.92","50.82","83.1","50.53","60.21","56.8","46.66","58.01","57.54","52.14","63.58","204.61","80.52","63.88","90.39","66.6"
"2010/01/06","竹東","WIND_SPEED",".82","1.12",".53",".55","1.08","1.7","1.58","1.87","2.24","2.72","1.94","1.94","2.29","2.01","3.29","3.15","3.46","1.99","2.56",".93","2.12","2.33","2.03","3.07"
"2010/01/06","竹東","WS_HR",".55",".43",".59",".42",".2","1.1","1.53","1.32","1.11","1.65","2.39",".86","1.28",".7","2","2.1","2.39","1.93","1.39","1.4","1.12","1.38","1.64","1.66"
