"¤é´Á","´ú¯¸","´ú¶µ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","­]®ß","AMB_TEMP","12.59","12.62","12.64","12.49","12.39","12.51","12.29","12.61","13.16","13.81","15.26","16.44","17.46","18.45","18.7","18.25","17.87","17.56","17.13","17.05","17.01","16.91","16.69","16.49"
"2010/01/01","­]®ß","CO",".36",".35",".36",".39",".4",".52",".55",".72",".56",".45",".44",".47",".49",".49",".49",".45",".46",".66",".59",".77",".84",".94",".84",".58"
"2010/01/01","­]®ß","NO","1.88","1.48","1.42","1.82","1.43","2.49","4.53","9.34","6.24","6.02","6.85","7.64","13.32","13.84","4.93","2.05","2.02","2.77","2.08","3.24","4.31","11.95","6.45","2.74"
"2010/01/01","­]®ß","NO2","12.33","10.22","10.28","16.24","14.05","18.93","23.86","22.06","19.61","17.31","14.58","21.59","26.22","28.56","20.1","15.84","18.07","26.14","23.41","30.38","31.63","28.5","22.26","17.13"
"2010/01/01","­]®ß","NOx","14.21","11.7","11.71","18.06","15.48","21.42","28.39","31.4","25.85","23.33","21.44","29.23","39.55","42.39","25.03","17.89","20.09","28.91","25.5","33.62","35.94","40.45","28.71","19.88"
"2010/01/01","­]®ß","O3","33.9","35","32.4","24.6","25.1","18.1","8.7","11.8","15.3","15.4","19.5","17.8","17","17.4","32.6","42.5","35","23","20.7","13.7","9.9","10.3","17.7","23.4"
"2010/01/01","­]®ß","PM10","75","65","63","60","57","56","57","60","60","55","47","50","61","60","59","67","73","72","72","69","67","71","69","57"
"2010/01/01","­]®ß","PM2.5","34","30","24","22","21","22","27","27","23","19","18","24","31","32","31","32","29","28","33","32","29","32","28","24"
"2010/01/01","­]®ß","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","­]®ß","RH","72.55","72.68","73.25","74.69","76.41","76.33","79.12","78.3","76.2","74.4","70.45","66.77","63.72","61.75","61.47","65.5","72.17","75.65","78.72","79.62","80.86","82.54","85.3","87.32"
"2010/01/01","­]®ß","SO2","5.1","4.7","4.8","3.3","2.9","3.8","2.5","3.3","3.2","2.3","3.1","4.6","5.8","7.1","4.9","4","4","4","3","2.7","2.7","2.8","2.7","2"
"2010/01/01","­]®ß","WD_HR","60.32","47.29","46.75","47.48","15.45","57.18","85.75","49.58","67.36","109.69","19.97","25.86","302.78","23.13","307.69","300.72","301.21","292.41","267.58","199.76","226.58","272.96","306.52","354.56"
"2010/01/01","­]®ß","WIND_DIREC","41.22","21.89","46.85","47.03","325.59","111.54","326.23","28.22","67.88","92.47","22.3","359.28","298.74","324.74","311.47","304.45","268.82","281.68","263.85","194.61","250.14","214.72","317.5","326.71"
"2010/01/01","­]®ß","WIND_SPEED","2.31","1.51","1.2",".79","1.14","1.06",".76",".62",".86",".75","1.3",".98",".7","1.1","1.84","1.51",".53","1.32",".9","1",".84",".99","1.38",".6"
"2010/01/01","­]®ß","WS_HR",".77",".66",".82",".82",".53",".65",".3",".39",".57",".78",".74",".81",".47",".29","1.2","1.55",".81",".68","1.07",".77",".39",".12",".69",".42"
"2010/01/02","­]®ß","AMB_TEMP","16.49","16.23","16.26","16.19","15.91","15.6","15.77","15.82","16.32","17.34","18.55","19.34","18.56","18.24","17.98","17.52","17.01","16.72","16.48","16.13","15.7","15.63","15.53","15.39"
"2010/01/02","­]®ß","CO",".35",".41",".38",".38",".42",".43",".45",".62",".64",".5",".56",".65",".52",".43",".43",".42",".43",".47",".47",".41",".47",".47",".45",".4"
"2010/01/02","­]®ß","NO","1.55","2.01","1.98","1.91","2.92","6.8","4.62","13.55","11.61","7.82","5.3","7.06","8.26","5.42","3.56","2.31","1.57","1.83","2.38","2.16","3.01","2.9","2.49","2.06"
"2010/01/02","­]®ß","NO2","13.55","25.12","22.78","19","18.09","17.09","17.85","18.48","17.82","15.53","14.66","20.94","22.18","19.35","17.75","12.74","12.33","13.96","15.46","14","22.1","22.08","19.88","16.27"
"2010/01/02","­]®ß","NOx","15.1","27.13","24.76","20.91","21.01","23.89","22.48","32.03","29.43","23.35","19.96","28","30.44","24.77","21.32","15.05","13.89","15.8","17.84","16.16","25.11","24.98","22.37","18.33"
"2010/01/02","­]®ß","O3","23.9","6.5","9.3","8.5","6.8","4.6#","3.5","3.3","7","14.7","19.7","19.4","19.4","25.8","28.6","35.2","34.4","32.4","28.9","28.8","19.5","16.8","17.2","21.2"
"2010/01/02","­]®ß","PM10","42","41","58","71","67","54","56","67","75","78","72","66","72","79","76","77","75","59","39","25","20","21","20","19"
"2010/01/02","­]®ß","PM2.5","23","24","31","31","30","31","31","35","39","40","40","40","46","51","48","48","50","45","30","17","14","13","14","12"
"2010/01/02","­]®ß","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","3.2","2","3.6",".8",".8"
"2010/01/02","­]®ß","RH","88.14","88.67","88.8","88.77","89.26","89.91","89.83","89.51","88.26","83.41","76.91","72.75","79.4","82.24","82.58","84.27","85.78","86.54","87.91","89.02","90.14","90.84","91.18","90.92"
"2010/01/02","­]®ß","SO2","2.2","2","2.6","1.9","1.7","1.6","2.5","2.6","3.4","4.9","3.2","4.1","6.1","4.9","4","2.8","2.1","1.5","2","1.5","2.3","2.2","1.9","1.8"
"2010/01/02","­]®ß","WD_HR","340.52","144.14","181.18","108.38","335.76","80.29","292.97","119.54","73.05","96.64","283.46","353.11","319.92","317.72","316.72","357.82","356.25","52.69","56.95","34.32","48.46","40.75","39.59","52.68"
"2010/01/02","­]®ß","WIND_DIREC","112.01","137.58","263.66","318.11","322.21","43.42","228.52","78.24","75.42","107.59","306.94","303.09","314.92","321.74","304.5","160.73","307.28","47.45","53.95","339.53","22.27","78.92","40.92","49.89"
"2010/01/02","­]®ß","WIND_SPEED",".8",".87",".49",".6",".77",".7",".51",".57","1.48","1.14",".78","1.99","2.64","1.11","2.11","2.64","2.53","2.29","2.39","2.48","1.92","2.49","2.32","2.7"
"2010/01/02","­]®ß","WS_HR",".23",".58",".54",".25",".54",".88",".64",".57",".98","1.24",".39",".26","1",".94",".85",".36",".42",".66",".95",".21",".44",".32",".7","1.73"
"2010/01/03","­]®ß","AMB_TEMP","15.22","15","14.74","14.68","14.71","14.61","14.34","14.37","14.62","15.17","15.84","16.86","17.48","18.54","18.3","17.96","17.39","16.56","15.93","15.54","14.97","14.99","14.97","15.38"
"2010/01/03","­]®ß","CO",".35",".34",".43",".36",".35",".4",".42",".48",".58",".57",".64",".58",".59",".59",".7",".75",".78",".88","1.01","1.09","1.34","1.26","1.12","1"
"2010/01/03","­]®ß","NO","1.74","1.37","1.08","1.19","2.01","2.23","1.48","3.47","6.49","4.87","6.84","4.36","3.86","3.81","4.44","4.16","2.6","1.99","2.7","6.56","26.12","29.26","30.95","15.49"
"2010/01/03","­]®ß","NO2","10.32","9.59","10.72","9.81","16.37","16.63","14.35","20.42","22.97","19.14","20.56","13.52","13.86","13.99","21.18","22.37","21.36","26.42","30.55","36.71","41.17","33.01","31.04","29.42"
"2010/01/03","­]®ß","NOx","12.06","10.96","11.8","10.99","18.38","18.86","15.82","23.89","29.46","24.01","27.39","17.88","17.73","17.8","25.62","26.54","23.96","28.42","33.24","43.27","67.29","62.27","61.99","44.91"
"2010/01/03","­]®ß","O3","28.1","29.3","26.2","25.8","19.6","22.3","22.8","17.3","15.3","22.8","23.1","30.7","31.8","35.4","30.9","32.9","37.4","29.1","22.4","12.9","3.1","2","2","2.2"
"2010/01/03","­]®ß","PM10","5","0*","5","10","9","9","26","32","25","24","31","43","62","79","95","118","134","146","155","162","162","156","143","128"
"2010/01/03","­]®ß","PM2.5","5","2","9","10","5","9","14","16","17","20","24","28","38","50","64","74","80","88","90","97","99","90","87","86"
"2010/01/03","­]®ß","RAINFALL","1",".8","1.2",".8","1.2","1.6",".8",".4","NR","NR","NR","NR",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
