"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","頭份","AMB_TEMP","12.85","13.02","13.15","13.15","12.98","13.27","13.22","13.53","14.37","15.11","16.13","17.23","18.34","19.18","18.89","18.61","18.12","17.78","17.58","17.18","17.16","16.99","16.75","16.54"
"2010/01/01","頭份","CH4","1.904","1.898","1.933","1.938","1.965","1.968","1.945","1.955","1.943","1.956","1.956","1.947","1.946","1.973","1.939","1.918","1.938","2.092","2.176","2.379","2.243","2.343","2.012","2.079"
"2010/01/01","頭份","CO",".38",".36",".34",".34",".34",".34",".36",".42",".44",".45",".47",".47",".45",".48",".41",".33",".36",".54",".77",".6",".69",".81",".37",".48"
"2010/01/01","頭份","NMHC",".074",".066",".072",".074",".082",".092",".084",".123",".118",".116",".136",".142",".141",".163",".11",".07",".084",".188",".349",".287",".351",".387",".109",".173"
"2010/01/01","頭份","NO","1.16",".93",".82",".24",".52",".52",".55","1.73","3.73","4.45","6.05","4.45","5.54","3.54","2.03","1.27",".73","1.14","7.38","5.46","7.19","19.79","4.09","2.63"
"2010/01/01","頭份","NO2","13.23","15.73","12.64","15.26","16.95","11.94","15.33","19.13","21.83","20.37","19.74","17.82","18.7","18.25","13.74","10.6","14.7","29.09","40.66","35.52","37.01","36.86","12.68","24"
"2010/01/01","頭份","NOx","14.39","16.66","13.46","15.51","17.47","12.45","15.88","20.85","25.55","24.82","25.8","22.27","24.24","21.78","15.77","11.87","15.43","30.23","48.04","40.98","44.2","56.66","16.77","26.64"
"2010/01/01","頭份","O3","34.4","33.5","34.2","31.1","23.2","29.6","23.8","22.7","20","19.2","20.3","24.5","29.4","36.5","41.9","43","32.5","17.8","4.5","5.7","3.3","1.9","25.5","12.2"
"2010/01/01","頭份","PM10","81","78","70","62","58","59","56","59","62","59","60","60","60","71","74","67","62","65","82","91","103","100","64","53"
"2010/01/01","頭份","PM2.5","31","35","33","28","24","25","22","21","25","25","23","25","29","35","36","28","22","24","29","37","54","53","30","22"
"2010/01/01","頭份","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","頭份","RH","71.29","71.55","71.26","72.09","74.19","72.67","74.04","74.41","72.73","71.11","68.8","65.65","62.74","61.29","65.13","69.51","74.96","76.8","78.58","81.99","82.97","84.35","88.17","89.2"
"2010/01/01","頭份","SO2","5.4","2.3","2.4","1.7","1.4","2.4","1.6","1.5","1.5","1.2","2","1.9","3","4.4","2.7","2","1.2","2","2.8","3.1","4.9","3.7",".8","1.6"
"2010/01/01","頭份","THC","1.978","1.964","2.005","2.013","2.046","2.06","2.029","2.079","2.062","2.072","2.092","2.089","2.087","2.136","2.048","1.988","2.021","2.28","2.525","2.667","2.594","2.73","2.12","2.252"
"2010/01/01","頭份","WD_HR","72.54","73.81","69.07","72.99","71.88","68.21","75.55","73.47","77.93","93.56","62.47","69.37","58.91","276.84","314.01","324.35","321.88","206.72","214.11","193.77","204.95","195.17","353.17","51.49"
"2010/01/01","頭份","WIND_DIREC","71.56","71.2","68.41","81.37","48.62","78.88","70.64","80.66","84.88","40.57","63.18","41.05","216.13","297","320.49","323.9","214.08","215.97","188.84","193.97","193.18","182.04","34.19","3.68"
"2010/01/01","頭份","WIND_SPEED","2.87","2.04","2.55","2.06","1.51","1.84",".95","1.68","1.4",".56","1.27",".92",".89",".78","1.54","1.51",".43","1.11","1.2","1.13","1.13",".59",".72",".46"
"2010/01/01","頭份","WS_HR","2.32","2.32","2.02","1.7","1.13","1.18","1.4","1.35","1.12",".79",".72",".9",".39",".78","1.36","1.1",".56",".7",".71","1.12",".52",".39",".57",".59"
"2010/01/02","頭份","AMB_TEMP","16.62","16.36","16.17","16.04","15.78","15.65","15.55","15.71","16.49","17.89","19.09","18.85","18","17.92","17.62","17.08","16.77","16.5","16.06","15.71","15.59","15.54","15.4","15.28"
"2010/01/02","頭份","CH4","2.026","2.204","2.262","2.212","2.189","2.209","2.298","2.314","2.093","1.981","1.984","2.008","1.928","1.945","1.922","1.93","1.942","1.943","1.945","1.96","1.963","2.003","1.969","1.958"
"2010/01/02","頭份","CO",".4",".45",".41",".39",".46",".47",".58",".77",".59",".46",".53",".52",".38",".42",".38",".43",".46",".49",".44",".46",".42",".5",".41",".41"
"2010/01/02","頭份","NMHC",".113",".18",".16",".15",".174",".201",".256",".332",".206",".136",".141",".174",".054",".055",".039",".052",".073",".094",".086",".087",".093",".135",".107",".079"
"2010/01/02","頭份","NO","1.3","1.93","1.21","1.37","8.43","8.93","11.21","26.73","14.04","4.83","15.06","9.75","2.52","1.99","1.46","1.49","1.46","1.55","1.57","1.66","1.55","1.61","1.01",".7"
"2010/01/02","頭份","NO2","17.22","22.95","20.94","17.88","25.55","21.14","19.39","21.07","17.84","15.55","21.52","22.29","10.95","11.98","9.56","10.99","13.62","16.75","15.67","19.17","17.13","20.71","17.71","18.98"
"2010/01/02","頭份","NOx","18.52","24.87","22.15","19.25","33.98","30.07","30.6","47.8","31.87","20.39","36.58","32.04","13.47","13.97","11.02","12.48","15.08","18.3","17.24","20.83","18.68","22.32","18.72","19.69"
"2010/01/02","頭份","O3","17","6.9","4.9","6.1","2.9","4.9#","3.2","3.6","7.7","17.8","10.1","17","33.6","32.4","38.2","36.1","31.8","28.9","28.8","24.1","25.7","19.5","24.2","21.2"
"2010/01/02","頭份","PM10","56","57","61","56","57","63","61","65","75","79","74","80","83","84","87","79","66","47","30","19","11","21","25","14"
"2010/01/02","頭份","PM2.5","26","28","31","32","32","31","27","30","38","42","42","49","55","47","42","45","39","26","15","9","10","13","13","12"
"2010/01/02","頭份","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","2.4",".8","3.4","2.4","3.8","2.6","3"
"2010/01/02","頭份","RH","89.29","89.04","89.19","89.4","90.42","90.81","90.82","90.68","87.23","81.47","74.54","79.2","85.94","86.2","86.13","88.24","88.31","89.96","92.22","92.61","92.61","92.71","92.78","92.84"
"2010/01/02","頭份","SO2","1.3","3.5","3.1","2.7","4.2","4","3.1","4.5","5","6.2","4","5.2","5.2","4.1","3.4","3.3","2.9","2.5","2.6","3.7","3.1","2.8","1.9","1.9"
"2010/01/02","頭份","THC","2.139","2.384","2.422","2.361","2.363","2.409","2.554","2.646","2.299","2.118","2.124","2.182","1.982","2","1.962","1.983","2.015","2.037","2.032","2.047","2.055","2.137","2.076","2.037"
"2010/01/02","頭份","WD_HR","31.91","113.74","122.01","34.74","20.63","102.98","335.56","107.59","107.15","100.37","116.15","313.53","22.47","335.82","330.66","67.33","49.57","47.22","50.09","46.19","55.18","52.51","64.57","70.85"
"2010/01/02","頭份","WIND_DIREC","46.03","114.92","122.95","11.04","30.28","111.85","324.93","112.36","98.27","118.98","281.09","312.01","13.04","333.86","88.11","41.35","28.92","49.4","59.7","45.49","45.01","72.93","68.27","67.29"
"2010/01/02","頭份","WIND_SPEED",".96",".55",".63",".44",".48",".82",".72","1.16","1.65","2.09",".69","2.58","1.89","2.02","3.54","2.93","2.09","2.03","2.49","1.96","1.98","1.84","1.08","2.29"
"2010/01/02","頭份","WS_HR",".47",".77",".72",".39",".39",".79",".36",".86","1.34","1.65",".55","1.02",".6",".49",".58","1.32","1.04","1.2","1.54","1.35","1.41","1.34","1.32","1.98"
"2010/01/03","頭份","AMB_TEMP","15.19","14.78","14.61","14.56","14.71","14.39","14.27","14.38","14.65","15.2","15.95","16.94","17.99","18.27","18.03","17.87","17.29","16.54","15.8","15.42","14.83","14.03","14.31","14.52"
"2010/01/03","頭份","CH4","1.959","1.955","1.946","1.945","1.961","2.007","1.985","1.999","2.039","2.03","2.02","2.004","1.992","2.013","1.997","1.99","2.011","2.051","2.106","2.187","2.353","2.233","2.169","2.202"
"2010/01/03","頭份","CO",".39",".4",".43",".41",".39",".46",".49",".58",".6",".63",".65",".61",".6",".66",".7",".73",".78",".92","1.07","1.24","1.46","1.15",".97",".9"
"2010/01/03","頭份","NMHC",".068",".05",".068",".061",".066",".149",".128",".158",".178",".201",".19",".158",".135",".156",".151",".139",".172",".238",".32",".407",".495",".33",".234",".226"
"2010/01/03","頭份","NO",".78",".67",".51",".89",".98","1.13","1.56","2.06","3.21","3.8","5.17","5.23","4.4","3.97","4.03","2.92","2.08","1.89","3.39","7.53","34.17","29.69","11.63","15.57"
"2010/01/03","頭份","NO2","18.37","12.6","12.51","9.14","13.86","14.66","14.46","16.18","20.24","21.54","24.41","18.28","16.61","19.81","21.02","18.09","21.1","27.68","36.85","42.73","42.92","28.84","24.05","22.04"
"2010/01/03","頭份","NOx","19.15","13.27","13.02","10.02","14.84","15.79","16.02","18.23","23.45","25.34","29.58","23.5","21.02","23.79","25.05","21.01","23.19","29.57","40.24","50.26","77.09","58.53","35.69","37.6"
"2010/01/03","頭份","O3","23.1","30","29.6","29.6","26.4","24.8","23.5","21.9","20.8","22.5","21.8","27.4","31.6","31.8","32.5","40.7","37.9","29","17","9.1","3","2.8","3","2.6"
"2010/01/03","頭份","PM10","16","20","21","18","14","20","26","28","30","33","42","67","89","104","122","136","146","151","159","166","165","142","110","98"
"2010/01/03","頭份","PM2.5","10","13","16","15","12","17","22","23","23","21","28","43","55","64","75","82","87","94","95","99","102","85","69","65"
