"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","馬公","AMB_TEMP","16.98","17.08","16.99","17.02","17.13","17.32","17.35","17.56","17.64","18.09","18.75","19.13","19.36","19.28","19.67","19.08","18.74","19.35","18.97","18.94","19.25","19.41","19.32","19.31"
"2010/01/01","馬公","CO",".56",".35",".29",".28",".28",".28",".3",".31",".3",".29",".28",".27",".26",".26",".25",".24",".24",".27",".33",".34",".35",".35",".35",".34"
"2010/01/01","馬公","NO","21.53",".95",".58",".78",".52",".72",".63",".71",".97","1.15","1.11",".93","1.06","1.12",".9",".87",".72",".75",".82",".85",".9",".63",".67",".65"
"2010/01/01","馬公","NO2","7.14","3.49","3.14","3.77","3.48","2.9","3.07","3.36","4.03","4.45","3.61","3.61","3.53","3.47","2.93","3.15","3.01","3.52","4.41","4.9","6.17","4.91","4.91","4.28"
"2010/01/01","馬公","NOx","28.67","4.44","3.72","4.55","4","3.62","3.7","4.08","5","5.61","4.71","4.54","4.59","4.58","3.83","4.02","3.73","4.27","5.23","5.75","7.07","5.54","5.58","4.93"
"2010/01/01","馬公","O3","43.6","48.2","47.5","45.5","45.7","45.1","44.2","43.3","42.7","43.6","46.8","48.1","49.5","51.6","51.2","51.3","50.5","49.4","48.7","47.1","43.8","46.6","45.9","46.9"
"2010/01/01","馬公","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","馬公","PM10","229","217","79","73","73","73","69","64","63","62","58","57","57","57","56","53","50","49","61","75","77","78","79","77"
"2010/01/01","馬公","PM2.5","568*","28","32","23","20","23","21","26","23","19","21","22","25","18","20","17","16","24","33","27","27","27","32","35"
"2010/01/01","馬公","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","馬公","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","馬公","RH","71.59","72.7","71.94","71.44","71.77","72.94","72.7","72.99","71.69","68.57","65.77","64.3","63.54","64.55","62.33","64.97","69.25","72.86","77.76","79.7","80.79","81.56","82.07","82.87"
"2010/01/01","馬公","SO2","3.7","3.8","3.7","4","3.3","3.2","3.2","3.3","3.5","3.8","3.3","3.2","3.2","3","2.7","2.7","2.4","2.5","3.1","3.2","3.5","3.2","2.9","2.5"
"2010/01/01","馬公","WD_HR","76.8","76.17","67.38","66.34","79.76","75.25","71.7","74.59","77.82","75.96","75.77","75.52","74.64","77.06","76.71","72.88","74.16","77.79","85.85","70.81","70.55","68.5","68.05","64.99"
"2010/01/01","馬公","WIND_DIREC","75.5","79.35","66.98","76.52","84.08","79.07","76.48","75.42","82.14","77.52","73.16","72.77","64.72","76.9","73.51","70.64","75.1","83.71","75.93","64.72","80.55","72.79","57.41","76.53"
"2010/01/01","馬公","WIND_SPEED","6.61","6.63","6.51","5.58","5.52","4.98","4.85","5.62","4.8","5.39","5.36","5.43","5.39","4.85","4.09","5.43","4.37","4.2","4.07","3.56","3.89","3.52","3.62","2.49"
"2010/01/01","馬公","WS_HR","5.04","4.72","5.09","4.56","4.13","3.65","3.88","4.08","3.51","3.34","3.46","3.14","3.81","3.24","2.79","2.55","2.9","2.64","2.03","2.69","2.66","2.92","2.6","2.17"
"2010/01/02","馬公","AMB_TEMP","19.57","19.64","19.57","19.65","19.83","19.81","19.84","20.15","21.27","22.1","22.57","22.9","23.31","23.01","23","22.71","22.11","21.46","20.55","20.32","19.98","20.01","19.58","19.68"
"2010/01/02","馬公","CO",".33",".32",".32",".33",".32",".32",".33",".42",".49",".47",".38",".38",".37",".42",".44",".39",".36",".38",".37",".34",".28",".37",".33",".32"
"2010/01/02","馬公","NO",".77",".56",".49",".95",".94",".89",".94","1.14","1.43","1.74","1.55","1.88","1.74","1.51","1.65","1.2",".88","1.17","1.06","1",".9",".9",".98","1.12"
"2010/01/02","馬公","NO2","3.93","3.98","3.82","3.01","3","3.15","3.15","4.55","6.36","7.12","6.8","7.54","4.88","5.56","6.98","5.72","5.26","5.27","5.16","4.31","3.32","2.97","2.65","2.14"
"2010/01/02","馬公","NOx","4.7","4.54","4.31","3.96","3.95","4.04","4.09","5.69","7.79","8.86","8.35","9.42","6.62","7.07","8.63","6.92","6.14","6.44","6.22","5.31","4.22","3.87","3.63","3.27"
"2010/01/02","馬公","O3","45.4","44.3","45.1","45.6","46.4","46.7","45.2","43.6","43.9","43.8","45.4","44.3","50.7","49.8","48.5","50.2","51.1","50.3","48","44.3","46.7","45","46.1","46.3"
"2010/01/02","馬公","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","馬公","PM10","70","61","54","49","46","51","53","49","48","51","51","50","54","61","68","65","61","61","54","33","19","15","11","12"
"2010/01/02","馬公","PM2.5","36","31","28","28","27","26","29","21","32","26","32","32","30","32","32","35","30","38","33","13","10","7","7","8"
"2010/01/02","馬公","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","馬公","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","馬公","RH","83.15","82.6","82.6","83.24","83.27","82.83","82.44","82.56","80.82","76.94","75.28","73.26","69.88","71.58","73.52","75.54","78.05","80.17","80.32","81.11","79.93","77.66","75.21","73.8"
"2010/01/02","馬公","SO2","2.2","1.9","1.8","1.7","1.8","1.8","1.7","1.9","2","2.3","2.8","3.2","2.1","2.2","2.1","2.1","2.3","2.2","1.8","1.4","1.4","1.3","1.4","1.4"
"2010/01/02","馬公","WD_HR","85.41","67.8","60.86","11.9","334.68","56.7","61.46","50.55","60.11","68.99","68.86","63.22","48.47","56.21","56.4","57.09","73.29","94.64","83.85","81.26","76.71","75.18","77.81","69.69"
"2010/01/02","馬公","WIND_DIREC","106.21","60.82","51.75","310.97","50.37","65.79","54.87","48.29","63.31","65.88","74.53","59.51","73.06","52.8","58.33","66.71","83.66","89.57","88.69","84.96","82.09","81.81","73.54","57.16"
"2010/01/02","馬公","WIND_SPEED","2.47","2.64","2.39","2.59","1.55","2.57","2.32","2.64","2.4","2.74","2.98","2.93","2.56","2.98","2.49","3.29","3.02","3.69","4.71","5.62","5.94","6.47","7.03","6"
"2010/01/02","馬公","WS_HR",".69","1.34","1.5",".42",".58",".89","1.49","2.07","1.95","1.44","1.47","1.45",".14","2.25","2.11","2.05","1.93","1.6","2.63","3.29","3.81","4.35","4.49","4.56"
"2010/01/03","馬公","AMB_TEMP","19.84","19.85","19.63","19.34","19.51","19.49","19.54","19.54","19.7","20.41","21.19","20.87","20.7","20.48","20.58","20.65","20.34","19.92","19.63","19.4","19.44","19.7","19.72","19.87"
"2010/01/03","馬公","CO",".33",".31",".32",".3",".25",".22",".24",".29",".37",".39",".42",".42",".43",".45",".47",".51",".58",".63",".64",".63",".61",".58",".57",".55"
"2010/01/03","馬公","NO","1.14",".96",".83",".83",".62",".51",".64",".72",".67",".77","1.06","1.07",".98",".9",".83",".72",".78",".71",".75",".6",".69",".3",".33",".36"
"2010/01/03","馬公","NO2","2.57","2.04","2.08","1.88","2.21","2.11","2.53","2.31","3.15","3.17","3.99","5.18","5.99","6.84","7.78","8.64","10.32","9.93","9.46","8.38","8","7.31","6.63","5.87"
"2010/01/03","馬公","NOx","3.71","3","2.92","2.71","2.82","2.62","3.18","3.04","3.82","3.94","5.05","6.25","6.96","7.74","8.61","9.37","11.1","10.65","10.21","8.98","8.68","7.61","6.97","6.24"
"2010/01/03","馬公","O3","44.5","45.7","45.2","46.7","44.8","48","46.2","46.3","44.2","45.5","44","43","45.6","48.5","53.1","58","60.9","61.3","62.2","67.4","67.6","67.3","67.2","65.4"
"2010/01/03","馬公","PH_RAIN","NR","NR","NR","NR","4.84","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","馬公","PM10","18","18","16","10","9","10","9","13","21","26","38","53","69","91","105","112","117","126","134","137","137","137","137","132"
"2010/01/03","馬公","PM2.5","10","9","5","6","7","5","7","10","18","12","28","33","43","58","58","66","69","78","79","80","77","77","76","73"
"2010/01/03","馬公","RAINFALL","NR","NR","NR",".4",".4","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","馬公","RAIN_COND","NR","NR","NR","NR","52.72","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","馬公","RH","74","77.31","79.75","80.55","83.13","80.87","77.13","77.37","77.41","74.29","70.55","71.06","71.27","71.92","70.9","69.98","70.86","72.87","73.93","75.09","75.97","76.69","77.22","77.15"
"2010/01/03","馬公","SO2","1.4","1.5","1.4","1.4","1.4","1.4","1.6","1.6","1.7","1.8","2.5","3.1","3.5","4.1","4.3","4.4","4.8","4.9","5.1","5.3","4.9","4.3","4.3","4"
"2010/01/03","馬公","WD_HR","71.99","78.43","58.1","59.69","58.54","70.93","65.09","73.22","73.26","76.76","76.65","81.22","75.46","78.32","78.09","75.8","80.61","77.03","71.31","82.48","94.59","311.78","290.63","285.07"
"2010/01/03","馬公","WIND_DIREC","68.56","80.61","58.28","58.06","60.43","67.06","79.75","77.69","72.94","81.05","71.23","92.57","76.81","89.62","83.11","72.49","77.72","71.71","66.47","108.34","110.49","292.5","287.94","252.27"
"2010/01/03","馬公","WIND_SPEED","5.47","6.2","5.41","3.24","5.27","5.74","5.44","4.99","5.6","5.14","5.28","4.42","5.06","4.81","5.78","5.17","5.21","4.5","4.78","3.29","2.77","2.72","2.86","2.4"
"2010/01/03","馬公","WS_HR","4.19","4.18","4.96","3.88","3.4","3.92","4.03","3.78","3.53","3.37","3.42","3.02","3.09","3.1","3.45","3.5","3.24","3.08","2.89","2.29","1.03",".3","1.22","1.3"
"2010/01/04","馬公","AMB_TEMP","19.76","19.45","19.15","18.8","18.58","18.47","18.44","18.61","19.75","20.81","21.78","22.29","21.96","22.57","22.93","22.63","21.76","20.87","20.64","20.39","20.24","20.29","20.42","20.53"
"2010/01/04","馬公","CO",".55",".58",".56",".55",".54",".52",".51",".63",".64",".55",".53",".52",".53",".48",".5",".48",".54",".59",".55",".54",".55",".53",".56",".48"
"2010/01/04","馬公","NO",".19",".27",".32","1.17",".92","1.06","1.16","1.36","1.99","1.8","1.7","1.82","1.61","1.27","1.58","1.55","1.55","1.4","1.31","1.44","1.36","1.19","1.27","1.22"
"2010/01/04","馬公","NO2","5.95","6.15","6.32","5.78","5.76","5.91","5.9","8.77","10.07","7.62","7.61","7.41","7.09","6.4","7.61","7.05","8.09","8.73","8.63","7.75","8.26","6.48","5.77","6.05"
"2010/01/04","馬公","NOx","6.14","6.42","6.65","6.95","6.68","6.96","7.06","10.13","12.07","9.42","9.31","9.23","8.7","7.67","9.2","8.59","9.63","10.13","9.94","9.19","9.62","7.67","7.03","7.27"
"2010/01/04","馬公","O3","63.3","63.3","60.8","58.6","58","56.2","54.4","50.4","49.3","54.7","57.6","59.8","62.2","65.3","64.1","64.8","63.2","62.1","62.2","64.2","63.7","65.3","62.6","57.8"
"2010/01/04","馬公","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","馬公","PM10","132","143","140","133","132","126","115","112","116","111","102","97","90","86","90","90","89","153x","154x","92","89","84","82","84"
"2010/01/04","馬公","PM2.5","79","81","81","73","72","77","70","69","71","67","62","66","58","59","56","54","62","61","64","63","67","55","60","61"
"2010/01/04","馬公","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","馬公","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","馬公","RH","77.28","79","79.32","79.26","79.32","79.13","79.12","79.01","78.17","71.08","63.83","59.49","59.74","56.98","57.15","58.73","63","68.27","73.28","76.72","78.55","79.69","79.87","79.32"
"2010/01/04","馬公","SO2","4.1","4","4.1","3.5","3.4","3.5","3","3.2","3.2","3.2","3.1","2.9","2.8","2.7","2.6","2.3","2.2","2.3","2.1","2.3","2.6","2.6","3.1","3.4"
"2010/01/04","馬公","WD_HR","307.23","273.82","286.37","70.36","74.23","75.97","68.45","62.52","72.94","64.48","55.17","356.41","346","311.29","318.96","316.33","56.75","61.45","66.06","65.26","63.56","71.93","71.6","69.85"
"2010/01/04","馬公","WIND_DIREC","98.14","287.83","130.01","64.96","63.61","55.3","60.77","75.34","77.01","66.65","76.93","296.04","358.23","307.9","312.99","310.46","59.84","63.35","63.24","64.8","74.1","84.77","72.15","69.21"
"2010/01/04","馬公","WIND_SPEED","2.47","3.71","2.06","2.49","2.56","2.26","2.79","1.89","1.68","2.79","2.52","2.36","2.33","2.6","2.04","1.69","2.64","2.25","2.95","2.61","3.14","3.16","3.88","4.11"
"2010/01/04","馬公","WS_HR",".39","1.13","1.63","1.09","1.06",".44","1.37","1.58",".73","1.37","1.35",".5",".64","1.26",".68",".86","1.02","1.34","1.44","1.7","1.84","2.09","2.57","2.66"
"2010/01/05","馬公","AMB_TEMP","20.8","20.8","20.86","20.89","21.05","21.12","20.7","20.24","20.28","20.23","20.46","20.72","20.64","20.77","20.46","19.96","19.63","19.39","19.35","19.3","19.17","19.1","19.22","19.26"
"2010/01/05","馬公","CO",".44",".41",".4",".38",".4",".62",".51",".5",".49",".47",".44",".4",".4",".43",".41",".37",".37",".42",".39",".38",".38",".38",".37",".36"
"2010/01/05","馬公","NO","1.12","1.17","1.2",".84",".86",".74",".67",".89","1.1",".95","1.28","1.28",".95","1.11",".92",".84",".89","1.15",".85",".7",".86",".71",".68",".66"
"2010/01/05","馬公","NO2","5.64","5.56","5.6","4.37","4.7","6.37","5.98","6.09","5.92","5.93","5.58","5.42","4.84","5.19","5.02","4.32","4.08","4.7","4.6","4.28","4.11","3.58","3.14","2.8"
"2010/01/05","馬公","NOx","6.76","6.72","6.8","5.21","5.56","7.11","6.65","6.98","7.02","6.88","6.87","6.7","5.79","6.3","5.93","5.16","4.97","5.85","5.45","4.99","4.97","4.29","3.83","3.46"
"2010/01/05","馬公","O3","60.9","59.7","58.3","57.3","55.3","43.9","40.7","37.9","39","39.3","41.1","45.4","48.9","48.6","47.9","46.5","45.6","43.4","42.8","41.7","41.2","41.3","41.5","41.8"
"2010/01/05","馬公","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/05","馬公","PM10","84","83","84","80","70","100","126","121","113","100","91","77","66","69","77","76","64","59","55","44","36","36","39","43"
"2010/01/05","馬公","PM2.5","55","47","53","40","41","83","62","50","47","49","45","35","36","37","47","39","31","33","33","26","23","17","28","32"
"2010/01/05","馬公","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/05","馬公","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/05","馬公","RH","78.63","77.09","76.51","77.48","77.62","78.54","77.85","76.97","74.48","74.66","73.21","69.9","68.84","68.74","68.77","71.18","72.78","74.88","75.6","75.71","75.15","75.26","75.48","75.03"
"2010/01/05","馬公","SO2","2.7","2.7","2.4","2.4","2.6","3.9","3.6","3.7","3.6","3.3","3.3","3","2.9","3.1","2.8","2.2","1.9","1.9","2","2","1.9","1.8","1.9","1.8"
"2010/01/05","馬公","WD_HR","67.52","63.06","69.72","69.96","74.71","69.26","72.79","69.8","68.49","60.63","74.97","77.52","80.67","80.92","78.41","81.05","77.68","73.52","74.59","75.44","72.89","77.87","76.12","74.97"
