"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","台西","AMB_TEMP","14.22","14.27","13.71","13.47","13.58","14.06","14.55","14.89","15.49","16.62","17.84","18.39","18.62","18.8","19.12","18.57","18.26","18.03","18.05","17.89","17.67","17.42","17.23","17.06"
"2010/01/01","台西","CH4","1.599","1.58","1.6","1.607","1.632","1.58","1.582","1.604","1.581","1.569","1.577","1.565","1.549","1.534","1.529","1.532","1.524","1.511","1.513","1.512","1.505","1.524","1.557","1.549"
"2010/01/01","台西","CO",".53",".47",".44",".39",".39",".36",".32",".32",".31",".3",".32",".42",".36",".33",".31",".3",".28",".24",".28",".3",".21",".23",".25",".27"
"2010/01/01","台西","NMHC",".093",".075",".073",".082",".09",".065",".058",".063",".064",".055",".06",".145",".164",".085",".062",".049",".037",".041",".167",".165",".049",".012",".017",".018"
"2010/01/01","台西","NO","1.29","1.35","1.78","2.26","2.17","2.26","1.88","2.15","2.86","3.03","3.75","6.57","5.39","4.27","3.91","2.59","2.07","2.13","2.09","2.13","2.04","1.61","1.83","1.96"
"2010/01/01","台西","NO2","27.26","23.6","28.31","14.89","15.77","13.02","8.12","7.92","8.16","7.29","9.37","17.28","15.41","12.27","10.35","9.49","7.6","6.14","13.68","19.18","7.25","4.75","5.16","6.19"
"2010/01/01","台西","NOx","28.55","24.95","30.09","17.15","17.95","15.28","10.01","10.07","11.02","10.32","13.12","23.84","20.8","16.54","14.26","12.08","9.67","8.27","15.77","21.31","9.29","6.35","6.99","8.15"
"2010/01/01","台西","O3","15.3","19","15.7","21.1","19.2","26.7","29.9","29.8","30.8","32.7","31.8","29.1","37.3","38.8","42.7","46.2","48.1","46.3","34.4","26.5","35.9","38.9","36.7","34.9"
"2010/01/01","台西","PM10","113","93","72","68","67","63","64","65","59","57","59","64","66","62","57","56","51","51","51","47","42","48","60","70"
"2010/01/01","台西","PM2.5","58","48","39","41","42","38","33","29","30","29","28","34","36","35","35","33","30","28","25","25","24","23","28","34"
"2010/01/01","台西","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","台西","RH","75.56","75.97","77.07","78.43","79.5","78.95","78.91","78.06","76.55","74.27","69.31","68.62","70.72","69.79","69.88","72.94","75.43","79.8","82.43","83.4","83.97","86.25","87.73","89.24"
"2010/01/01","台西","SO2","11.7","10.2","10.1","6.2","5.3","5.1","3.2","3.3","3.2","3.2","3.9","10.1","20.2","7.8","5.7","4.7","3.3","2.5","8.8","12.6","2.9","1.8","1.9","2"
"2010/01/01","台西","THC","1.692","1.655","1.673","1.688","1.722","1.645","1.64","1.667","1.645","1.624","1.638","1.71","1.713","1.618","1.591","1.581","1.561","1.552","1.68","1.676","1.554","1.536","1.573","1.567"
"2010/01/01","台西","WD_HR","36.04","32.6","31.09","32.2","35.11","35.13","36.18","32.35","39.46","37.72","2.42","334.68","330.1","33.96","35.07","33.85","45.49","44.36","318.63","316.17","43.44","34.93","33.3","34.63"
"2010/01/01","台西","WIND_DIREC","28.02","31.03","28.53","32.66","40","34.84","37.37","30.78","40.72","36.45","341.27","354.6","9.45","46.4","31.3","52.04","53.5","45.7","326.67","267.54","50.24","32.79","54.81","33.55"
"2010/01/01","台西","WIND_SPEED","6.8","5.66","5.5","3.98","3.98","5.16","5.3","5.12","5.38","4.3","3.95","4.48","4.98","3.94","4.75","4.08","4.56","5.55","4.48","4.63","4.76","5.26","4.16","3.25"
"2010/01/01","台西","WS_HR","4.7","5.22","4.74","3.48","3.18","3.83","3.89","4.46","3.7","4.23","2.07","1.49","1.27","2.32","2.31","2.73","2.4","2.49","2.28","2.69","3.14","3.79","3.58","2.97"
"2010/01/02","台西","AMB_TEMP","16.83","17.02","17.06","16.88","16.61","16.5","16.96","17.43","18.22","19.19","19.61","19.81","20.47","20.05","20.03","19.71","19","18.32","17.92","17.62","17.21","17.11","17.14","17.17"
