"¤é´Á","´ú¯¸","´ú¶µ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","±[­I","AMB_TEMP","13.14","13.13","12.86","12.68","12.79","12.93","13.18","13.6","14.49","15.6","16.78","18.23","18.4","19.12","19.42","19.15","18.46","17.84","17.51","17.49","17.38","17.26","17","16.51"
"2010/01/01","±[­I","CO",".48",".41",".38",".36",".35",".37",".38",".42",".39",".4",".43",".41",".36",".34",".36",".39",".42",".45",".34",".31",".27",".35",".3",".33"
"2010/01/01","±[­I","NO","1.39","1.22",".73","2.1","2.26","2.46","2.87","4.29","5.57","7.2","8.25","7.56","5.81","3.45","3.4","2.96","2.57","3.07","1.85","2.23","1.84","2.61","2.63","1.95"
"2010/01/01","±[­I","NO2","15.03","13.46","11.3","10.37","13.15","16.05","18.81","17.29","16.38","15.23","16","15.98","13.28","10.45","13.53","14.47","19.34","23.4","12.12","9.06","8.41","9.82","9.97","10.81"
"2010/01/01","±[­I","NOx","16.42","14.68","12.04","12.47","15.41","18.52","21.68","21.58","21.95","22.43","24.24","23.54","19.1","13.9","16.93","17.43","21.91","26.47","13.97","11.29","10.24","12.43","12.6","12.76"
"2010/01/01","±[­I","O3","21.3","22","21.6","21.6","17.1","13.8","13.8","16.6","18.6","20.2","21","23.4","31.4","38.8","37.7","38.9","33.5","25.8","33","35.2","33.6","27.1","24.8","20.4"
"2010/01/01","±[­I","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","±[­I","PM10","116","110","99","87","79","76","66","60","56","62","72","79","79","71","65","65","84","97","99","81","64","60","57","57"
"2010/01/01","±[­I","PM2.5","82","73","61","42","51","47","53","46","44","41","45","42","49","44","41","28","39","50","57","50","42","45","36","33"
"2010/01/01","±[­I","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","±[­I","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","±[­I","RH","78.7","79.83","81.62","82.65","83.27","83.67","81.93","79.11","76.77","74.31","73.43","69.59","69.66","69.29","67.63","71.88","74.99","78.25","82.45","83.76","84.3","84.85","86.36","89.47"
"2010/01/01","±[­I","SO2","4","3.1","2.6","2.5","2.7","2.7","3.4","2.8","3.8","4.1","4.2","5.7","5.7","4.9","5.8","4.7","5.7","6","2.9","2.5","2.3","2.3","2","1.9"
"2010/01/01","±[­I","WD_HR","43.1","38.83","39.83","45.23","39.8","43.57","41.87","38.96","42.64","49.17","58.28","306.97","318.67","18.16","352.3","351.64","23.83","37.23","69.76","53.01","38.86","42.49","38.05","22.45"
"2010/01/01","±[­I","WIND_DIREC","41.15","35.5","35.01","95.75","40.01","35.2","40.59","46.88","47.87","80.12","342.49","315.44","342.62","344.94","356.65","39.36","52.75","42.19","69.6","15.07","43.61","45.4","14.77","344.9"
"2010/01/01","±[­I","WIND_SPEED","2.66","2.41","2.77","2.67","2.58","2.33","2.78","2.45","2.49","2.16","1.23","2.81","1.97","1.61","1.39","2.16","2.41","2.39","2.54","2.37","2.1","1.73","1.57","1.15"
"2010/01/01","±[­I","WS_HR","2.37","2.38","2.04","1.7","2.01","1.52","2.29","2.24","2.14","2.37",".85","1.48","1","1",".93",".69",".59",".64",".37",".55","1.48","1.86","1.14",".62"
"2010/01/02","±[­I","AMB_TEMP","16.04","16.02","16.16","15.98","15.64","15.45","15.58","16.12","17.23","18.17","19.39","20.1","20.8","20.03","20.29","20.38","20","18.73","18.08","17.57","17.1","16.94","16.72","16.62"
"2010/01/02","±[­I","CO",".33",".29",".26",".27",".3",".28",".3",".37",".37",".44",".49",".51",".42",".34",".32",".37",".44",".45",".4",".32",".29",".32",".3",".29"
"2010/01/02","±[­I","NO","2.38","2.21","1.81","-.43","-.08","-.01",".16","1.12","1.36","2.8","4.15","3.71","3.68",".94",".06",".36",".36","-.2","-.2","-.18",".08",".2",".13","-.08"
"2010/01/02","±[­I","NO2","12.04","9.3","7.1","8.7","11.78","12.37","11.22","13.37","10.98","14.46","18.9","21.11","18.31","12.56","9.97","14.65","18.44","19.59","16.8","8.89","8.71","11.63","9.94","9.7"
"2010/01/02","±[­I","NOx","14.42","11.51","8.9","8.27","11.69","12.36","11.38","14.49","12.34","17.26","23.04","24.82","21.99","13.5","10.04","15","18.8","19.39","16.6","8.72","8.79","11.83","10.08","9.62"
"2010/01/02","±[­I","O3","16.9","21.4","25","20.6","13.1","12.3","14.2","14","23","22.3","23.3","27.3","30.5","37.9","43.7","38.4","31.5","25.1","25.7","32.2","33.2","28.7","29.2","29.6"
"2010/01/02","±[­I","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","±[­I","PM10","63","74","71","67","55","53","45","49","55","66","68","79","84","84","79","73","86","100","102","86","53","40","21","16"
"2010/01/02","±[­I","PM2.5","26","35","35","23","26","30","39","32","37","47","64","65","60","52","55","69","73","66","68","57","48","24","17","10"
"2010/01/02","±[­I","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",".2","NR","NR","NR"
"2010/01/02","±[­I","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","±[­I","RH","91.52","93.09","93.65","94.11","94.51","94.91","95.29","95.55","95.33","90.23","80.35","75.75","75","77.99","75.13","77","80.04","85.43","88.31","90.21","91.98","91.6","90.84","88.53"
"2010/01/02","±[­I","SO2","1.8","1.9","1.8","1.6","1.5","1.4","1.6","1.5","2.1","4.5","4.9","6","5.3","3.3","2.8","3.8","3.8","3.9","4.4","2","2","2.7","1.9","1.7"
"2010/01/02","±[­I","WD_HR","8.94","55.63","40.04","63.22","14.08","322.21","342.52","22.05","43.02","59.6","47.77","40.52","347.59","341.88","35.3","45.17","40.27","43.78","65.95","49.12","44.93","43.72","44.7","44.79"
"2010/01/02","±[­I","WIND_DIREC","298.71","40.3","39.78","80.17","329.64","301.57","35.78","316.64","44.58","63.15","41.3","48.44","345.46","39.78","33.4","46.87","41.73","47.52","79.67","44.88","45.59","46.24","43.96","47.22"
"2010/01/02","±[­I","WIND_SPEED","2.48","2.92","1.76","1.05","1.38","1.66","1.73","1.34","2.61","2.06","2.23","2.56","3.66","3.23","2.3","1.82","2.94","3.78","4.81","4.49","4.13","3.74","4.41","3.76"
"2010/01/02","±[­I","WS_HR",".44",".78","1.78","1.37",".48","1.04",".21",".52","1.86","2.51","2.17","1.73",".9",".53","1.23","1.91","2.09","2.85","1.57","3.17","3.78","3.29","3.31","3.33"
