"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","斗六","AMB_TEMP","13.18","13.19","13.04","13.01","12.92","12.94","12.97","13.26","14.08","15.69","17.54","18.98","20.14","20.64","21.17","20.99","20.63","19.5","18.22","17.86","17.76","17.57","17.29","16.76"
"2010/01/01","斗六","CO",".62",".57",".58",".58",".56",".56",".57",".68",".72",".8",".76",".7",".63",".48",".47",".49",".54",".66",".67",".58",".57",".47",".54",".68"
"2010/01/01","斗六","NO","2.06",".75",".68","-.3",".86",".52","4.11","10.85","15.47","18.54","14.96","8.73","6.08","2.78","2.29",".67",".42",".39","1.01",".26",".23",".52",".23","5.3"
"2010/01/01","斗六","NO2","26.16","21.9","20.89","22.12","22.58","20.83","24.41","21.86","21.7","24.48","26.05","25.68","23.68","17.45","18.08","18.86","22.5","30.57","31.39","27.69","29.13","28.33","27.77","32.41"
"2010/01/01","斗六","NOx","28.22","22.65","21.58","21.82","23.44","21.35","28.51","32.71","37.16","43.02","41.01","34.41","29.76","20.23","20.36","19.53","22.92","30.96","32.4","27.95","29.36","28.85","28","37.71"
"2010/01/01","斗六","O3","6.8","9.2","8.8","6.1","3.7","5.8#","2.2","4.2","6.6","9.4","15","21.4","28.8","35.4","36.6","38.1","33.2","19.4","14.2","15.9","13.5","11.9","8.8","2.8"
"2010/01/01","斗六","PM10","90","104","122","124","117","104","94","81","83","82","85","83","84","82","76","77","77","90","107","123","125","107","100","91"
"2010/01/01","斗六","PM2.5","58","50","88","84","102","65","59","58","51","61","58","71","62","62","53","56","65","64","71","66","75","58","52","50"
"2010/01/01","斗六","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","斗六","RH","83.29","83.31","83.28","84.02","85.27","86.11","86.43","86.68","85.86","83.37","79.14","73.24","68.84","65.12","63.01","64.12","66.26","70.5","75.73","76.65","76.81","79.02","81.15","83.61"
