"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","新港","AMB_TEMP","12.45","12.31","12.23","11.99","11.97","12.03","12.16","12.43","13.11","14.34","16.12","18.07","19.47","19.54","19.57","19.72","19.49","18.09","17.26","17.01","16.75","16.6","16.45","16.07"
"2010/01/01","新港","CO",".45",".46",".47",".45",".41",".4",".44",".54",".46",".47",".52",".47",".43",".38",".36",".35",".39",".41",".37",".32",".37",".38",".36",".35"
"2010/01/01","新港","NO","1.57","1.19","1.1",".95",".97","1.26","1.61","3.95","4.56","6.47","7.73","6.93","4.53","3.66","2.67","1.96","1.61","1.24","1.21",".97","1.24","1.37","1.28","1.5"
"2010/01/01","新港","NO2","13.49","13.01","12.5","11.78","10.41","10.52","13.83","16.09","14","13.74","14.32","14.82","13.32","13.61","11.99","11.59","15.69","16.85","17.03","12.03","13.51","13.91","14.11","14.15"
"2010/01/01","新港","NOx","15.06","14.2","13.6","12.73","11.39","11.78","15.44","20.04","18.56","20.21","22.05","21.75","17.85","17.27","14.66","13.55","17.3","18.09","18.24","13","14.75","15.28","15.38","15.66"
"2010/01/01","新港","O3","21.3","20.1","17.8","17.3","18.5","16.7","12.1","10.1","16.9","20.3","22.8","28.9","38.8","43.3","50.7","50.7","40.1","35.7","31.5","32.9","29.3","24.8","21.7","17.7"
"2010/01/01","新港","PM10","117","134","138","132","121","108","98","84","87","82","86","79","84","89","92","86","82","91","95","91","88","92","89","80"
"2010/01/01","新港","PM2.5","51","54","53","39","45","40","42","33","35","34","37","37","42","45","37","32","28","37","48","46","37","29","31","33"
"2010/01/01","新港","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","新港","RH","77.46","78.07","79.3","80.89","81.38","81.56","81.78","81.61","78.36","74.87","72.54","69.16","66.73","65.54","66.21","65.01","66.57","72.99","75.42","78.29","79.85","80.52","81.48","82.8"
