"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","朴子","AMB_TEMP","13.85","13.71","13.5","13.31","13.38","13.46","13.6","13.87","14.8","16.18","17.75","19.95","20.97","21.33","21.52","21.83","20.83","19.49","18.63","18.34","18.08","17.78","17.6","17.19"
"2010/01/01","朴子","CO",".48",".5",".49",".46",".41",".41",".43",".44",".45",".41",".46",".5",".45",".41",".41",".42",".42",".48",".42",".33",".28",".29",".28",".29"
"2010/01/01","朴子","NO",".5",".84",".75",".71","1.04",".93",".99","3.33","4.77","4.86","6.54","6.27","4.07","1.86","1.78","1.85","1.69","1.02",".84",".65",".63",".76",".54",".47"
"2010/01/01","朴子","NO2","14.11","14.7","14.37","12.1","12.02","13.12","17.3","19.27","17.26","14.47","15.36","14.43","13.81","17.47","19.18","16.68","19.11","21.94","15.69","12.68","9.66","10.34","10.7","10.84"
"2010/01/01","朴子","NOx","14.61","15.54","15.11","12.8","13.06","14.05","18.29","22.6","22.03","19.34","21.9","20.71","17.88","19.33","20.95","18.53","20.8","22.96","16.53","13.32","10.29","11.1","11.24","11.31"
"2010/01/01","朴子","O3","22.9","20.7","19.2","18.9","18.7","16.3","9.9","9.5","16.1","22","23.5","28.3","39.2","77.3","62.3","53.4","37.2","29.2","33.2","30.8","31.4","27.8","25.4","22.2"
"2010/01/01","朴子","PM10","118","132","133","127","120","116","110","107","98","86","84","89","94","92","90","93","92","104","106","110","84","75","71","74"
"2010/01/01","朴子","PM2.5","53","60","66","61","52","44","42","44","42","46","45","49","45","41","41","43","46","47","46","42","28","31","29","31"
"2010/01/01","朴子","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","朴子","RH","78.16","79.22","80.39","82.24","82.41","82.51","82.79","82.77","79.12","73.48","70.03","65.9","63.42","63.05","63.21","61.37","64.57","69.45","74.75","79.35","82.27","83.79","84.65","85.36"
"2010/01/01","朴子","SO2","3.4","4.4","4.1","3.1","3.5","3.7","3.9","4.3","4.5","5.2","6.5","6.4","7","10.5","11.7","8.6","7.7","6","3.8","3.3","2.9","2.8","2.8","2.5"
"2010/01/01","朴子","WD_HR","45.42","48.08","42.72","14.87","21.24","28.65","38.69","42.72","43.63","39.5","45.39","291.48","291.73","320.34","355.41","358.65","340.46","314.01","320.55","5.97","38.14","44.56","44.04","38.79"
"2010/01/01","朴子","WIND_DIREC","45.76","43.55","49.09","324.44","60.49","26.31","352.98","38.74","38.85","28.28","287.43","290.29","299.66","322.42","3.11","337.24","306.56","306.51","319.21","48.68","39.76","50.49","40.64","49.19"
"2010/01/01","朴子","WIND_SPEED","2","2.15","1.49","1.98","1.44","1.98","1.38","2.05","2.02","1.44",".9","1.65","2.36","1.92","2.2","2.41","2.68","2.43","1.81","1.51","1.8","1.3","1.82","1.37"
"2010/01/01","朴子","WS_HR",".97","1.23","1.34",".55",".85",".83",".97","1.15","1.64","1",".39",".9","1.77","1.43","1.01","1.05",".76",".74","1.04",".6","1.41","1.12","1.3",".89"
"2010/01/02","朴子","AMB_TEMP","16.66","16.38","16.31","16.22","16.23","16.15","16.29","16.2","17.14","18.21","20.27","21.27","21.95","22.92","22.25","21.77","21.42","20.9","19.56","18.42","17.94","17.59","17.37","17.27"
"2010/01/02","朴子","CO",".26",".26",".29",".27",".35",".37",".4",".44",".42",".39",".44",".44",".44",".41",".38",".42",".46",".53",".44",".37",".34",".32",".34",".31"
"2010/01/02","朴子","NO",".58",".86",".66",".92",".51",".95",".75","2.85","3.36","2.98","5.12","2.98","2.93","2.25","1.25",".91",".87",".97",".81",".54",".36",".45",".67",".3"
