"¤é´Á","´ú¯¸","´ú¶µ","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","¤¯ªZ","AMB_TEMP","16.73","16.36","15.51","15.38","15.56","15.54","14.75","14.81","16.25","18.61","20.35","21.95","22.19","22.47","22.6","22.49","21.96","21.16","20.95","20.85","20.14","19.58","19.03","18.88"
"2010/01/01","¤¯ªZ","CH4","2.012","2.047","2.064","2.097","2.17","2.278","2.125","2.132","2.133","2.15","2.029","1.892","1.855","1.84","1.834","1.829","1.829","1.876","1.879","1.959","2.011","2.029","2.156","2.155"
"2010/01/01","¤¯ªZ","CO",".6",".67",".7",".76",".82",".79",".71",".84",".9",".86",".81",".58",".5",".47",".44",".45",".45",".59",".66",".74",".91",".82","1.08",".99"
"2010/01/01","¤¯ªZ","NMHC",".546",".445",".339",".471",".725",".878",".451",".524",".608",".655",".351",".151",".089",".075",".071",".072",".079",".157",".153",".423",".485",".487",".509",".493"
"2010/01/01","¤¯ªZ","NO","29.58","24","15.4","37.39","48.91","41.1","23.84","31.63","33.4","23.44","15.88","5.07","3.03","2.56","2.65","2.63","2.31","2.26","8.85","3.56","2.92","2.25","5.2","12.04"
"2010/01/01","¤¯ªZ","NO2","32.29","29.31","28.9","27.38","23.88","22.57","24.41","26.38","33.07","37.12","36.68","20.83","13.86","13.99","14.66","17.77","19.51","27.8","41.6","48.28","52.07","40.98","49.06","47.16"
"2010/01/01","¤¯ªZ","NOx","61.87","53.31","44.3","64.77","72.79","63.66","48.25","58.01","66.47","60.56","52.55","25.89","16.9","16.55","17.31","20.4","21.82","30.05","50.45","51.84","54.99","43.23","54.27","59.19"
"2010/01/01","¤¯ªZ","O3","3.7","3.3","2.8","3.2","3.1","4.2#","2.3","4.1","7.4","14.4","25.8","50.9","65.5","70.4","67.3","67.2","65.2","46.5","33.4","24.2","15","19.2","6.2","4.8"
"2010/01/01","¤¯ªZ","PM10","85","76","80","91","92","83","81","92","104","113","111","100","95","83","73","68","67","75","70","77","90","106","116","117"
"2010/01/01","¤¯ªZ","PM2.5","50","48","43","45","48","47","42","49","67","76","71","58","54","53","50","47","39","35","33","34","41","52","63","67"
"2010/01/01","¤¯ªZ","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","¤¯ªZ","RH","86.42","86","86.32","86.92","88.4","88.89","89.46","89.61","85.48","76.6","70.54","64.46","63.31","62.03","60.68","61.3","63.49","66.7","67.01","67.76","71.36","73.47","76.77","77.93"
