"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","左營","AMB_TEMP","15.66","15.57","14.89","14.98","14.83","14.42","14.18","14.21","15.44","17.6","19.03","20.73","20.83","21.51","21.43","21.26","20.95","20.51","20.04","19.88","19.36","18.86","18.39","18.03"
"2010/01/01","左營","CH4","1.588","1.636","1.708","1.727","1.768","1.738","1.717","1.746","1.687","1.642","1.583","1.522","1.514","1.479","1.466","1.465","1.461","1.472","1.521","1.558","1.62","1.694","1.732","1.766"
"2010/01/01","左營","CO",".57",".66",".69",".66",".7",".67",".71",".82",".88",".79",".68",".57",".56",".46",".43",".43",".46",".57",".58",".64",".89",".87","1.22","1.14"
"2010/01/01","左營","NMHC",".218",".255",".285",".343",".412",".283",".311",".339",".341",".278",".235",".166",".131",".085",".079",".084",".102",".149",".18",".215",".371",".404",".68",".634"
"2010/01/01","左營","NO","6.14","9.62","14.17","14.78","17.35","15.31","16.58","23.34","17.82","12.16","7.45","4.54","3.23","2.73","2.92","2.51","2.31","2.19","2.03","1.9","2.16","2.18","12.84","10.86"
"2010/01/01","左營","NO2","28.78","27.02","28.09","25.27","22.39","22.22","23.35","24.86","24.65","22.41","21.17","14.99","13.55","10.12","10.83","9.84","11.34","13.09","14.99","17.47","29.4","38.16","48.93","44.5"
"2010/01/01","左營","NOx","34.93","36.63","42.26","40.05","39.74","37.53","39.92","48.2","42.47","34.57","28.62","19.53","16.78","12.85","13.74","12.35","13.65","15.28","17.02","19.37","31.56","40.34","61.77","55.36"
"2010/01/01","左營","O3","3.8","2.9","2.8","2.8","2.8","4.2#","2.7","4.6","9.6","18.4","30.2","45.9","59.1","58.1","55.1","66.1","61.6","53","46.8","44","28.4","15.9","4.2","4.6"
"2010/01/01","左營","PM10","80","78","107","77","75","71","98","99","91","85","114","68","67","54","48","54","60","54","78","79","113","101","114","101"
"2010/01/01","左營","PM2.5","46","50","47","51","47","43","41","48","61","67","64","55","50","42","35","36","31","37","30","38","48","57","65","68"
"2010/01/01","左營","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","左營","RH","86.32","85.8","85.81","86.07","86.98","87.61","87.99","87.66","85.34","79.58","73.69","68.4","67.82","64.47","64.39","65.93","67.24","69.66","71.72","72.05","73.13","74.44","77.14","79.12"
"2010/01/01","左營","SO2","5.1","3.7","4.1","5.3","6.1","5.9","6.6","6.1","5.7","4.8","5.5","5","4.2","3.8","3.9","4","3.6","3.3","3.2","5.3","5.6","6.1","8.9","6.9"
"2010/01/01","左營","THC","1.806","1.891","1.992","2.07","2.179","2.021","2.028","2.085","2.027","1.92","1.817","1.688","1.645","1.564","1.545","1.549","1.563","1.621","1.701","1.773","1.991","2.098","2.412","2.4"
"2010/01/01","左營","WD_HR","13.22","318.48","319.06","29.94","287.55","303.93","333.25","308.16","308","306.43","302.12","287.21","291.56","291.21","292.93","299.74","294.9","304.93","310.43","300.48","21.42","36.48","338","306.1"
"2010/01/01","左營","WIND_DIREC","353","310.64","42.39","20.71","299.48","300.92","310.67","313.18","305.36","293.07","300.26","285.86","285.45","295.62","291.88","298.88","301.61","300.57","305.94","293.53","65.8","229.03","29.79","312.6"
"2010/01/01","左營","WIND_SPEED","2.54","3.01","1.48","1.19",".55","2.25","1.52","1.59","1.29","1.33","1.56","2.16","2.35","1.96","2.51","2.26","2.02",".97","1.29","2.73","2.69",".45",".45",".88"
"2010/01/01","左營","WS_HR",".74","1.25","1.24",".7",".42","1.25",".56","1.43","1.1","1.16","1.31","2","2.8","2.05","2.43","2.48","2.2","1.26",".8","1.27",".72",".58",".15",".61"
"2010/01/02","左營","AMB_TEMP","17.46","17.13","16.78","16.43","16.13","15.96","15.51","15.85","17.38","19.18","20.09","22.47","23.78","24.13","23.85","23.12","22.91","22.91","22.27","21.58","20.19","18.96","18.32","17.99"
"2010/01/02","左營","CH4","1.793","1.791","1.785","1.803","1.775","1.819","1.87","1.943","1.858","1.842","1.675","1.608","1.559","1.533","1.539","1.54","1.562","1.58","1.594","1.548","1.557","1.553","1.512","1.506"
"2010/01/02","左營","CO",".8",".67",".59",".62",".62",".56",".69","1","1.09",".98",".66",".65",".67",".67",".68",".53",".66",".71",".76",".59",".53",".49",".46",".43"
"2010/01/02","左營","NMHC",".353",".315",".243",".25",".235",".256",".284",".415",".574",".472",".291",".232",".167",".16",".167",".128",".219",".236",".262",".17",".141",".118",".096",".09"
"2010/01/02","左營","NO","4.22","3.59","2.13","3.91","5.7","4.86","9.91","22.44","21","17.49","9.81","5.28","3.41","3.31","3.25","3.05","2.24","2.03","2.04","1.9","1.9","1.95","1.78","1.85"
"2010/01/02","左營","NO2","36.29","28.87","24.36","26.2","28.3","26.44","23.08","25.36","31.39","35.63","24.28","20.72","19.24","20.26","19.56","16.28","18.3","26.08","29.85","24.02","20.64","20.94","18.28","14.71"
"2010/01/02","左營","NOx","40.52","32.46","26.49","30.11","34","31.31","33","47.8","52.39","53.12","34.08","26","22.65","23.57","22.81","19.33","20.54","28.11","31.88","25.92","22.54","22.89","20.06","16.57"
"2010/01/02","左營","O3","4.3","7.4","7.7","3","2.7","4.4#","2.8","4.8","10.7","17.6","26.7","46.3","59.6","67.9","62.2","55.5","53","42.1","29.6","27.8","22.7","15.8","16.1","19.5"
"2010/01/02","左營","PM10","94","96","88","71","111","83","94","106","100","104","110","90","111","122","91","81","113","114","124","89","99","83","65","43"
"2010/01/02","左營","PM2.5","68","69","63","66","66","56","56","57","72","83","83","83","75","80","79","76","70","72","73","75","73","72","67","49*"
"2010/01/02","左營","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","左營","RH","80.85","82.84","83.95","85.62","86.21","86.86","87.7","88.32","86.91","80.81","76.39","66.1","61.29","60.22","63.75","69.83","69.54","66.02","68","69.38","76.03","81.86","84.31","85.44"
