"ら戳","代","代兜","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","罚标","AMB_TEMP","14.69","14.21","13.78","13.76","13.49","13.32","13.06","13.23","14.31","16.8","18.7","20.31","21.12","21.64","21.88","21.51","21.05","20.19","19.61","19.03","18.38","18.07","17.68","16.98"
"2010/01/01","罚标","CH4","1.77","1.861","1.878","1.872","1.83","1.92","1.923","1.943","1.938","1.882","1.812","1.749","1.685","1.667","1.669","1.669","1.669","1.681","1.746","1.788","1.843","1.797","1.885","1.944"
"2010/01/01","罚标","CO",".55",".66",".62",".61",".59",".65",".65",".71",".72",".71",".69",".62",".5",".46",".44",".44",".45",".53",".75",".99",".81",".67",".8",".66"
"2010/01/01","罚标","NMHC",".187",".258",".236",".238",".228",".291",".249",".256",".242",".23",".235",".181",".11",".081",".133",".175",".293",".263",".55",".473",".324",".244",".31",".241"
"2010/01/01","罚标","NO","9.07","18.27","13.76","17.25","12.76","16.41","15.19","18.91","23.67","19.05","9.84","5.23","3.37","2.69","3.02","2.66","2.1","2.31","2.76","2.68","2.51","3.01","6.93","9.2"
"2010/01/01","罚标","NO2","26.07","26.13","26.76","22.25","18.06","19.87","22.65","22.18","22.36","22.98","21.28","18.71","11.36","9.91","11.16","13.18","15.93","22.91","30.81","39.06","36.58","33.68","36.45","36.13"
"2010/01/01","罚标","NOx","35.15","44.4","40.52","39.5","30.83","36.27","37.84","41.09","46.02","42.03","31.13","23.94","14.73","12.6","14.17","15.84","18.02","25.23","33.57","41.74","39.09","36.69","43.38","45.33"
"2010/01/01","罚标","O3","1.9","1.7","1.7","1.6","1.5","3.3#","2","3.9","6.9","12.5","29.1","50.3","64.8","73.4","69.8","69.3","65.3","47.7","32.7","20.6","18","13.9","5.6","3.2"
"2010/01/01","罚标","PM10","84","101","99","111","90","81","87","109","126","118","108","102","93","80","64","68","75","74","87","104","119","123","124","125"
"2010/01/01","罚标","PM2.5","46","45","56","58","49","38","39","53","65","77","74","73","65","61","60","42","41","30","45","45","54","60","73","72"
"2010/01/01","罚标","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","罚标","RH","86.45","86.85","86.13","87.91","91.05","91.33","89.76","87.42","84.52","77.77","70.94","65.1","61.13","59.11","57.72","59.3","60.76","65.16","68.83","71.01","73.27","74.94","77.15","80.32"
