"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","橋頭","AMB_TEMP","14.63","14.51","14.18","13.86","13.83","13.67","13.42","13.67","15.25","17.26","19.19","21.04","21.96","22.35","22.67","22.03","21.41","20.71","20.06","19.47","18.79","18.27","17.88","17.46"
"2010/01/01","橋頭","CO",".66",".69",".67",".66",".62",".64",".67",".84",".77",".79",".7",".61",".5",".45",".44",".44",".46",".6",".78",".9",".84",".66",".63",".73"
"2010/01/01","橋頭","NO","12.61","14.55","14.4","14.48","15.7","15.81","17.39","25.99","22.26","19.56","11.27","5.82","2.89","2.42","2.53","2.28","2.33","2.02","2.3","2.85","2.16","2.19","2.34","7.67"
"2010/01/01","橋頭","NO2","29.83","28.74","29.34","25.97","23.59","23.31","25.85","26.27","24.59","26.86","24.38","20.68","12.54","13.02","13.55","14.51","18.03","20.2","27.44","34.3","38.84","35.02","31.79","40.03"
"2010/01/01","橋頭","NOx","42.44","43.29","43.74","40.45","39.29","39.12","43.24","52.26","46.85","46.41","35.64","26.5","15.43","15.44","16.09","16.79","20.35","22.22","29.74","37.14","41","37.21","34.13","47.71"
"2010/01/01","橋頭","O3","3.1","3.1","3.3","4","3.6","5.4#","3.7","5.2","9.3","14.3","27.4","46.1","58.2","62.8","61.9","62.7","57.2","45.6","35.8","27.1","21.2","16.4","14.5","4.9"
"2010/01/01","橋頭","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","橋頭","PM10","82","88","87","86","83","78","83","97","109","112","102","89","75","60","54","59","69","79","83","89","99","101","96","95"
"2010/01/01","橋頭","PM2.5","47","46","50","54","49","47","53","66","66","61","64","68","55","39","38","40","39","41","47","56","62","62","60","63"
"2010/01/01","橋頭","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","橋頭","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","橋頭","RH","86.08","85.78","85.04","87.24","88.89","88.85","87.4","84.96","80.2","75.22","70.86","64.89","60.05","58.42","56.83","59.69","61.56","65.74","69.13","71.3","73.43","76.17","78.57","80.51"
"2010/01/01","橋頭","SO2","4.8","5.3","5.3","4.6","3.7","13.3","5.9","6.2","6.8","6.4","4.8","6","4.1","4.6","5.5","5","4.5","4.1","4.6","6","5.9","5.5","4.7","4.6"
"2010/01/01","橋頭","WD_HR","32.58","6.85","47.94","39.06","354.01","313.06","31.4","348.37","31.54","3.04","301.93","297.08","297.02","291.2","287.24","292.93","299.69","292.6","308.92","321.99","38.8","55.53","51.56","29.51"
"2010/01/01","橋頭","WIND_DIREC","23.62","311.8","50.94","44.66","305.43","312.97","309.08","36.31","42.94","330.09","289.77","277.47","304.51","292.71","297.25","288.17","288.48","288.1","314.8","24.69","52.71","43.67","30.42","344.29"
"2010/01/01","橋頭","WIND_SPEED","1.93","2.33","2.46","1.92",".97","1.68","1.74","1.52","1.51","1.45","1.5","2.09","2.74","2.27","2.55","2.74","2.55","1.75","1.34","1.3","1.79","1.68","1.63","1.93"
"2010/01/01","橋頭","WS_HR","1.09",".45",".91","1.16",".45",".78",".79",".43",".89",".68",".99","1.59","2.34","1.97","2.27","2.45","2.39","1.6","1.22",".8","1.29","1.55","1.5",".78"
"2010/01/02","橋頭","AMB_TEMP","16.62","16.25","16.19","15.83","15.22","15.07","14.98","14.94","16.35","17.65","19.53","22.18","23.63","24.88","25.26","24.64","23.75","22.84","22.09","21.4","19.7","18.41","17.98","17.57"
"2010/01/02","橋頭","CO",".6",".6",".62",".64",".52",".55",".61",".7",".72",".76",".58",".61",".6",".59",".62",".56",".6",".73",".68",".67",".59",".45",".46",".41"
"2010/01/02","橋頭","NO","5.01","8.64","8.45","8.39","5.55","8.73","15.83","18.58","22.12","22.63","11.46","6.91","3.79","2.9","3.08","2.69","1.74","1.79","1.97","1.89","2.03","2.01","1.96","1.83"
"2010/01/02","橋頭","NO2","30.75","27.74","27.56","27.6","26.38","25.05","29.29","22.18","21.68","22.81","23.05","23.84","19.78","20.11","23.56","21.22","23.7","34.39","29.5","28.91","27.44","20.71","20.2","15.49"
"2010/01/02","橋頭","NOx","35.75","36.38","36.01","35.99","31.92","33.78","45.12","40.76","43.81","45.44","34.51","30.75","23.57","23.01","26.65","23.91","25.45","36.18","31.47","30.8","29.47","22.73","22.16","17.32"
"2010/01/02","橋頭","O3","4.5","3.8","4.2","3.4","3.7","5.4#","4.6","6","8.7","11.7","24","37","50.4","65.6","61.3","52.7","48","35.4","28.9","23.9","16.5","16.5","16.2","20.1"
"2010/01/02","橋頭","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","橋頭","PM10","95","87","81","87","90","84","80","91","101","110","116","108","101","92","94","94","92","102","112","102","91","86","69","47"
"2010/01/02","橋頭","PM2.5","65","63","64","67","63","57","56","66","74","77","92","93","81","74","76","82","84","87","92","91","85","76","61","48"
"2010/01/02","橋頭","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","橋頭","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","橋頭","RH","83.9","85.84","86.25","86.81","88.21","88.96","89.17","89.59","85.55","81.47","75.41","65.89","59.28","55.04","55.06","58.58","60.96","64.84","67.37","68.88","79.83","83.68","84.85","85.8"
"2010/01/02","橋頭","SO2","4.3","4.3","3.8","4.4","4.3","4.7","4.4","5.9","6.4","4.2","4.4","4.6","8.3","9.8","6.7","5.2","5.7","6.8","6.4","4.7","3.6","3.2","2.9","2.3"
"2010/01/02","橋頭","WD_HR","37.08","32.64","357.25","46.49","51.28","25.75","37.55","41.28","32.69","325.99","32.04","12.09","347.39","321.59","297.14","295.19","299.57","334.97","32.36","266.12","254.72","54.77","55.62","47.97"
"2010/01/02","橋頭","WIND_DIREC","34.92","22.26","313.96","51.9","60.27","26.15","45.2","40.75","318.85","53.12","26.9","50.26","351.71","307.11","305.24","312.85","291.71","23.07","311.82","235.47","127.11","52.58","336.61","287.37"
"2010/01/02","橋頭","WIND_SPEED","1.92","1.01","1.52","2.17","1.95","1.32","1.42","2.31","1.27","3.18","2.41","2.6","2.27","2.14","2.86","2.93","2.84","2.77","2.9","3.56","4.39","4.23","4.22","3.86"
"2010/01/02","橋頭","WS_HR","1.31",".77",".61",".6",".91",".67",".91","1.58",".87",".76",".95",".88",".98","1.03","2.47","2.08",".61",".46",".77",".67",".32","2.63",".88","1.2"
"2010/01/03","橋頭","AMB_TEMP","17.17","16.84","16.6","16.73","17.6","18.98","18.56","17.84","17.81","18.3","19.53","19.98","19.81","20.61","21.68","21.99","21.3","20.42","19.43","18.81","18.14","17.51","17.13","16.68"
"2010/01/03","橋頭","CO",".41",".33",".35",".35",".33",".34",".28",".25",".32",".31",".28",".4",".33",".32",".35",".39",".46",".52",".7",".78",".89",".97",".99",".89"
"2010/01/03","橋頭","NO","1.71","1.25","1.31","1.32",".99",".85","1.26","1.19","1.31","2.78","3.65","5.34","4.16","3.21","3.48","3.85","2.15","2","1.99","1.46","1.64","3.04","2.65","2.72"
"2010/01/03","橋頭","NO2","14.89","14.69","14.89","10.79","10.07","10.28","8.79","7.06","11.66","15.37","13.73","15.51","14.05","13.62","14.73","15.63","15.37","22.54","25.31","26.34","37.66","44.04","39.22","37.45"
"2010/01/03","橋頭","NOx","16.6","15.95","16.2","12.1","11.06","11.14","10.05","8.25","12.96","18.14","17.38","20.85","18.21","16.83","18.22","19.48","17.52","24.54","27.3","27.8","39.3","47.08","41.86","40.17"
"2010/01/03","橋頭","O3","21.6","23","20.7","20.3","22.2","26.7","26.7","30.1","23.5","20.6","25.6","26.4","33.9","38.1","37.6","36.2","40.9","36.7","34.8","32.5","18.7","9.3","9.4","7"
"2010/01/03","橋頭","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","5.69","5.12","4.85","","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","橋頭","PM10","37","27","22","25","20","19","23","15","14","20","15","21","30","36","35","32","40","54","76","104","121","128","137","135"
"2010/01/03","橋頭","PM2.5","37","23","17","20","18","13","12","11","9","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x"
"2010/01/03","橋頭","RAINFALL","NR","NR","NR","NR","NR","NR",".4",".2","1.2",".4","NR",".2","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","橋頭","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","21.42","25.3","21.24","","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","橋頭","RH","85.52","84.06","84.07","82.96","77.09","68.46","73.88","81.93","85.22","83.64","78.28","76.85","73.58","69.44","64.5","62.74","65","69.19","73.71","74.7","76.41","80.1","81.58","84.04"
"2010/01/03","橋頭","SO2","2.3","2.3","2.4","2.5","2.5","2.6","2.1","1.8","2","1.8","2","2.2","2.5","2.8","3.6","4.1","4","5.2","6.9","8.5","6.9","6","6.2","5.6"
"2010/01/03","橋頭","WD_HR","67","71.73","60.56","46.91","47.13","52.41","49.58","60.37","91.76","102.33","71.33","309.3","306.15","20.51","15.22","344.62","293.45","291.42","313.83","327.09","30.55","42.88","42.47","36.23"
"2010/01/03","橋頭","WIND_DIREC","236.04","83.31","47.14","49.39","51.34","50.72","47.02","58.6","101.09","73.83","43.3","220.07","306.1","34.04","14.93","296.74","290.6","296.72","316.66","358.3","33.94","29.4","40.86","33.39"
"2010/01/03","橋頭","WIND_SPEED","4.12","4","4.35","3.28","3","3.22","3.37","2.5","2.18","2.11","1.91","3.5","3.55","3.1","2.54","1.98","2.17","2.01","1.66","1.57","1.54","1.6","1.63","1.57"
"2010/01/03","橋頭","WS_HR",".26",".37","1.98","2.34","2.14","1.36","2.32","2.34","2.09","1.9","1.59",".61",".66",".71","1.02",".89","1.99","1.81","1.29",".48",".54",".94","1.18","1.16"
"2010/01/04","橋頭","AMB_TEMP","16.51","16.7","16.63","16.25","16.27","16.34","15.74","15.93","16.98","19.01","21.13","23.06","24.19","24.56","24.02","23.33","22.25","21.74","21.1","20.13","19.19","18.45","17.81","17.29"
"2010/01/04","橋頭","CO",".77",".67",".59",".54",".53",".54",".62",".96",".79",".68",".6",".51",".53",".56",".54",".56",".73","1.01","1.26","1.14","1.14",".95",".92",".88"
"2010/01/04","橋頭","NO","3.26","1.74","1.54","1.1","1.29","1.14","3.17","16.94","18.41","15.15","9.14","4.29","3.2","2.4","2.6","2.59","2.26","1.93","2.1","2.36","1.85","1.72","1.68","1.35"
"2010/01/04","橋頭","NO2","33.16","27.08","20.33","14.37","14.3","12.19","22.32","29.57","26.65","26.35","21.95","17.56","16.63","17.33","16.01","19.14","29.29","36.65","46.4","36.78","44.14","38.37","32.74","28.53"
"2010/01/04","橋頭","NOx","36.42","28.82","21.86","15.47","15.59","13.33","25.49","46.51","45.06","41.5","31.09","21.85","19.83","19.73","18.61","21.73","31.55","38.58","48.5","39.14","46","40.09","34.41","29.88"
"2010/01/04","橋頭","O3","6.4","9.8","16.8","19.2","21.1","26.3","12.5","6.8","10.6","17.5","28.9","42.1","46.7","65.7","62.7","58.3","56.5","47.3","29.6","27.6","17.6","20.2","16.6","14.7"
"2010/01/04","橋頭","PH_RAIN","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","橋頭","PM10","128","122","110","105","103","101","97","106","120","117","109","0#","78","96","112","102","110","128","136","144","156","164","168","172"
"2010/01/04","橋頭","PM2.5","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","8x","","0#","82","81","77","84","93","95","101","108","117","130","136"
"2010/01/04","橋頭","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","橋頭","RAIN_COND","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/04","橋頭","RH","85.17","85.09","84.51","84.66","83.09","81.81","84.73","84.57","81.56","75.11","66.81","57.28","52.44","53.55","56.81","59.39","64.57","65","66.37","72.69","76.79","79.71","82.75","85.09"
