"日期","測站","測項","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2010/01/01","美濃","AMB_TEMP","16","16.25","16.11","16.27","15.9","15.81","15.5","15.23","16.14","17.76","19.99","21.97","22.66","23.3","23.38","23.5","22.37","20.91","20.28","19.69","19.26","18.62","18.23","17.78"
"2010/01/01","美濃","CO",".52",".53",".53",".52",".5",".5",".52",".61",".59",".57",".5",".51",".47",".52",".53",".51",".54",".5",".49",".55",".6",".6",".54",".51"
"2010/01/01","美濃","NO","4.2","4.53","5.16","4.7","4.15","4.4","5.66","16.47","14.18","9.77","5.52","3.72","3.16","3.18","3.1","2.72","2.77","3.31","2.41","2.98","2.75","2.71","2.8","2.59"
"2010/01/01","美濃","NO2","20.9","19.16","17.96","16.2","15.2","12.94","11.09","9.26","9.75","10.13","8.47","7.47","6.69","10.29","11.06","11.47","14.77","16.56","15.31","17.83","18.3","17.33","13.27","13.19"
"2010/01/01","美濃","NOx","25.1","23.69","23.12","20.9","19.36","17.33","16.76","25.73","23.93","19.9","14","11.19","9.84","13.47","14.16","14.19","17.54","19.87","17.72","20.81","21.05","20.04","16.08","15.78"
"2010/01/01","美濃","O3","4.8","4.8","3.3","3.1","3.1","4.2#","2.4","3.3","5.9","11.8","28.9","47.5","52.7","59.5","70.5","69.2","60.4","53.2","55.5","49.6","33.8","24.4","19","18.3"
"2010/01/01","美濃","PM10","63","69","68","66","59","43","31","34","50","55","56","58","62","70","83","82","77","84","85","81","86","91","88","83"
"2010/01/01","美濃","PM2.5","38","42","40","38","35","21","10","17","27","31","33","33","37","44","51","51","48","45","43","43","45","50","52","52"
"2010/01/01","美濃","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/01","美濃","RH","95.36","96.15","96.79","97.03","97.62","98.14","98.39","98.55","98.68","97.86","86.67","71.05","66.6","63.91","61.93","61.16","64.96","68.93","70.43","72.58","78.41","83.39","86.33","87.47"
"2010/01/01","美濃","SO2","1.3","1.5","1.5","1.5","1.5","1.3","1.3","1.7","1.6","1.4","2.1","4.3","3.2","4.2","4.8","4.1","4.1","4.5","4.4","4.5","3.3","2.5","1.9","2"
"2010/01/01","美濃","WD_HR","96.11","73.52","172.58","65.07","245.78","94.47","245.27","191.06","126.99","168.05","215.47","246.07","282.77","279.65","254.49","293.08","290.58","281.33","284.36","309.21","65.2","79.52","50.26","59.62"
"2010/01/01","美濃","WIND_DIREC","85.11","305.87","107.48","295.44","125.29","294.03","261.8","139.03","102.98","300.63","220.66","285.42","290.92","285.43","273.62","301.56","274.04","284.94","295.83","337.51","85.21","83.12","51.94","5.66"
"2010/01/01","美濃","WIND_SPEED","1.12",".6","1.29",".77",".7",".86","1.04",".74",".9",".8","2.15","1.53","2.33","2.15","2.09","1.99","2.3","1.81","1.26",".61","1.3","1.19",".63","1.01"
"2010/01/01","美濃","WS_HR",".72",".61",".48",".3",".29",".45",".43",".38",".51",".35",".57","1.13","1.65","2.09","1.86","1.81","1.72","1.56","1.65",".58",".74",".87",".84",".9"
"2010/01/02","美濃","AMB_TEMP","17.34","16.91","16.34","15.94","15.64","15.4","15.17","15.74","17.87","20.48","22.08","24.28","25.27","25.98","26.77","26.14","24.51","23.24","22.53","22.07","20.87","20.1","19.98","19.7"
"2010/01/02","美濃","CO",".49",".48",".48",".49",".48",".46",".55",".54",".51",".47",".39",".36",".35",".34",".38",".44",".52",".52",".58",".6",".57",".56",".55",".53"
"2010/01/02","美濃","NO","2.88","2.76","2.64","3.51","3.86","3.62","8.98","9.29","7.39","6.34","4.47","4.31","3.88","3.99","3.22","3.44","3.61","3.76","3.6","3.36","3.34","4.01","4.37","3.74"
"2010/01/02","美濃","NO2","10.93","10.98","9.8","12.71","11.47","10.73","11.49","9.96","8.86","8.44","4.64","4.68","5.06","5.6","6.44","10.21","16.34","16.61","17.89","16.71","17.79","18.54","16.04","15.7"
"2010/01/02","美濃","NOx","13.81","13.74","12.44","16.22","15.33","14.35","20.47","19.26","16.26","14.78","9.11","8.99","8.94","9.6","9.66","13.65","19.95","20.36","21.48","20.08","21.14","22.55","20.4","19.45"
"2010/01/02","美濃","O3","21.5","18.8","14.3","8.5","6.2","6.7","3.1","5.7","14.4","23","32.4","45.1","51.4","54.7","60.9","61.3","50.4","45.4","40.1","35.7","26.6","18.6","18.7","14.7"
"2010/01/02","美濃","PM10","83","85","83","79","74","74","75","72","69","70","68","58","49","45","48","59","70","78","84","102","117","111","109","105"
"2010/01/02","美濃","PM2.5","51","53","51","47","45","38","36","37","37","36","31","34","32","27","30","34","42","49","51","64","76","75","73","69"
"2010/01/02","美濃","RAINFALL","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/02","美濃","RH","88.43","90.03","91.63","93.7","94.38","94.91","95.25","94.76","87.6","75.47","67.7","56.58","55.26","53.69","52.7","54.92","60.4","65.35","68.99","71.5","77.72","82.44","82.68","84.77"
"2010/01/02","美濃","SO2","2.1","1.6","1.4","1.3","1.2",".9","1.2","1.2","1.3","1.3","1.2","1.4","1.5","1.6","2.3","3","3.8","3.2","2.9","3.1","2.6","1.8","1.6","1.6"
"2010/01/02","美濃","WD_HR","358.6","73.85","264.08","55.41","177.48","85.83","325.45","101.84","163.43","276.37","230.52","267.81","273.5","268.79","285.96","301.01","294.24","274.37","281.72","294.57","298.84","305.49","305.2","226.55"
"2010/01/02","美濃","WIND_DIREC","24.3","74.5","276.31","175.98","51.4","41","94.42","201.02","38.91","286.56","200.21","244.95","287.68","286.53","285.39","298.06","285.21","274.93","285.41","299.17","299.52","308.78","297.29","288.89"
"2010/01/02","美濃","WIND_SPEED",".82",".97",".57",".67",".85",".8",".56",".77",".87","3.42","1.64","2.07","1.9","1.62","2.45","2.55","1.33","1.58","1.28","1.51","1.85","1.78",".84","1.03"
"2010/01/02","美濃","WS_HR",".47",".99",".12",".31",".39","1",".41",".59",".57","1.76","1","1.26","1.34","1.05","2.22","1.87","1.76","1.42",".91","1.38","1.17","1.49",".73",".55"
"2010/01/03","美濃","AMB_TEMP","19.18","18.14","17.97","18.43","18.36","18.29","19.81","18.52","18.69","18.6","19.49","20.84","20.51","21.63","22.71","22.55","21.7","20.48","20.22","18.82","17.94","17.48","17.05","16.57"
"2010/01/03","美濃","CO",".48",".41",".4",".41",".4",".41",".27",".29",".38",".31",".26",".24",".27",".25",".23",".25",".31",".39",".44",".53",".58",".54",".38",".48"
"2010/01/03","美濃","NO","3.7","2.88","3.61","1.61","1.98","2.66","2.22","2.26","2.91","3.62","4.32","3.42","3.62","3.16","2.52","2.38","2.43","2.15","2.04","2.16","2.25","2.32","2.83","2.79"
"2010/01/03","美濃","NO2","13.19","8.26","8.26","9.94","9.37","9.82","3.09","4.3","10.1","9.78","7.8","6.06","7.06","6.57","5.47","6.41","9.7","16.38","17.96","17.99","18.48","17.56","11.45","14.37"
"2010/01/03","美濃","NOx","16.89","11.14","11.87","11.55","11.35","12.49","5.31","6.55","13.01","13.39","12.12","9.48","10.68","9.73","8","8.79","12.13","18.53","20.01","20.15","20.73","19.88","14.29","17.16"
"2010/01/03","美濃","O3","14.3","17.8","17.5","14.6","13.1","12.6","38.3","31.6","23.5","21.4","25.8","28.7","29.2","33.9","39.3","41.8","38","28.6","25.3","28.2","25.6","15.8","7.6","7.7"
"2010/01/03","美濃","PM10","92","65","46","45","40","46","42","16","6","11","17","28","32","28","25","23","26","29","35","57","86","96","63","48"
"2010/01/03","美濃","PM2.5","65","47","34","34","29","30","18","0","0","4","7","10","13","11","13","11","12","18","23","33","47","53","41","35"
"2010/01/03","美濃","RAINFALL","NR","NR","NR","NR","NR","NR",".8",".6",".6",".8","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR"
"2010/01/03","美濃","RH","86.8","89.22","89.83","88.75","89.46","90.08","73.66","85.16","86.32","89.03","85.03","77.81","77.01","70.71","65.73","65.35","69.49","73.93","75.71","81.63","85.18","88.16","91.37","92.93"
"2010/01/03","美濃","SO2","1.4","1.2","1.1","1.2","1.2","1",".8",".9","1","1",".9","1.1","1.3","1.2","1.2","1.2","1.5","1.5","1.8","3","3.1","2.4","1.1","1.4"
"2010/01/03","美濃","WD_HR","281.01","288.59","289.86","44.47","151.22","113.5","79.39","83.71","126.07","71.85","284.43","290.83","298.33","296.57","283.94","268.22","285.77","284.21","270.47","273.98","288.22","55.63","54.31","321.13"
"2010/01/03","美濃","WIND_DIREC","280.2","301.47","306.78","80.51","95.7","81.53","81.38","49.45","106.12","300.96","294.99","292.8","305.08","284.5","269.04","291.89","279.28","280.93","235.87","277.61","293.12","69.96","12.95","127.91"
