統計年,區域別,年底人口數,土地面積,人口密度
102,新北市板橋區　,556920,23.1373,24070
102,新北市三重區　,389813,16.317,23890
102,新北市中和區　,415742,20.144,20639
102,新北市永和區　,229062,5.7138,40089
102,新北市新莊區　,409760,19.7383,20760
102,新北市新店區　,299017,120.2255,2487
102,新北市樹林區　,183407,33.1288,5536
102,新北市鶯歌區　,88637,21.1248,4196
102,新北市三峽區　,110010,191.4508,575
102,新北市淡水區　,155241,70.6565,2197
102,新北市汐止區　,194200,71.2354,2726
102,新北市瑞芳區　,41490,70.7336,587
102,新北市土城區　,239258,29.5578,8095
102,新北市蘆洲區　,199426,7.4351,26822
102,新北市五股區　,81744,34.8632,2345
102,新北市泰山區　,77939,19.1603,4068
102,新北市林口區　,94108,54.1519,1738
102,新北市深坑區　,23622,20.5787,1148
102,新北市石碇區　,7848,144.3498,54
102,新北市坪林區　,6460,170.835,38
102,新北市三芝區　,23464,65.9909,356
102,新北市石門區　,12794,51.2645,250
102,新北市八里區　,36201,39.4933,917
102,新北市平溪區　,5002,71.3382,70
102,新北市雙溪區　,9412,146.2484,64
102,新北市貢寮區　,13306,99.9734,133
102,新北市金山區　,22392,49.2132,455
102,新北市萬里區　,22618,63.3766,357
102,新北市烏來區　,6036,321.1306,19
102,臺北市松山區　,210343,9.2878,22647
102,臺北市信義區　,228496,11.2077,20387
102,臺北市大安區　,313363,11.3614,27581
102,臺北市中山區　,228753,13.6821,16719
102,臺北市中正區　,163140,7.6071,21446
102,臺北市大同區　,129820,5.6815,22850
102,臺北市萬華區　,193480,8.8522,21857
102,臺北市文山區　,271341,31.509,8612
102,臺北市南港區　,119752,21.8424,5483
102,臺北市內湖區　,282842,31.5787,8957
102,臺北市士林區　,289742,62.3682,4646
102,臺北市北投區　,255444,56.8216,4496
102,臺中市中區　,20008,0.8803,22729
102,臺中市東區　,74572,9.2855,8031
102,臺中市南區　,118349,6.8101,17378
102,臺中市西區　,116397,5.7042,20405
102,臺中市北區　,147880,6.9376,21316
102,臺中市西屯區　,215485,39.8467,5408
102,臺中市南屯區　,159952,31.2578,5117
102,臺中市北屯區　,255978,62.7034,4082
102,臺中市豐原區　,166090,41.1845,4033
102,臺中市東勢區　,51953,117.4065,443
102,臺中市大甲區　,77847,58.5192,1330
102,臺中市清水區　,86061,64.1709,1341
102,臺中市沙鹿區　,86305,40.4604,2133
102,臺中市梧棲區　,56008,16.6049,3373
102,臺中市后里區　,54076,58.9439,917
102,臺中市神岡區　,64899,35.0445,1852
102,臺中市潭子區　,104471,25.8497,4041
102,臺中市大雅區　,91939,32.4109,2837
102,臺中市新社區　,25322,68.8874,368
102,臺中市石岡區　,15636,18.2105,859
102,臺中市外埔區　,31845,42.4099,751
102,臺中市大安區　,19720,27.4045,720
102,臺中市烏日區　,70624,43.4032,1627
102,臺中市大肚區　,55995,37.0024,1513
102,臺中市龍井區　,75664,38.0377,1989
102,臺中市霧峰區　,64280,98.0779,655
102,臺中市太平區　,178870,120.7473,1481
102,臺中市大里區　,204846,28.8758,7094
102,臺中市和平區　,10589,1037.8192,10
102,臺南市新營區　,78521,38.5386,2037
102,臺南市鹽水區　,26426,52.2455,506
102,臺南市白河區　,30178,126.4046,239
102,臺南市柳營區　,21932,61.2929,358
102,臺南市後壁區　,24910,72.2189,345
102,臺南市東山區　,22195,124.9178,178
102,臺南市麻豆區　,45230,53.9744,838
102,臺南市下營區　,25333,33.5291,756
102,臺南市六甲區　,23151,67.5471,343
102,臺南市官田區　,21823,70.7953,308
102,臺南市大內區　,10408,70.3125,148
102,臺南市佳里區　,59372,38.9422,1525
102,臺南市學甲區　,27167,53.9919,503
102,臺南市西港區　,24914,33.7666,738
