"類型 Class","觀光遊憩區","縣市別","1月 Jan.","2月 Feb.","3月 Mar.","4月 Apr.","5月 May","6月 Jun.","7月 Jul.","8月 Aug.","9月 Sep.","10月 Oct.","11月 Nov.","12月 Dec.","合計",,,,,,,,
"東北角暨宜蘭海岸國家風景區
Northeast and Yilan Coast National Scenic Area","鼻頭港服務區 Bitou Harbor Service Area",新北市 New Taipei City,"11,750 ","10,800 ","9,450 ","11,200 ","11,900 ","11,650 ","12,000 ","13,910 ","13,950 ","9,805 ","12,230 ","9,965 ","138,610 ",,,,,,,,
,"龍洞灣公園
Longdongwan Coast Park",新北市 New Taipei City,"1,624 ","1,902 ","1,975 ","1,956 ","2,523 ","8,128 ","10,166 ","9,027 ","5,028 ","2,568 ","2,157 ","2,002 ","49,056 ",,,,,,,,
,"龍洞南口海洋公園
Longdong South Ocean Park",新北市 New Taipei City,"1,018 ",426 ,"1,226 ",604 ,"1,246 ","7,110 ","12,020 ","8,855 ","2,560 ","1,536 ",761 ,363 ,"37,725 ",,,,,,,,
,"福隆遊客服務中心
Fulong Visitor Center",新北市 New Taipei City,"27,729 ","87,166 ","71,702 ","79,192 ","354,736 ","170,857 ","138,988 ","66,391 ","73,837 ","55,790 ","49,422 ","52,999 ","1,228,809 ",,,,,,,,
國家風景區,"龍門露營區
Longmen Camp Site",新北市 New Taipei City,"1,110 ","1,433 ","3,357 ","5,098 ","5,503 ","5,783 ","6,203 ","5,511 ","4,846 ","9,768 ","5,639 ","3,106 ","57,357 ",,,,,,,,
,"鹽寮海濱公園
Yanliao Beach Park",新北市 New Taipei City,143 ,223 ,229 ,143 ,356 ,"1,162 ",754 ,702 ,246 ,346 ,142 ,102 ,"4,548 ",,,,,,,,
,"福隆蔚藍海岸◎
Fulong Beach",新北市 New Taipei City,"1,299 ","2,636 ","3,432 ","3,904 ","163,208 ","324,231 ","557,220 ","19,266 ","6,126 ","3,123 ","1,404 ",549 ,"1,086,398 ",,,,,,,,
,"鼻頭角步道
Bitou Cape Trail",新北市 New Taipei City,"2,760 ","3,550 ","2,800 ","11,200 ","6,260 ","6,725 ","7,730 ","5,875 ","5,890 ","7,545 ","3,840 ","4,231 ","68,406 ",,,,,,,,
,"舊草嶺隧道
The old Caoling Tunnel",新北市 New Taipei City,"8,026 ","9,189 ","8,607 ","9,262 ","19,256 ","29,219 ","20,906 ","21,181 ","20,342 ","20,039 ","16,581 ","9,651 ","192,259 ",,,,,,,,
National Scenic Areas,"草嶺古道系統(含遠望坑親水公園)
Caoling Historic Trail System (including Yuanwangkeng Riverside Park)",新北市 New Taipei City                        宜蘭縣 Yilan County,"12,127 ","17,008 ","12,565 ","20,157 ","24,395 ","26,685 ","28,378 ","20,577 ","22,770 ","31,236 ","114,591 ","23,492 ","353,981 ",,,,,,,,
,"大里遊客服務中心
Dali Visitor Center",宜蘭縣 Yilan County,"29,091 ","42,602 ","19,143 ","26,275 ","9,334 ","7,302 ","1,436 ","1,925 ","13,943 ","23,014 ","44,864 ","30,098 ","249,027 ",,,,,,,,
,"龜山島海域遊憩區
Turtle Island Coast Recreation Area",宜蘭縣 Yilan County,0 ,0 ,"3,618 ","9,666 ","18,325 ","23,359 ","39,579 ","18,468 ","9,462 ","5,963 ","2,329 ",0 ,"130,769 ",,,,,,,,
,"石城服務區
Shihcheng Service Area",宜蘭縣 Yilan County,"3,554 ","4,312 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,866 ",,,,,,,,
,"北關海潮公園
Beiguan Tidal Park",宜蘭縣 Yilan County,"16,025 ","14,599 ","13,359 ","13,799 ","15,233 ","16,225 ","25,687 ","18,987 ","15,945 ","14,665 ","13,698 ","15,459 ","193,681 ",,,,,,,,
,"外澳濱海遊憩區
Waiao Ocean Recreational Area",宜蘭縣 Yilan County,"12,531 ","30,772 ","8,031 ","13,329 ","19,888 ","24,898 ","53,012 ","30,566 ","24,949 ","25,445 ","12,989 ","11,755 ","268,165 ",,,,,,,,
,"南方澳遊客中心
Nanfangao Visitor Center",宜蘭縣 Yilan County,"21,526 ","27,761 ","16,008 ","16,172 ","16,281 ","23,199 ","24,932 ","19,034 ","18,805 ","28,890 ","20,640 ","21,698 ","254,946 ",,,,,,,,
,"東部海岸國家風景區
East Coast National Scenic Area ",,,,,,,,,,,,,,,,,,,,,,
