"年度","<b>歲入淨額</b> ","歲入淨額占GDP比率 ","<b>歲出淨額</b> ","歲出淨額占GDP比率 ","<b>餘絀</b> ","餘絀占GDP比率 ","<b>融資收入－發行公債收入</b> ","<b>融資收入－賒借收入</b> ","<b>融資收入－移用以前年度歲計賸餘</b> ","<b>融資支出－債務還本支出</b> "
"63年度","110,054,407"," 21.6"," 87,043,394"," 17.1"," 23,011,013","  4.5","    900,000","    744,218","  4,133,697","    996,437"
"64年度","126,310,834"," 22.3","123,557,742"," 21.8","  2,753,092","  0.5","    400,000","  1,008,520","  6,314,359","  2,877,786"
"65年度","156,123,655"," 23.6","146,593,824"," 22.2","  9,529,831","  1.4","  4,600,000","  1,913,282","  3,465,910","  3,400,634"
"66年度","180,224,957"," 23.1","187,660,328"," 24.1"," -7,435,371"," -1.0","  3,106,120","  1,524,218","  8,973,202","  4,832,339"
"67年度","216,168,346"," 23.5","221,479,429"," 24.1"," -5,311,083"," -0.6","  6,510,000","  5,861,557","  5,104,363","  5,420,292"
"68年度","276,559,318"," 24.8","246,888,081"," 22.2"," 29,671,237","  2.7","  5,600,000","  2,893,838","  2,366,821","  7,822,833"
"69年度","340,714,706"," 25.0","340,362,650"," 25.0","    352,056","  0.0","          －","  4,611,800"," 23,595,241","  5,033,505"
"70年度","411,711,857"," 24.6","425,731,392"," 25.4","-14,019,535"," -0.8","  4,000,000","  3,716,749"," 18,278,318","  7,489,321"
"71年度","454,460,904"," 24.2","487,253,354"," 25.9","-32,792,450"," -1.7"," 13,381,588","  6,806,379"," 16,117,969","  6,487,607"
"72年度","461,116,880"," 22.7","489,894,459"," 24.1","-28,777,579"," -1.4"," 22,299,880","  7,777,834","  9,960,850","  8,264,076"
"73年度","515,913,443"," 22.4","506,223,779"," 21.9","  9,689,664","  0.4","  9,778,823","  5,981,774","  2,482,517"," 12,825,036"
"74年度","542,602,615"," 21.9","546,337,833"," 22.1"," -3,735,218"," -0.2"," 24,088,048","  7,102,304","  2,246,364"," 17,390,719"
"75年度","584,838,113"," 21.5","616,717,846"," 22.7","-31,879,733"," -1.2"," 28,800,000","  7,440,769"," 15,125,405"," 15,943,002"
"76年度","650,202,641"," 20.5","641,910,820"," 20.3","  8,291,821","  0.3"," 48,338,671","  8,457,235","    844,275"," 20,224,423"
"77年度","765,439,044"," 22.1","726,468,366"," 21.0"," 38,970,678","  1.1"," 76,540,260","  9,503,519","  1,147,261"," 25,461,418"
"78年度","921,575,298"," 24.1","1,207,350,774"," 31.6","-285,775,476"," -7.5","117,397,324","313,138,345"," 30,422,038"," 32,202,779"
"79年度","1,092,401,322"," 25.6","1,097,517,620"," 25.7"," -5,116,298"," -0.1"," 15,831,211"," 72,855,408"," 22,052,633"," 69,229,070"
"80年度","1,049,930,814"," 22.2","1,275,612,966"," 26.9","-225,682,152"," -4.8","145,003,468","136,605,046","107,146,770","141,012,423"
