job,人數,人數(男),人數(女),薪資,薪資(男),薪資(女),工時,工時(男),工時(女)
礦業及土石採取業,3908,3214,694,54579,57463,41204,180.9,181.9,176.5
製造業,2686693,1597791,1088902,45207,50974,36746,184.8,186.1,182.8
電力及燃氣供應業,29111,25035,4076,94022,96809,76904,175.9,177.2,168.3
用水供應及污染整治業,27829,21210,6619,44814,45221,43508,179.3,180.7,175
營造業,459691,385605,74086,43251,45364,32255,176,176.7,172.8
批發及零售業,1617678,763796,853882,44422,47798,41403,172.9,173.8,172.2
運輸及倉儲業,277176,190481,86695,50028,52407,44799,179.5,182.8,172.3
住宿及餐飲業,374362,160060,214302,31747,33925,30119,169.2,169.5,168.9
資訊及通訊傳播業,190475,100514,89961,66316,72727,59153,166.1,166.9,165.4
金融及保險業,368904,141057,227847,83092,90433,78547,165.6,165.9,165.5
不動產業,116738,59460,57278,42914,42984,42841,179.9,182,177.5
專業、科學及技術服務業,248477,133040,115437,57414,62663,51364,173.8,176.2,170.9
支援服務業,336437,168771,167666,34909,35000,34818,189.1,201.8,176.2
教育服務業,72087,22769,49318,24224,27422,22747,134.4,124.5,139
醫療保健服務業,325692,64761,260931,61300,96517,52560,172.6,172.1,172.9
藝術、娛樂及休閒服務業,54986,28745,26241,35829,42156,28898,178.7,178.6,178.6
其他服務業,85155,36310,48845,35086,40386,31146,193.1,188.4,196.6
