job,人數總計,人數男,人數女,薪資平均,薪資男,薪資女,工時平均,工時男,工時女,時薪平均,時薪男,時薪女,type
石油及天然氣礦業,1413,1214,199,92284,93340,85812,174.5,176.3,163.9,528.8,529.4,523.6,礦業及土石採取業
砂、石及黏土採取業,2495,2000,495,33232,35678,23350,184.6,185.4,181.5,180.0,192.4,128.7,礦業及土石採取業
食品製造業,110204,53653,56551,37861,44175,31871,183.3,184.2,182.4,206.6,239.8,174.7,製造業
飲料及菸草製造業,15305,10409,4896,54816,60729,42245,178.3,177.2,180.6,307.4,342.7,233.9,製造業
紡織業,104391,56800,47591,37743,43301,31110,191.9,196.1,186.8,196.7,220.8,166.5,製造業
成衣及服飾品製造業,42391,11742,30649,31572,39338,28597,173.9,174.3,173.7,181.6,225.7,164.6,製造業
皮革、毛皮及其製品製造業,27526,11822,15704,39350,43176,36470,185.2,195,177.8,212.5,221.4,205.1,製造業
木竹製品製造業,18075,11157,6918,33429,35826,29564,192.4,194.2,189.3,173.7,184.5,156.2,製造業
紙漿、紙及紙製品製造業,51354,32959,18395,36184,39867,29583,190.5,192.5,187.1,189.9,207.1,158.1,製造業
印刷及資料儲存媒體複製業,62197,39726,22471,35618,37787,31784,188.9,190.2,186.5,188.6,198.7,170.4,製造業
石油及煤製品製造業,11879,10483,1396,82720,83958,73420,180.5,181.8,170.3,458.3,461.8,431.1,製造業
化學材料製造業,61681,49892,11789,65174,69053,48756,181.7,183.3,175,358.7,376.7,278.6,製造業
化學製品製造業,48963,28343,20620,51714,58886,41856,175.5,178.1,171.9,294.7,330.6,243.5,製造業
藥品及醫用化學製品製造業,27697,15468,12229,43273,46263,39491,176,177.8,173.7,245.9,260.2,227.4,製造業
橡膠製品製造業,37131,24895,12236,40487,44214,32905,194.6,194.6,194.5,208.1,227.2,169.2,製造業
塑膠製品製造業,135788,76277,59511,38789,45091,30710,182,183.2,180.6,213.1,246.1,170.0,製造業
非金屬礦物製品製造業,71399,48927,22472,38373,41626,31289,187.6,189,184.3,204.5,220.2,169.8,製造業
基本金屬製造業,108291,90125,18166,54317,57618,37939,187.7,189.6,178.4,289.4,303.9,212.7,製造業
金屬製品製造業,323199,217125,106074,35265,38491,28660,185.4,187.8,180.5,190.2,205.0,158.8,製造業
電子零組件製造業,583687,280764,302923,55836,66651,45813,187.6,187.8,187.4,297.6,354.9,244.5,製造業
電腦、電子產品及光學製品製造業,214109,116242,97867,54651,66780,40244,178.4,177,180.1,306.3,377.3,223.5,製造業
電力設備製造業,126720,77616,49104,39054,44382,30631,183.3,184.3,181.6,213.1,240.8,168.7,製造業
機械設備製造業,214187,140617,73570,38266,41675,31750,184.7,186.3,181.6,207.2,223.7,174.8,製造業
汽車及其零件製造業,83009,62388,20621,48072,50924,39444,184.3,186.1,178.7,260.8,273.6,220.7,製造業
