年月,上市公司家數(家),上市公司資本額(十億元),上市公司資本額成長率(％),上市公司面值(十億元),上市公司市值(十億元),上櫃公司家數(家),上櫃公司資本額(十億元),上櫃公司資本額成長率(％),上櫃公司面值(十億元),上櫃公司市值(十億元),未上市未上櫃公司家數(家),未上市未上櫃公司資本額(十億元)
87,437,2734.07,29.81,2696.66,8392.61,176,381.39,21.12,381.39,887.63,1810,2698.92
88,462,3083.02,12.76,3056.54,11803.52,264,513.76,34.71,504.96,1468.44,2018,2946.94
89,531,3661.36,18.75,3630.18,8191.47,300,677.19,31.81,667.29,1050.59,2257,3013.12
90,584,4096.43,11.88,4064,10247.6,333,681.44,0.63,674.7,1412.19,1953,3169.64
91,638,4444.02,8.49,4410.4,9094.94,384,627.3,-7.95,624.3,862.25,1328,2672.75
92,669,4725.28,6.33,4705.51,12869.1,423,639.47,1.94,638.11,1200.78,1128,2442.97
93,697,5058.08,7.04,5031.32,13989.1,466,626.1,-2.09,615.9,1122.53,989,2411.17
94,691,5415.96,7.08,5389.95,15633.86,503,643.18,0.12,633.21,1312.46,801,2312.01
95,688,5522.67,1.97,5494.93,19376.98,531,726.2,12.91,702.42,1899.45,673,2144.4
96,698,5601.62,1.43,5558.64,21527.3,547,714.81,-1.57,679.17,1868.77,601,1950.43
97,718,5735.44,2.39,5690.4,11706.53,539,703.07,-1.64,662.27,772.11,535,1697.83
98,741,5869.59,2.34,5772.9,21033.64,546,772.73,9.91,719.43,1914.22,497,1817.05
99,758,5927.95,0.99,5811.28,23811.42,564,705.99,-8.64,655.09,1984.64,512,1689.56
100,790,6152.38,3.79,6026.77,19216.18,607,731.92,3.67,682.42,1417.09,516,1622.29
101,809,6384.95,3.78,6257.98,21352.16,638,666.9,-8.88,629.36,1737.98,540,1698.55
102,838,6610.03,3.53,6488,24519.56,658,661.85,0.37,628.11,2324.82,584,1789.85
103,854,6783.4,2.62,6665.33,26891.5,685,679.56,2.68,650.79,2680.56,621,1757.6
104,862,6828.49,0.66,6728.16,27135.03,697,689.43,1.45,660.53,2709.55,633,1741.53
8708,419,2609.63,2.18,2439.06,7811.21,160,395.42,1.72,395.42,929.26,1761,1466.66
8709,421,2630.37,0.79,2535.07,8451.57,161,401.46,1.53,400.46,955.25,1774,1470.51
8710,428,2686.86,2.15,2651.15,9237.62,157,362.76,-9.64,361.76,932.09,1792,1442.97
8711,431,2712.95,0.97,2668.13,9255.87,159,351.95,-2.98,350.95,870.56,1810,1539.29
8712,437,2734.07,0.78,2696.66,8392.61,176,381.39,8.65,381.39,887.63,1810,1518.79
8801,445,2767.08,1.21,2730.56,8129.54,184,372.08,-2.7,365.23,811.85,1817,1529.11
8802,447,2783.09,0.58,2749.68,8451.97,187,364,-2.17,360.82,841.26,1810,1522.65
8803,451,2794.79,0.42,2763.96,9305.67,198,372.05,2.21,369.31,896.38,1902,1510.76
8804,450,2793.83,-0.03,2772.38,10050.75,208,383,2.94,378.33,966.8,1813,1514.18
8805,454,2813.1,0.69,2781.02,9956.87,218,420.95,9.91,415.46,1078.26,1819,1517.06
8806,455,2880.36,2.39,2789.9,10714.07,223,432.81,2.82,411.54,1113.23,1851,1522.48
8807,454,2992.64,3.9,2799.16,9754.92,226,455.76,5.3,418.84,1014.09,1984,1595.28
8808,454,3035.79,1.44,2877.42,10515.43,228,471.46,3.44,437.51,1143.77,1988,1594.72
8809,456,3061.58,0.85,2967.57,10212.52,233,463.85,-1.61,438.09,1094.96,1990,1608.85
8810,458,3088.25,0.87,3020.85,10755.4,244,489.21,5.47,459.45,1201.26,1997,1590.55
8811,461,3097,0.28,3054.28,10724.79,251,497.64,1.72,482.39,1288.55,2008,1596.32
8812,462,3086.2,-0.35,3054,11787.33,264,513.76,3.24,504.96,1468.44,2018,1609.63
8901,464,3108.59,0.72,3084.41,13985.51,274,519.18,1.05,512.95,1798.82,2027,1606.68
8902,463,3104.09,-0.14,3083.1,13550.71,280,532.65,2.59,526.59,1892.06,2029,1606.48
8903,470,3113.99,0.32,3099,14223.3,283,565.94,6.25,559.38,2327.16,2027,1572.73
8904,471,3121.77,0.25,3106.04,12649.86,287,570.72,0.84,564.11,2192.26,2057,1574.11
8905,472,3184.53,-0.39,3109.49,12270.46,294,579.65,1.56,568.1,2178.75,2102,1579.99
8906,472,3248.25,2,3161.67,11422.78,302,598.95,3.33,574.42,2038.59,2187,1615.14
8907,472,3361.81,3.5,3204,11150.5,307,637.59,6.45,604.69,1883.39,2351,1661.55
8908,471,3462.82,3,3274.81,10751.27,312,664.33,4.19,631.22,1967.99,2363,1656.39
8909,525,3528.5,1.87,3419.63,9251.93,272,662.47,-0.28,636.63,1577.13,2361,1680.91
8910,529,3651.5,3.5,3612.95,9468.17,284,671.79,1.41,657.94,1305.78,2376,1545.73
8911,530,3654.96,0.11,3620.97,9057.15,295,682.26,1.56,667.53,1226.8,2347,1536.97
8912,531,3661.36,0.17,3630.18,8191.47,300,677.19,-0.74,667.29,1050.59,2257,1518.63
9001,529,3650.51,0.29,3617.79,10258.51,303,677.36,0.03,667.71,1427.18,2219,1505.73
9002,528,3651.41,0.02,3618.39,9816.5,312,685.54,1.21,672.52,1426.88,2195,1497.09
9003,530,3649.69,-0.05,3619.6,10048.29,337,696.47,1.59,684.01,1627.37,2144,1477.99
