年月,集中市場股票交易-總成交值,集中市場股票交易-成交量(十億股),集中市場股票交易-日平均值(十億元),集中市場股票交易-交易日數(日),集中市場股票交易-交易所股價指數(月平均)(指數),集中市場股票交易-交易人數(人)
87,29618.97,612.01,109.3,271,7737.68,2811785
88,29291.52,678.06,110.11,266,7426.69,2931608
89,30526.57,630.87,112.64,271,7847.21,3158011
90,18354.94,606.42,75.23,244,4907.43,2401775
91,21873.95,856.19,88.2,248,5225.61,2739204
92,20333.24,917.58,81.66,249,5161.9,2615829
93,23875.37,987.57,95.5,250,6033.78,3016895
94,18818.9,663.51,76.19,247,6092.27,2504208
95,23900.36,732.51,96.37,248,6842.04,2774459
96,33043.85,887.19,133.78,247,8509.56,3173937
97,26115.41,778.91,104.88,249,7024.06,3032342
98,29680.47,1088.77,118.25,251,6459.56,3103181
99,28218.68,817.57,112.43,251,7949.63,3317920
100,26197.41,650.94,106.06,247,8155.79,3362054
101,20238.17,530.71,80.95,250,7481.34,2954251
102,18940.93,543.16,77,246,8092.77,2952754
103,21898.54,566.99,88.3,248,8992.01,3027238
104,10239.43,253.7,88.27,116,9521.53,2356177
9201,2102.16,109.54,110.64,19,4890.004,1172249
9202,963.64,51.53,60.23,16,4585.724,904656
9203,954.54,47.47,45.45,21,4449.202,850944
9204,1180.13,58.37,53.64,22,4449.608,930043
9205,985.83,49.53,46.94,21,4319.444,829357
9206,2018.13,93,100.91,20,4869.946,1130722
9207,2940.54,126.18,127.85,23,5287.117,1333760
9208,2084.88,83.77,99.28,21,5446.94,1209354
9209,1725.71,67.06,82.18,21,5679.795,1166660
9210,2273.86,99.05,103.36,22,5939.877,1281405
9211,1676.39,71.32,83.82,20,5951.519,1175433
9212,1427.43,60.77,62.06,23,5853.296,1091388
9301,1826.6,77.98,121.77,15,6236.419,1232052
9302,3177.05,141.86,158.85,20,6514.448,1572734
9303,3717.78,149.37,161.64,23,6658.079,1861868
9304,3151.98,116.7,143.27,22,6666.2,1721905
9305,1852.71,73.43,88.22,21,5911.675,1342734
9306,1457.11,58.7,69.39,21,5758.177,1125593
9307,1165.11,48.08,52.96,22,5553.572,963358
9308,1241.16,51.87,62.06,20,5497.719,901536
9309,1730.81,74.76,82.42,21,5865.557,1112217
9310,1637.22,71.47,81.86,20,5885.47,1137852
9311,1527.77,64.34,69.44,22,5885.477,1047667
9312,1390.07,59,60.44,23,5967.392,1007998
9401,1155.12,49.76,55.01,21,5917.563,912415
9402,1119.16,42.1,86.09,13,6100.642,901503
9403,1677.54,62.98,72.94,23,6103.939,1080336
9404,1192.19,43.36,59.61,20,5876.111,893955
