"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"63年"," 96,696,204"," 86,568,009"," 26,659,335"," 15,772,389","          －","          －","    128,215","          －","          －"," 14,017,206","     71,445","          －","          －","          －","  5,403,896","      5,776","  5,643,581","  2,039,246","  1,452,859","  2,151,476","  2,559,902","    936,654","  1,155,599","  3,508,308","    332,235","          －","  5,873,459","  1,127,406","    415,314","  2,749,606","    207,682","          －","          －"," 10,128,195","          －"
"63年 1月","  7,423,266","  6,685,324","  1,946,510","  1,163,585","          －","          －","      9,180","          －","          －","  1,271,343","      6,860","          －","          －","          －","    444,054","         22","    556,444","    401,293","     15,683","    139,468","     25,358","     24,615","     98,308","    301,025","     23,284","          －","    419,726","    120,734","     32,510","    213,507","     28,259","          －","          －","    737,942","          －"
"63年 2月","  6,647,839","  6,049,401","  2,459,277","    490,406","          －","          －","      9,973","          －","          －","  1,174,621","      8,431","          －","          －","          －","    386,426","         36","    174,744","     26,529","     19,093","    129,122","     14,352","     31,817","    107,588","    272,241","     28,424","          －","    576,585","     79,953","     30,156","    187,484","     16,887","          －","          －","    598,438","          －"
"63年 3月","  7,903,511","  7,244,040","  2,224,347","  1,400,775","          －","          －","      5,971","          －","          －","  1,222,301","      4,902","          －","          －","          －","    418,554","        757","    269,719","      8,165","     60,413","    201,141","     10,734","    345,800","    108,565","    284,831","     24,570","          －","    558,136","    107,485","     33,010","    205,919","     17,664","          －","          －","    659,471","          －"
"63年 4月","  8,980,712","  8,297,462","  2,791,552","  1,519,262","          －","          －","      7,583","          －","          －","  1,110,196","        540","          －","          －","          －","    443,049","        115","    785,985","      6,132","    590,162","    189,691","      6,929","    137,686","     99,633","    297,969","     27,220","          －","    679,608","    118,506","     34,877","    209,723","     27,029","          －","          －","    683,250","          －"
"63年 5月","  9,000,671","  8,296,020","  3,087,465","  1,703,446","          －","          －","      8,846","          －","          －","  1,249,975","      2,201","          －","          －","          －","    458,913","         91","    202,645","      6,807","     29,390","    166,448","     59,622","     15,136","    103,647","    297,630","     25,611","          －","    703,541","    105,696","     34,770","    219,938","     16,847","          －","          －","    704,651","          －"
"63年 6月"," 10,021,000","  9,334,548","  2,536,480","  2,172,463","          －","          －","     12,094","          －","          －","  1,238,472","      6,825","          －","          －","          －","    437,037","      2,382","    235,887","      8,920","     16,087","    210,880","  1,067,645","      9,297","     93,020","    298,912","     25,877","          －","    562,137","     92,429","     35,103","    494,774","     13,714","          －","          －","    686,452","          －"
"63年 7月","  8,952,224","  7,951,516","  2,149,278","  2,642,858","          －","          －","     11,361","          －","          －","  1,045,071","      7,994","          －","          －","          －","    511,723","         37","    314,854","    108,975","      6,588","    199,291","     36,653","     22,222","     93,814","    297,371","     27,996","          －","    461,329","     91,314","     34,013","    190,507","     13,121","          －","          －","  1,000,708","          －"
"63年 8月","  7,688,648","  6,698,974","  2,349,431","    771,589","          －","          －","      8,608","          －","          －","  1,239,121","      7,633","          －","          －","          －","    465,098","         53","    631,714","    334,417","      7,160","    290,137","     16,585","     21,343","     96,590","    293,754","     27,977","          －","    447,719","     94,668","     36,147","    175,819","     15,125","          －","          －","    989,674","          －"
"63年 9月","  7,402,315","  6,424,350","  1,541,267","  1,054,381","          －","          －","     10,668","          －","          －","  1,148,816","      7,650","          －","          －","          －","    465,619","        146","  1,028,081","    823,027","     49,684","    155,370","     11,569","    154,485","     76,919","    288,174","     26,128","          －","    336,523","     65,755","     34,191","    161,403","     12,575","          －","          －","    977,965","          －"
