year,合計,亞洲,亞洲-香港、澳門,亞洲-中國大陸,亞洲-日本,美洲,歐洲,大洋洲,非洲,未列明
1981,1409465,1146389,263257,-,-,-,-,-,-,-
1982,1419178,1156666,298037,-,-,-,-,-,-,-
1983,1457404,1170351,283466,-,598574,176722,65809,19577,18288,6657
1984,1516138,1198436,279377,-,636744,198494,70970,20518,17451,10269
1985,1451659,1130677,249350,-,619973,206908,70689,20233,12779,10373
1986,1610385,1226362,253730,-,694067,222470,85276,21085,14996,40196
1987,1760948,1334004,240393,-,796651,248997,101698,22347,15963,37939
1988,1935134,1504558,223389,-,911599,247862,109328,22864,17224,33298
1989,2004126,1565853,211804,-,964631,251904,111273,24276,14387,36433
1990,1934084,1499922,193544,-,917208,256074,111472,22689,12913,31014
1991,1854506,1415038,181765,-,833624,273349,114399,22848,13020,15852
1992,1873327,1409674,193523,-,799879,294632,120609,25300,11489,11623
1993,1850214,1373022,213953,-,703644,304591,121965,26305,11411,12920
1994,2127249,1612105,241775,-,823882,325363,135066,28519,11067,15129
1995,2331934,1796952,246747,-,914325,331171,144717,31875,10384,16835
1996,2358221,1811832,262585,-,917890,333858,152494,32631,9829,17577
1997,2372232,1800475,259664,-,905527,350049,159071,34825,9137,18675
1998,2298706,1720921,279905,-,826632,355336,160277,34597,8039,19536
1999,2411248,1813079,319814,-,826222,364742,161808,35875,7955,27789
2000,2624037,1984515,361308,-,916301,409581,161012,38229,8787,21913
2001,2831035,2224356,435164,211050,976750,402327,148569,38362,8872,8549
2002,2977692,2331217,456554,233283,998497,437078,148797,41223,9255,10122
2003,2248117,1767640,323178,212863,657053,314721,118843,32330,7523,7060
2004,2950342,2275924,417087,220248,887311,444528,164945,50958,9755,4232
2005,3378118,2678997,432718,211253,1124334,457156,172494,55732,9201,4538
2006,3519827,2821920,431884,299821,1161489,461033,172777,52019,8911,3167
2007,3716063,2982669,491437,306776,1166380,468996,186483,61802,8607,7506
2008,3845187,3085783,618667,329204,1086691,461269,200914,68555,8499,20167
2009,4395004,3655084,718806,972123,1000661,442036,197070,66173,7735,26906
2010,5567277,4783060,794362,1630735,1080153,474709,203301,71953,8254,26000
2011,6087484,5264210,817944,1784185,1294758,495136,212148,70540,8938,36512
2012,7311470,6473684,1016356,2586428,1432315,497597,218045,75414,8865,37865
2013,8016280,7138786,1183341,2874702,1421550,502446,223062,77722,8795,-
2014,9910204,8970186,1375770,3987152,1634790,565375,264880,93119,9960,-
