year,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他,未列明
1999,2411248,806159,782938,257683,31194,27054,-,-,110446,395774
2000,2624037,900339,870929,279243,34879,27808,-,-,114533,396306
2001,2831035,848732,1021572,332834,39390,26971,-,-,102818,458718
2002,2977692,831465,1028635,329751,39485,61904,-,-,131684,554768
2003,2248117,698792,695277,280022,31545,48575,-,-,162656,331250
2004,2950342,920377,1031713,374008,43616,37324,-,-,215540,327764
2005,3378118,944487,1381637,379252,49686,38717,-,-,210121,374218
2006,3519827,949836,1510207,377455,52634,38649,-,-,208826,382220
2007,3716063,930775,1648507,395760,57839,41901,-,-,216488,424793
2008,3845187,881431,1775229,404692,59226,45229,-,-,230716,448664
2009,4395004,795669,2298334,413942,68925,54701,-,-,275033,488400
2010,5567277,937777,3246005,496627,88097,62681,-,-,295048,441042
2011,6087484,984845,3633856,500131,81780,62829,-,-,573304,250739
2012,7311470,893767,4677330,444213,62988,62719,15789,58444,1096220,-
2013,8016280,927262,5479099,469877,61608,75938,16316,100083,886097,-
2014,9910204,769665,7192095,393656,63135,56562,13316,60951,1360824,-
