year,日本,南韓,中國大陸,港澳,泰國,馬來西亞,新加坡,菲律賓,印尼,美國,加拿大,澳大利亞,法國,德國,義大利,荷蘭,英國
1986,253524,81644,-,81644,63271,30841,30831,32510,7058,153462,3074,2619,1480,1845,718,4626,1720
1987,295007,98014,-,98014,115472,45411,40194,36866,16035,164267,3674,3218,2339,1951,1248,9230,2712
1988,340488,100569,-,100569,154853,42251,45989,44309,18994,183402,5132,3808,1610,1774,922,9277,1905
1989,474245,133867,-,133867,258668,59936,70924,80678,23301,157565,1283,909,241,226,75,13897,469
1990,591495,221454,-,221454,355962,57074,96607,65250,32397,239325,1886,380,195,187,56,14942,404
1991,653242,284902,-,284902,346310,79820,153811,69527,80386,267584,15671,6662,286,698,36,14823,701
1992,748112,302184,-,302184,359827,136248,220306,139099,110560,286966,32776,38481,415,334,129,25104,819
1993,737100,131392,-,131392,462823,169090,255542,190748,135729,371750,43392,74251,4720,1439,77,23044,10250
1994,676944,122853,-,122853,415005,170395,324133,173321,181351,453924,62166,105205,23436,5102,258,18115,11348
1995,498565,100959,-,100959,402828,200611,336954,184129,168840,522910,68805,110749,20457,23707,7391,28804,36505
1996,600146,93602,-,93602,372005,221639,287215,184294,212884,579488,92223,60335,26506,39658,15661,30982,42202
1997,651597,88244,-,88244,343182,245599,284381,200097,202095,588916,116651,34882,24477,46387,16564,47799,39466
1998,674089,87043,-,87043,362346,253181,261125,188163,141740,577178,127393,35312,28545,36924,12003,66909,35457
1999,720903,89325,-,89325,424926,254225,242691,139842,150430,563991,169897,58097,21468,9436,12864,107682,36393
2000,811388,108831,-,108831,557184,299664,234339,38933,221286,651134,181409,51874,22958,13925,15138,137021,40277
2001,765247,115623,11689,127312,558173,248552,210982,100014,233636,532010,141893,87427,24745,15494,15625,135484,19487
2002,797460,120208,27666,147874,530945,186791,190455,128158,259610,532180,132605,70141,28967,18911,16346,129124,25764
2003,731330,179893,80402,260295,392414,121267,125491,91418,251284,479264,95226,70679,24245,20524,16367,105885,23432
2004,1051954,298325,202202,500527,422189,180883,160088,112552,283757,536217,112413,75957,26423,25160,24484,128162,34071
2005,1180406,368206,257992,626198,268231,161296,184926,119125,185348,578998,104346,87912,26696,33911,25809,121728,33831
2006,1214058,396705,291623,688328,379275,181911,204834,110041,186165,593794,93244,76424,29287,33651,20552,93422,39255
2007,1280853,457095,363598,820693,353439,187788,189835,107824,201358,587872,87161,75408,27973,37105,17175,85352,38310
2008,1309847,363122,669427,1032549,332997,157650,167479,114155,186117,515590,65393,66543,442,38205,14656,98321,39114
2009,1113857,388806,1656445,2045251,258449,153695,137348,97372,173429,415465,61893,89793,23518,32797,9726,84535,50621
2010,1377957,406290,2424242,2830532,350074,212509,166126,139762,179845,436233,63002,74787,23960,31975,7719,43955,36142
2011,1136394,423266,2846572,2744393,382635,209164,207808,178876,212826,404848,67733,54889,31337,35378,9355,85238,36376
2012,1560300,532729,3139055,2548262,306746,193170,241893,211385,198893,469568,66614,49986,30132,36271,12718,83253,38002
2013,2346007,518528,3072327,2553433,507616,226919,297588,129361,166378,381374,65086,69824,33000,41122,70,22102,1
2014,2971846,626694,3267238,2511317,419133,198902,283925,133583,170301,425138,70285,85745,39126,44251,-,22749,-
