Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-DD-N,DJF,MAM,JJA,SON,Year
1958,37,23,9,2,7,-6,3,-6,-5,3,2,0,6,7,25,6,-3,0,1958
1959,6,9,20,17,5,3,5,-1,-5,-9,-9,-2,3,3,5,14,2,-8,1959
1960,-2,13,-36,-17,-9,0,-3,0,4,8,-12,18,-3,-5,3,-20,-1,0,1960
1961,7,19,10,15,14,11,-4,0,5,0,2,-15,5,8,15,13,2,2,1961
1962,7,15,11,5,-6,5,-2,-3,-2,-4,6,-1,3,1,2,3,0,0,1962
1963,-3,18,-15,-5,-10,3,9,23,20,14,16,0,6,6,5,-10,11,17,1963
1964,-6,-11,-24,-30,-26,-9,-7,-22,-28,-30,-21,-30,-20,-18,-6,-27,-13,-26,1964
1965,-9,-17,-12,-20,-14,-10,-10,-1,-12,-4,-6,-6,-10,-12,-19,-15,-7,-7,1965
1966,-16,-1,4,-14,-9,3,8,-11,-2,-15,-2,-6,-5,-5,-8,-6,0,-6,1966
1967,-7,-19,4,-6,12,-8,-1,3,-4,7,-6,-2,-2,-3,-11,4,-2,-1,1967
1968,-22,-14,21,-5,-10,-5,-10,-11,-19,11,-5,-14,-7,-6,-13,2,-9,-4,1968
1969,-11,-14,1,18,19,4,-2,3,10,9,12,27,6,3,-13,13,2,10,1969
1970,10,23,8,9,-5,-1,-4,-10,11,4,1,-14,3,6,20,4,-5,6,1970
1971,-3,-21,-19,-11,-7,-18,-13,-3,0,-6,-5,-8,-9,-10,-13,-12,-11,-4,1971
1972,-26,-17,3,-1,-1,4,2,18,4,7,1,18,1,-1,-17,0,8,4,1972
1973,27,31,25,26,26,16,9,2,6,12,5,-6,15,17,25,25,9,8,1973
1974,-14,-28,-5,-10,0,-5,-3,11,-14,-7,-7,-10,-8,-7,-16,-5,1,-9,1974
1975,8,7,14,6,17,0,-2,-21,-2,-9,-16,-17,-1,-1,1,12,-8,-9,1975
1976,-1,-6,-21,-9,-23,-15,-10,-16,-9,-26,-6,8,-11,-13,-8,-18,-14,-14,1976
1977,17,21,24,26,30,25,23,20,2,5,20,5,18,19,15,27,23,9,1977
1978,8,12,21,14,7,-2,7,-19,6,1,18,11,7,7,9,14,-5,8,1978
1979,15,-7,18,12,6,14,2,14,26,26,29,48,17,14,6,12,10,27,1979
1980,30,42,29,33,35,18,28,26,22,19,29,20,28,30,40,32,24,23,1980
1981,55,41,49,32,23,31,35,33,18,14,22,40,33,31,39,35,33,18,1981
1982,9,16,-2,9,15,4,13,9,16,14,14,43,13,13,22,7,9,14,1982
1983,53,41,42,30,36,19,15,31,38,16,31,17,31,33,45,36,22,28,1983
1984,31,18,29,10,34,6,15,15,19,15,4,-6,16,18,22,24,12,13,1984
1985,22,-5,17,10,18,17,2,15,15,13,10,16,12,11,4,15,11,13,1985
1986,30,38,29,26,26,14,13,12,2,14,11,16,19,19,28,27,13,9,1986
1987,36,46,17,26,26,36,47,28,40,33,26,48,34,31,33,23,37,33,1987
1988,57,42,49,44,44,42,35,44,41,38,11,33,40,41,49,46,40,30,1988
1989,16,35,36,33,17,15,33,35,37,33,19,36,29,29,28,29,27,30,1989
1990,40,41,76,54,46,38,43,30,29,42,45,41,44,43,39,58,37,39,1990
1991,42,50,35,51,39,54,51,42,48,31,31,33,42,43,44,42,49,37,1991
1992,45,42,47,23,32,24,13,10,-1,10,4,22,23,24,40,34,16,5,1992
1993,37,39,36,27,27,23,27,14,11,23,7,19,24,24,33,30,21,14,1993
1994,31,3,26,40,29,41,31,22,34,42,46,36,32,30,18,32,32,41,1994
1995,51,78,45,47,29,44,49,49,34,49,44,30,46,46,55,40,47,43,1995
1996,27,49,34,36,29,26,35,50,26,21,41,40,35,34,35,33,37,29,1996
1997,33,37,51,37,38,54,37,42,55,65,65,59,48,46,37,42,44,62,1997
1998,61,89,62,64,71,77,70,69,46,46,49,58,63,64,70,65,72,47,1998
1999,48,67,33,34,33,37,41,35,43,42,41,48,42,43,58,33,38,42,1999
2000,26,59,59,59,40,43,42,43,43,29,33,30,42,44,44,53,43,35,2000
2001,45,47,58,52,59,54,60,50,56,52,71,55,55,53,41,57,55,59,2001
2002,74,76,91,59,65,55,61,55,64,57,59,42,63,64,68,71,57,60,2002
2003,72,55,57,55,63,48,55,66,67,75,55,74,62,59,57,58,57,66,2003
2004,58,70,66,62,42,42,27,45,53,67,72,52,55,57,67,57,38,64,2004
2005,72,59,69,70,64,66,66,63,77,80,75,68,69,68,61,68,65,77,2005
2006,57,71,64,49,47,64,55,71,64,70,73,78,64,63,65,53,63,69,2006
2007,97,70,70,75,69,59,62,61,65,61,57,49,66,69,82,71,61,61,2007
2008,27,36,75,53,51,48,60,45,64,67,67,55,54,53,37,60,51,66,2008
2009,62,54,53,61,64,67,73,68,69,65,78,65,65,64,57,59,69,71,2009
2010,73,79,92,87,75,64,61,65,61,71,79,49,71,73,72,85,63,71,2010
2011,50,51,64,66,53,59,74,73,56,67,56,53,60,60,50,61,69,60,2011
2012,45,49,57,69,76,62,56,64,75,79,74,52,63,63,49,67,61,76,2012
2013,67,57,65,54,61,65,59,66,77,70,81,67,66,64,58,60,63,76,2013
2014,74,50,77,78,86,66,58,82,90,86,68,79,75,74,64,81,69,81,2014
2015,82,88,90,74,76,80************************,*******,83,80********,2015
