年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
2015,201510,蓮花,LINFA,---,"2015-07-06 08:30
2015-07-09 05:30",輕度,975,30,120,30,24
2015,201509,昌鴻,CHAN-HOM,---,"2015-07-09 05:30
2015-07-11 11:30",中度,935,48,280,100,19
2015,201506,紅霞,NOUL,---,"2015-05-10 08:30
2015-05-11 20:30",強烈,925,51,200,80,13
2014,201416,鳳凰,FUNG-WONG,特殊,"2014-09-19 08:30
2014-09-22 08:30",輕度,985,25,150,---,25
2014,201410,麥德姆,MATMO,3,"2014-07-21 17:30
2014-07-23 23:30",中度,960,38,200,80,19
2014,201407,哈吉貝,HAGIBIS,---,"2014-06-14 23:30
2014-06-15 17:30",輕度,992,20,100,---,7
2013,201323,菲特,FITOW,1,"2013-10-04 23:30
2013-10-07 08:30",中度,960,38,250,80,20
2013,201319,天兔,USAGI,5,"2013-09-19 23:30
2013-09-22 14:30",強烈,910,55,280,120,22
2013,201315,康芮,KONG-REY,6,"2013-08-27 11:30
2013-08-29 20:30",輕度,985,25,120,---,20
2013,201312,潭美,TRAMI,1,"2013-08-20 11:30
2013-08-22 08:30",輕度,970,30,180,50,16
2013,201308,西馬隆,CIMARON,---,"2013-07-17 10:30
2013-07-18 11:30",輕度,998,18,100,---,10
2013,201307,蘇力,SOULIK,2,"2013-07-11 08:30
2013-07-13 23:30",強烈,925,51,280,100,22
2012,201217,杰拉華,JELAWAT,---,"2012-09-27 02:30
2012-09-28 20:30",強烈,910,55,250,100,15
2012,201214,天秤,TEMBIN,特殊,"2012-08-21 14:30
2012-08-25 14:30",中度,945,45,180,50,33
,,,,,"2012-08-26 11:30
2012-08-28 23:30",中度,945,35,180,50,21
2012,201213,啟德,KAI-TAK,---,"2012-08-14 14:30
2012-08-15 17:30",輕度,995,20,150,---,10
2012,201211,海葵,HAIKUI,---,"2012-08-06 11:30
2012-08-07 17:30",中度,960,35,180,50,11
2012,201209,蘇拉,SAOLA,2,"2012-07-30 20:30
2012-08-03 14:30",中度,960,38,220,80,31
2012,201206,杜蘇芮,DOKSURI,---,"2012-06-28 05:30
2012-06-29 08:30",輕度,995,23,120,---,10
2012,201205,泰利,TALIM,9,"2012-06-19 05:30
2012-06-21 05:30",輕度,985,25,150,---,17
2011,201111,南瑪都,NANMADOL,4,"2011-08-27 05:30
2011-08-31 08:30",強烈,920,53,180,50,34
2011,201109,梅花,MUIFA,---,"2011-08-04 17:30
2011-08-06 11:30",中度,928,43,280,100,15
2011,201105,米雷,MEARI,---,"2011-06-23 23:30
2011-06-25 14:30",輕度,982,28,200,---,14
2011,201102,桑達,SONGDA,---,"2011-05-27 02:30
2011-05-28 14:30",強烈,920,55,200,100,13
2011,201101,艾利,AERE,---,"2011-05-09 05:30
2011-05-10 17:30",輕度,990,23,150,---,13
2010,201013,梅姬,MEGI,9,"2010-10-21 02:30
2010-10-23 23:30",中度,935,48,250,100,24
2010,201011,凡那比,FANAPI,4,"2010-09-17 23:30
2010-09-20 14:30",中度,940,45,200,80,22
2010,201010,莫蘭蒂,MERANTI,---,"2010-09-09 10:00
2010-09-10 11:30",輕度,990,23,100,---,10
2010,201008,南修,NAMTHEUN,---,"2010-08-30 22:30
2010-08-31 20:30",輕度,995,18,80,---,9
