consumption,region,population,year
38590535,宜蘭縣,428405,2012
26482644,花蓮縣,281623,2012
4226050,金門縣,102516,2012
35309524,南投縣,407051,2012
35147879,屏東縣,391800,2012
37094058,苗栗縣,434694,2012
179617788,桃園市,1919606,2012
259381471,高雄市,2647676,2012
39528450,基隆市,376021,2012
661064,連江縣,10518,2012
57730067,雲林縣,668161,2012
408007424,新北市,3827286,2012
45965605,新竹市,417851,2012
36468260,新竹縣,420310,2012
27511981,嘉義市,270691,2012
38491244,嘉義縣,478674,2012
86728727,彰化縣,1204060,2012
242983015,臺中市,2486701,2012
325198191,臺北市,2654559,2012
15784845,臺東縣,179747,2012
169604861,臺南市,1858496,2012
7389197,澎湖縣,91344,2012
