"表15 青年勞工初次
",,,,,,,"尋職前做過的準備
",,,,
 中華民國 ,,,,,,, 101年 10月 ,,,, 單位：人，％ 
項目別,樣本數,合計,,,有做,,準備,,,,沒有做準備
,,,計,增加打工經驗,考取專業證照,,做職業興趣分析,找老師諮詢就業方向,參加就業講座,其他,
總計," 4,064 ", 100.00 , 58.29 , 36.71 , 25.55 ,, 18.27 , 8.95 , 7.38 , 0.99 , 41.71 
性別,,,,,,,,,,,
男," 1,679 ", 100.00 , 53.38 , 33.86 , 21.30 ,, 16.74 , 7.20 , 4.32 , 0.78 , 46.62 
女," 2,385 ", 100.00 , 62.86 , 39.35 , 29.50 ,, 19.70 , 10.58 , 10.21 , 1.19 , 37.14 
年齡,,,,,,,,,,,
15-19歲, 136 , 100.00 , 51.85 , 41.01 , 15.89 ,, 14.12 , 8.08 , 3.93 , - , 48.15 
20-24歲, 962 , 100.00 , 61.84 , 42.40 , 26.04 ,, 18.76 , 11.92 , 9.35 , 0.54 , 38.16 
25-29歲," 2,966 ", 100.00 , 57.43 , 32.95 , 26.85 ,, 18.69 , 7.50 , 6.87 , 1.40 , 42.57 
教育程度,,,,,,,,,,,
國中及以下, 137 , 100.00 , 43.44 , 28.73 , 7.37 ,, 9.65 , 6.55 , 4.32 , 0.75 , 56.56 
高中（職）," 1,020 ", 100.00 , 47.72 , 35.91 , 16.98 ,, 12.07 , 4.82 , 2.59 , 0.25 , 52.28 
專科, 285 , 100.00 , 56.67 , 36.00 , 25.15 ,, 15.72 , 5.69 , 3.60 , 0.98 , 43.33 
大學," 2,313 ", 100.00 , 64.34 , 39.41 , 31.58 ,, 22.67 , 10.97 , 9.77 , 1.25 , 35.66 
碩士及以上, 309 , 100.00 , 71.24 , 27.85 , 31.87 ,, 21.62 , 16.32 , 15.70 , 2.38 , 28.76 
專科以上科系,,,,,,,,,,,
人文, 535 , 100.00 , 65.89 , 42.53 , 27.77 ,, 22.56 , 12.21 , 8.91 , 1.46 , 34.11 
社會," 1,286 ", 100.00 , 66.39 , 41.84 , 31.62 ,, 24.45 , 11.38 , 12.14 , 1.43 , 33.61 
科技," 1,086 ", 100.00 , 61.48 , 31.01 , 31.77 ,, 18.71 , 10.17 , 7.84 , 1.23 , 38.52 
說明1：準備情形可複選，故細項加總大於等於合計欄。,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,
