表11 青年勞工初次,,,,,,,尋職前做過的準備,,,,
 中華民國 ,,,,,,, 103年 10月 ,,,, 單位：人，％ 
項目別,樣本數,合計,,,有做,,準備,,,,沒有做準備
,,,計,增加打工經驗,考取專業證照,,做職業興趣分析,找老師諮詢就業方向,參加就業講座,其他,
總計," 4,034 ", 100.00 , 53.40 , 30.27 , 23.75 ,, 18.05 , 8.84 , 6.83 , 1.22 , 46.60 
性別,,,,,,,,,,,
男," 1,688 ", 100.00 , 49.42 , 27.52 , 19.39 ,, 17.52 , 7.02 , 6.07 , 1.08 , 50.58 
女," 2,346 ", 100.00 , 57.09 , 32.82 , 27.81 ,, 18.55 , 10.54 , 7.54 , 1.34 , 42.91 
年齡,,,,,,,,,,,
15~19歲, 121 , 100.00 , 39.66 , 19.63 , 11.52 ,, 9.27 , 9.37 , - , 0.54 , 60.34 
20~24歲," 1,007 ", 100.00 , 52.68 , 32.81 , 23.67 ,, 20.02 , 10.49 , 6.34 , 0.80 , 47.32 
25~29歲," 2,906 ", 100.00 , 55.46 , 30.26 , 25.31 ,, 18.11 , 7.92 , 7.93 , 1.51 , 44.54 
教育程度,,,,,,,,,,,
國中及以下, 129 , 100.00 , 23.29 , 14.55 , 6.50 ,, 2.87 , 3.99 , 0.18 , - , 76.71 
高中（職）, 941 , 100.00 , 41.14 , 28.46 , 13.41 ,, 13.93 , 6.17 , 2.31 , 0.29 , 58.86 
專科, 203 , 100.00 , 44.92 , 26.19 , 19.20 ,, 6.06 , 4.79 , 2.39 , - , 55.08 
大學," 2,448 ", 100.00 , 60.63 , 33.43 , 30.19 ,, 21.06 , 9.47 , 8.86 , 1.76 , 39.37 
碩士及以上, 313 , 100.00 , 68.95 , 26.36 , 27.91 ,, 28.28 , 19.44 , 15.35 , 2.17 , 31.05 
專科以上科系,,,,,,,,,,,
人文, 502 , 100.00 , 63.75 , 35.48 , 30.96 ,, 22.87 , 11.33 , 6.80 , 2.53 , 36.25 
社會," 1,276 ", 100.00 , 62.75 , 37.01 , 30.80 ,, 23.93 , 11.11 , 10.45 , 2.04 , 37.25 
科技," 1,216 ", 100.00 , 57.19 , 26.77 , 26.80 ,, 17.03 , 9.03 , 8.96 , 1.06 , 42.81 
說明1：本問項可複選，故細項加總大於等於合計欄。,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
工作地區,,,,,,,,,,,
