"表21 青年勞工初次尋職時
",,,,,,,,"選擇工作的考慮因素
",,,,,,
,,,,,, 中華民國 ,, 101年10月 ,,,,,, 單位：人，％ 
項目別,樣本數,合計,"能學以致
用的工作","能學習到
知識技能",工作穩定性,有發展前景,,薪資及福利,通勤方便,"符合自己
興趣的工作",工作負擔較輕,有挑戰性,有升遷機會,其他
,,,,,,,,,,,,,,
總計," 4,064 ", 100.00 , 38.25 , 47.61 , 58.53 , 32.59 ,, 61.09 , 48.78 , 42.09 , 10.95 , 18.20 , 20.91 , 0.54 
性別,,,,,,,,,,,,,,
男," 1,679 ", 100.00 , 38.27 , 47.96 , 57.22 , 34.36 ,, 58.18 , 44.75 , 40.77 , 12.02 , 20.06 , 22.39 , 0.29 
女," 2,385 ", 100.00 , 38.24 , 47.29 , 59.74 , 30.96 ,, 63.78 , 52.52 , 43.32 , 9.95 , 16.48 , 19.53 , 0.77 
年齡,,,,,,,,,,,,,,
15-19歲, 136 , 100.00 , 35.23 , 49.94 , 50.95 , 22.59 ,, 55.40 , 59.77 , 42.47 , 22.61 , 20.09 , 12.99 , 1.00 
20-24歲, 962 , 100.00 , 36.57 , 49.93 , 57.63 , 30.81 ,, 59.93 , 50.47 , 45.12 , 12.74 , 19.55 , 20.42 , 0.55 
25-29歲," 2,966 ", 100.00 , 39.65 , 45.99 , 60.24 , 35.17 ,, 62.63 , 46.10 , 40.40 , 8.09 , 17.17 , 22.46 , 0.46 
教育程度,,,,,,,,,,,,,,
國中及以下, 137 , 100.00 , 32.26 , 43.58 , 47.01 , 17.62 ,, 47.32 , 55.72 , 33.48 , 15.64 , 11.65 , 13.12 , 0.58 
高中（職）," 1,020 ", 100.00 , 28.30 , 43.57 , 62.33 , 26.05 ,, 59.75 , 51.76 , 40.38 , 14.85 , 16.53 , 17.49 , 0.60 
專科, 285 , 100.00 , 37.43 , 45.82 , 60.77 , 24.14 ,, 58.02 , 51.77 , 41.35 , 10.62 , 17.42 , 19.90 , 0.52 
大學," 2,313 ", 100.00 , 42.18 , 49.62 , 57.67 , 36.29 ,, 62.30 , 48.08 , 43.05 , 8.34 , 18.90 , 23.11 , 0.47 
碩士及以上, 309 , 100.00 , 56.27 , 54.49 , 54.90 , 51.28 ,, 70.16 , 34.46 , 48.84 , 9.98 , 25.22 , 25.86 , 0.79 
專科以上科系,,,,,,,,,,,,,,
人文, 535 , 100.00 , 47.33 , 49.93 , 55.59 , 32.90 ,, 57.10 , 50.31 , 54.68 , 11.25 , 22.92 , 24.74 , 0.42 
社會," 1,286 ", 100.00 , 37.07 , 48.11 , 57.69 , 39.52 ,, 64.83 , 48.37 , 44.44 , 7.83 , 19.49 , 25.82 , 0.51 
科技," 1,086 ", 100.00 , 48.10 , 51.54 , 58.63 , 35.79 ,, 63.32 , 43.61 , 37.34 , 8.58 , 17.86 , 19.45 , 0.56 
說明1：本問項可複選，故細項加總大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,
