表12 青年勞工初次尋職時 ,,,,,,,,選擇工作的考慮因素,,,,,,
,,,,,, 中華民國 ,, 103年10月 ,,,,,, 單位：人，％ 
項目別,樣本數, 合計 , 能學以致用的工作 ,"能學習到
知識技能", 工作穩定性 , 有發展前景 ,, 薪資及福利 , 通勤方便 ,"符合自己興趣
的工作", 工作負擔較輕 , 有挑戰性 , 有升遷機會 , 其他 
,,,,,,,,,,,,,,
總計," 4,034 ", 100.00 , 40.83 , 48.01 , 59.31 , 37.65 ,, 60.83 , 50.71 , 44.26 , 10.07 , 24.67 , 25.14 , 0.36 
性別,,,,,,,,,,,,,,
男," 1,688 ", 100.00 , 39.98 , 47.00 , 56.10 , 39.46 ,, 56.73 , 42.92 , 43.30 , 8.49 , 26.23 , 27.22 , 0.33 
女," 2,346 ", 100.00 , 41.63 , 48.93 , 62.28 , 35.97 ,, 64.64 , 57.93 , 45.14 , 11.53 , 23.21 , 23.22 , 0.38 
年齡,,,,,,,,,,,,,,
15~19歲, 121 , 100.00 , 35.26 , 38.22 , 55.12 , 24.15 ,, 48.31 , 44.45 , 31.35 , 13.61 , 21.28 , 16.40 , 1.43 
20~24歲," 1,007 ", 100.00 , 37.33 , 46.95 , 58.68 , 34.19 ,, 59.82 , 54.51 , 45.44 , 13.47 , 24.66 , 24.32 , 0.24 
25~29歲," 2,906 ", 100.00 , 43.35 , 49.76 , 60.15 , 41.12 ,, 62.91 , 49.49 , 45.23 , 7.85 , 25.09 , 26.65 , 0.28 
教育程度,,,,,,,,,,,,,,
國中及以下, 129 , 100.00 , 23.22 , 30.71 , 51.93 , 22.67 ,, 44.83 , 44.82 , 26.32 , 9.40 , 20.55 , 21.88 , 2.17 
高中（職）, 941 , 100.00 , 31.21 , 38.82 , 60.65 , 28.04 ,, 57.14 , 49.16 , 38.26 , 13.75 , 20.54 , 20.95 , 0.10 
專科, 203 , 100.00 , 36.13 , 36.21 , 60.91 , 32.94 ,, 52.06 , 54.23 , 42.13 , 9.24 , 12.71 , 15.67 , 0.92 
大學," 2,448 ", 100.00 , 44.62 , 52.80 , 59.32 , 41.96 ,, 62.45 , 53.38 , 47.43 , 8.98 , 27.03 , 27.99 , 0.28 
碩士及以上, 313 , 100.00 , 61.61 , 64.54 , 57.85 , 53.11 ,, 77.77 , 38.40 , 55.02 , 5.75 , 32.82 , 27.91 , 0.36 
專科以上科系,,,,,,,,,,,,,,
人文, 502 , 100.00 , 48.96 , 52.39 , 56.56 , 42.93 ,, 60.21 , 51.13 , 54.25 , 9.85 , 27.60 , 26.76 , 0.75 
社會," 1,276 ", 100.00 , 41.41 , 52.41 , 59.42 , 43.76 ,, 64.90 , 54.54 , 47.42 , 9.20 , 27.72 , 31.60 , 0.37 
科技," 1,216 ", 100.00 , 49.60 , 53.88 , 59.75 , 41.77 ,, 63.65 , 49.39 , 46.17 , 7.65 , 25.25 , 23.59 , 0.14 
說明1：本問項可複選，故細項加總大於等於合計欄。,,,,,,,,,,,,,,
說明2：科系可複選，故細項加總大於專科以上之合計。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
工作地區,,,,,,,,,,,,,,
